	voice Midi Diff								present		 Best		Sec

printNotes: i= 58-<2246 2059 187>,  	 D2 --    1/8th( 62) <      > 	V 63 - M 31	=+32  %+51  	q= +1  %+2  	 0.360(83)<-----%51   %2



silence
printNotes: i= 59-<   0   40 -40>,  	Slc --   1/4th.(187) <      > 	V192 - M125	=+67  %+35  	q= +5  %+3  	 1.109(83)<-----%35   %3

printNotes: i= 60-<1561 1559   2>,  	 A1 --  1/32nd.( 23) <      > 	V 24 - M 31	= -7  %-29  	q= +1  %+4  	 0.134(83)<-----%29   %4

printNotes: i= 61-<2119 2189 -70>,  	Ek2 --    1/8th( 62) <      > 	V 71 - M 31	=+40  %+56  	q= +9  %+13  	 0.406(83)<-----%56   %13

printNotes: i= 62-<2382 2350  32>,  	 F2 --   1/16th( 31) <      > 	V 30 - M 16	=+14  %+47  	q= -1  %-3  	 0.168(83)<-----%47   %3

printNotes: i= 63-<2495 2545 -50>,  	 G2 --  1/64th.( 12) <      > 	V 11 - M 16	= -5  %-45  	q= -1  %-9  	 0.058(83)<-----%45   %9 <<

printNotes: i= 64-<2392 2350  42>,  	 F2 --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(83)
printNotes: i= 65-<2530 2545 -15>,  	 G2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(83)
printNotes: i= 66-<2201 2189  12>,  	Ek2 --   1/4th.(187) <-1*sela> 	V164 - M187	=-23  %-14  	q=-23  %-14  	 0.946(83)
printNotes: i= 67-<2334 2350 -16>,  	 F2 -- 1/32nd..( 27) <      > 	V 26 - M 16	=+10  %+38  	q= -1  %-4  	 0.145(83)<-----%38   %4

printNotes: i= 68-<2481 2545 -64>,  	 G2 --    128th(  4) <      > 	V  5 - M 16	=-11  %-220  	q= +1  %+20  	 0.023(83)<-----%220   %20 <<

printNotes: i= 69-<2379 2350  29>,  	 F2 --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(83)
printNotes: i= 70-<2563 2545  18>,  	 G2 -- 1/64th..( 14) <      > 	V 14 - M 16	= -2  %-14  	q=  +  %+0  	 0.075(83)
printNotes: i= 71-<2196 2189   7>,  	Ek2 --    1/4th(125) <      > 	V121 - M125	= -4  %-3  	q= -4  %-3  	 0.697(83)
printNotes: i= 72-<2338 2350 -12>,  	 F2 --  1/32nd.( 23) <      > 	V 24 - M 16	= +8  %+33  	q= +1  %+4  	 0.134(83)<-----%33   %4

printNotes: i= 73-<2474 2545 -71>,  	 G2 --    128th(  4) <      > 	V  4 - M 16	=-12  %-300  	q=  +  %+0  	 0.017(83)<-----%300   %0 <<

printNotes: i= 74-<2357 2350   7>,  	 F2 --   1/32nd( 16) <      > 	V 19 - M 16	= +3  %+16  	q= +3  %+16  	 0.104(83)
printNotes: i= 75-<2497 2545 -48>,  	 G2 --  1/64th.( 12) <      > 	V 11 - M 16	= -5  %-45  	q= -1  %-9  	 0.058(83)<-----%45   %9 <<

printNotes: i= 76-<2185 2189  -4>,  	Ek2 --    1/8th( 62) <      > 	V 74 - M 93	=-19  %-26  	q=+12  %+16  	 0.424(83)<-----%26   %16

printNotes: i= 77-<1960 2059 -99>,  	 D2 --  1/32nd.( 23) <      > 	V 20 - M 31	=-11  %-55  	q= -3  %-15  	 0.110(83)<-----%55   %15

printNotes: i= 78-<2338 2350 -12>,  	 F2 --  1/4th..(218) <      > 	V222 - M218	= +4  %+2  	q= +4  %+2  	 1.283(83)
printNotes: i= 79-<2550 2545   5>,  	 G2 --  1/16th.( 47) <      > 	V 49 - M 47	= +2  %+4  	q= +2  %+4  	 0.279(83)
printNotes: i= 80-<2795 2742  53>,  	 A2 --  1/32nd.( 23) <      > 	V 24 - M 31	= -7  %-29  	q= +1  %+4  	 0.134(83)<-----%29   %4



silence
printNotes: i= 81-<1362   40 1322>,  	Slc --    128th(  4) <      > 	V  4 - M 16	=-12  %-300  	q=  +  %+0  	 0.017(83)<-----%300   %0 <<

printNotes: i= 82-<2544 2545  -1>,  	 G2 -- 1/32nd..( 27) <      > 	V 26 - M 31	= -5  %-19  	q= -1  %-4  	 0.145(83)<-----%19   %4

printNotes: i= 83-<2352 2350   2>,  	 F2 -- 1/32nd..( 27) <      > 	V 26 - M 31	= -5  %-19  	q= -1  %-4  	 0.145(83)<-----%19   %4

printNotes: i= 84-<2171 2189 -18>,  	Ek2 --  1/32nd.( 23) <      > 	V 24 - M 31	= -7  %-29  	q= +1  %+4  	 0.134(83)<-----%29   %4

printNotes: i= 85-<2033 2059 -26>,  	 D2 --  1/32nd.( 23) <      > 	V 20 - M 31	=-11  %-55  	q= -3  %-15  	 0.110(83)<-----%55   %15

printNotes: i= 86-<2182 2189  -7>,  	Ek2 -- 1/32nd..( 27) <      > 	V 26 - M 16	=+10  %+38  	q= -1  %-4  	 0.145(83)<-----%38   %4

printNotes: i= 87-<2398 2350  48>,  	 F2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(83)
printNotes: i= 88-<2069 2059  10>,  	 D2 -- 1/32nd..( 27) <      > 	V 26 - M 31	= -5  %-19  	q= -1  %-4  	 0.145(83)<-----%19   %4

printNotes: i= 89-<2173 2189 -16>,  	Ek2 --  1/16th.( 47) <      > 	V 44 - M 62	=-18  %-41  	q= -3  %-7  	 0.250(83)<-----%41   %7

printNotes: i= 90-<2072 2059  13>,  	 D2 --    1/8th( 62) <      > 	V 65 - M 62	= +3  %+5  	q= +3  %+5  	 0.372(83)
printNotes: i= 91-<2354 2350   4>,  	 F2 --    1/4th(125) <1*sela> 	V153 - M156	= -3  %-2  	q=+28  %+18  	 0.882(83)
printNotes: i= 92-<2200 2189  11>,  	Ek2 --    1/8th( 62) <      > 	V 65 - M 62	= +3  %+5  	q= +3  %+5  	 0.372(83)
printNotes: i= 93-<2372 2350  22>,  	 F2 --  1/16th.( 47) <      > 	V 44 - M 62	=-18  %-41  	q= -3  %-7  	 0.250(83)<-----%41   %7

printNotes: i= 94-<2088 2059  29>,  	 D2 --   1/32nd( 16) <      > 	V 16 - M 31	=-15  %-94  	q=  +  %+0  	 0.087(83)<-----%94   %0 <<

printNotes: i= 95-<2222 2189  33>,  	Ek2 --   1/4th.(187) <      > 	V188 - M249	=-61  %-32  	q= +1  %+1  	 1.086(83)<-----%32   %1



silence
printNotes: i= 96-<   0   40 -40>,  	Slc --   2whole(997) <36*sela> 	V1587 - M1370	=+217  %+14  	q=+590  %+37  	 9.207(83)
printNotes: i= 97-<1938 2189 -251>,  	Ek2 --   1/16th( 31) <      > 	V 30 - M 31	= -1  %-3  	q= -1  %-3  	 0.168(83)
printNotes: i= 98-<2058 2350 -292>,  	 F2 --  1/8th..(109) <      > 	V102 - M 62	=+40  %+39  	q= -7  %-7  	 0.586(83)<-----%39   %7

printNotes: i= 99-<1730 2545 -815>,  	 G2 --   1/8th.( 93) <      > 	V 82 - M 31	=+51  %+62  	q=-11  %-13  	 0.470(83)<-----%62   %13

