	voice Midi Diff								present		 Best		Sec

printNotes: i= 80-<2333 2335  -2>,  	 F2 --    1/8th( 56) <      > 	V 56 - M 56	=  +  %+0  	q=  +  %+0  	 0.319(93)<-- same note
printNotes: i= 81-<2028 2177 -149>,  	Ek2 --  1/16th.( 42) <      > 	V 40 - M 28	=+12  %+30  	q= -2  %-5  	 0.226(93)<-----%30   %5

printNotes: i= 82-<2119 2042  77>,  	 D2 --   1/16th( 28) <      > 	V 33 - M 28	= +5  %+15  	q= +5  %+15  	 0.186(93)


silence
printNotes: i= 83-<   0   40 -40>,  	Slc --   1/8th.( 84) <      > 	V 76 - M111	=-35  %-46  	q= -8  %-11  	 0.435(93)<-----%46   %11

printNotes: i= 84-<1775 1833 -58>,  	 C2 --  1/16th.( 42) <      > 	V 35 - M 19	=+16  %+46  	q= -7  %-20  	 0.197(93)<-----%46   %20

printNotes: i= 85-<2258 2335 -77>,  	 F2 --   1/16th( 28) <      > 	V 32 - M 18	=+14  %+44  	q= +4  %+12  	 0.180(93)<-----%44   %12

printNotes: i= 86-<2202 2177  25>,  	Ek2 --   1/32nd( 14) <      > 	V 14 - M 19	= -5  %-36  	q=  +  %+0  	 0.075(93)<-----%36   %0 <<

printNotes: i= 87-<2322 2335 -13>,  	 F2 --  1/8th..( 97) <      > 	V 94 - M111	=-17  %-18  	q= -3  %-3  	 0.540(93)<-----%18   %3

printNotes: i= 88-<2523 2533 -10>,  	 G2 --    1/8th( 56) <      > 	V 61 - M 56	= +5  %+8  	q= +5  %+8  	 0.348(93)
printNotes: i= 89-<2305 2335 -30>,  	 F2 -- 1/32nd..( 24) <      > 	V 23 - M 14	= +9  %+39  	q= -1  %-4  	 0.128(93)<-----%39   %4

printNotes: i= 90-<2518 2533 -15>,  	 G2 --   1/16th( 28) <      > 	V 30 - M 14	=+16  %+53  	q= +2  %+7  	 0.168(93)<-----%53   %7

printNotes: i= 91-<2323 2335 -12>,  	 F2 --    1/4th(111) <      > 	V113 - M139	=-26  %-23  	q= +2  %+2  	 0.650(93)<-----%23   %2

printNotes: i= 92-<2124 2177 -53>,  	Ek2 --   1/8th.( 84) <      > 	V 78 - M 56	=+22  %+28  	q= -6  %-8  	 0.447(93)<-----%28   %8

printNotes: i= 93-<2216 2177  39>,  	Ek2 --   1/32nd( 14) <      > 	V 14 - M 14	=  +  %+0  	q=  +  %+0  	 0.075(93)<-- same note
printNotes: i= 94-<2348 2335  13>,  	 F2 --   1/16th( 28) <      > 	V 29 - M 42	=-13  %-45  	q= +1  %+3  	 0.163(93)<-----%45   %3

