	voice Midi Diff								present		 Best		Sec

printNotes: i= 54-<2146 2168 -22>,  	Ek2 --  1/32nd.( 22) <      > 	V 19 - M 15	= +4  %+21  	q= -3  %-16  	 0.104(88)<-----%21   %16

printNotes: i= 55-<2334 2314  20>,  	 F2 --   1/16th( 29) <      > 	V 28 - M  7	=+21  %+75  	q= -1  %-4  	 0.157(88)<-----%75   %4

printNotes: i= 56-<2455 2514 -59>,  	 G2 --  1/64th.( 11) <      > 	V 10 - M  7	= +3  %+30  	q= -1  %-10  	 0.052(88)<-----%30   %10 <<

printNotes: i= 57-<2161 2168  -7>,  	Ek2 --   1/16th( 29) <      > 	V 32 - M 15	=+17  %+53  	q= +3  %+9  	 0.180(88)<-----%53   %9

printNotes: i= 58-<2392 2314  78>,  	 F2 --   1/32nd( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(88)
printNotes: i= 59-<2161 2168  -7>,  	Ek2 -- 1/16th..( 51) <      > 	V 48 - M 59	=-11  %-23  	q= -3  %-6  	 0.273(88)<-----%23   %6

printNotes: i= 60-<2522 2514   8>,  	 G2 --  1/16th.( 44) <      > 	V 37 - M 15	=+22  %+59  	q= -7  %-19  	 0.209(88)<-----%59   %19

printNotes: i= 61-<2641 2714 -73>,  	 A2 --   1/64th(  7) <      > 	V  9 - M 15	= -6  %-67  	q= +2  %+22  	 0.046(88)<-----%67   %22 <<

printNotes: i= 62-<2314 2314    >,  	 F2 --    half.(352) <1*sela> 	V368 - M352	=+16  %+4  	q=+16  %+4  	 2.130(88)
printNotes: i= 63-<2180 2168  12>,  	Ek2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(88)
printNotes: i= 64-<2357 2314  43>,  	 F2 --  1/64th.( 11) <      > 	V 12 - M 15	= -3  %-25  	q= +1  %+8  	 0.064(88)<-----%25   %8 <<

printNotes: i= 65-<2169 2168   1>,  	Ek2 --   1/16th( 29) <      > 	V 36 - M 29	= +7  %+19  	q= +7  %+19  	 0.203(88)
printNotes: i= 66-<2340 2314  26>,  	 F2 --  1/64th.( 11) <      > 	V 12 - M 15	= -3  %-25  	q= +1  %+8  	 0.064(88)<-----%25   %8 <<

printNotes: i= 67-<2022 2031  -9>,  	 D2 --   1/16th( 29) <      > 	V 32 - M 29	= +3  %+9  	q= +3  %+9  	 0.180(88)
printNotes: i= 68-<2251 2168  83>,  	Ek2 --   1/32nd( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(88)
printNotes: i= 69-<2032 2031   1>,  	 D2 --    1/8th( 59) <      > 	V 63 - M 59	= +4  %+6  	q= +4  %+6  	 0.360(88)
printNotes: i= 70-<2179 2168  11>,  	Ek2 --  1/8th..(103) <      > 	V106 - M 88	=+18  %+17  	q= +3  %+3  	 0.610(88)<-----%17   %3

printNotes: i= 71-<2134 2031 103>,  	 D2 --    1/8th( 59) <      > 	V 68 - M 59	= +9  %+13  	q= +9  %+13  	 0.389(88)


silence
printNotes: i= 72-<   0   40 -40>,  	Slc --   1/4th.(176) <      > 	V168 - M176	= -8  %-5  	q= -8  %-5  	 0.969(88)
printNotes: i= 73-<1835 1818  17>,  	 C2 --  1/16th.( 44) <      > 	V 37 - M 29	= +8  %+22  	q= -7  %-19  	 0.209(88)
printNotes: i= 74-<2162 2168  -6>,  	Ek2 --   1/8th.( 88) <      > 	V 85 - M 88	= -3  %-4  	q= -3  %-4  	 0.488(88)
printNotes: i= 75-<2043 2031  12>,  	 D2 --   1/8th.( 88) <      > 	V 90 - M 88	= +2  %+2  	q= +2  %+2  	 0.517(88)
printNotes: i= 76-<2319 2314   5>,  	 F2 --     half(235) <      > 	V234 - M235	= -1  %-0  	q= -1  %-0  	 1.353(88)
printNotes: i= 77-<2206 2168  38>,  	Ek2 --  1/64th.( 11) <      > 	V 12 - M  7	= +5  %+42  	q= +1  %+8  	 0.064(88)<-----%42   %8 <<

printNotes: i= 78-<2375 2314  61>,  	 F2 --  1/64th.( 11) <      > 	V 12 - M  7	= +5  %+42  	q= +1  %+8  	 0.064(88)<-----%42   %8 <<

printNotes: i= 79-<2177 2168   9>,  	Ek2 -- 1/32nd..( 26) <      > 	V 24 - M 15	= +9  %+38  	q= -2  %-8  	 0.134(88)<-----%38   %8

printNotes: i= 80-<2266 2314 -48>,  	 F2 --  1/64th.( 11) <      > 	V 11 - M 15	= -4  %-36  	q=  +  %+0  	 0.058(88)<-----%36   %0 <<

printNotes: i= 81-<2043 2031  12>,  	 D2 --   1/16th( 29) <      > 	V 29 - M 15	=+14  %+48  	q=  +  %+0  	 0.163(88)<-----%48   %0

