	voice Midi Diff								present		 Best		Sec

 metronome= 80.58  saveiyend(end)/(160*scaleFactor))= 51.68  X(saveiyend(end))=38.48  second per dot=0.00580
siaah == 128  scaleFactor=0.80   fs=44100 


  9whole,    9237
  2whole,    1026
 whole..,    898
  whole.,    770
   whole,    513
  half..,    449
   half.,    385
    half,    257
 1/4th..,    225
  1/4th.,    192
   1/4th,    128
 1/8th..,    112
  1/8th.,    96
   1/8th,    64
1/16th..,    56
 1/16th.,    48
  1/16th,    32
1/32nd..,    28
 1/32nd.,    24
  1/32nd,    16
1/64th..,    14
 1/64th.,    12
  1/64th,    8
 128th..,    7
  128th.,    6
   128th,    4
 256th..,    4
  256th.,    3
   256th,    2
 512nd..,    2
  512nd.,    2
   512nd,    1
1024th..,    1
 1024th.,    1
  1024th,    1
____zero,    0
