	voice Midi Diff								present		 Best		Sec

printNotes: i= 76-<2029 2033  -4>,  	 D2 -- 1/16th..( 61) <      > 	V 64 - M 69	= -5  %-8  	q= +3  %+5  	 0.366(74)<-- same note
printNotes: i= 77-<1821 1814   7>,  	 C2 --  1/16th.( 52) <      > 	V 56 - M 52	= +4  %+7  	q= +4  %+7  	 0.319(74)
printNotes: i= 78-<1530 2033 -503>,  	 D2 --    1/4th(139) <      > 	V154 - M 69	=+85  %+55  	q=+15  %+10  	 0.888(74)<-----%55   %10

printNotes: i= 79-<2172 2158  14>,  	Ek2 --   128th.(  7) <      > 	V  6 - M 52	=-46  %-767  	q= -1  %-17  	 0.029(74)<-----%767   %17 <<

printNotes: i= 80-<2323 2317   6>,  	 F2 --   1/4th.(208) <      > 	V213 - M208	= +5  %+2  	q= +5  %+2  	 1.231(74)
printNotes: i= 81-<2146 2158 -12>,  	Ek2 -- 1/32nd..( 30) <      > 	V 31 - M 35	= -4  %-13  	q= +1  %+3  	 0.174(74)<-----%13   %3

printNotes: i= 82-<2034 2033   1>,  	 D2 --   1/32nd( 17) <      > 	V 17 - M 35	=-18  %-106  	q=  +  %+0  	 0.093(74)<-----%106   %0

printNotes: i= 83-<2164 2158   6>,  	Ek2 --  1/32nd.( 26) <      > 	V 26 - M 35	= -9  %-35  	q=  +  %+0  	 0.145(74)<-----%35   %0

printNotes: i= 84-<2296 2317 -21>,  	 F2 --  1/32nd.( 26) <      > 	V 27 - M 35	= -8  %-30  	q= +1  %+4  	 0.151(74)<-----%30   %4

printNotes: i= 85-<2447 2525 -78>,  	 G2 --   1/64th(  9) <      > 	V 11 - M 17	= -6  %-55  	q= +2  %+18  	 0.058(74)<-----%55   %18 <<

printNotes: i= 86-<2361 2317  44>,  	 F2 --   1/16th( 35) <      > 	V 35 - M 17	=+18  %+51  	q=  +  %+0  	 0.197(74)<-----%51   %0

printNotes: i= 87-<2168 2158  10>,  	Ek2 -- 1/32nd..( 30) <      > 	V 31 - M 23	= +8  %+26  	q= +1  %+3  	 0.174(74)<-----%26   %3

printNotes: i= 88-<2325 2317   8>,  	 F2 --  1/64th.( 13) <      > 	V 13 - M 23	=-10  %-77  	q=  +  %+0  	 0.070(74)<-----%77   %0 <<

printNotes: i= 89-<2041 2033   8>,  	 D2 --   1/16th( 35) <      > 	V 36 - M 23	=+13  %+36  	q= +1  %+3  	 0.203(74)<-----%36   %3

printNotes: i= 90-<2135 2158 -23>,  	Ek2 --  1/64th.( 13) <      > 	V 14 - M 23	= -9  %-64  	q= +1  %+7  	 0.075(74)<-----%64   %7 <<

printNotes: i= 91-<1930 1814 116>,  	 C2 --  1/16th.( 52) <      > 	V 54 - M 46	= +8  %+15  	q= +2  %+4  	 0.308(74)<-----%15   %4



silence
