	voice Midi Diff								present		 Best		Sec

printNotes: i= 84-<2822 2823  -1>,  	Bb2 --   1/4th.(178) <      > 	V185 - M178	= +7  %+4  	q= +7  %+4  	 1.068(87)
printNotes: i= 85-<3013 3017  -4>,  	 C3 --    1/4th(119) <      > 	V132 - M104	=+28  %+21  	q=+13  %+10  	 0.760(87)<-----%21   %10

printNotes: i= 86-<2648 2823 -175>,  	Bb2 --   1/32nd( 15) <      > 	V 16 - M  7	= +9  %+56  	q= +1  %+6  	 0.087(87)<-----%56   %6 <<

printNotes: i= 87-<2760 3017 -257>,  	 C3 --  1/64th.( 11) <      > 	V 10 - M  7	= +3  %+30  	q= -1  %-10  	 0.052(87)<-----%30   %10 <<

printNotes: i= 88-<2835 2823  12>,  	Bb2 --   1/16th( 30) <      > 	V 33 - M 15	=+18  %+55  	q= +3  %+9  	 0.186(87)<-----%55   %9

printNotes: i= 89-<2921 3017 -96>,  	 C3 --  1/64th.( 11) <      > 	V 10 - M 15	= -5  %-50  	q= -1  %-10  	 0.052(87)<-----%50   %10 <<

printNotes: i= 90-<2576 2660 -84>,  	Ak2 --   1/16th( 30) <      > 	V 35 - M 30	= +5  %+14  	q= +5  %+14  	 0.197(87)
printNotes: i= 91-<2877 2823  54>,  	Bb2 -- 1/64th..( 13) <      > 	V 14 - M 15	= -1  %-7  	q= +1  %+7  	 0.075(87)
printNotes: i= 92-<2675 2660  15>,  	Ak2 --   1/16th( 30) <      > 	V 37 - M 30	= +7  %+19  	q= +7  %+19  	 0.209(87)
printNotes: i= 93-<2798 2823 -25>,  	Bb2 -- 1/64th..( 13) <      > 	V 14 - M 15	= -1  %-7  	q= +1  %+7  	 0.075(87)
printNotes: i= 94-<2540 2531   9>,  	 G2 --   1/16th( 30) <      > 	V 34 - M 30	= +4  %+12  	q= +4  %+12  	 0.192(87)
printNotes: i= 95-<2696 2660  36>,  	Ak2 --   1/32nd( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(87)
printNotes: i= 96-<2540 2531   9>,  	 G2 -- 1/16th..( 52) <      > 	V 54 - M 45	= +9  %+17  	q= +2  %+4  	 0.308(87)<-----%17   %4

printNotes: i= 97-<2655 2660  -5>,  	Ak2 --   1/8th.( 89) <      > 	V 91 - M 59	=+32  %+35  	q= +2  %+2  	 0.522(87)<-----%35   %2

printNotes: i= 98-<2691 2531 160>,  	 G2 --    1/8th( 59) <      > 	V 60 - M 59	= +1  %+2  	q= +1  %+2  	 0.342(87)


silence
printNotes: i= 99-<   0   40 -40>,  	Slc --   whole.(713) <-3*sela> 	V654 - M713	=-59  %-9  	q=-59  %-9  	 3.791(87)
printNotes: i= 100-<2056 2331 -275>,  	 F2 --   1/16th( 30) <      > 	V 37 - M 30	= +7  %+19  	q= +7  %+19  	 0.209(87)
printNotes: i= 101-<3010 3017  -7>,  	 C3 --     half(238) <1*sela> 	V254 - M297	=-43  %-17  	q=+16  %+6  	 1.469(87)<-----%17   %6

printNotes: i= 102-<2657 2823 -166>,  	Bb2 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(87)
printNotes: i= 103-<3049 3017  32>,  	 C3 --   1/64th(  7) <      > 	V  7 - M 15	= -8  %-114  	q=  +  %+0  	 0.035(87)<-----%114   %0 <<

printNotes: i= 104-<2836 2823  13>,  	Bb2 -- 1/32nd..( 26) <      > 	V 27 - M 30	= -3  %-11  	q= +1  %+4  	 0.151(87)<-----%11   %4

printNotes: i= 105-<2670 2660  10>,  	Ak2 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(87)
printNotes: i= 106-<2768 2823 -55>,  	Bb2 --  128th..(  6) <      > 	V  6 - M 15	= -9  %-150  	q=  +  %+0  	 0.029(87)<-----%150   %0 <<

printNotes: i= 107-<2679 2660  19>,  	Ak2 -- 1/32nd..( 26) <      > 	V 24 - M 30	= -6  %-25  	q= -2  %-8  	 0.134(87)<-----%25   %8

printNotes: i= 108-<2522 2531  -9>,  	 G2 --   1/32nd( 15) <      > 	V 18 - M 15	= +3  %+17  	q= +3  %+17  	 0.099(87)
printNotes: i= 109-<2650 2660 -10>,  	Ak2 --    128th(  4) <      > 	V  5 - M 15	=-10  %-200  	q= +1  %+20  	 0.023(87)<-----%200   %20 <<

printNotes: i= 110-<2512 2531 -19>,  	 G2 --  1/32nd.( 22) <      > 	V 20 - M 30	=-10  %-50  	q= -2  %-10  	 0.110(87)<-----%50   %10

printNotes: i= 111-<2621 2660 -39>,  	Ak2 -- 1/32nd..( 26) <      > 	V 25 - M 15	=+10  %+40  	q= -1  %-4  	 0.139(87)<-----%40   %4

printNotes: i= 112-<2791 2823 -32>,  	Bb2 --    128th(  4) <      > 	V  4 - M 15	=-11  %-275  	q=  +  %+0  	 0.017(87)<-----%275   %0 <<

printNotes: i= 113-<2675 2660  15>,  	Ak2 --   1/32nd( 15) <      > 	V 18 - M 30	=-12  %-67  	q= +3  %+17  	 0.099(87)<-----%67   %17

printNotes: i= 114-<2802 2823 -21>,  	Bb2 -- 1/32nd..( 26) <      > 	V 26 - M 15	=+11  %+42  	q=  +  %+0  	 0.145(87)<-----%42   %0

printNotes: i= 115-<2993 3017 -24>,  	 C3 --   1/64th(  7) <      > 	V  7 - M 15	= -8  %-114  	q=  +  %+0  	 0.035(87)<-----%114   %0 <<

