	voice Midi Diff								present		 Best		Sec

printNotes: i= 96-<   0   40 -40>,  	Slc --     half(249) <      > 	V244 - M249	= -5  %-2  	q= -5  %-2  	 1.411(83)
printNotes: i= 97-< 971 2040 -1069>,  	 D2 --    1/8th( 62) <      > 	V 64 - M 31	=+33  %+52  	q= +2  %+3  	 0.366(83)<-----%52   %3

printNotes: i= 98-<2657 2725 -68>,  	 A2 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(83)
printNotes: i= 99-<2540 2537   3>,  	 G2 --   1/8th.( 93) <      > 	V 82 - M125	=-43  %-52  	q=-11  %-13  	 0.470(83)<-----%52   %13

printNotes: i= 100-<2303 2325 -22>,  	 F2 --   1/32nd( 16) <      > 	V 16 - M 31	=-15  %-94  	q=  +  %+0  	 0.087(83)<-----%94   %0 <<

printNotes: i= 101-<2381 2537 -156>,  	 G2 --   1/64th(  8) <      > 	V 10 - M 31	=-21  %-210  	q= +2  %+20  	 0.052(83)<-----%210   %20 <<

printNotes: i= 102-<2286 2325 -39>,  	 F2 --  1/16th.( 47) <      > 	V 43 - M 62	=-19  %-44  	q= -4  %-9  	 0.244(83)<-----%44   %9

printNotes: i= 103-<2341 2325  16>,  	 F2 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(83)<-- same note
printNotes: i= 104-<2536 2537  -1>,  	 G2 --   1/16th( 31) <      > 	V 35 - M 31	= +4  %+11  	q= +4  %+11  	 0.197(83)
printNotes: i= 105-<2332 2325   7>,  	 F2 --    1/4th(125) <1*sela> 	V148 - M187	=-39  %-26  	q=+23  %+16  	 0.853(83)<-----%26   %16

printNotes: i= 106-<2077 2173 -96>,  	Ek2 --    1/8th( 62) <      > 	V 70 - M 62	= +8  %+11  	q= +8  %+11  	 0.401(83)


silence
printNotes: i= 107-< 120   40  80>,  	Slc --   1/16th( 31) <      > 	V 35 - M 16	=+19  %+54  	q= +4  %+11  	 0.197(83)<-----%54   %11

printNotes: i= 108-<2034 2173 -139>,  	Ek2 --  1/64th.( 12) <      > 	V 11 - M 62	=-51  %-464  	q= -1  %-9  	 0.058(83)<-----%464   %9 <<

printNotes: i= 109-<2373 2325  48>,  	 F2 --  1/64th.( 12) <      > 	V 11 - M 31	=-20  %-182  	q= -1  %-9  	 0.058(83)<-----%182   %9 <<

