	voice Midi Diff								present		 Best		Sec

printNotes: i= 55-<1485 1481   4>,  	 G2 --   1/16th( 34) <      > 	V 32 - M 34	= -2  %-6  	q= -2  %-6  	 0.180(76)
printNotes: i= 56-<1632 1608  24>,  	Ak2 --   1/32nd( 17) <      > 	V 19 - M 34	=-15  %-79  	q= +2  %+11  	 0.104(76)<-----%79   %11

printNotes: i= 57-<1501 1481  20>,  	 G2 --   1/16th( 34) <      > 	V 36 - M 68	=-32  %-89  	q= +2  %+6  	 0.203(76)<-----%89   %6

printNotes: i= 58-<1611 1608   3>,  	Ak2 --  1/16th.( 51) <      > 	V 51 - M 34	=+17  %+33  	q=  +  %+0  	 0.290(76)<-----%33   %0

printNotes: i= 59-<1516 1481  35>,  	 G2 --  1/32nd.( 26) <      > 	V 23 - M 34	=-11  %-48  	q= -3  %-13  	 0.128(76)<-----%48   %13

printNotes: i= 60-<1742 1743  -1>,  	Bb2 --    1/4th(136) <      > 	V151 - M136	=+15  %+10  	q=+15  %+10  	 0.871(76)
printNotes: i= 61-<1928 1962 -34>,  	 C3 -- 1/16th..( 60) <      > 	V 62 - M 34	=+28  %+45  	q= +2  %+3  	 0.354(76)<-----%45   %3

printNotes: i= 62-<1756 1743  13>,  	Bb2 -- 1/32nd..( 30) <      > 	V 31 - M 34	= -3  %-10  	q= +1  %+3  	 0.174(76)<-----%10   %3

printNotes: i= 63-<1538 1608 -70>,  	Ak2 -- 1/32nd..( 30) <      > 	V 30 - M 34	= -4  %-13  	q=  +  %+0  	 0.168(76)<-----%13   %0

printNotes: i= 64-<1492 1481  11>,  	 G2 --  1/16th.( 51) <      > 	V 45 - M 51	= -6  %-13  	q= -6  %-13  	 0.255(76)
printNotes: i= 65-<1300 1282  18>,  	 F2 --   1/8th.(102) <      > 	V 89 - M 34	=+55  %+62  	q=-13  %-15  	 0.511(76)<-----%62   %15



silence
printNotes: i= 66-<   0   40 -40>,  	Slc --   half..(477) <      > 	V474 - M511	=-37  %-8  	q= -3  %-1  	 2.746(76)
printNotes: i= 67-<1516 2252 -736>,  	Eb3 --   1/16th( 34) <      > 	V 34 - M 34	=  +  %+0  	q=  +  %+0  	 0.192(76)
printNotes: i= 68-<2094 2154 -60>,  	 D3 --  1/16th.( 51) <      > 	V 48 - M 34	=+14  %+29  	q= -3  %-6  	 0.273(76)<-----%29   %6

printNotes: i= 69-<1725 2252 -527>,  	Eb3 --  1/64th.( 13) <      > 	V 12 - M 34	=-22  %-183  	q= -1  %-8  	 0.064(76)<-----%183   %8 <<

printNotes: i= 70-<2064 2154 -90>,  	 D3 --   1/16th( 34) <      > 	V 36 - M 34	= +2  %+6  	q= +2  %+6  	 0.203(76)
printNotes: i= 71-<1956 1962  -6>,  	 C3 --  1/8th..(119) <      > 	V126 - M102	=+24  %+19  	q= +7  %+6  	 0.726(76)<-----%19   %6

printNotes: i= 72-<1888 1743 145>,  	Bb2 --  1/32nd.( 26) <      > 	V 26 - M 34	= -8  %-31  	q=  +  %+0  	 0.145(76)<-----%31   %0

printNotes: i= 73-<1138 1962 -824>,  	 C3 --    1/8th( 68) <      > 	V 75 - M 34	=+41  %+55  	q= +7  %+9  	 0.430(76)<-----%55   %9

printNotes: i= 74-<2146 2154  -8>,  	 D3 --   1/16th( 34) <      > 	V 40 - M 68	=-28  %-70  	q= +6  %+15  	 0.226(76)<-----%70   %15

printNotes: i= 75-<2227 2252 -25>,  	Eb3 --  1/32nd.( 26) <      > 	V 23 - M 34	=-11  %-48  	q= -3  %-13  	 0.128(76)<-----%48   %13

printNotes: i= 76-<2147 2154  -7>,  	 D3 --   1/16th( 34) <      > 	V 38 - M 34	= +4  %+11  	q= +4  %+11  	 0.215(76)
printNotes: i= 77-<2213 2252 -39>,  	Eb3 --   1/32nd( 17) <      > 	V 18 - M 34	=-16  %-89  	q= +1  %+6  	 0.099(76)<-----%89   %6

