	voice Midi Diff								present		 Best		Sec

printNotes: i= 103-<1612 1604   8>,  	Ak2 --   1/16th( 34) <      > 	V 33 - M 34	= -1  %-3  	q= -1  %-3  	 0.186(75)
printNotes: i= 104-<1479 1472   7>,  	 G2 --  1/32nd.( 26) <      > 	V 26 - M 17	= +9  %+35  	q=  +  %+0  	 0.145(75)<-----%35   %0

printNotes: i= 105-<1638 1604  34>,  	Ak2 --   1/32nd( 17) <      > 	V 19 - M 17	= +2  %+11  	q= +2  %+11  	 0.104(75)
printNotes: i= 106-<1479 1472   7>,  	 G2 -- 1/32nd..( 30) <      > 	V 28 - M 17	=+11  %+39  	q= -2  %-7  	 0.157(75)<-----%39   %7

printNotes: i= 107-<1651 1604  47>,  	Ak2 --   1/32nd( 17) <      > 	V 18 - M 17	= +1  %+6  	q= +1  %+6  	 0.099(75)
printNotes: i= 108-<1452 1472 -20>,  	 G2 --   1/16th( 34) <      > 	V 33 - M 34	= -1  %-3  	q= -1  %-3  	 0.186(75)
printNotes: i= 109-<1251 1264 -13>,  	 F2 --   1/32nd( 17) <      > 	V 20 - M 17	= +3  %+15  	q= +3  %+15  	 0.110(75)
printNotes: i= 110-<1457 1472 -15>,  	 G2 --  1/32nd.( 26) <      > 	V 23 - M 17	= +6  %+26  	q= -3  %-13  	 0.128(75)<-----%26   %13

printNotes: i= 111-<1311 1264  47>,  	 F2 -- 1/32nd..( 30) <      > 	V 31 - M 17	=+14  %+45  	q= +1  %+3  	 0.174(75)<-----%45   %3

printNotes: i= 112-<1456 1472 -16>,  	 G2 --   1/32nd( 17) <      > 	V 18 - M 17	= +1  %+6  	q= +1  %+6  	 0.099(75)
printNotes: i= 113-<1262 1264  -2>,  	 F2 --   1/16th( 34) <      > 	V 42 - M 34	= +8  %+19  	q= +8  %+19  	 0.238(75)
printNotes: i= 114-<1454 1472 -18>,  	 G2 --    1/8th( 69) <      > 	V 70 - M 69	= +1  %+1  	q= +1  %+1  	 0.401(75)
printNotes: i= 115-<1565 1554  11>,  	Ab2 --  1/32nd.( 26) <      > 	V 26 - M 34	= -8  %-31  	q=  +  %+0  	 0.145(75)<-----%31   %0

printNotes: i= 116-<1484 1472  12>,  	 G2 --  1/16th.( 51) <      > 	V 50 - M 34	=+16  %+32  	q= -1  %-2  	 0.284(75)<-----%32   %2

printNotes: i= 117-<1268 1264   4>,  	 F2 --  1/16th.( 51) <      > 	V 55 - M 34	=+21  %+38  	q= +4  %+7  	 0.313(75)<-----%38   %7



silence
printNotes: i= 118-<   0   40 -40>,  	Slc --   1/4th.(206) <      > 	V216 - M137	=+79  %+37  	q=+10  %+5  	 1.248(75)<-----%37   %5

printNotes: i= 119-<1158 1264 -106>,  	 F2 --  1/16th.( 51) <      > 	V 45 - M 69	=-24  %-53  	q= -6  %-13  	 0.255(75)<-----%53   %13

printNotes: i= 120-<1630 1743 -113>,  	Bb2 --  1/32nd.( 26) <      > 	V 23 - M 34	=-11  %-48  	q= -3  %-13  	 0.128(75)<-----%48   %13

printNotes: i= 121-<1632 1604  28>,  	Ak2 --   1/16th( 34) <      > 	V 34 - M 34	=  +  %+0  	q=  +  %+0  	 0.192(75)
printNotes: i= 122-<1013 1743 -730>,  	Bb2 -- 1/16th..( 60) <      > 	V 56 - M 34	=+22  %+39  	q= -4  %-7  	 0.319(75)<-----%39   %7

printNotes: i= 123-<1952 1957  -5>,  	 C3 --  1/64th.( 13) <      > 	V 12 - M 34	=-22  %-183  	q= -1  %-8  	 0.064(75)<-----%183   %8 <<

printNotes: i= 124-<1016 1743 -727>,  	Bb2 --  1/16th.( 51) <      > 	V 55 - M 34	=+21  %+38  	q= +4  %+7  	 0.313(75)<-----%38   %7

printNotes: i= 125-<1617 1604  13>,  	Ak2 -- 1/64th..( 15) <      > 	V 15 - M 34	=-19  %-127  	q=  +  %+0  	 0.081(75)<-----%127   %0 <<

