	voice Midi Diff								present		 Best		Sec

printNotes: i= 61-<2465 2462   3>,  	 F3 --  1/4th..(224) <      > 	V236 - M256	=-20  %-8  	q=+12  %+5  	 1.364(81)<-----%8   %5

printNotes: i= 62-<2391 2355  36>,  	 E3 --   1/16th( 32) <      > 	V 35 - M 64	=-29  %-83  	q= +3  %+9  	 0.197(81)<-----%83   %9

printNotes: i= 63-<2573 2681 -108>,  	 G3 --   1/16th( 32) <      > 	V 31 - M 32	= -1  %-3  	q= -1  %-3  	 0.174(81)
printNotes: i= 64-<2019 2462 -443>,  	 F3 --  1/32nd.( 24) <      > 	V 23 - M  8	=+15  %+65  	q= -1  %-4  	 0.128(81)<-----%65   %4

printNotes: i= 65-<2612 2681 -69>,  	 G3 --  1/64th.( 12) <      > 	V 11 - M  8	= +3  %+27  	q= -1  %-9  	 0.058(81)<-----%27   %9 <<

printNotes: i= 66-<2477 2462  15>,  	 F3 --   1/16th( 32) <      > 	V 33 - M 32	= +1  %+3  	q= +1  %+3  	 0.186(81)
printNotes: i= 67-<2309 2270  39>,  	Eb3 --   1/32nd( 16) <      > 	V 19 - M 16	= +3  %+16  	q= +3  %+16  	 0.104(81)
printNotes: i= 68-<2454 2462  -8>,  	 F3 --  1/32nd.( 24) <      > 	V 20 - M 16	= +4  %+20  	q= -4  %-20  	 0.110(81)
printNotes: i= 69-<2302 2270  32>,  	Eb3 -- 1/32nd..( 28) <      > 	V 29 - M 16	=+13  %+45  	q= +1  %+3  	 0.163(81)<-----%45   %3

printNotes: i= 70-<2431 2462 -31>,  	 F3 -- 1/64th..( 14) <      > 	V 15 - M 16	= -1  %-7  	q= +1  %+7  	 0.081(81)
printNotes: i= 71-<2191 2185   6>,  	 D3 --   1/16th( 32) <      > 	V 32 - M 16	=+16  %+50  	q=  +  %+0  	 0.180(81)<-----%50   %0

printNotes: i= 72-<2386 2270 116>,  	Eb3 --   1/32nd( 16) <      > 	V 19 - M 16	= +3  %+16  	q= +3  %+16  	 0.104(81)
printNotes: i= 73-<2190 2185   5>,  	 D3 --   1/16th( 32) <      > 	V 30 - M 16	=+14  %+47  	q= -2  %-7  	 0.168(81)<-----%47   %7

printNotes: i= 74-<2307 2270  37>,  	Eb3 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(81)
printNotes: i= 75-<1987 1972  15>,  	 C3 --   1/16th( 32) <      > 	V 32 - M 16	=+16  %+50  	q=  +  %+0  	 0.180(81)<-----%50   %0

printNotes: i= 76-<2221 2185  36>,  	 D3 --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(81)
printNotes: i= 77-<1962 1972 -10>,  	 C3 --   1/16th( 32) <      > 	V 37 - M 32	= +5  %+14  	q= +5  %+14  	 0.209(81)
printNotes: i= 78-<2185 2185    >,  	 D3 --    1/8th( 64) <      > 	V 76 - M 96	=-20  %-26  	q=+12  %+16  	 0.435(81)<-----%26   %16

printNotes: i= 79-<2246 2270 -24>,  	Eb3 -- 1/32nd..( 28) <      > 	V 26 - M 32	= -6  %-23  	q= -2  %-8  	 0.145(81)<-----%23   %8

printNotes: i= 80-<2187 2185   2>,  	 D3 --  1/16th.( 48) <      > 	V 46 - M 64	=-18  %-39  	q= -2  %-4  	 0.261(81)<-----%39   %4

printNotes: i= 81-<2253 2270 -17>,  	Eb3 -- 1/32nd..( 28) <      > 	V 29 - M 32	= -3  %-10  	q= +1  %+3  	 0.163(81)<-----%10   %3

printNotes: i= 82-<2191 2185   6>,  	 D3 -- 1/16th..( 56) <      > 	V 57 - M 32	=+25  %+44  	q= +1  %+2  	 0.325(81)<-----%44   %2

printNotes: i= 83-<1904 1972 -68>,  	 C3 --     half(256) <      > 	V253 - M192	=+61  %+24  	q= -3  %-1  	 1.463(81)<-----%24   %1



silence
printNotes: i= 84-<   0   40 -40>,  	Slc --   2whole(1026) <-3*sela> 	V970 - M962	= +8  %+1  	q=-56  %-6  	 5.625(81)
printNotes: i= 85-<1833 1972 -139>,  	 C3 --  1/32nd.( 24) <      > 	V 21 - M 32	=-11  %-52  	q= -3  %-14  	 0.116(81)<-----%52   %14

printNotes: i= 86-<1052 2462 -1410>,  	 F3 -- 1/16th..( 56) <      > 	V 55 - M 32	=+23  %+42  	q= -1  %-2  	 0.313(81)<-----%42   %2

printNotes: i= 87-<1884 2355 -471>,  	 E3 --  1/32nd.( 24) <      > 	V 21 - M 16	= +5  %+24  	q= -3  %-14  	 0.116(81)<-----%24   %14

