	voice Midi Diff								present		 Best		Sec

printNotes: i= 49-<1470 1473  -3>,  	 G2 --  1/16th.( 49) <      > 	V 52 - M 44	= +8  %+15  	q= +3  %+6  	 0.296(79)<-----%15   %6

printNotes: i= 50-<1284 1273  11>,  	 F2 --  1/16th.( 49) <      > 	V 51 - M 33	=+18  %+35  	q= +2  %+4  	 0.290(79)<-----%35   %4



silence
printNotes: i= 51-<   0   40 -40>,  	Slc --     half(261) <      > 	V275 - M229	=+46  %+17  	q=+14  %+5  	 1.591(79)<-----%17   %5

printNotes: i= 52-<1258 1273 -15>,  	 F2 -- 1/32nd..( 29) <      > 	V 29 - M 33	= -4  %-14  	q=  +  %+0  	 0.163(79)<-----%14   %0

printNotes: i= 53-<1461 1473 -12>,  	 G2 -- 1/32nd..( 29) <      > 	V 28 - M 33	= -5  %-18  	q= -1  %-4  	 0.157(79)<-----%18   %4

printNotes: i= 54-<1613 1602  11>,  	Ak2 -- 1/32nd..( 29) <      > 	V 27 - M 33	= -6  %-22  	q= -2  %-7  	 0.151(79)<-----%22   %7

printNotes: i= 55-<1736 1743  -7>,  	Bb2 --  1/16th.( 49) <      > 	V 49 - M 33	=+16  %+33  	q=  +  %+0  	 0.279(79)<-----%33   %0

printNotes: i= 56-<1951 1958  -7>,  	 C3 --    half.(392) <-1*sela> 	V371 - M131	=+240  %+65  	q=-21  %-6  	 2.148(79)<-----%65   %6

printNotes: i= 57-< 770 1743 -973>,  	Bb2 --   1/32nd( 16) <      > 	V 20 - M 33	=-13  %-65  	q= +4  %+20  	 0.110(79)<-----%65   %20

printNotes: i= 58-<1997 1958  39>,  	 C3 --   1/64th(  8) <      > 	V 10 - M196	=-186  %-1860  	q= +2  %+20  	 0.052(79)<-----%1860   %20 <<

printNotes: i= 59-<2227 2279 -52>,  	Eb3 --   1/16th( 33) <      > 	V 32 - M 44	=-12  %-38  	q= -1  %-3  	 0.180(79)<-----%38   %3

printNotes: i= 60-<2181 2179   2>,  	 D3 --   1/16th( 33) <      > 	V 35 - M 44	= -9  %-26  	q= +2  %+6  	 0.197(79)<-----%26   %6

printNotes: i= 61-<1985 1958  27>,  	 C3 --   1/8th.( 98) <      > 	V 94 - M 44	=+50  %+53  	q= -4  %-4  	 0.540(79)<-----%53   %4



silence
printNotes: i= 62-<   0   40 -40>,  	Slc --    1/4th(131) <1*sela> 	V162 - M196	=-34  %-21  	q=+31  %+19  	 0.935(79)
printNotes: i= 63-<1619 1743 -124>,  	Bb2 --   1/16th( 33) <      > 	V 32 - M 16	=+16  %+50  	q= -1  %-3  	 0.180(79)<-----%50   %3

printNotes: i= 64-<2177 2279 -102>,  	Eb3 --  1/16th.( 49) <      > 	V 46 - M 33	=+13  %+28  	q= -3  %-7  	 0.261(79)<-----%28   %7

printNotes: i= 65-<2169 2179 -10>,  	 D3 --  1/16th.( 49) <      > 	V 41 - M 33	= +8  %+20  	q= -8  %-20  	 0.232(79)
printNotes: i= 66-<1971 1958  13>,  	 C3 --   1/32nd( 16) <      > 	V 18 - M 33	=-15  %-83  	q= +2  %+11  	 0.099(79)<-----%83   %11

printNotes: i= 67-<2134 2179 -45>,  	 D3 --   1/16th( 33) <      > 	V 38 - M 33	= +5  %+13  	q= +5  %+13  	 0.215(79)
printNotes: i= 68-<1937 1958 -21>,  	 C3 -- 1/32nd..( 29) <      > 	V 28 - M 33	= -5  %-18  	q= -1  %-4  	 0.157(79)<-----%18   %4

