	voice Midi Diff								present		 Best		Sec

printNotes: i= 58-<1930 1964 -34>,  	 C3 --   1/8th.(108) <      > 	V101 - M144	=-43  %-43  	q= -7  %-7  	 0.580(72)<-----%43   %7

printNotes: i= 59-<1567 1741 -174>,  	Bb2 --   1/8th.(108) <      > 	V 93 - M 54	=+39  %+42  	q=-15  %-16  	 0.534(72)<-----%42   %16

printNotes: i= 60-<1622 1611  11>,  	Ak2 --    128th(  4) <      > 	V  4 - M 36	=-32  %-800  	q=  +  %+0  	 0.017(72)<-----%800   %0 <<

printNotes: i= 61-<1493 1477  16>,  	 G2 --   1/32nd( 18) <      > 	V 20 - M 36	=-16  %-80  	q= +2  %+10  	 0.110(72)<-----%80   %10

printNotes: i= 62-<1607 1611  -4>,  	Ak2 --  1/32nd.( 27) <      > 	V 25 - M 36	=-11  %-44  	q= -2  %-8  	 0.139(72)<-----%44   %8

printNotes: i= 63-<1392 1477 -85>,  	 G2 --   1/8th.(108) <      > 	V103 - M 72	=+31  %+30  	q= -5  %-5  	 0.592(72)<-----%30   %5



silence
printNotes: i= 64-<   0   40 -40>,  	Slc --    1/8th( 72) <      > 	V 79 - M 72	= +7  %+9  	q= +7  %+9  	 0.453(72)
printNotes: i= 65-<1367 1964 -597>,  	 C3 -- 1/32nd..( 31) <      > 	V 29 - M 36	= -7  %-24  	q= -2  %-7  	 0.163(72)<-----%24   %7

printNotes: i= 66-<1421 1741 -320>,  	Bb2 --   1/16th( 36) <      > 	V 39 - M 36	= +3  %+8  	q= +3  %+8  	 0.221(72)
printNotes: i= 67-<1976 1964  12>,  	 C3 --   1/16th( 36) <      > 	V 42 - M 36	= +6  %+14  	q= +6  %+14  	 0.238(72)
printNotes: i= 68-<1756 1741  15>,  	Bb2 --    1/8th( 72) <      > 	V 89 - M144	=-55  %-62  	q=+17  %+19  	 0.511(72)<-----%62   %19

