	voice Midi Diff								present		 Best		Sec

printNotes: i= 58-<   0   40 -40>,  	Slc --   2whole(1070) <2*sela> 	V1109 - M1070	=+39  %+4  	q=+39  %+4  	 6.432(77)
printNotes: i= 59-<2185 2653 -468>,  	Bb2 -- 1/16th..( 59) <      > 	V 55 - M 50	= +5  %+9  	q= -4  %-7  	 0.313(77)
printNotes: i= 60-<1668 2587 -919>,  	 A2 --  1/16th.( 50) <      > 	V 53 - M 33	=+20  %+38  	q= +3  %+6  	 0.302(77)<-----%38   %6

printNotes: i= 61-<2651 2653  -2>,  	Bb2 --  1/16th.( 50) <      > 	V 48 - M 50	= -2  %-4  	q= -2  %-4  	 0.273(77)
printNotes: i= 62-<2083 2587 -504>,  	 A2 --   1/4th.(201) <-1*sela> 	V180 - M134	=+46  %+26  	q=-21  %-12  	 1.039(77)<-----%26   %12

printNotes: i= 63-<1633 2653 -1020>,  	Bb2 --  1/32nd.( 25) <      > 	V 26 - M 33	= -7  %-27  	q= +1  %+4  	 0.145(77)<-----%27   %4

printNotes: i= 64-<2383 2587 -204>,  	 A2 --    1/8th( 67) <      > 	V 65 - M 33	=+32  %+49  	q= -2  %-3  	 0.372(77)<-----%49   %3

printNotes: i= 65-<1184 2587 -1403>,  	 A2 --    1/8th( 67) <      > 	V 67 - M 67	=  +  %+0  	q=  +  %+0  	 0.383(77)<-- same note
printNotes: i= 66-<2657 2653   4>,  	Bb2 --   1/16th( 33) <      > 	V 38 - M 67	=-29  %-76  	q= +5  %+13  	 0.215(77)<-----%76   %13

printNotes: i= 67-<2584 2587  -3>,  	 A2 -- 1/16th..( 59) <      > 	V 55 - M100	=-45  %-82  	q= -4  %-7  	 0.313(77)<-----%82   %7

printNotes: i= 68-<2641 2653 -12>,  	Bb2 --  1/16th.( 50) <      > 	V 43 - M 33	=+10  %+23  	q= -7  %-16  	 0.244(77)<-----%23   %16

printNotes: i= 69-<2669 2887 -218>,  	 C3 --   128th.(  6) <      > 	V  6 - M 17	=-11  %-183  	q=  +  %+0  	 0.029(77)<-----%183   %0 <<



silence
printNotes: i= 70-<   0   40 -40>,  	Slc --    1/4th(134) <1*sela> 	V152 - M134	=+18  %+12  	q=+18  %+12  	 0.877(77)
printNotes: i= 71-<1491 2653 -1162>,  	Bb2 --   1/32nd( 17) <      > 	V 17 - M 17	=  +  %+0  	q=  +  %+0  	 0.093(77)
printNotes: i= 72-<2459 2587 -128>,  	 A2 --  1/8th..(117) <      > 	V117 - M 50	=+67  %+57  	q=  +  %+0  	 0.673(77)<-----%57   %0

printNotes: i= 73-<2650 2653  -3>,  	Bb2 -- 1/32nd..( 29) <      > 	V 29 - M 33	= -4  %-14  	q=  +  %+0  	 0.163(77)<-----%14   %0

printNotes: i= 74-<2591 2587   4>,  	 A2 -- 1/32nd..( 29) <      > 	V 28 - M 33	= -5  %-18  	q= -1  %-4  	 0.157(77)<-----%18   %4

printNotes: i= 75-<2661 2653   8>,  	Bb2 --   1/8th.(100) <      > 	V 88 - M117	=-29  %-33  	q=-12  %-14  	 0.505(77)<-----%33   %14

