	voice Midi Diff								present		 Best		Sec

i= 60--<2824 2797  27>,   	Bb2 -- 1/32nd..( 24) <      > 	V 25 - M 25	=  +  %+0  	q= +1  %+4  	 0.139(94)
i= 61--<2954 3019 -65>,   	 C3 --    128th(  3) <      > 	V  4 - M  4	=  +  %+0  	q= +1  %+25  	 0.017(94)
i= 62--<2667 2797 -130>,   	Bb2 --  1/32nd.( 20) <      > 	V 19 - M 21	= -2  %-11  	q= -1  %-5  	 0.104(94)
i= 63--<3002 3019 -17>,   	 C3 --  1/16th.( 41) <      > 	V 36 - M 28	= +8  %+22  	q= -5  %-14  	 0.203(94)<-----%22   %14

i= 64--<2692 2653  39>,   	Ak2 --  1/32nd.( 20) <      > 	V 18 - M 14	= +4  %+22  	q= -2  %-11  	 0.099(94)<-----%22   %11

i= 65--<2801 2797   4>,   	Bb2 --   1/4th.(165) <      > 	V172 - M166	= +6  %+3  	q= +7  %+4  	 0.993(94)
i= 66--<2533 2519  14>,   	 G2 -- 1/64th..( 12) <      > 	V 12 - M 11	= +1  %+8  	q=  +  %+0  	 0.064(94)
i= 67--<2517 2653 -136>,   	Ak2 --    1/8th( 55) <      > 	V 53 - M 49	= +4  %+8  	q= -2  %-4  	 0.302(94)
i= 68--<2456 2519 -63>,   	 G2 --    1/8th( 55) <      > 	V 64 - M 56	= +8  %+12  	q= +9  %+14  	 0.366(94)
i= 69--<2821 2797  24>,   	Bb2 -- 1/32nd..( 24) <      > 	V 25 - M 25	=  +  %+0  	q= +1  %+4  	 0.139(94)
i= 70--<2945 3019 -74>,   	 C3 --  1/64th.( 10) <      > 	V 10 - M 11	= -1  %-10  	q=  +  %+0  	 0.052(94)
i= 71--<2672 2653  19>,   	Ak2 --   1/16th( 27) <      > 	V 30 - M 28	= +2  %+7  	q= +3  %+10  	 0.168(94)
i= 72--<2831 2797  34>,   	Bb2 --  1/32nd.( 20) <      > 	V 17 - M 14	= +3  %+18  	q= -3  %-18  	 0.093(94)
i= 73--<2665 2653  12>,   	Ak2 --  1/16th.( 41) <      > 	V 38 - M 28	=+10  %+26  	q= -3  %-8  	 0.215(94)<-----%26   %8

i= 74--<2787 2797 -10>,   	Bb2 --   1/32nd( 13) <      > 	V 14 - M 14	=  +  %+0  	q= +1  %+7  	 0.075(94)
i= 75--<2519 2519    >,   	 G2 --  1/16th.( 41) <      > 	V 35 - M 28	= +7  %+20  	q= -6  %-17  	 0.197(94)
i= 76--<2726 2797 -71>,   	Bb2 -- 1/64th..( 12) <      > 	V 12 - M 11	= +1  %+8  	q=  +  %+0  	 0.064(94)
i= 77--<2523 2519   4>,   	 G2 --    1/8th( 55) <      > 	V 60 - M 56	= +4  %+7  	q= +5  %+8  	 0.342(94)
i= 78--<2650 2653  -3>,   	Ak2 --  1/8th..( 96) <      > 	V101 - M 97	= +4  %+4  	q= +5  %+5  	 0.580(94)
i= 79--<2518 2519  -1>,   	 G2 --  1/8th..( 96) <      > 	V100 - M 97	= +3  %+3  	q= +4  %+4  	 0.575(94)
i= 80--<2328 2318  10>,   	 F2 --   1/32nd( 13) <      > 	V 14 - M 14	=  +  %+0  	q= +1  %+7  	 0.075(94)
i= 81--<2406 2519 -113>,   	 G2 --     half(220) <      > 	V219 - M166	=+53  %+24  	q= -1  %-0  	 1.265(94)<-----%24   %0



silence
i= 82--<   0   40 -40>,   	Slc --    whole(440) <7*sela> 	V541 - M447	=+94  %+17  	q=+101  %+19  	 3.135(94)
