	voice Midi Diff								present		 Best		Sec

printNotes: i= 92-<2341 2352 -11>,  	 G2 -- 1/64th..( 14) <      > 	V 15 - M 16	= -1  %-7  	q= +1  %+7  	 0.081(82)
printNotes: i= 93-<2135 2141  -6>,  	 F2 --   1/32nd( 16) <      > 	V 18 - M 16	= +2  %+11  	q= +2  %+11  	 0.099(82)
printNotes: i= 94-<2249 2352 -103>,  	 G2 --   1/64th(  8) <      > 	V  8 - M 16	= -8  %-100  	q=  +  %+0  	 0.041(82)<-----%100   %0 <<

printNotes: i= 95-<2161 2141  20>,  	 F2 -- 1/32nd..( 28) <      > 	V 29 - M 32	= -3  %-10  	q= +1  %+3  	 0.163(82)<-----%10   %3

printNotes: i= 96-<1984 1990  -6>,  	Ek2 --  1/64th.( 12) <      > 	V 11 - M 16	= -5  %-45  	q= -1  %-9  	 0.058(82)<-----%45   %9 <<

printNotes: i= 97-<2042 2141 -99>,  	 F2 -- 1/64th..( 14) <      > 	V 15 - M 16	= -1  %-7  	q= +1  %+7  	 0.081(82)
printNotes: i= 98-<1997 1990   7>,  	Ek2 --  1/32nd.( 24) <      > 	V 25 - M 32	= -7  %-28  	q= +1  %+4  	 0.139(82)<-----%28   %4

printNotes: i= 99-<1910 1852  58>,  	 D2 --  1/64th.( 12) <      > 	V 12 - M 32	=-20  %-167  	q=  +  %+0  	 0.064(82)<-----%167   %0 <<

printNotes: i= 100-<2017 1990  27>,  	Ek2 --   1/16th( 32) <      > 	V 38 - M 32	= +6  %+16  	q= +6  %+16  	 0.215(82)
printNotes: i= 101-<1996 1990   6>,  	Ek2 --     half(253) <      > 	V253 - M253	=  +  %+0  	q=  +  %+0  	 1.463(82)<-- same note
printNotes: i= 102-<1929 1852  77>,  	 D2 --  1/64th.( 12) <      > 	V 12 - M 32	=-20  %-167  	q=  +  %+0  	 0.064(82)<-----%167   %0 <<

printNotes: i= 103-<2146 2141   5>,  	 F2 --     half(253) <      > 	V242 - M253	=-11  %-5  	q=-11  %-5  	 1.399(82)
printNotes: i= 104-<2130 2352 -222>,  	 G2 --    1/4th(127) <      > 	V133 - M 32	=+101  %+76  	q= +6  %+5  	 0.766(82)<-----%76   %5



silence
printNotes: i= 105-<   0   40 -40>,  	Slc --    1/8th( 63) <      > 	V 66 - M 63	= +3  %+5  	q= +3  %+5  	 0.377(82)
printNotes: i= 106-<1933 1652 281>,  	 C2 --  1/32nd.( 24) <      > 	V 21 - M 32	=-11  %-52  	q= -3  %-14  	 0.116(82)<-----%52   %14

printNotes: i= 107-<2497 2555 -58>,  	 A2 --  1/16th.( 48) <      > 	V 41 - M 48	= -7  %-17  	q= -7  %-17  	 0.232(82)
printNotes: i= 108-<2397 2352  45>,  	 G2 --  1/64th.( 12) <      > 	V 11 - M 16	= -5  %-45  	q= -1  %-9  	 0.058(82)<-----%45   %9 <<

printNotes: i= 109-<2594 2555  39>,  	 A2 --  1/64th.( 12) <      > 	V 12 - M 16	= -4  %-33  	q=  +  %+0  	 0.064(82)<-----%33   %0 <<

printNotes: i= 110-<2144 2352 -208>,  	 G2 -- 1/32nd..( 28) <      > 	V 27 - M 32	= -5  %-19  	q= -1  %-4  	 0.151(82)<-----%19   %4

printNotes: i= 111-<2147 2141   6>,  	 F2 --  1/64th.( 12) <      > 	V 12 - M 32	=-20  %-167  	q=  +  %+0  	 0.064(82)<-----%167   %0 <<

printNotes: i= 112-<2349 2352  -3>,  	 G2 --   1/8th.( 95) <-1*sela> 	V 79 - M127	=-48  %-61  	q=-16  %-20  	 0.453(82)<-----%61   %20

printNotes: i= 113-<2544 2555 -11>,  	 A2 --   1/16th( 32) <      > 	V 33 - M 32	= +1  %+3  	q= +1  %+3  	 0.186(82)
printNotes: i= 114-<2378 2352  26>,  	 G2 --   1/32nd( 16) <      > 	V 16 - M 32	=-16  %-100  	q=  +  %+0  	 0.087(82)<-----%100   %0 <<

printNotes: i= 115-<2524 2555 -31>,  	 A2 --  1/16th.( 48) <      > 	V 44 - M 32	=+12  %+27  	q= -4  %-9  	 0.250(82)<-----%27   %9

printNotes: i= 116-<2603 2632 -29>,  	Bb2 -- 1/64th..( 14) <      > 	V 15 - M 32	=-17  %-113  	q= +1  %+7  	 0.081(82)<-----%113   %7 <<

printNotes: i= 117-<2530 2555 -25>,  	 A2 --   1/16th( 32) <      > 	V 33 - M 32	= +1  %+3  	q= +1  %+3  	 0.186(82)
printNotes: i= 118-<2654 2632  22>,  	Bb2 -- 1/64th..( 14) <      > 	V 15 - M 32	=-17  %-113  	q= +1  %+7  	 0.081(82)<-----%113   %7 <<



silence
printNotes: i= 119-<  93   40  53>,  	Slc -- 1/32nd..( 28) <      > 	V 27 - M  8	=+19  %+70  	q= -1  %-4  	 0.151(82)<-----%70   %4

printNotes: i= 120-<2322 2555 -233>,  	 A2 --  1/32nd.( 24) <      > 	V 21 - M 32	=-11  %-52  	q= -3  %-14  	 0.116(82)<-----%52   %14

printNotes: i= 121-<2280 2352 -72>,  	 G2 --    half.(380) <-1*sela> 	V359 - M380	=-21  %-6  	q=-21  %-6  	 2.078(82)


silence
printNotes: i= 122-<   0   40 -40>,  	Slc --   whole.(760) <2*sela> 	V805 - M760	=+45  %+6  	q=+45  %+6  	 4.667(82)
printNotes: i= 123-<2482 2555 -73>,  	 A2 --    128th(  4) <      > 	V  1 - M 16	=-15  %-1500  	q= -3  %-300  	 0.000(82)<-----%1500   %300 <<

printNotes: i= 124-<2490 2352 138>,  	 G2 --   128th.(  6) <      > 	V  6 - M 32	=-26  %-433  	q=  +  %+0  	 0.029(82)<-----%433   %0 <<

printNotes: i= 125-<1355 2555 -1200>,  	 A2 --   1/32nd( 16) <      > 	V 19 - M 32	=-13  %-68  	q= +3  %+16  	 0.104(82)<-----%68   %16

