	voice Midi Diff								present		 Best		Sec

printNotes: i= 60-<2356 2362  -6>,  	 G2 --    1/4th(123) <      > 	V120 - M 92	=+28  %+23  	q= -3  %-2  	 0.691(84)<-----%23   %2

printNotes: i= 61-<1170 2152 -982>,  	 F2 --  1/8th..(108) <      > 	V102 - M 31	=+71  %+70  	q= -6  %-6  	 0.586(84)<-----%70   %6

printNotes: i= 62-<2221 2556 -335>,  	 A2 --   1/32nd( 15) <      > 	V 18 - M 15	= +3  %+17  	q= +3  %+17  	 0.099(84)
printNotes: i= 63-<2332 2362 -30>,  	 G2 --   1/8th.( 92) <      > 	V 87 - M123	=-36  %-41  	q= -5  %-6  	 0.499(84)<-----%41   %6

printNotes: i= 64-<2179 2152  27>,  	 F2 --  1/32nd.( 23) <      > 	V 20 - M 31	=-11  %-55  	q= -3  %-15  	 0.110(84)<-----%55   %15

printNotes: i= 65-<2343 2362 -19>,  	 G2 --   1/16th( 31) <      > 	V 33 - M 31	= +2  %+6  	q= +2  %+6  	 0.186(84)
printNotes: i= 66-<2160 2152   8>,  	 F2 --  1/8th..(108) <      > 	V111 - M154	=-43  %-39  	q= +3  %+3  	 0.639(84)<-----%39   %3

printNotes: i= 67-<2004 1992  12>,  	Ek2 --  1/16th.( 46) <      > 	V 48 - M 31	=+17  %+35  	q= +2  %+4  	 0.273(84)<-----%35   %4

printNotes: i= 68-<2021 1992  29>,  	Ek2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(84)<-- same note
printNotes: i= 69-<2331 2362 -31>,  	 G2 -- 1/16th..( 54) <      > 	V 52 - M 31	=+21  %+40  	q= -2  %-4  	 0.296(84)<-----%40   %4

printNotes: i= 70-<2183 2152  31>,  	 F2 --   1/32nd( 15) <      > 	V 17 - M 31	=-14  %-82  	q= +2  %+12  	 0.093(84)<-----%82   %12

printNotes: i= 71-<2358 2362  -4>,  	 G2 --  1/16th.( 46) <      > 	V 42 - M 46	= -4  %-10  	q= -4  %-10  	 0.238(84)
printNotes: i= 72-<2151 2152  -1>,  	 F2 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(84)
printNotes: i= 73-<2176 2362 -186>,  	 G2 --  1/64th.( 12) <      > 	V 11 - M 15	= -4  %-36  	q= -1  %-9  	 0.058(84)<-----%36   %9 <<

printNotes: i= 74-<2139 2152 -13>,  	 F2 --  1/32nd.( 23) <      > 	V 21 - M 15	= +6  %+29  	q= -2  %-10  	 0.116(84)<-----%29   %10

printNotes: i= 75-<2245 2362 -117>,  	 G2 --    128th(  4) <      > 	V  4 - M 15	=-11  %-275  	q=  +  %+0  	 0.017(84)<-----%275   %0 <<

printNotes: i= 76-<2153 2152   1>,  	 F2 --   1/16th( 31) <      > 	V 29 - M 31	= -2  %-7  	q= -2  %-7  	 0.163(84)
printNotes: i= 77-<1994 1992   2>,  	Ek2 --   1/32nd( 15) <      > 	V 18 - M 15	= +3  %+17  	q= +3  %+17  	 0.099(84)
printNotes: i= 78-<2100 2152 -52>,  	 F2 --    128th(  4) <      > 	V  4 - M 15	=-11  %-275  	q=  +  %+0  	 0.017(84)<-----%275   %0 <<

printNotes: i= 79-<1994 1992   2>,  	Ek2 --  1/32nd.( 23) <      > 	V 23 - M 15	= +8  %+35  	q=  +  %+0  	 0.128(84)<-----%35   %0

printNotes: i= 80-<2211 2152  59>,  	 F2 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(84)
printNotes: i= 81-<1993 1992   1>,  	Ek2 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(84)
printNotes: i= 82-<1848 1882 -34>,  	 D2 --  1/32nd.( 23) <      > 	V 21 - M 31	=-10  %-48  	q= -2  %-10  	 0.116(84)<-----%48   %10

printNotes: i= 83-<1685 1992 -307>,  	Ek2 --   1/8th.( 92) <      > 	V 87 - M 31	=+56  %+64  	q= -5  %-6  	 0.499(84)<-----%64   %6



silence
printNotes: i= 84-<   0   40 -40>,  	Slc --   2whole(983) <-3*sela> 	V932 - M952	=-20  %-2  	q=-51  %-5  	 5.404(84)
printNotes: i= 85-<1768 1882 -114>,  	 D2 --  1/4th..(215) <      > 	V213 - M123	=+90  %+42  	q= -2  %-1  	 1.231(84)<-----%42   %1

printNotes: i= 86-<1288 1882 -594>,  	 D2 --    1/4th(123) <      > 	V123 - M123	=  +  %+0  	q=  +  %+0  	 0.708(84)<-- same note
printNotes: i= 87-<2333 2362 -29>,  	 G2 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(84)
printNotes: i= 88-<2365 2362   3>,  	 G2 --     half(246) <2*sela> 	V281 - M307	=-26  %-9  	q=+35  %+12  	 1.625(84)<-- same note
printNotes: i= 89-<2165 2152  13>,  	 F2 --  1/16th.( 46) <      > 	V 48 - M 31	=+17  %+35  	q= +2  %+4  	 0.273(84)<-----%35   %4

printNotes: i= 90-<2331 2362 -31>,  	 G2 --   1/16th( 31) <      > 	V 37 - M 46	= -9  %-24  	q= +6  %+16  	 0.209(84)<-----%24   %16

printNotes: i= 91-<2189 2152  37>,  	 F2 --   1/16th( 31) <      > 	V 32 - M 31	= +1  %+3  	q= +1  %+3  	 0.180(84)
printNotes: i= 92-<2360 2362  -2>,  	 G2 --   1/8th.( 92) <      > 	V 91 - M 61	=+30  %+33  	q= -1  %-1  	 0.522(84)<-----%33   %1

printNotes: i= 93-<2161 2152   9>,  	 F2 --  1/8th..(108) <      > 	V114 - M123	= -9  %-8  	q= +6  %+5  	 0.656(84)
printNotes: i= 94-<2387 2362  25>,  	 G2 -- 1/16th..( 54) <      > 	V 51 - M 31	=+20  %+39  	q= -3  %-6  	 0.290(84)<-----%39   %6

printNotes: i= 95-<2545 2556 -11>,  	 A2 --  1/4th..(215) <      > 	V216 - M246	=-30  %-14  	q= +1  %+0  	 1.248(84)<-----%14   %0

printNotes: i= 96-<2326 2362 -36>,  	 G2 --    1/4th(123) <1*sela> 	V140 - M123	=+17  %+12  	q=+17  %+12  	 0.807(84)
printNotes: i= 97-<2367 2362   5>,  	 G2 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(84)<-- same note
printNotes: i= 98-<2554 2556  -2>,  	 A2 --  1/16th.( 46) <      > 	V 44 - M 46	= -2  %-5  	q= -2  %-5  	 0.250(84)
printNotes: i= 99-<2384 2362  22>,  	 G2 --   1/32nd( 15) <      > 	V 18 - M 15	= +3  %+17  	q= +3  %+17  	 0.099(84)
printNotes: i= 100-<2543 2556 -13>,  	 A2 -- 1/64th..( 13) <      > 	V 13 - M 15	= -2  %-15  	q=  +  %+0  	 0.070(84)<-----%15   %0 <<

printNotes: i= 101-<2369 2362   7>,  	 G2 -- 1/32nd..( 27) <      > 	V 25 - M 15	=+10  %+40  	q= -2  %-8  	 0.139(84)<-----%40   %8

printNotes: i= 102-<2527 2556 -29>,  	 A2 --  128th..(  7) <      > 	V  7 - M 15	= -8  %-114  	q=  +  %+0  	 0.035(84)<-----%114   %0 <<

printNotes: i= 103-<2371 2362   9>,  	 G2 -- 1/32nd..( 27) <      > 	V 27 - M 31	= -4  %-15  	q=  +  %+0  	 0.151(84)<-----%15   %0

printNotes: i= 104-<2125 2152 -27>,  	 F2 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(84)
printNotes: i= 105-<2344 2362 -18>,  	 G2 --  1/64th.( 12) <      > 	V 11 - M 15	= -4  %-36  	q= -1  %-9  	 0.058(84)<-----%36   %9 <<

printNotes: i= 106-<2144 2152  -8>,  	 F2 --  1/32nd.( 23) <      > 	V 21 - M 15	= +6  %+29  	q= -2  %-10  	 0.116(84)<-----%29   %10

printNotes: i= 107-<2277 2362 -85>,  	 G2 --   1/64th(  8) <      > 	V  8 - M 15	= -7  %-88  	q=  +  %+0  	 0.041(84)<-----%88   %0 <<

printNotes: i= 108-<2161 2152   9>,  	 F2 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(84)
printNotes: i= 109-<1999 1992   7>,  	Ek2 --   1/32nd( 15) <      > 	V 18 - M 15	= +3  %+17  	q= +3  %+17  	 0.099(84)
printNotes: i= 110-<2050 2152 -102>,  	 F2 --   128th.(  6) <      > 	V  6 - M 15	= -9  %-150  	q=  +  %+0  	 0.029(84)<-----%150   %0 <<

