	voice Midi Diff								present		 Best		Sec

printNotes: i= 68-<3119 2813 306>,  	 F3 --    1/4th(123) <      > 	V131 - M 92	=+39  %+30  	q= +8  %+6  	 0.755(84)<-----%30   %6

printNotes: i= 69-<2721 2700  21>,  	 E3 -- 1/64th..( 13) <      > 	V 13 - M 31	=-18  %-138  	q=  +  %+0  	 0.070(84)<-----%138   %0 <<

printNotes: i= 70-<3026 3029  -3>,  	 G3 --    1/8th( 61) <1*sela> 	V 76 - M 92	=-16  %-21  	q=+15  %+20  	 0.435(84)
printNotes: i= 71-<3094 3129 -35>,  	Ab3 --  1/64th.( 12) <      > 	V 11 - M 31	=-20  %-182  	q= -1  %-9  	 0.058(84)<-----%182   %9 <<

printNotes: i= 72-<3030 3029   1>,  	 G3 --  1/16th.( 46) <      > 	V 41 - M 31	=+10  %+24  	q= -5  %-12  	 0.232(84)<-----%24   %12

printNotes: i= 73-<2829 2813  16>,  	 F3 -- 1/32nd..( 27) <      > 	V 27 - M 15	=+12  %+44  	q=  +  %+0  	 0.151(84)<-----%44   %0

printNotes: i= 74-<4214 3029 1185>,  	 G3 -- 1/64th..( 13) <      > 	V 13 - M 15	= -2  %-15  	q=  +  %+0  	 0.070(84)<-----%15   %0 <<

printNotes: i= 75-<4045 2813 1232>,  	 F3 --  1/32nd.( 23) <      > 	V 23 - M 15	= +8  %+35  	q=  +  %+0  	 0.128(84)<-----%35   %0

printNotes: i= 76-<4139 3029 1110>,  	 G3 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(84)
printNotes: i= 77-<3917 2622 1295>,  	Eb3 --  1/32nd.( 23) <      > 	V 19 - M 15	= +4  %+21  	q= -4  %-21  	 0.104(84)
printNotes: i= 78-<4002 2813 1189>,  	 F3 -- 1/32nd..( 27) <      > 	V 25 - M 15	=+10  %+40  	q= -2  %-8  	 0.139(84)<-----%40   %8

printNotes: i= 79-<3889 2622 1267>,  	Eb3 --   1/16th( 31) <      > 	V 30 - M 15	=+15  %+50  	q= -1  %-3  	 0.168(84)<-----%50   %3

printNotes: i= 80-<4038 2813 1225>,  	 F3 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(84)
printNotes: i= 81-<2882 2534 348>,  	 D3 --  1/16th.( 46) <      > 	V 41 - M 31	=+10  %+24  	q= -5  %-12  	 0.232(84)<-----%24   %12

printNotes: i= 82-<2662 2622  40>,  	Eb3 --  1/64th.( 12) <      > 	V 12 - M 31	=-19  %-158  	q=  +  %+0  	 0.064(84)<-----%158   %0 <<

printNotes: i= 83-<2540 2534   6>,  	 D3 --  1/16th.( 46) <      > 	V 41 - M 31	=+10  %+24  	q= -5  %-12  	 0.232(84)<-----%24   %12

printNotes: i= 84-<2619 2622  -3>,  	Eb3 --   1/32nd( 15) <      > 	V 17 - M 31	=-14  %-82  	q= +2  %+12  	 0.093(84)<-----%82   %12

printNotes: i= 85-<2346 2333  13>,  	 C3 --   1/16th( 31) <      > 	V 37 - M 31	= +6  %+16  	q= +6  %+16  	 0.209(84)
printNotes: i= 86-<2599 2534  65>,  	 D3 -- 1/64th..( 13) <      > 	V 14 - M 31	=-17  %-121  	q= +1  %+7  	 0.075(84)<-----%121   %7 <<

printNotes: i= 87-<2330 2333  -3>,  	 C3 --  1/16th.( 46) <      > 	V 45 - M 61	=-16  %-36  	q= -1  %-2  	 0.255(84)<-----%36   %2

printNotes: i= 88-<2535 2534   1>,  	 D3 --    1/8th( 61) <      > 	V 61 - M 49	=+12  %+20  	q=  +  %+0  	 0.348(84)<-----%20   %0

printNotes: i= 89-<2607 2622 -15>,  	Eb3 -- 1/32nd..( 27) <      > 	V 28 - M 49	=-21  %-75  	q= +1  %+4  	 0.157(84)<-----%75   %4

printNotes: i= 90-<2540 2534   6>,  	 D3 --  1/16th.( 46) <      > 	V 45 - M 49	= -4  %-9  	q= -1  %-2  	 0.255(84)<-----%9   %2

printNotes: i= 91-<2618 2622  -4>,  	Eb3 --   1/16th( 31) <      > 	V 38 - M 49	=-11  %-29  	q= +7  %+18  	 0.215(84)<-----%29   %18

printNotes: i= 92-<2540 2534   6>,  	 D3 --  1/16th.( 46) <      > 	V 39 - M 25	=+14  %+36  	q= -7  %-18  	 0.221(84)<-----%36   %18

printNotes: i= 93-<2650 2622  28>,  	Eb3 --   1/32nd( 15) <      > 	V 16 - M 25	= -9  %-56  	q= +1  %+6  	 0.087(84)<-----%56   %6 <<

printNotes: i= 94-<2337 2333   4>,  	 C3 --  1/4th..(215) <      > 	V217 - M123	=+94  %+43  	q= +2  %+1  	 1.254(84)<-----%43   %1



silence
printNotes: i= 95-<   0   40 -40>,  	Slc --   whole.(736) <      > 	V731 - M798	=-67  %-9  	q= -5  %-1  	 4.238(84)<-----%9   %1

printNotes: i= 96-<2111 2115  -4>,  	Bb2 --  1/16th.( 46) <      > 	V 41 - M 41	=  +  %+0  	q= -5  %-12  	 0.232(84)
printNotes: i= 97-<2341 2333   8>,  	 C3 --  1/16th.( 46) <      > 	V 46 - M 41	= +5  %+11  	q=  +  %+0  	 0.261(84)<-----%11   %0

printNotes: i= 98-<2514 2534 -20>,  	 D3 --  1/16th.( 46) <      > 	V 45 - M 41	= +4  %+9  	q= -1  %-2  	 0.255(84)<-----%9   %2

printNotes: i= 99-<2624 2622   2>,  	Eb3 --    1/4th(123) <1*sela> 	V146 - M153	= -7  %-5  	q=+23  %+16  	 0.842(84)
printNotes: i= 100-<1394 2333 -939>,  	 C3 --  1/32nd.( 23) <      > 	V 22 - M 31	= -9  %-41  	q= -1  %-5  	 0.122(84)<-----%41   %5

printNotes: i= 101-<2511 2534 -23>,  	 D3 --    half.(368) <-3*sela> 	V309 - M368	=-59  %-19  	q=-59  %-19  	 1.788(84)


silence
printNotes: i= 102-< 471   40 431>,  	Slc --    128th(  4) <      > 	V  5 - M  8	= -3  %-60  	q= +1  %+20  	 0.023(84)<-----%60   %20 <<

printNotes: i= 103-<2363 2333  30>,  	 C3 --  1/16th.( 46) <      > 	V 40 - M 41	= -1  %-2  	q= -6  %-15  	 0.226(84)
printNotes: i= 104-<2562 2534  28>,  	 D3 --  1/16th.( 46) <      > 	V 39 - M 41	= -2  %-5  	q= -7  %-18  	 0.221(84)
printNotes: i= 105-<2674 2700 -26>,  	 E3 --  1/16th.( 46) <      > 	V 42 - M 41	= +1  %+2  	q= -4  %-10  	 0.238(84)
printNotes: i= 106-<2816 2813   3>,  	 F3 --   1/4th.(184) <      > 	V197 - M153	=+44  %+22  	q=+13  %+7  	 1.138(84)<-----%22   %7

printNotes: i= 107-<2672 2534 138>,  	 D3 -- 1/64th..( 13) <      > 	V 13 - M 46	=-33  %-254  	q=  +  %+0  	 0.070(84)<-----%254   %0 <<

printNotes: i= 108-<2732 2700  32>,  	 E3 --     half(245) <      > 	V240 - M245	= -5  %-2  	q= -5  %-2  	 1.387(84)
printNotes: i= 109-<1063 2534 -1471>,  	 D3 --   1/16th( 31) <      > 	V 31 - M 41	=-10  %-32  	q=  +  %+0  	 0.174(84)<-----%32   %0

printNotes: i= 110-<2689 2700 -11>,  	 E3 --   1/16th( 31) <      > 	V 37 - M 41	= -4  %-11  	q= +6  %+16  	 0.209(84)
printNotes: i= 111-<2771 2813 -42>,  	 F3 -- 1/16th..( 54) <      > 	V 50 - M 41	= +9  %+18  	q= -4  %-8  	 0.284(84)<-----%18   %8

printNotes: i= 112-<3074 3029  45>,  	 G3 --   1/4th.(184) <      > 	V177 - M153	=+24  %+14  	q= -7  %-4  	 1.022(84)<-----%14   %4

printNotes: i= 113-<4038 2700 1338>,  	 E3 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(84)
printNotes: i= 114-<4025 2813 1212>,  	 F3 --    1/4th(123) <1*sela> 	V143 - M184	=-41  %-29  	q=+20  %+14  	 0.824(84)<-----%29   %14



silence
printNotes: i= 115-<   0   40 -40>,  	Slc --    1/4th(123) <1*sela> 	V150 - M184	=-34  %-23  	q=+27  %+18  	 0.865(84)<-----%23   %18

printNotes: i= 116-<2339 2333   6>,  	 C3 --   1/64th(  8) <      > 	V  8 - M 15	= -7  %-88  	q=  +  %+0  	 0.041(84)<-----%88   %0 <<

printNotes: i= 117-<2772 2813 -41>,  	 F3 -- 1/32nd..( 27) <      > 	V 28 - M 15	=+13  %+46  	q= +1  %+4  	 0.157(84)<-----%46   %4

printNotes: i= 118-<2713 2700  13>,  	 E3 --  1/32nd.( 23) <      > 	V 21 - M 46	=-25  %-119  	q= -2  %-10  	 0.116(84)<-----%119   %10

printNotes: i= 119-<2804 2813  -9>,  	 F3 --  1/16th.( 46) <      > 	V 41 - M 31	=+10  %+24  	q= -5  %-12  	 0.232(84)<-----%24   %12

printNotes: i= 120-<2599 3029 -430>,  	 G3 --  1/16th.( 46) <      > 	V 45 - M 61	=-16  %-36  	q= -1  %-2  	 0.255(84)<-----%36   %2

printNotes: i= 121-<2823 2700 123>,  	 E3 --  1/64th.( 12) <      > 	V 11 - M 31	=-20  %-182  	q= -1  %-9  	 0.058(84)<-----%182   %9 <<

printNotes: i= 122-<2847 2813  34>,  	 F3 --    128th(  4) <      > 	V  3 - M 15	=-12  %-400  	q= -1  %-33  	 0.012(84)<-----%400   %33 <<

printNotes: i= 123-<2980 3029 -49>,  	 G3 -- 1/64th..( 13) <      > 	V 13 - M 15	= -2  %-15  	q=  +  %+0  	 0.070(84)<-----%15   %0 <<

printNotes: i= 124-<2904 2813  91>,  	 F3 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(84)
printNotes: i= 125-<2917 3029 -112>,  	 G3 --   1/64th(  8) <      > 	V  8 - M 15	= -7  %-88  	q=  +  %+0  	 0.041(84)<-----%88   %0 <<

printNotes: i= 126-<2817 2813   4>,  	 F3 --  1/16th.( 46) <      > 	V 44 - M 15	=+29  %+66  	q= -2  %-5  	 0.250(84)<-----%66   %5

printNotes: i= 127-<2926 3029 -103>,  	 G3 --   128th.(  6) <      > 	V  6 - M 15	= -9  %-150  	q=  +  %+0  	 0.029(84)<-----%150   %0 <<

printNotes: i= 128-<2913 2813 100>,  	 F3 --  1/32nd.( 23) <      > 	V 24 - M 15	= +9  %+38  	q= +1  %+4  	 0.134(84)<-----%38   %4

printNotes: i= 129-<4231 3029 1202>,  	 G3 -- 1/64th..( 13) <      > 	V 14 - M 15	= -1  %-7  	q= +1  %+7  	 0.075(84)
printNotes: i= 130-<4018 2813 1205>,  	 F3 --    1/8th( 61) <      > 	V 73 - M 61	=+12  %+16  	q=+12  %+16  	 0.418(84)
