	voice Midi Diff								present		 Best		Sec

printNotes: i= 90-<1835 1845 -10>,  	 G2 --    1/8th( 58) <      > 	V 62 - M 58	= +4  %+6  	q= +4  %+6  	 0.354(88)
printNotes: i= 91-<1950 1975 -25>,  	Ak2 -- 1/64th..( 13) <      > 	V 14 - M 29	=-15  %-107  	q= +1  %+7  	 0.075(88)<-----%107   %7 <<

printNotes: i= 92-<1834 1845 -11>,  	 G2 --   1/16th( 29) <      > 	V 34 - M 44	=-10  %-29  	q= +5  %+15  	 0.192(88)<-----%29   %15

printNotes: i= 93-<1999 1975  24>,  	Ak2 --  1/8th..(102) <      > 	V 98 - M 58	=+40  %+41  	q= -4  %-4  	 0.563(88)<-----%41   %4



silence
printNotes: i= 94-<   0   40 -40>,  	Slc --    1/8th( 58) <      > 	V 72 - M 88	=-16  %-22  	q=+14  %+19  	 0.412(88)
printNotes: i= 95-<1894 1975 -81>,  	Ak2 --  1/16th.( 44) <      > 	V 41 - M 39	= +2  %+5  	q= -3  %-7  	 0.232(88)
printNotes: i= 96-<2094 2119 -25>,  	Bb2 -- 1/32nd..( 26) <      > 	V 24 - M 39	=-15  %-62  	q= -2  %-8  	 0.134(88)<-----%62   %8

printNotes: i= 97-<1981 1975   6>,  	Ak2 -- 1/32nd..( 26) <      > 	V 24 - M 39	=-15  %-62  	q= -2  %-8  	 0.134(88)<-----%62   %8

printNotes: i= 98-<2116 2119  -3>,  	Bb2 --   1/4th.(175) <-1*sela> 	V160 - M175	=-15  %-9  	q=-15  %-9  	 0.923(88)
printNotes: i= 99-<1154 1845 -691>,  	 G2 --   1/32nd( 15) <      > 	V 16 - M 29	=-13  %-81  	q= +1  %+6  	 0.087(88)<-----%81   %6 <<

printNotes: i= 100-<1651 1975 -324>,  	Ak2 --  1/16th.( 44) <      > 	V 41 - M 29	=+12  %+29  	q= -3  %-7  	 0.232(88)<-----%29   %7

printNotes: i= 101-<1820 1845 -25>,  	 G2 -- 1/32nd..( 26) <      > 	V 27 - M 29	= -2  %-7  	q= +1  %+4  	 0.151(88)
printNotes: i= 102-<1957 1975 -18>,  	Ak2 --  1/16th.( 44) <      > 	V 40 - M 29	=+11  %+28  	q= -4  %-10  	 0.226(88)<-----%28   %10

printNotes: i= 103-<1837 1845  -8>,  	 G2 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(88)
printNotes: i= 104-<1959 1975 -16>,  	Ak2 -- 1/64th..( 13) <      > 	V 14 - M 15	= -1  %-7  	q= +1  %+7  	 0.075(88)
printNotes: i= 105-<1825 1845 -20>,  	 G2 --  1/8th..(102) <      > 	V100 - M117	=-17  %-17  	q= -2  %-2  	 0.575(88)<-----%17   %2

printNotes: i= 106-<1950 1975 -25>,  	Ak2 --  1/8th..(102) <      > 	V104 - M117	=-13  %-12  	q= +2  %+2  	 0.598(88)<-----%12   %2

printNotes: i= 107-<2124 2119   5>,  	Bb2 --   1/8th.( 88) <      > 	V 92 - M117	=-25  %-27  	q= +4  %+4  	 0.528(88)<-----%27   %4

printNotes: i= 108-<2336 2334   2>,  	 C3 --   1/8th.( 88) <      > 	V 89 - M117	=-28  %-31  	q= +1  %+1  	 0.511(88)<-----%31   %1

printNotes: i= 109-<2527 2543 -16>,  	 D3 --   1/8th.( 88) <      > 	V 94 - M117	=-23  %-24  	q= +6  %+6  	 0.540(88)<-----%24   %6

printNotes: i= 110-<2676 2740 -64>,  	 E3 --   1/8th.( 88) <      > 	V 90 - M117	=-27  %-30  	q= +2  %+2  	 0.517(88)<-----%30   %2

printNotes: i= 111-<2808 2811  -3>,  	 F3 --   1/4th.(175) <-1*sela> 	V153 - M146	= +7  %+5  	q=-22  %-14  	 0.882(88)
printNotes: i= 112-<2746 2740   6>,  	 E3 --   1/32nd( 15) <      > 	V 16 - M 29	=-13  %-81  	q= +1  %+6  	 0.087(88)<-----%81   %6 <<

printNotes: i= 113-<2814 2811   3>,  	 F3 --     half(234) <      > 	V247 - M 88	=+159  %+64  	q=+13  %+5  	 1.428(88)<-----%64   %5



silence
printNotes: i= 114-<   0   40 -40>,  	Slc -- 1/32nd..( 26) <      > 	V 24 - M 88	=-64  %-267  	q= -2  %-8  	 0.134(88)<-----%267   %8

printNotes: i= 115-<2247 2334 -87>,  	 C3 --  1/16th.( 44) <      > 	V 42 - M 29	=+13  %+31  	q= -2  %-5  	 0.238(88)<-----%31   %5

printNotes: i= 116-<2658 2811 -153>,  	 F3 --    1/8th( 58) <      > 	V 67 - M 88	=-21  %-31  	q= +9  %+13  	 0.383(88)<-----%31   %13

printNotes: i= 117-<1831 3011 -1180>,  	 G3 --  1/64th.( 11) <      > 	V  8 - M 29	=-21  %-262  	q= -3  %-38  	 0.041(88)<-----%262   %38 <<

printNotes: i= 118-<2817 2811   6>,  	 F3 --    1/8th( 58) <      > 	V 72 - M 88	=-16  %-22  	q=+14  %+19  	 0.412(88)
printNotes: i= 119-<2924 3011 -87>,  	 G3 --  1/64th.( 11) <      > 	V 10 - M 29	=-19  %-190  	q= -1  %-10  	 0.052(88)<-----%190   %10 <<

printNotes: i= 120-<3346 2680 666>,  	Ek3 --    1/8th( 58) <      > 	V 70 - M 88	=-18  %-26  	q=+12  %+17  	 0.401(88)<-----%26   %17

printNotes: i= 121-<3956 2811 1145>,  	 F3 --  1/64th.( 11) <      > 	V 11 - M 29	=-18  %-164  	q=  +  %+0  	 0.058(88)<-----%164   %0 <<

printNotes: i= 122-<3805 2543 1262>,  	 D3 --    1/4th(117) <1*sela> 	V134 - M 58	=+76  %+57  	q=+17  %+13  	 0.772(88)<-----%57   %13



silence
printNotes: i= 123-<   0   40 -40>,  	Slc -- 1/32nd..( 26) <      > 	V 26 - M175	=-149  %-573  	q=  +  %+0  	 0.145(88)<-----%573   %0

printNotes: i= 124-<2544 2543   1>,  	 D3 --  1/16th.( 44) <      > 	V 43 - M 29	=+14  %+33  	q= -1  %-2  	 0.244(88)<-----%33   %2

printNotes: i= 125-<2728 2680  48>,  	Ek3 -- 1/64th..( 13) <      > 	V 14 - M 29	=-15  %-107  	q= +1  %+7  	 0.075(88)<-----%107   %7 <<

printNotes: i= 126-<2544 2543   1>,  	 D3 --   1/16th( 29) <      > 	V 36 - M 58	=-22  %-61  	q= +7  %+19  	 0.203(88)<-----%61   %19

printNotes: i= 127-<2657 2680 -23>,  	Ek3 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(88)
printNotes: i= 128-<2666 2811 -145>,  	 F3 --   1/64th(  7) <      > 	V  7 - M 15	= -8  %-114  	q=  +  %+0  	 0.035(88)<-----%114   %0 <<

printNotes: i= 129-<2877 2543 334>,  	 D3 -- 1/16th..( 51) <      > 	V 50 - M 29	=+21  %+42  	q= -1  %-2  	 0.284(88)<-----%42   %2

printNotes: i= 130-<3876 2680 1196>,  	Ek3 --  1/16th.( 44) <      > 	V 44 - M 29	=+15  %+34  	q=  +  %+0  	 0.250(88)<-----%34   %0

printNotes: i= 131-<4012 2811 1201>,  	 F3 --   1/32nd( 15) <      > 	V 15 - M 29	=-14  %-93  	q=  +  %+0  	 0.081(88)<-----%93   %0 <<

printNotes: i= 132-<3779 2543 1236>,  	 D3 --  1/16th.( 44) <      > 	V 42 - M 58	=-16  %-38  	q= -2  %-5  	 0.238(88)<-----%38   %5

printNotes: i= 133-<3873 2680 1193>,  	Ek3 --    1/8th( 58) <      > 	V 56 - M 29	=+27  %+48  	q= -2  %-4  	 0.319(88)<-----%48   %4

printNotes: i= 134-<4005 2811 1194>,  	 F3 --  1/64th.( 11) <      > 	V  8 - M 29	=-21  %-262  	q= -3  %-38  	 0.041(88)<-----%262   %38 <<

printNotes: i= 135-<3787 2543 1244>,  	 D3 --  1/16th.( 44) <      > 	V 44 - M 58	=-14  %-32  	q=  +  %+0  	 0.250(88)<-----%32   %0

printNotes: i= 136-<3673 2680 993>,  	Ek3 --  1/16th.( 44) <      > 	V 39 - M 29	=+10  %+26  	q= -5  %-13  	 0.221(88)<-----%26   %13

printNotes: i= 137-<2534 2811 -277>,  	 F3 --  1/64th.( 11) <      > 	V 11 - M 29	=-18  %-164  	q=  +  %+0  	 0.058(88)<-----%164   %0 <<

printNotes: i= 138-<3790 2543 1247>,  	 D3 --  1/16th.( 44) <      > 	V 37 - M 58	=-21  %-57  	q= -7  %-19  	 0.209(88)<-----%57   %19

printNotes: i= 139-<3865 2680 1185>,  	Ek3 -- 1/32nd..( 26) <      > 	V 25 - M 29	= -4  %-16  	q= -1  %-4  	 0.139(88)<-----%16   %4

printNotes: i= 140-<3989 2811 1178>,  	 F3 --   1/16th( 29) <      > 	V 29 - M 15	=+14  %+48  	q=  +  %+0  	 0.163(88)<-----%48   %0

printNotes: i= 141-<4062 3011 1051>,  	 G3 --  128th..(  6) <      > 	V  6 - M 15	= -9  %-150  	q=  +  %+0  	 0.029(88)<-----%150   %0 <<

printNotes: i= 142-<3893 2680 1213>,  	Ek3 --  1/32nd.( 22) <      > 	V 19 - M 20	= -1  %-5  	q= -3  %-16  	 0.104(88)
printNotes: i= 143-<3806 2811 995>,  	 F3 --  1/16th.( 44) <      > 	V 37 - M 10	=+27  %+73  	q= -7  %-19  	 0.209(88)<-----%73   %19

printNotes: i= 144-<2653 3011 -358>,  	 G3 --  1/64th.( 11) <      > 	V 11 - M 10	= +1  %+9  	q=  +  %+0  	 0.058(88)
printNotes: i= 145-<3899 2680 1219>,  	Ek3 --  1/16th.( 44) <      > 	V 40 - M 39	= +1  %+2  	q= -4  %-10  	 0.226(88)
printNotes: i= 146-<3984 2811 1173>,  	 F3 --   1/16th( 29) <      > 	V 36 - M 39	= -3  %-8  	q= +7  %+19  	 0.203(88)


silence
printNotes: i= 147-<3876   40 3836>,  	Slc --   1/64th(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(88)
printNotes: i= 148-<3986 2811 1175>,  	 F3 --    1/8th( 58) <      > 	V 61 - M 47	=+14  %+23  	q= +3  %+5  	 0.348(88)<-----%23   %5

printNotes: i= 149-<3885 2680 1205>,  	Ek3 --   1/16th( 29) <      > 	V 34 - M 47	=-13  %-38  	q= +5  %+15  	 0.192(88)<-----%38   %15

printNotes: i= 150-<3995 2811 1184>,  	 F3 --  1/16th.( 44) <      > 	V 40 - M 47	= -7  %-18  	q= -4  %-10  	 0.226(88)<-----%18   %10

printNotes: i= 151-<3872 2680 1192>,  	Ek3 --   1/16th( 29) <      > 	V 32 - M 23	= +9  %+28  	q= +3  %+9  	 0.180(88)<-----%28   %9

printNotes: i= 152-<3975 2811 1164>,  	 F3 --   1/32nd( 15) <      > 	V 16 - M 23	= -7  %-44  	q= +1  %+6  	 0.087(88)<-----%44   %6 <<

printNotes: i= 153-<3785 2543 1242>,  	 D3 --  1/16th.( 44) <      > 	V 37 - M 23	=+14  %+38  	q= -7  %-19  	 0.209(88)<-----%38   %19

printNotes: i= 154-<3814 2680 1134>,  	Ek3 --   1/16th( 29) <      > 	V 29 - M 23	= +6  %+21  	q=  +  %+0  	 0.163(88)<-----%21   %0

printNotes: i= 155-<2359 2334  25>,  	 C3 --  1/8th..(102) <      > 	V103 - M117	=-14  %-14  	q= +1  %+1  	 0.592(88)<-----%14   %1



silence
printNotes: i= 156-<   0   40 -40>,  	Slc --   1/8th.( 88) <      > 	V 75 - M117	=-42  %-56  	q=-13  %-17  	 0.430(88)<-----%56   %17

printNotes: i= 157-<1709 1619  90>,  	 F2 --   1/32nd( 15) <      > 	V 15 - M 29	=-14  %-93  	q=  +  %+0  	 0.081(88)<-----%93   %0 <<

printNotes: i= 158-<2302 2334 -32>,  	 C3 --   1/8th.( 88) <      > 	V 81 - M 58	=+23  %+28  	q= -7  %-9  	 0.464(88)<-----%28   %9

printNotes: i= 159-<2017 2543 -526>,  	 D3 --   1/16th( 29) <      > 	V 34 - M 29	= +5  %+15  	q= +5  %+15  	 0.192(88)
printNotes: i= 160-<2146 2334 -188>,  	 C3 -- 1/32nd..( 26) <      > 	V 25 - M 29	= -4  %-16  	q= -1  %-4  	 0.139(88)<-----%16   %4

printNotes: i= 161-<2526 2543 -17>,  	 D3 --   1/16th( 29) <      > 	V 31 - M 15	=+16  %+52  	q= +2  %+6  	 0.174(88)<-----%52   %6

