	voice Midi Diff								present		 Best		Sec

printNotes: i= 64-<1212 1599 -387>,  	 F2 --  1/4th..(213) <      > 	V199 - M122	=+77  %+39  	q=-14  %-7  	 1.149(85)<-----%39   %7



silence
printNotes: i= 65-<  17   40 -23>,  	Slc --   half..(427) <1*sela> 	V452 - M488	=-36  %-8  	q=+25  %+6  	 2.618(85)
printNotes: i= 66-<1639 2585 -946>,  	Eb3 --   1/16th( 30) <      > 	V 30 - M 30	=  +  %+0  	q=  +  %+0  	 0.168(85)
printNotes: i= 67-<2471 2510 -39>,  	 D3 --    1/8th( 61) <      > 	V 59 - M 30	=+29  %+49  	q= -2  %-3  	 0.337(85)<-----%49   %3

printNotes: i= 68-<2593 2585   8>,  	Eb3 --   1/32nd( 15) <      > 	V 15 - M 30	=-15  %-100  	q=  +  %+0  	 0.081(85)<-----%100   %0 <<

printNotes: i= 69-<2451 2510 -59>,  	 D3 --  1/16th.( 46) <      > 	V 40 - M 30	=+10  %+25  	q= -6  %-15  	 0.226(85)<-----%25   %15

printNotes: i= 70-<2306 2322 -16>,  	 C3 --    1/8th( 61) <      > 	V 74 - M 91	=-17  %-23  	q=+13  %+18  	 0.424(85)<-----%23   %18

printNotes: i= 71-<   0 2101 -2101>,  	Bb2 --   1/16th( 30) <      > 	V 34 - M 30	= +4  %+12  	q= +4  %+12  	 0.192(85)
printNotes: i= 72-<2320 2322  -2>,  	 C3 --   1/16th( 30) <      > 	V 31 - M 30	= +1  %+3  	q= +1  %+3  	 0.174(85)
printNotes: i= 73-<2493 2510 -17>,  	 D3 --   1/16th( 30) <      > 	V 33 - M 61	=-28  %-85  	q= +3  %+9  	 0.186(85)<-----%85   %9

printNotes: i= 74-<2579 2585  -6>,  	Eb3 --   1/16th( 30) <      > 	V 30 - M 30	=  +  %+0  	q=  +  %+0  	 0.168(85)
printNotes: i= 75-<2107 2510 -403>,  	 D3 -- 1/16th..( 53) <      > 	V 54 - M 30	=+24  %+44  	q= +1  %+2  	 0.308(85)<-----%44   %2

printNotes: i= 76-<2818 2822  -4>,  	 F3 --  1/64th.( 11) <      > 	V 11 - M 15	= -4  %-36  	q=  +  %+0  	 0.058(85)<-----%36   %0 <<

printNotes: i= 77-<2589 2585   4>,  	Eb3 --   1/16th( 30) <      > 	V 35 - M 30	= +5  %+14  	q= +5  %+14  	 0.197(85)
printNotes: i= 78-<2549 2510  39>,  	 D3 --  1/32nd.( 23) <      > 	V 24 - M 30	= -6  %-25  	q= +1  %+4  	 0.134(85)<-----%25   %4

printNotes: i= 79-<2433 2322 111>,  	 C3 --    128th(  4) <      > 	V  1 - M 30	=-29  %-2900  	q= -3  %-300  	 0.000(85)<-----%2900   %300 <<

printNotes: i= 80-<   0 2101 -2101>,  	Bb2 --  1/16th.( 46) <      > 	V 43 - M 30	=+13  %+30  	q= -3  %-7  	 0.244(85)<-----%30   %7

printNotes: i= 81-<2317 2322  -5>,  	 C3 --    1/4th(122) <      > 	V129 - M122	= +7  %+5  	q= +7  %+5  	 0.743(85)
printNotes: i= 82-<2230 2322 -92>,  	 C3 --     half(244) <      > 	V244 - M244	=  +  %+0  	q=  +  %+0  	 1.411(85)<-- same note


silence
printNotes: i= 83-<   0   40 -40>,  	Slc --   1/4th.(183) <      > 	V189 - M625	=-436  %-231  	q= +6  %+3  	 1.091(85)<-----%231   %3

printNotes: i= 84-<2038 2101 -63>,  	Bb2 --  1/16th.( 46) <      > 	V 40 - M 30	=+10  %+25  	q= -6  %-15  	 0.226(85)<-----%25   %15

printNotes: i= 85-<1972 1947  25>,  	Ak2 --  1/16th.( 46) <      > 	V 40 - M 30	=+10  %+25  	q= -6  %-15  	 0.226(85)<-----%25   %15

printNotes: i= 86-<2055 2101 -46>,  	Bb2 --   1/32nd( 15) <      > 	V 18 - M 30	=-12  %-67  	q= +3  %+17  	 0.099(85)<-----%67   %17



silence
printNotes: i= 87-<   0   40 -40>,  	Slc --   1/16th( 30) <      > 	V 29 - M  8	=+21  %+72  	q= -1  %-3  	 0.163(85)<-----%72   %3

printNotes: i= 88-<1930 1947 -17>,  	Ak2 --  1/4th..(213) <      > 	V217 - M183	=+34  %+16  	q= +4  %+2  	 1.254(85)<-----%16   %2

printNotes: i= 89-<1950 1947   3>,  	Ak2 --   1/16th( 30) <      > 	V 30 - M 30	=  +  %+0  	q=  +  %+0  	 0.168(85)<-- same note
printNotes: i= 90-<1825 1810  15>,  	 G2 -- 1/64th..( 13) <      > 	V 14 - M 30	=-16  %-114  	q= +1  %+7  	 0.075(85)<-----%114   %7 <<

printNotes: i= 91-<1965 1947  18>,  	Ak2 --   1/16th( 30) <      > 	V 30 - M 15	=+15  %+50  	q=  +  %+0  	 0.168(85)<-----%50   %0

printNotes: i= 92-<2060 2101 -41>,  	Bb2 --  1/64th.( 11) <      > 	V 11 - M 15	= -4  %-36  	q=  +  %+0  	 0.058(85)<-----%36   %0 <<

printNotes: i= 93-<1976 1947  29>,  	Ak2 --   1/16th( 30) <      > 	V 33 - M 30	= +3  %+9  	q= +3  %+9  	 0.186(85)
printNotes: i= 94-<1869 1810  59>,  	 G2 -- 1/64th..( 13) <      > 	V 14 - M 30	=-16  %-114  	q= +1  %+7  	 0.075(85)<-----%114   %7 <<

printNotes: i= 95-<1968 1947  21>,  	Ak2 -- 1/32nd..( 27) <      > 	V 26 - M 15	=+11  %+42  	q= -1  %-4  	 0.145(85)<-----%42   %4

printNotes: i= 96-<2084 2101 -17>,  	Bb2 -- 1/64th..( 13) <      > 	V 14 - M 15	= -1  %-7  	q= +1  %+7  	 0.075(85)
printNotes: i= 97-<1955 1947   8>,  	Ak2 -- 1/32nd..( 27) <      > 	V 26 - M 30	= -4  %-15  	q= -1  %-4  	 0.145(85)<-----%15   %4

printNotes: i= 98-<1841 1810  31>,  	 G2 --   1/32nd( 15) <      > 	V 15 - M 30	=-15  %-100  	q=  +  %+0  	 0.081(85)<-----%100   %0 <<

printNotes: i= 99-<1952 1947   5>,  	Ak2 -- 1/32nd..( 27) <      > 	V 28 - M 30	= -2  %-7  	q= +1  %+4  	 0.157(85)
printNotes: i= 100-<2086 2101 -15>,  	Bb2 --  1/8th..(107) <      > 	V110 - M 91	=+19  %+17  	q= +3  %+3  	 0.633(85)<-----%17   %3

printNotes: i= 101-<1969 1947  22>,  	Ak2 --   1/16th( 30) <      > 	V 33 - M 30	= +3  %+9  	q= +3  %+9  	 0.186(85)
printNotes: i= 102-<1839 1810  29>,  	 G2 --   1/32nd( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(85)
printNotes: i= 103-<1215 1947 -732>,  	Ak2 --  1/32nd.( 23) <      > 	V 21 - M 15	= +6  %+29  	q= -2  %-10  	 0.116(85)<-----%29   %10

printNotes: i= 104-<1378 1599 -221>,  	 F2 --  1/16th.( 46) <      > 	V 47 - M 61	=-14  %-30  	q= +1  %+2  	 0.267(85)<-----%30   %2



silence
printNotes: i= 105-<   0   40 -40>,  	Slc --    half.(366) <      > 	V360 - M244	=+116  %+32  	q= -6  %-2  	 2.084(85)<-----%32   %2

printNotes: i= 106-<2272 2585 -313>,  	Eb3 --   1/16th( 30) <      > 	V 30 - M 30	=  +  %+0  	q=  +  %+0  	 0.168(85)
printNotes: i= 107-<2521 2510  11>,  	 D3 --  1/16th.( 46) <      > 	V 39 - M 30	= +9  %+23  	q= -7  %-18  	 0.221(85)<-----%23   %18

printNotes: i= 108-<2578 2585  -7>,  	Eb3 --  1/32nd.( 23) <      > 	V 21 - M 30	= -9  %-43  	q= -2  %-10  	 0.116(85)<-----%43   %10

printNotes: i= 109-<2466 2510 -44>,  	 D3 --  1/16th.( 46) <      > 	V 38 - M 30	= +8  %+21  	q= -8  %-21  	 0.215(85)
printNotes: i= 110-<2311 2322 -11>,  	 C3 --    1/8th( 61) <      > 	V 58 - M 61	= -3  %-5  	q= -3  %-5  	 0.331(85)
