	voice Midi Diff								present		 Best		Sec

printNotes: i= 54-<3752 2706 1046>,  	 E3 --   1/32nd( 15) <      > 	V 16 - M 30	=-14  %-88  	q= +1  %+6  	 0.087(88)<-----%88   %6 <<

printNotes: i= 55-<2186 2324 -138>,  	 C3 --     half(236) <1*sela> 	V261 - M354	=-93  %-36  	q=+25  %+10  	 1.509(88)<-----%36   %10



silence
printNotes: i= 56-< 236   40 196>,  	Slc --    whole(472) <5*sela> 	V560 - M354	=+206  %+37  	q=+88  %+16  	 3.245(88)<-----%37   %16

printNotes: i= 57-<2800 2808  -8>,  	 F3 --    1/8th( 59) <      > 	V 59 - M 59	=  +  %+0  	q=  +  %+0  	 0.337(88)
printNotes: i= 58-<2807 2808  -1>,  	 F3 --  1/8th..(103) <      > 	V107 - M177	=-70  %-65  	q= +4  %+4  	 0.615(88)<-- same note<-----%65   %4

printNotes: i= 59-<1997 2706 -709>,  	 E3 --   1/8th.( 89) <      > 	V 87 - M 89	= -2  %-2  	q= -2  %-2  	 0.499(88)
printNotes: i= 60-<2390 2808 -418>,  	 F3 --    1/4th(118) <1*sela> 	V144 - M118	=+26  %+18  	q=+26  %+18  	 0.830(88)
printNotes: i= 61-<3025 3088 -63>,  	Ab3 -- 1/32nd..( 26) <      > 	V 27 - M 59	=-32  %-119  	q= +1  %+4  	 0.151(88)<-----%119   %4

printNotes: i= 62-<3016 3026 -10>,  	 G3 --   1/16th( 30) <      > 	V 35 - M 44	= -9  %-26  	q= +5  %+14  	 0.197(88)<-----%26   %14

printNotes: i= 63-<3096 3088   8>,  	Ab3 --   1/32nd( 15) <      > 	V 18 - M 44	=-26  %-144  	q= +3  %+17  	 0.099(88)<-----%144   %17

printNotes: i= 64-<3017 3026  -9>,  	 G3 -- 1/32nd..( 26) <      > 	V 25 - M 44	=-19  %-76  	q= -1  %-4  	 0.139(88)<-----%76   %4

printNotes: i= 65-<3087 3088  -1>,  	Ab3 --  1/32nd.( 22) <      > 	V 23 - M 30	= -7  %-30  	q= +1  %+4  	 0.128(88)<-----%30   %4

printNotes: i= 66-<3031 3026   5>,  	 G3 --  1/16th.( 44) <      > 	V 40 - M 30	=+10  %+25  	q= -4  %-10  	 0.226(88)<-----%25   %10

