	voice Midi Diff								present		 Best		Sec

printNotes: i= 112-<1811 2011 -200>,  	 A2 --  1/32nd.( 25) <      > 	V 21 - M 34	=-13  %-62  	q= -4  %-19  	 0.116(76)<-----%62   %19

printNotes: i= 113-<2513 2507   6>,  	 D3 --   1/8th.(101) <      > 	V105 - M135	=-30  %-29  	q= +4  %+4  	 0.604(76)<-----%29   %4

printNotes: i= 114-<1459 2315 -856>,  	 C3 --  1/8th..(118) <      > 	V110 - M101	= +9  %+8  	q= -8  %-7  	 0.633(76)
printNotes: i= 115-<2788 2794  -6>,  	 F3 --    1/4th(135) <      > 	V130 - M169	=-39  %-30  	q= -5  %-4  	 0.749(76)<-----%30   %4

printNotes: i= 116-<1304 2994 -1690>,  	 G3 --  1/64th.( 13) <      > 	V  9 - M 34	=-25  %-278  	q= -4  %-44  	 0.046(76)<-----%278   %44 <<

printNotes: i= 117-<3588 2794 794>,  	 F3 --  1/16th.( 51) <      > 	V 47 - M 34	=+13  %+28  	q= -4  %-9  	 0.267(76)<-----%28   %9

printNotes: i= 118-<3781 2605 1176>,  	Eb3 -- 1/64th..( 15) <      > 	V 16 - M 17	= -1  %-6  	q= +1  %+6  	 0.087(76)
printNotes: i= 119-<1818 2794 -976>,  	 F3 --   1/32nd( 17) <      > 	V 20 - M 17	= +3  %+15  	q= +3  %+15  	 0.110(76)
printNotes: i= 120-< 517 2507 -1990>,  	 D3 -- 1/64th..( 15) <      > 	V 15 - M 17	= -2  %-13  	q=  +  %+0  	 0.081(76)
printNotes: i= 121-< 917 2605 -1688>,  	Eb3 --   1/16th( 34) <      > 	V 41 - M 17	=+24  %+59  	q= +7  %+17  	 0.232(76)<-----%59   %17

printNotes: i= 122-<1205 2315 -1110>,  	 C3 --   1/8th.(101) <      > 	V 95 - M 68	=+27  %+28  	q= -6  %-6  	 0.546(76)<-----%28   %6



silence
printNotes: i= 123-<   0   40 -40>,  	Slc -- 1/16th..( 59) <      > 	V 55 - M 68	=-13  %-24  	q= -4  %-7  	 0.313(76)<-----%24   %7

printNotes: i= 124-<1659 1821 -162>,  	 G2 -- 1/32nd..( 30) <      > 	V 30 - M 34	= -4  %-13  	q=  +  %+0  	 0.168(76)<-----%13   %0

printNotes: i= 125-<2310 2315  -5>,  	 C3 --   1/4th.(203) <      > 	V191 - M169	=+22  %+12  	q=-12  %-6  	 1.103(76)<-----%12   %6

printNotes: i= 126-<2129 2095  34>,  	Bb2 --  1/32nd.( 25) <      > 	V 27 - M 34	= -7  %-26  	q= +2  %+7  	 0.151(76)<-----%26   %7

printNotes: i= 127-<2030 2011  19>,  	 A2 --    128th(  4) <      > 	V  4 - M 34	=-30  %-750  	q=  +  %+0  	 0.017(76)<-----%750   %0 <<

printNotes: i= 128-<2020 1821 199>,  	 G2 --    128th(  4) <      > 	V  1 - M 34	=-33  %-3300  	q= -3  %-300  	 0.000(76)<-----%3300   %300 <<

printNotes: i= 129-<2062 1609 453>,  	 F2 --  1/32nd.( 25) <      > 	V 26 - M 34	= -8  %-31  	q= +1  %+4  	 0.145(76)<-----%31   %4



silence
printNotes: i= 130-<   0   40 -40>,  	Slc --   1/4th.(203) <-1*sela> 	V184 - M101	=+83  %+45  	q=-19  %-10  	 1.062(76)<-----%45   %10

printNotes: i= 131-<1607 1609  -2>,  	 F2 --   1/32nd( 17) <      > 	V 20 - M 34	=-14  %-70  	q= +3  %+15  	 0.110(76)<-----%70   %15

printNotes: i= 132-<2070 2095 -25>,  	Bb2 --    1/8th( 68) <      > 	V 74 - M 68	= +6  %+8  	q= +6  %+8  	 0.424(76)
printNotes: i= 133-<2023 2011  12>,  	 A2 --  1/64th.( 13) <      > 	V 14 - M 34	=-20  %-143  	q= +1  %+7  	 0.075(76)<-----%143   %7 <<

printNotes: i= 134-<2078 2095 -17>,  	Bb2 --   1/16th( 34) <      > 	V 34 - M 34	=  +  %+0  	q=  +  %+0  	 0.192(76)
printNotes: i= 135-<1961 2011 -50>,  	 A2 --   1/16th( 34) <      > 	V 40 - M 34	= +6  %+15  	q= +6  %+15  	 0.226(76)
printNotes: i= 136-<1832 1821  11>,  	 G2 --  1/16th.( 51) <      > 	V 50 - M 45	= +5  %+10  	q= -1  %-2  	 0.284(76)<-----%10   %2

printNotes: i= 137-<1771 1609 162>,  	 F2 --    128th(  4) <      > 	V  2 - M 45	=-43  %-2150  	q= -2  %-100  	 0.006(76)<-----%2150   %100 <<



silence
printNotes: i= 138-<   0   40 -40>,  	Slc --    1/4th(135) <      > 	V146 - M 79	=+67  %+46  	q=+11  %+8  	 0.842(76)<-----%46   %8

printNotes: i= 139-<2025 2095 -70>,  	Bb2 --   1/16th( 34) <      > 	V 32 - M 34	= -2  %-6  	q= -2  %-6  	 0.180(76)
printNotes: i= 140-<2008 2011  -3>,  	 A2 --   1/32nd( 17) <      > 	V 19 - M 34	=-15  %-79  	q= +2  %+11  	 0.104(76)<-----%79   %11

printNotes: i= 141-<2087 2095  -8>,  	Bb2 -- 1/32nd..( 30) <      > 	V 28 - M 34	= -6  %-21  	q= -2  %-7  	 0.157(76)<-----%21   %7

printNotes: i= 142-<2031 2011  20>,  	 A2 --  1/16th.( 51) <      > 	V 47 - M 34	=+13  %+28  	q= -4  %-9  	 0.267(76)<-----%28   %9

printNotes: i= 143-<1511 1821 -310>,  	 G2 --   1/8th.(101) <      > 	V 85 - M113	=-28  %-33  	q=-16  %-19  	 0.488(76)<-----%33   %19

printNotes: i= 144-<2035 2011  24>,  	 A2 --  1/16th.( 51) <      > 	V 52 - M 45	= +7  %+13  	q= +1  %+2  	 0.296(76)<-----%13   %2

printNotes: i= 145-<2091 2095  -4>,  	Bb2 --   1/16th( 34) <      > 	V 42 - M 45	= -3  %-7  	q= +8  %+19  	 0.238(76)
printNotes: i= 146-<2312 2315  -3>,  	 C3 --    1/4th(135) <      > 	V133 - M169	=-36  %-27  	q= -2  %-2  	 0.766(76)<-----%27   %2

printNotes: i= 147-<1772 2507 -735>,  	 D3 --   1/16th( 34) <      > 	V 40 - M 34	= +6  %+15  	q= +6  %+15  	 0.226(76)
printNotes: i= 148-<1793 2315 -522>,  	 C3 --   1/16th( 34) <      > 	V 35 - M 34	= +1  %+3  	q= +1  %+3  	 0.197(76)
