	voice Midi Diff								present		 Best		Sec

printNotes: i= 93-<2780 2787  -7>,  	 A2 --   1/4th.(194) <-1*sela> 	V168 - M161	= +7  %+4  	q=-26  %-15  	 0.969(80)
printNotes: i= 94-<2834 2865 -31>,  	Bb2 --   1/16th( 32) <      > 	V 31 - M 32	= -1  %-3  	q= -1  %-3  	 0.174(80)
printNotes: i= 95-<1778 2579 -801>,  	 G2 --   1/16th( 32) <      > 	V 38 - M 32	= +6  %+16  	q= +6  %+16  	 0.215(80)
printNotes: i= 96-<2069 2787 -718>,  	 A2 --   1/8th.( 97) <      > 	V102 - M 65	=+37  %+36  	q= +5  %+5  	 0.586(80)<-----%36   %5

printNotes: i= 97-<2082 3076 -994>,  	 C3 --   1/32nd( 16) <      > 	V 16 - M 32	=-16  %-100  	q=  +  %+0  	 0.087(80)<-----%100   %0 <<

printNotes: i= 98-<   0 2865 -2865>,  	Bb2 --   1/32nd( 16) <      > 	V 16 - M 48	=-32  %-200  	q=  +  %+0  	 0.087(80)<-----%200   %0 <<

printNotes: i= 99-<2661 2787 -126>,  	 A2 --  1/32nd.( 24) <      > 	V 21 - M 16	= +5  %+24  	q= -3  %-14  	 0.116(80)<-----%24   %14

printNotes: i= 100-<2889 2865  24>,  	Bb2 -- 1/16th..( 56) <      > 	V 53 - M 16	=+37  %+70  	q= -3  %-6  	 0.302(80)<-----%70   %6

printNotes: i= 101-<2824 2787  37>,  	 A2 -- 1/32nd..( 28) <      > 	V 28 - M 32	= -4  %-14  	q=  +  %+0  	 0.157(80)<-----%14   %0

printNotes: i= 102-<2575 2579  -4>,  	 G2 --   1/32nd( 16) <      > 	V 18 - M 16	= +2  %+11  	q= +2  %+11  	 0.099(80)
printNotes: i= 103-<2694 2787 -93>,  	 A2 --   128th.(  6) <      > 	V  6 - M 16	=-10  %-167  	q=  +  %+0  	 0.029(80)<-----%167   %0 <<

printNotes: i= 104-<2581 2579   2>,  	 G2 -- 1/64th..( 14) <      > 	V 15 - M 32	=-17  %-113  	q= +1  %+7  	 0.081(80)<-----%113   %7 <<

printNotes: i= 105-<2802 2787  15>,  	 A2 --    1/4th(129) <      > 	V137 - M 43	=+94  %+69  	q= +8  %+6  	 0.789(80)<-----%69   %6

printNotes: i= 106-<2806 2787  19>,  	 A2 --  1/4th..(226) <      > 	V215 - M215	=  +  %+0  	q=-11  %-5  	 1.242(80)<-- same note


silence
printNotes: i= 107-<   0   40 -40>,  	Slc --    1/8th( 65) <      > 	V 68 - M129	=-61  %-90  	q= +3  %+4  	 0.389(80)<-----%90   %4

printNotes: i= 108-<2485 2579 -94>,  	 G2 --  1/16th.( 48) <      > 	V 43 - M 32	=+11  %+26  	q= -5  %-12  	 0.244(80)<-----%26   %12

