	voice Midi Diff								present		 Best		Sec

printNotes: i= 53-<2578 2586  -8>,  	 G2 --    1/8th( 62) <      > 	V 70 - M 62	= +8  %+11  	q= +8  %+11  	 0.401(84)
printNotes: i= 54-<2809 2799  10>,  	 A2 --    1/8th( 62) <      > 	V 73 - M 62	=+11  %+15  	q=+11  %+15  	 0.418(84)
printNotes: i= 55-<2496 2462  34>,  	F#2 --   1/32nd( 15) <      > 	V 16 - M 31	=-15  %-94  	q= +1  %+6  	 0.087(84)<-----%94   %6 <<

printNotes: i= 56-<2358 2586 -228>,  	 G2 --  1/4th..(217) <      > 	V225 - M248	=-23  %-10  	q= +8  %+4  	 1.300(84)<-----%10   %4



silence
printNotes: i= 57-<   0   40 -40>,  	Slc --   2whole(990) <23*sela> 	V1346 - M1238	=+108  %+8  	q=+356  %+26  	 7.808(84)
printNotes: i= 58-<2172 2462 -290>,  	F#2 -- 1/16th..( 54) <      > 	V 52 - M 31	=+21  %+40  	q= -2  %-4  	 0.296(84)<-----%40   %4

printNotes: i= 59-<2580 2586  -6>,  	 G2 --  1/16th.( 46) <      > 	V 43 - M 46	= -3  %-7  	q= -3  %-7  	 0.244(84)
printNotes: i= 60-<2809 2799  10>,  	 A2 --   1/16th( 31) <      > 	V 34 - M 31	= +3  %+9  	q= +3  %+9  	 0.192(84)
printNotes: i= 61-<2780 2799 -19>,  	 A2 --  1/16th.( 46) <      > 	V 46 - M 46	=  +  %+0  	q=  +  %+0  	 0.261(84)<-- same note
printNotes: i= 62-<2304 2860 -556>,  	Bb2 --    1/8th( 62) <      > 	V 73 - M 31	=+42  %+58  	q=+11  %+15  	 0.418(84)<-----%58   %15

printNotes: i= 63-<2820 2799  21>,  	 A2 --  1/32nd.( 23) <      > 	V 24 - M 31	= -7  %-29  	q= +1  %+4  	 0.134(84)<-----%29   %4

printNotes: i= 64-<2668 2799 -131>,  	 A2 --   1/8th.( 93) <      > 	V 86 - M124	=-38  %-44  	q= -7  %-8  	 0.493(84)<-- same note<-----%44   %8

printNotes: i= 65-<2758 2799 -41>,  	 A2 --    1/8th( 62) <      > 	V 62 - M 62	=  +  %+0  	q=  +  %+0  	 0.354(84)<-- same note
printNotes: i= 66-<3026 3055 -29>,  	 C3 -- 1/64th..( 14) <      > 	V 14 - M 31	=-17  %-121  	q=  +  %+0  	 0.075(84)<-----%121   %0 <<

printNotes: i= 67-<2786 2799 -13>,  	 A2 --    1/8th( 62) <      > 	V 70 - M 31	=+39  %+56  	q= +8  %+11  	 0.401(84)<-----%56   %11

printNotes: i= 68-<2859 2860  -1>,  	Bb2 -- 1/16th..( 54) <      > 	V 57 - M 46	=+11  %+19  	q= +3  %+5  	 0.325(84)<-----%19   %5

printNotes: i= 69-<2881 2799  82>,  	 A2 --  1/16th.( 46) <      > 	V 49 - M 62	=-13  %-27  	q= +3  %+6  	 0.279(84)<-----%27   %6



silence
printNotes: i= 70-< 170   40 130>,  	Slc --  1/4th..(217) <      > 	V205 - M186	=+19  %+9  	q=-12  %-6  	 1.184(84)<-----%9   %6

printNotes: i= 71-<2223 2860 -637>,  	Bb2 --  1/8th..(108) <      > 	V104 - M 31	=+73  %+70  	q= -4  %-4  	 0.598(84)<-----%70   %4

printNotes: i= 72-<2812 2799  13>,  	 A2 --  1/16th.( 46) <      > 	V 39 - M 31	= +8  %+21  	q= -7  %-18  	 0.221(84)
printNotes: i= 73-<2867 2860   7>,  	Bb2 --   1/16th( 31) <      > 	V 30 - M 31	= -1  %-3  	q= -1  %-3  	 0.168(84)
printNotes: i= 74-<1618 2799 -1181>,  	 A2 --    1/8th( 62) <      > 	V 76 - M 46	=+30  %+39  	q=+14  %+18  	 0.435(84)<-----%39   %18

printNotes: i= 75-<2876 2860  16>,  	Bb2 --   1/32nd( 15) <      > 	V 16 - M 62	=-46  %-288  	q= +1  %+6  	 0.087(84)<-----%288   %6 <<

printNotes: i= 76-<2846 2860 -14>,  	Bb2 --    128th(  4) <      > 	V  3 - M 31	=-28  %-933  	q= -1  %-33  	 0.012(84)<-- same note<-----%933   %33 <<

printNotes: i= 77-<2787 2799 -12>,  	 A2 --   1/16th( 31) <      > 	V 30 - M 31	= -1  %-3  	q= -1  %-3  	 0.168(84)
printNotes: i= 78-<2850 2860 -10>,  	Bb2 --  1/16th.( 46) <      > 	V 39 - M 31	= +8  %+21  	q= -7  %-18  	 0.221(84)
printNotes: i= 79-<2763 2799 -36>,  	 A2 --   128th.(  6) <      > 	V  6 - M 31	=-25  %-417  	q=  +  %+0  	 0.029(84)<-----%417   %0 <<

printNotes: i= 80-<2586 2586    >,  	 G2 --    1/8th( 62) <      > 	V 69 - M 62	= +7  %+10  	q= +7  %+10  	 0.395(84)
printNotes: i= 81-<2501 2462  39>,  	F#2 --   1/8th.( 93) <      > 	V 95 - M 62	=+33  %+35  	q= +2  %+2  	 0.546(84)<-----%35   %2

printNotes: i= 82-<2582 2586  -4>,  	 G2 --   1/16th( 31) <      > 	V 29 - M 15	=+14  %+48  	q= -2  %-7  	 0.163(84)<-----%48   %7

printNotes: i= 83-<2746 2799 -53>,  	 A2 --   128th.(  6) <      > 	V  6 - M 15	= -9  %-150  	q=  +  %+0  	 0.029(84)<-----%150   %0 <<

printNotes: i= 84-<2607 2586  21>,  	 G2 --   1/16th( 31) <      > 	V 30 - M 31	= -1  %-3  	q= -1  %-3  	 0.168(84)
