	voice Midi Diff								present		 Best		Sec

printNotes: i= 72-<2121 2083  38>,  	 D2 --    1/8th( 65) <      > 	V 63 - M 86	=-23  %-37  	q= -2  %-3  	 0.360(80)<-----%37   %3

printNotes: i= 73-<2498 2458  40>,  	F#2 --   1/4th.(194) <-1*sela> 	V167 - M194	=-27  %-16  	q=-27  %-16  	 0.964(80)
printNotes: i= 74-<2230 2219  11>,  	Ek2 --    1/8th( 65) <      > 	V 70 - M 65	= +5  %+7  	q= +5  %+7  	 0.401(80)
printNotes: i= 75-<2477 2458  19>,  	F#2 --  1/16th.( 48) <      > 	V 49 - M 32	=+17  %+35  	q= +1  %+2  	 0.279(80)<-----%35   %2

printNotes: i= 76-<2136 2083  53>,  	 D2 -- 1/64th..( 14) <      > 	V 14 - M 32	=-18  %-129  	q=  +  %+0  	 0.075(80)<-----%129   %0 <<

printNotes: i= 77-<2137 2219 -82>,  	Ek2 --     half(259) <1*sela> 	V282 - M259	=+23  %+8  	q=+23  %+8  	 1.631(80)


silence
printNotes: i= 78-<   0   40 -40>,  	Slc --   2whole(1034) <7*sela> 	V1161 - M1293	=-132  %-11  	q=+127  %+11  	 6.734(80)
printNotes: i= 79-<2099 2583 -484>,  	 G2 --   1/4th.(194) <      > 	V184 - M 16	=+168  %+91  	q=-10  %-5  	 1.062(80)<-----%91   %5

printNotes: i= 80-<2546 2583 -37>,  	 G2 --   1/8th.( 97) <      > 	V 97 - M 97	=  +  %+0  	q=  +  %+0  	 0.557(80)<-- same note
printNotes: i= 81-<2583 2583    >,  	 G2 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(80)<-- same note
printNotes: i= 82-<2202 2583 -381>,  	 G2 --    1/4th(129) <      > 	V129 - M129	=  +  %+0  	q=  +  %+0  	 0.743(80)<-- same note
printNotes: i= 83-< 980 2583 -1603>,  	 G2 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(80)<-- same note
printNotes: i= 84-<1872 2583 -711>,  	 G2 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(80)<-- same note
printNotes: i= 85-<2597 2583  14>,  	 G2 --   1/8th.( 97) <      > 	V 97 - M 97	=  +  %+0  	q=  +  %+0  	 0.557(80)<-- same note
printNotes: i= 86-<2579 2583  -4>,  	 G2 --    1/8th( 65) <      > 	V 65 - M 65	=  +  %+0  	q=  +  %+0  	 0.372(80)<-- same note
printNotes: i= 87-<2890 2849  41>,  	Bb2 -- 1/64th..( 14) <      > 	V 14 - M 32	=-18  %-129  	q=  +  %+0  	 0.075(80)<-----%129   %0 <<



silence
printNotes: i= 88-<   0   40 -40>,  	Slc --   1/32nd( 16) <      > 	V 18 - M  8	=+10  %+56  	q= +2  %+11  	 0.099(80)<-----%56   %11

printNotes: i= 89-<2051 2583 -532>,  	 G2 --    1/4th(129) <1*sela> 	V154 - M 32	=+122  %+79  	q=+25  %+16  	 0.888(80)<-----%79   %16

printNotes: i= 90-<2578 2583  -5>,  	 G2 --    1/8th( 65) <      > 	V 65 - M 65	=  +  %+0  	q=  +  %+0  	 0.372(80)<-- same note


silence
printNotes: i= 91-<   0   40 -40>,  	Slc --  1/4th..(226) <      > 	V212 - M259	=-47  %-22  	q=-14  %-7  	 1.225(80)<-----%22   %7

printNotes: i= 92-<1336 2083 -747>,  	 D2 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(80)
printNotes: i= 93-<2096 2083  13>,  	 D2 -- 1/32nd..( 28) <      > 	V 29 - M 32	= -3  %-10  	q= +1  %+3  	 0.163(80)<-- same note<-----%10   %3

printNotes: i= 94-<2575 2583  -8>,  	 G2 --   1/8th.( 97) <      > 	V 87 - M 97	=-10  %-11  	q=-10  %-11  	 0.499(80)
printNotes: i= 95-<2583 2849 -266>,  	Bb2 --  1/64th.( 12) <      > 	V 11 - M 32	=-21  %-191  	q= -1  %-9  	 0.058(80)<-----%191   %9 <<



silence
printNotes: i= 96-<2636   40 2596>,  	Slc --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(80)
