	voice Midi Diff								present		 Best		Sec

printNotes: i= 52-<2391 2475 -84>,  	F#2 --  128th..(  7) <      > 	V  7 - M 16	= -9  %-129  	q=  +  %+0  	 0.035(80)<-----%129   %0 <<

printNotes: i= 53-<2249 2225  24>,  	Ek2 -- 1/32nd..( 28) <      > 	V 29 - M 32	= -3  %-10  	q= +1  %+3  	 0.163(80)<-----%10   %3

printNotes: i= 54-<2123 2100  23>,  	 D2 --  1/64th.( 12) <      > 	V 13 - M 32	=-19  %-146  	q= +1  %+8  	 0.070(80)<-----%146   %8 <<

printNotes: i= 55-<2283 2225  58>,  	Ek2 --    1/8th( 65) <      > 	V 75 - M 65	=+10  %+13  	q=+10  %+13  	 0.430(80)


silence
printNotes: i= 56-<   0   40 -40>,  	Slc --    whole(517) <6*sela> 	V622 - M840	=-218  %-35  	q=+105  %+17  	 3.605(80)<-----%35   %17

printNotes: i= 57-<2070 2100 -30>,  	 D2 -- 1/32nd..( 28) <      > 	V 27 - M 32	= -5  %-19  	q= -1  %-4  	 0.151(80)<-----%19   %4

printNotes: i= 58-<1400 2586 -1186>,  	 G2 --  1/16th.( 48) <      > 	V 48 - M 48	=  +  %+0  	q=  +  %+0  	 0.273(80)
printNotes: i= 59-<1713 2586 -873>,  	 G2 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(80)<-- same note
printNotes: i= 60-<2112 2586 -474>,  	 G2 --    1/8th( 65) <      > 	V 67 - M129	=-62  %-93  	q= +2  %+3  	 0.383(80)<-- same note<-----%93   %3

printNotes: i= 61-<2575 2586 -11>,  	 G2 --  1/8th..(113) <      > 	V115 - M129	=-14  %-12  	q= +2  %+2  	 0.662(80)<-- same note<-----%12   %2

printNotes: i= 62-< 108 2475 -2367>,  	F#2 --  1/16th.( 48) <      > 	V 47 - M 32	=+15  %+32  	q= -1  %-2  	 0.267(80)<-----%32   %2

printNotes: i= 63-<2362 2586 -224>,  	 G2 --     half(258) <3*sela> 	V314 - M 65	=+249  %+79  	q=+56  %+18  	 1.817(80)<-----%79   %18

printNotes: i= 64-<2139 2795 -656>,  	 A2 --  1/16th.( 48) <      > 	V 40 - M 32	= +8  %+20  	q= -8  %-20  	 0.226(80)
printNotes: i= 65-<2592 2586   6>,  	 G2 --     half(258) <      > 	V248 - M301	=-53  %-21  	q=-10  %-4  	 1.434(80)<-----%21   %4

printNotes: i= 66-<2481 2475   6>,  	F#2 --   1/16th( 32) <      > 	V 31 - M 43	=-12  %-39  	q= -1  %-3  	 0.174(80)<-----%39   %3

printNotes: i= 67-<2262 2225  37>,  	Ek2 --  1/16th.( 48) <      > 	V 50 - M 43	= +7  %+14  	q= +2  %+4  	 0.284(80)<-----%14   %4

