	voice Midi Diff								present		 Best		Sec

printNotes: i= 51-<2602 2789 -187>,  	 A2 --    1/8th( 61) <      > 	V 73 - M 61	=+12  %+16  	q=+12  %+16  	 0.418(85)
printNotes: i= 52-<2794 2860 -66>,  	Bb2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(85)
printNotes: i= 53-<2594 2582  12>,  	 G2 --   1/32nd( 15) <      > 	V 15 - M 30	=-15  %-100  	q=  +  %+0  	 0.081(85)<-----%100   %0 <<

printNotes: i= 54-<2714 2789 -75>,  	 A2 --   1/4th.(182) <      > 	V181 - M 91	=+90  %+50  	q= -1  %-1  	 1.045(85)<-----%50   %1



silence
printNotes: i= 55-<   0   40 -40>,  	Slc --   1/4th.(182) <      > 	V182 - M243	=-61  %-34  	q=  +  %+0  	 1.051(85)<-----%34   %0

printNotes: i= 56-<1972 2088 -116>,  	 D2 --   1/16th( 30) <      > 	V 34 - M 30	= +4  %+12  	q= +4  %+12  	 0.192(85)
printNotes: i= 57-<2814 2860 -46>,  	Bb2 --    1/8th( 61) <      > 	V 66 - M 61	= +5  %+8  	q= +5  %+8  	 0.377(85)
printNotes: i= 58-<2780 2789  -9>,  	 A2 --   1/4th.(182) <-1*sela> 	V154 - M121	=+33  %+21  	q=-28  %-18  	 0.888(85)<-----%21   %18

printNotes: i= 59-<2847 2860 -13>,  	Bb2 --  1/32nd.( 23) <      > 	V 22 - M 30	= -8  %-36  	q= -1  %-5  	 0.122(85)<-----%36   %5

printNotes: i= 60-<2796 2789   7>,  	 A2 -- 1/32nd..( 27) <      > 	V 26 - M 30	= -4  %-15  	q= -1  %-4  	 0.145(85)<-----%15   %4

printNotes: i= 61-<2856 2860  -4>,  	Bb2 --    1/4th(121) <      > 	V119 - M121	= -2  %-2  	q= -2  %-2  	 0.685(85)
printNotes: i= 62-<2383 3053 -670>,  	 C3 --   1/16th( 30) <      > 	V 31 - M 30	= +1  %+3  	q= +1  %+3  	 0.174(85)
printNotes: i= 63-<2809 2860 -51>,  	Bb2 -- 1/16th..( 53) <      > 	V 54 - M  8	=+46  %+85  	q= +1  %+2  	 0.308(85)<-----%85   %2

printNotes: i= 64-<3030 3053 -23>,  	 C3 --  1/64th.( 11) <      > 	V 10 - M  8	= +2  %+20  	q= -1  %-10  	 0.052(85)
printNotes: i= 65-<2875 2860  15>,  	Bb2 --    128th(  4) <      > 	V  5 - M 46	=-41  %-820  	q= +1  %+20  	 0.023(85)<-----%820   %20 <<

printNotes: i= 66-<2777 2789 -12>,  	 A2 -- 1/32nd..( 27) <      > 	V 27 - M 30	= -3  %-11  	q=  +  %+0  	 0.151(85)<-----%11   %0

printNotes: i= 67-<2968 2860 108>,  	Bb2 --   1/32nd( 15) <      > 	V 18 - M 15	= +3  %+17  	q= +3  %+17  	 0.099(85)
printNotes: i= 68-<2807 2789  18>,  	 A2 --   1/8th.( 91) <      > 	V 79 - M 61	=+18  %+23  	q=-12  %-15  	 0.453(85)<-----%23   %15

printNotes: i= 69-<2574 2582  -8>,  	 G2 -- 1/16th..( 53) <      > 	V 51 - M 30	=+21  %+41  	q= -2  %-4  	 0.290(85)<-----%41   %4

printNotes: i= 70-<2843 2789  54>,  	 A2 -- 1/64th..( 13) <      > 	V 14 - M 30	=-16  %-114  	q= +1  %+7  	 0.075(85)<-----%114   %7 <<

printNotes: i= 71-<2606 2582  24>,  	 G2 --    1/8th( 61) <      > 	V 68 - M 61	= +7  %+10  	q= +7  %+10  	 0.389(85)
printNotes: i= 72-<2465 2467  -2>,  	F#2 --  1/16th.( 46) <      > 	V 46 - M 30	=+16  %+35  	q=  +  %+0  	 0.261(85)<-----%35   %0

printNotes: i= 73-<2617 2582  35>,  	 G2 --   1/32nd( 15) <      > 	V 15 - M 30	=-15  %-100  	q=  +  %+0  	 0.081(85)<-----%100   %0 <<

printNotes: i= 74-<2486 2467  19>,  	F#2 --   1/4th.(182) <-1*sela> 	V161 - M121	=+40  %+25  	q=-21  %-13  	 0.929(85)<-----%25   %13

printNotes: i= 75-<2586 2582   4>,  	 G2 --    1/8th( 61) <      > 	V 61 - M 61	=  +  %+0  	q=  +  %+0  	 0.348(85)
printNotes: i= 76-<2596 2789 -193>,  	 A2 --   1/8th.( 91) <      > 	V 81 - M 61	=+20  %+25  	q=-10  %-12  	 0.464(85)<-----%25   %12

printNotes: i= 77-<2488 2467  21>,  	F#2 --   1/32nd( 15) <      > 	V 15 - M 30	=-15  %-100  	q=  +  %+0  	 0.081(85)<-----%100   %0 <<

printNotes: i= 78-<2477 2582 -105>,  	 G2 --     half(243) <3*sela> 	V290 - M243	=+47  %+16  	q=+47  %+16  	 1.678(85)


silence
printNotes: i= 79-<   0   40 -40>,  	Slc --   2whole(972) <10*sela> 	V1127 - M1214	=-87  %-8  	q=+155  %+14  	 6.536(85)
printNotes: i= 80-<2143 2467 -324>,  	F#2 -- 1/16th..( 53) <      > 	V 55 - M 30	=+25  %+45  	q= +2  %+4  	 0.313(85)<-----%45   %4

printNotes: i= 81-<2565 2582 -17>,  	 G2 --   1/8th.( 91) <      > 	V 84 - M 91	= -7  %-8  	q= -7  %-8  	 0.482(85)


silence
printNotes: i= 82-<   0   40 -40>,  	Slc --  1/16th.( 46) <      > 	V 41 - M 30	=+11  %+27  	q= -5  %-12  	 0.232(85)<-----%27   %12

printNotes: i= 83-<2484 2789 -305>,  	 A2 --   1/4th.(182) <      > 	V178 - M121	=+57  %+32  	q= -4  %-2  	 1.027(85)<-----%32   %2

printNotes: i= 84-<2869 2860   9>,  	Bb2 -- 1/32nd..( 27) <      > 	V 27 - M 30	= -3  %-11  	q=  +  %+0  	 0.151(85)<-----%11   %0

printNotes: i= 85-<2759 2789 -30>,  	 A2 --  1/32nd.( 23) <      > 	V 19 - M 30	=-11  %-58  	q= -4  %-21  	 0.104(85)<-----%58   %21

printNotes: i= 86-<2575 2582  -7>,  	 G2 -- 1/32nd..( 27) <      > 	V 25 - M 30	= -5  %-20  	q= -2  %-8  	 0.139(85)<-----%20   %8

printNotes: i= 87-<2255 2467 -212>,  	F#2 --   1/4th.(182) <      > 	V194 - M182	=+12  %+6  	q=+12  %+6  	 1.120(85)
printNotes: i= 88-<2504 2582 -78>,  	 G2 --  1/8th..(106) <      > 	V107 - M 61	=+46  %+43  	q= +1  %+1  	 0.615(85)<-----%43   %1

printNotes: i= 89-<2571 2789 -218>,  	 A2 --   1/8th.( 91) <      > 	V 85 - M 61	=+24  %+28  	q= -6  %-7  	 0.488(85)<-----%28   %7



silence
printNotes: i= 90-<   0   40 -40>,  	Slc --  1/32nd.( 23) <      > 	V 23 - M 15	= +8  %+35  	q=  +  %+0  	 0.128(85)<-----%35   %0

printNotes: i= 91-<2781 3053 -272>,  	 C3 --   1/16th( 30) <      > 	V 31 - M 30	= +1  %+3  	q= +1  %+3  	 0.174(85)
printNotes: i= 92-<2747 2860 -113>,  	Bb2 --    1/8th( 61) <      > 	V 62 - M 61	= +1  %+2  	q= +1  %+2  	 0.354(85)
printNotes: i= 93-<3033 3053 -20>,  	 C3 --   1/16th( 30) <      > 	V 33 - M 30	= +3  %+9  	q= +3  %+9  	 0.186(85)
printNotes: i= 94-<2784 2789  -5>,  	 A2 --  1/16th.( 46) <      > 	V 48 - M 61	=-13  %-27  	q= +2  %+4  	 0.273(85)<-----%27   %4

printNotes: i= 95-<2852 2860  -8>,  	Bb2 --  1/32nd.( 23) <      > 	V 23 - M 30	= -7  %-30  	q=  +  %+0  	 0.128(85)<-----%30   %0

printNotes: i= 96-<2598 2582  16>,  	 G2 --   1/16th( 30) <      > 	V 32 - M 61	=-29  %-91  	q= +2  %+6  	 0.180(85)<-----%91   %6

printNotes: i= 97-<2794 2789   5>,  	 A2 --    1/4th(121) <      > 	V129 - M 61	=+68  %+53  	q= +8  %+6  	 0.743(85)<-----%53   %6

printNotes: i= 98-<2745 2789 -44>,  	 A2 --    1/4th(121) <      > 	V121 - M121	=  +  %+0  	q=  +  %+0  	 0.697(85)<-- same note


silence
printNotes: i= 99-<   0   40 -40>,  	Slc --     half(243) <      > 	V248 - M243	= +5  %+2  	q= +5  %+2  	 1.434(85)
printNotes: i= 100-<2322 2860 -538>,  	Bb2 -- 1/16th..( 53) <      > 	V 56 - M 30	=+26  %+46  	q= +3  %+5  	 0.319(85)<-----%46   %5

printNotes: i= 101-<1633 2789 -1156>,  	 A2 -- 1/16th..( 53) <      > 	V 53 - M 46	= +7  %+13  	q=  +  %+0  	 0.302(85)<-----%13   %0

printNotes: i= 102-<1824 2789 -965>,  	 A2 --    1/8th( 61) <      > 	V 61 - M 61	=  +  %+0  	q=  +  %+0  	 0.348(85)<-- same note
printNotes: i= 103-<2843 2860 -17>,  	Bb2 --   1/16th( 30) <      > 	V 33 - M 30	= +3  %+9  	q= +3  %+9  	 0.186(85)
printNotes: i= 104-<1904 2789 -885>,  	 A2 --    1/8th( 61) <      > 	V 63 - M 30	=+33  %+52  	q= +2  %+3  	 0.360(85)<-----%52   %3

printNotes: i= 105-<2863 2860   3>,  	Bb2 --   1/8th.( 91) <      > 	V 77 - M 61	=+16  %+21  	q=-14  %-18  	 0.441(85)
printNotes: i= 106-<2789 2789    >,  	 A2 --    1/4th(121) <      > 	V123 - M 61	=+62  %+50  	q= +2  %+2  	 0.708(85)<-----%50   %2



silence
printNotes: i= 107-<   0   40 -40>,  	Slc --  1/64th.( 11) <      > 	V 10 - M 61	=-51  %-510  	q= -1  %-10  	 0.052(85)<-----%510   %10 <<

printNotes: i= 108-<2003 2789 -786>,  	 A2 --  1/8th..(106) <      > 	V113 - M 61	=+52  %+46  	q= +7  %+6  	 0.650(85)<-----%46   %6

printNotes: i= 109-<2847 2860 -13>,  	Bb2 --  1/32nd.( 23) <      > 	V 23 - M 30	= -7  %-30  	q=  +  %+0  	 0.128(85)<-----%30   %0

printNotes: i= 110-<2776 2789 -13>,  	 A2 --   1/8th.( 91) <      > 	V 90 - M 61	=+29  %+32  	q= -1  %-1  	 0.517(85)<-----%32   %1

printNotes: i= 111-<3010 3053 -43>,  	 C3 --   1/32nd( 15) <      > 	V 15 - M 30	=-15  %-100  	q=  +  %+0  	 0.081(85)<-----%100   %0 <<

printNotes: i= 112-<2875 2860  15>,  	Bb2 --   1/16th( 30) <      > 	V 31 - M 30	= +1  %+3  	q= +1  %+3  	 0.174(85)
printNotes: i= 113-<2776 2789 -13>,  	 A2 -- 1/32nd..( 27) <      > 	V 25 - M 30	= -5  %-20  	q= -2  %-8  	 0.139(85)<-----%20   %8

printNotes: i= 114-<2300 2582 -282>,  	 G2 --   1/16th( 30) <      > 	V 31 - M 30	= +1  %+3  	q= +1  %+3  	 0.174(85)
printNotes: i= 115-<2441 2467 -26>,  	F#2 --  1/64th.( 11) <      > 	V 10 - M 30	=-20  %-200  	q= -1  %-10  	 0.052(85)<-----%200   %10 <<

printNotes: i= 116-<2483 2582 -99>,  	 G2 -- 1/32nd..( 27) <      > 	V 25 - M 15	=+10  %+40  	q= -2  %-8  	 0.139(85)<-----%40   %8

printNotes: i= 117-<2425 2789 -364>,  	 A2 --   1/32nd( 15) <      > 	V 18 - M 15	= +3  %+17  	q= +3  %+17  	 0.099(85)
printNotes: i= 118-<2453 2467 -14>,  	F#2 --    1/4th(121) <      > 	V131 - M121	=+10  %+8  	q=+10  %+8  	 0.755(85)
printNotes: i= 119-<2446 2582 -136>,  	 G2 --    1/8th( 61) <      > 	V 59 - M 61	= -2  %-3  	q= -2  %-3  	 0.337(85)
printNotes: i= 120-<2780 2789  -9>,  	 A2 --   1/8th.( 91) <      > 	V 78 - M 61	=+17  %+22  	q=-13  %-17  	 0.447(85)<-----%22   %17

printNotes: i= 121-<1785 2467 -682>,  	F#2 --   1/32nd( 15) <      > 	V 15 - M 30	=-15  %-100  	q=  +  %+0  	 0.081(85)<-----%100   %0 <<

printNotes: i= 122-<2627 2582  45>,  	 G2 --    1/4th(121) <      > 	V118 - M121	= -3  %-3  	q= -3  %-3  	 0.679(85)


silence
printNotes: i= 123-<  51   40  11>,  	Slc --    whole(486) <      > 	V478 - M486	= -8  %-2  	q= -8  %-2  	 2.769(85)
printNotes: i= 124-<2543 2467  76>,  	F#2 --    128th(  4) <      > 	V  3 - M 30	=-27  %-900  	q= -1  %-33  	 0.012(85)<-----%900   %33 <<

printNotes: i= 125-<1648 2582 -934>,  	 G2 --    1/8th( 61) <      > 	V 75 - M 61	=+14  %+19  	q=+14  %+19  	 0.430(85)
printNotes: i= 126-<2140 2789 -649>,  	 A2 --  1/8th..(106) <      > 	V101 - M 61	=+40  %+40  	q= -5  %-5  	 0.580(85)<-----%40   %5

printNotes: i= 127-<2864 2860   4>,  	Bb2 --   1/16th( 30) <      > 	V 30 - M 30	=  +  %+0  	q=  +  %+0  	 0.168(85)
printNotes: i= 128-<2795 2789   6>,  	 A2 --  1/32nd.( 23) <      > 	V 22 - M 30	= -8  %-36  	q= -1  %-5  	 0.122(85)<-----%36   %5

printNotes: i= 129-<2799 2860 -61>,  	Bb2 -- 1/16th..( 53) <      > 	V 51 - M 30	=+21  %+41  	q= -2  %-4  	 0.290(85)<-----%41   %4

printNotes: i= 130-<   0 2789 -2789>,  	 A2 --    128th(  4) <      > 	V  2 - M 30	=-28  %-1400  	q= -2  %-100  	 0.006(85)<-----%1400   %100 <<

printNotes: i= 131-<2549 2582 -33>,  	 G2 -- 1/32nd..( 27) <      > 	V 27 - M 30	= -3  %-11  	q=  +  %+0  	 0.151(85)<-----%11   %0

printNotes: i= 132-<2481 2467  14>,  	F#2 --    1/4th(121) <1*sela> 	V139 - M121	=+18  %+13  	q=+18  %+13  	 0.801(85)
printNotes: i= 133-<2573 2582  -9>,  	 G2 --    1/8th( 61) <      > 	V 65 - M 61	= +4  %+6  	q= +4  %+6  	 0.372(85)
