	voice Midi Diff								present		 Best		Sec

printNotes: i= 74-<2330 2353 -23>,  	Ak2 -- 1/16th..( 53) <      > 	V 55 - M 61	= -6  %-11  	q= +2  %+4  	 0.313(85)<-----%11   %4

printNotes: i= 75-<2228 2213  15>,  	 G2 --    1/8th( 61) <      > 	V 70 - M 91	=-21  %-30  	q= +9  %+13  	 0.401(85)<-----%30   %13

printNotes: i= 76-<2354 2353   1>,  	Ak2 --   1/16th( 30) <      > 	V 34 - M 30	= +4  %+12  	q= +4  %+12  	 0.192(85)
printNotes: i= 77-<2225 2213  12>,  	 G2 --   1/32nd( 15) <      > 	V 15 - M 30	=-15  %-100  	q=  +  %+0  	 0.081(85)<-----%100   %0 <<

printNotes: i= 78-<2359 2353   6>,  	Ak2 --  1/16th.( 46) <      > 	V 45 - M 46	= -1  %-2  	q= -1  %-2  	 0.255(85)
printNotes: i= 79-<2486 2499 -13>,  	Bb2 --  1/16th.( 46) <      > 	V 41 - M 46	= -5  %-12  	q= -5  %-12  	 0.232(85)
printNotes: i= 80-<2389 2353  36>,  	Ak2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(85)
printNotes: i= 81-<2551 2499  52>,  	Bb2 --  1/32nd.( 23) <      > 	V 22 - M 15	= +7  %+32  	q= -1  %-5  	 0.122(85)<-----%32   %5

printNotes: i= 82-<2371 2353  18>,  	Ak2 --   1/16th( 30) <      > 	V 33 - M 30	= +3  %+9  	q= +3  %+9  	 0.186(85)
printNotes: i= 83-<2511 2499  12>,  	Bb2 --   1/32nd( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(85)
printNotes: i= 84-<2212 2213  -1>,  	 G2 --  1/16th.( 46) <      > 	V 38 - M 15	=+23  %+61  	q= -8  %-21  	 0.215(85)<-----%61   %21

printNotes: i= 85-<2442 2353  89>,  	Ak2 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(85)
printNotes: i= 86-<2214 2213   1>,  	 G2 --  1/16th.( 46) <      > 	V 43 - M 30	=+13  %+30  	q= -3  %-7  	 0.244(85)<-----%30   %7

printNotes: i= 87-<2053 2393 -340>,  	 A2 --   1/64th(  8) <      > 	V  8 - M 15	= -7  %-88  	q=  +  %+0  	 0.041(85)<-----%88   %0 <<

printNotes: i= 88-<2018 2010   8>,  	 F2 -- 1/16th..( 53) <      > 	V 50 - M 15	=+35  %+70  	q= -3  %-6  	 0.284(85)<-----%70   %6

printNotes: i= 89-<2231 2213  18>,  	 G2 --   1/32nd( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(85)
printNotes: i= 90-<2004 2010  -6>,  	 F2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(85)
printNotes: i= 91-<2022 2010  12>,  	 F2 --  1/8th..(106) <      > 	V111 - M121	=-10  %-9  	q= +5  %+5  	 0.639(85)<-- same note<-----%9   %5

