	voice Midi Diff								present		 Best		Sec

printNotes: i= 90-<2232 2203  29>,  	 G2 --   1/16th( 30) <      > 	V 29 - M 15	=+14  %+48  	q= -1  %-3  	 0.163(87)<-----%48   %3

printNotes: i= 91-<1832 2400 -568>,  	 A2 --  1/64th.( 11) <      > 	V  8 - M 15	= -7  %-88  	q= -3  %-38  	 0.041(87)<-----%88   %38 <<

printNotes: i= 92-<2213 2203  10>,  	 G2 -- 1/32nd..( 26) <      > 	V 25 - M 15	=+10  %+40  	q= -1  %-4  	 0.139(87)<-----%40   %4

printNotes: i= 93-<2036 2400 -364>,  	 A2 --  1/64th.( 11) <      > 	V 12 - M 15	= -3  %-25  	q= +1  %+8  	 0.064(87)<-----%25   %8 <<

printNotes: i= 94-<2213 2203  10>,  	 G2 --   1/16th( 30) <      > 	V 28 - M 30	= -2  %-7  	q= -2  %-7  	 0.157(87)
printNotes: i= 95-<1992 1985   7>,  	 F2 --   1/32nd( 15) <      > 	V 15 - M 30	=-15  %-100  	q=  +  %+0  	 0.081(87)<-----%100   %0 <<

printNotes: i= 96-<2052 2203 -151>,  	 G2 -- 1/32nd..( 26) <      > 	V 25 - M 30	= -5  %-20  	q= -1  %-4  	 0.139(87)<-----%20   %4

printNotes: i= 97-<2394 2400  -6>,  	 A2 --    1/4th(118) <      > 	V131 - M158	=-27  %-21  	q=+13  %+10  	 0.755(87)<-----%21   %10

printNotes: i= 98-<2217 2203  14>,  	 G2 --  1/16th.( 44) <      > 	V 42 - M 40	= +2  %+5  	q= -2  %-5  	 0.238(87)
printNotes: i= 99-<2372 2400 -28>,  	 A2 --  1/16th.( 44) <      > 	V 39 - M 39	=  +  %+0  	q= -5  %-13  	 0.221(87)
printNotes: i= 100-<2213 2203  10>,  	 G2 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(87)
printNotes: i= 101-<2092 2400 -308>,  	 A2 --  1/64th.( 11) <      > 	V  8 - M 15	= -7  %-88  	q= -3  %-38  	 0.041(87)<-----%88   %38 <<

printNotes: i= 102-<2179 2203 -24>,  	 G2 -- 1/32nd..( 26) <      > 	V 24 - M 30	= -6  %-25  	q= -2  %-8  	 0.134(87)<-----%25   %8

printNotes: i= 103-<1974 1985 -11>,  	 F2 --   1/32nd( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(87)
printNotes: i= 104-<2198 2203  -5>,  	 G2 --  1/64th.( 11) <      > 	V 11 - M 15	= -4  %-36  	q=  +  %+0  	 0.058(87)<-----%36   %0 <<

printNotes: i= 105-<2001 1985  16>,  	 F2 --  1/32nd.( 22) <      > 	V 20 - M 15	= +5  %+25  	q= -2  %-10  	 0.110(87)<-----%25   %10

printNotes: i= 106-<1678 2203 -525>,  	 G2 -- 1/64th..( 13) <      > 	V 13 - M 15	= -2  %-15  	q=  +  %+0  	 0.070(87)<-----%15   %0 <<

printNotes: i= 107-<2006 1985  21>,  	 F2 --  1/4th..(207) <      > 	V213 - M237	=-24  %-11  	q= +6  %+3  	 1.231(87)<-----%11   %3

printNotes: i= 108-<2208 2203   5>,  	 G2 --    128th(  4) <      > 	V  4 - M 15	=-11  %-275  	q=  +  %+0  	 0.017(87)<-----%275   %0 <<

printNotes: i= 109-<2370 2400 -30>,  	 A2 --    128th(  4) <      > 	V  3 - M 15	=-12  %-400  	q= -1  %-33  	 0.012(87)<-----%400   %33 <<

printNotes: i= 110-<2162 2203 -41>,  	 G2 --  1/16th.( 44) <      > 	V 44 - M 30	=+14  %+32  	q=  +  %+0  	 0.250(87)<-----%32   %0

printNotes: i= 111-<2439 2400  39>,  	 A2 --   1/16th( 30) <      > 	V 29 - M 15	=+14  %+48  	q= -1  %-3  	 0.163(87)<-----%48   %3

printNotes: i= 112-<2587 2476 111>,  	Bb2 --   1/32nd( 15) <      > 	V 18 - M 15	= +3  %+17  	q= +3  %+17  	 0.099(87)
printNotes: i= 113-<2259 2400 -141>,  	 A2 --  1/4th..(207) <      > 	V197 - M237	=-40  %-20  	q=-10  %-5  	 1.138(87)<-----%20   %5



silence
printNotes: i= 114-<   0   40 -40>,  	Slc --     half(237) <1*sela> 	V262 - M178	=+84  %+32  	q=+25  %+10  	 1.515(87)<-----%32   %10

printNotes: i= 115-< 841 1501 -660>,  	 C2 --   1/16th( 30) <      > 	V 29 - M 30	= -1  %-3  	q= -1  %-3  	 0.163(87)
printNotes: i= 116-<1947 1985 -38>,  	 F2 --    1/4th(118) <      > 	V129 - M118	=+11  %+9  	q=+11  %+9  	 0.743(87)
printNotes: i= 117-<1903 2203 -300>,  	 G2 --    1/4th(118) <      > 	V131 - M118	=+13  %+10  	q=+13  %+10  	 0.755(87)
