	voice Midi Diff								present		 Best		Sec

printNotes: i= 70-<1445 1236 209>,  	 A1 --  1/32nd.( 25) <      > 	V 23 - M 25	= -2  %-9  	q= -2  %-9  	 0.128(77)
printNotes: i= 71-<2178 2237 -59>,  	 G2 -- 1/16th..( 59) <      > 	V 59 - M 59	=  +  %+0  	q=  +  %+0  	 0.337(77)
printNotes: i= 72-<2034 2018  16>,  	 F2 --   1/8th.(101) <      > 	V108 - M101	= +7  %+6  	q= +7  %+6  	 0.621(77)
printNotes: i= 73-<2345 2381 -36>,  	Ak2 -- 1/32nd..( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(77)
printNotes: i= 74-<2255 2237  18>,  	 G2 --   1/16th( 34) <      > 	V 41 - M 34	= +7  %+17  	q= +7  %+17  	 0.232(77)
printNotes: i= 75-<2391 2381  10>,  	Ak2 --   1/16th( 34) <      > 	V 35 - M 34	= +1  %+3  	q= +1  %+3  	 0.197(77)
printNotes: i= 76-<2261 2237  24>,  	 G2 --  1/64th.( 13) <      > 	V 12 - M 13	= -1  %-8  	q= -1  %-8  	 0.064(77)
printNotes: i= 77-<2399 2381  18>,  	Ak2 -- 1/64th..( 15) <      > 	V 15 - M 17	= -2  %-13  	q=  +  %+0  	 0.081(77)
printNotes: i= 78-<2227 2237 -10>,  	 G2 --  1/32nd.( 25) <      > 	V 25 - M 25	=  +  %+0  	q=  +  %+0  	 0.139(77)
printNotes: i= 79-<2029 2018  11>,  	 F2 --   1/32nd( 17) <      > 	V 20 - M 17	= +3  %+15  	q= +3  %+15  	 0.110(77)
printNotes: i= 80-<2142 2137   5>,  	F#2 --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(77)
printNotes: i= 81-<2031 2018  13>,  	 F2 --   1/32nd( 17) <      > 	V 20 - M 17	= +3  %+15  	q= +3  %+15  	 0.110(77)
printNotes: i= 82-<2099 2137 -38>,  	F#2 --  128th..(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(77)
printNotes: i= 83-<2029 2018  11>,  	 F2 --  1/32nd.( 25) <      > 	V 26 - M 25	= +1  %+4  	q= +1  %+4  	 0.145(77)
printNotes: i= 84-<1911 1917  -6>,  	 E2 -- 1/64th..( 15) <      > 	V 15 - M 17	= -2  %-13  	q=  +  %+0  	 0.081(77)
printNotes: i= 85-<2004 2018 -14>,  	 F2 -- 1/32nd..( 29) <      > 	V 30 - M 29	= +1  %+3  	q= +1  %+3  	 0.168(77)
printNotes: i= 86-<2228 2237  -9>,  	 G2 --  1/64th.( 13) <      > 	V 14 - M 13	= +1  %+7  	q= +1  %+7  	 0.075(77)
printNotes: i= 87-<1451 1917 -466>,  	 E2 -- 1/64th..( 15) <      > 	V 16 - M 17	= -1  %-6  	q= +1  %+6  	 0.087(77)
printNotes: i= 88-<2017 2018  -1>,  	 F2 -- 1/16th..( 59) <      > 	V 57 - M 59	= -2  %-4  	q= -2  %-4  	 0.325(77)
printNotes: i= 89-<1942 1917  25>,  	 E2 -- 1/64th..( 15) <      > 	V 15 - M 17	= -2  %-13  	q=  +  %+0  	 0.081(77)
printNotes: i= 90-<2232 2237  -5>,  	 G2 --   1/8th.(101) <      > 	V103 - M101	= +2  %+2  	q= +2  %+2  	 0.592(77)
printNotes: i= 91-<1980 2018 -38>,  	 F2 --    1/4th(134) <1*sela> 	V155 - M134	=+21  %+14  	q=+21  %+14  	 0.894(77)
printNotes: i= 92-<2232 2237  -5>,  	 G2 --    1/8th( 67) <      > 	V 69 - M 67	= +2  %+3  	q= +2  %+3  	 0.395(77)
printNotes: i= 93-<1955 1917  38>,  	 E2 --  1/64th.( 13) <      > 	V 12 - M 13	= -1  %-8  	q= -1  %-8  	 0.064(77)
printNotes: i= 94-<2172 2237 -65>,  	 G2 --  1/64th.( 13) <      > 	V 14 - M 13	= +1  %+7  	q= +1  %+7  	 0.075(77)
printNotes: i= 95-<2032 2018  14>,  	 F2 --   1/4th.(201) <-1*sela> 	V178 - M201	=-23  %-13  	q=-23  %-13  	 1.027(77)
printNotes: i= 96-< 896 2237 -1341>,  	 G2 -- 1/64th..( 15) <      > 	V 15 - M 17	= -2  %-13  	q=  +  %+0  	 0.081(77)
printNotes: i= 97-<1847 2018 -171>,  	 F2 --   1/16th( 34) <      > 	V 39 - M 34	= +5  %+13  	q= +5  %+13  	 0.221(77)


silence
printNotes: i= 98-<   0   40 -40>,  	Slc --  whole..(938) <-1*sela> 	V909 - M818	=+91  %+10  	q=-29  %-3  	 5.271(77)<-----%10   %3

printNotes: i= 99-<1559 1536  23>,  	 C2 --   1/16th( 34) <      > 	V 32 - M 34	= -2  %-6  	q= -2  %-6  	 0.180(77)
printNotes: i= 100-<2292 2381 -89>,  	Ak2 --   1/16th( 34) <      > 	V 34 - M 34	=  +  %+0  	q=  +  %+0  	 0.192(77)
