	voice Midi Diff								present		 Best		Sec

printNotes: i= 92-<1666 1678 -12>,  	 D2 -- 1/32nd..( 27) <      > 	V 28 - M 27	= +1  %+4  	q= +1  %+4  	 0.157(83)
printNotes: i= 93-<1452 1476 -24>,  	 C2 -- 1/32nd..( 27) <      > 	V 25 - M 23	= +2  %+8  	q= -2  %-8  	 0.139(83)
printNotes: i= 94-<1386 1376  10>,  	 B1 --   1/32nd( 16) <      > 	V 19 - M 16	= +3  %+16  	q= +3  %+16  	 0.104(83)
printNotes: i= 95-<1481 1476   5>,  	 C2 --     half(248) <      > 	V253 - M248	= +5  %+2  	q= +5  %+2  	 1.463(83)


silence
printNotes: i= 96-<   0   40 -40>,  	Slc --   whole.(744) <-5*sela> 	V649 - M744	=-95  %-15  	q=-95  %-15  	 3.762(83)
printNotes: i= 97-<1656 1476 180>,  	 C2 --  1/32nd.( 23) <      > 	V 20 - M 23	= -3  %-15  	q= -3  %-15  	 0.110(83)
printNotes: i= 98-<2167 2387 -220>,  	 A2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(83)
printNotes: i= 99-<2230 2190  40>,  	 G2 --  128th..(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(83)
printNotes: i= 100-<2327 2387 -60>,  	 A2 --   128th.(  6) <      > 	V  6 - M  6	=  +  %+0  	q=  +  %+0  	 0.029(83)
printNotes: i= 101-<2184 2190  -6>,  	 G2 --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(83)
printNotes: i= 102-<2043 1969  74>,  	 F2 --  1/64th.( 12) <      > 	V  9 - M 12	= -3  %-33  	q= -3  %-33  	 0.046(83)
printNotes: i= 103-<2195 2190   5>,  	 G2 --  1/16th.( 47) <      > 	V 47 - M 47	=  +  %+0  	q=  +  %+0  	 0.267(83)
printNotes: i= 104-<2194 2190   4>,  	 G2 --  1/8th..(109) <      > 	V108 - M109	= -1  %-1  	q= -1  %-1  	 0.621(83)<-- same note


silence
printNotes: i= 105-<   0   40 -40>,  	Slc --   1/16th( 31) <      > 	V 38 - M 31	= +7  %+18  	q= +7  %+18  	 0.215(83)
printNotes: i= 106-<2128 2190 -62>,  	 G2 --  1/4th..(217) <      > 	V226 - M217	= +9  %+4  	q= +9  %+4  	 1.306(83)
printNotes: i= 107-<2207 2190  17>,  	 G2 --  1/32nd.( 23) <      > 	V 23 - M 23	=  +  %+0  	q=  +  %+0  	 0.128(83)<-- same note
printNotes: i= 108-<2420 2487 -67>,  	Bb2 -- 1/64th..( 14) <      > 	V 15 - M 16	= -1  %-7  	q= +1  %+7  	 0.081(83)
printNotes: i= 109-<2191 2190   1>,  	 G2 --    1/8th( 62) <      > 	V 61 - M 62	= -1  %-2  	q= -1  %-2  	 0.348(83)
printNotes: i= 110-<2211 2190  21>,  	 G2 --  1/16th.( 47) <      > 	V 47 - M 47	=  +  %+0  	q=  +  %+0  	 0.267(83)<-- same note
printNotes: i= 111-<1747 2487 -740>,  	Bb2 -- 1/64th..( 14) <      > 	V 14 - M 12	= +2  %+14  	q=  +  %+0  	 0.075(83)
printNotes: i= 112-<1828 2190 -362>,  	 G2 --   1/8th.( 93) <      > 	V 99 - M 93	= +6  %+6  	q= +6  %+6  	 0.569(83)


silence
