	voice Midi Diff								present		 Best		Sec

printNotes: i= 64-<1613 1724 -111>,  	 D2 --    1/4th(129) <1*sela> 	V147 - M129	=+18  %+12  	q=+18  %+12  	 0.848(80)
printNotes: i= 65-<1901 1914 -13>,  	 E2 --   1/8th.( 97) <      > 	V 84 - M 97	=-13  %-15  	q=-13  %-15  	 0.482(80)
printNotes: i= 66-<1994 2026 -32>,  	 F2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(80)
printNotes: i= 67-<1931 1914  17>,  	 E2 -- 1/32nd..( 28) <      > 	V 27 - M 28	= -1  %-4  	q= -1  %-4  	 0.151(80)
printNotes: i= 68-<1992 2026 -34>,  	 F2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(80)
printNotes: i= 69-<1925 1914  11>,  	 E2 -- 1/64th..( 14) <      > 	V 14 - M 16	= -2  %-14  	q=  +  %+0  	 0.075(80)
printNotes: i= 70-<2051 2026  25>,  	 F2 --  1/64th.( 12) <      > 	V 13 - M 14	= -1  %-8  	q= +1  %+8  	 0.070(80)
printNotes: i= 71-<1907 1914  -7>,  	 E2 -- 1/64th..( 14) <      > 	V 15 - M 16	= -1  %-7  	q= +1  %+7  	 0.081(80)
printNotes: i= 72-<1988 2026 -38>,  	 F2 -- 1/64th..( 14) <      > 	V 15 - M 16	= -1  %-7  	q= +1  %+7  	 0.081(80)
printNotes: i= 73-<1104 1724 -620>,  	 D2 --   1/16th( 32) <      > 	V 35 - M 32	= +3  %+9  	q= +3  %+9  	 0.197(80)
printNotes: i= 74-<1442 1515 -73>,  	 C2 --     half(257) <2*sela> 	V293 - M257	=+36  %+12  	q=+36  %+12  	 1.695(80)


silence
printNotes: i= 75-<   0   40 -40>,  	Slc --    whole(515) <      > 	V525 - M521	= +4  %+1  	q=+10  %+2  	 3.042(80)
printNotes: i= 76-< 639 1015 -376>,  	 G1 -- 1/16th..( 56) <      > 	V 57 - M 56	= +1  %+2  	q= +1  %+2  	 0.325(80)
printNotes: i= 77-<1251 1515 -264>,  	 C2 --  1/8th..(113) <      > 	V117 - M113	= +4  %+3  	q= +4  %+3  	 0.673(80)
printNotes: i= 78-< 222 1515 -1293>,  	 C2 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(80)<-- same note
printNotes: i= 79-<1502 1515 -13>,  	 C2 --    1/8th( 64) <      > 	V 64 - M 64	=  +  %+0  	q=  +  %+0  	 0.366(80)<-- same note
printNotes: i= 80-<1513 1515  -2>,  	 C2 --  1/16th.( 48) <      > 	V 48 - M 48	=  +  %+0  	q=  +  %+0  	 0.273(80)<-- same note


silence
printNotes: i= 81-<   0   40 -40>,  	Slc --   1/8th.( 97) <      > 	V 93 - M 97	= -4  %-4  	q= -4  %-4  	 0.534(80)
printNotes: i= 82-<1325 1515 -190>,  	 C2 --   1/16th( 32) <      > 	V 31 - M 32	= -1  %-3  	q= -1  %-3  	 0.174(80)
printNotes: i= 83-<1727 1724   3>,  	 D2 --   1/4th.(193) <      > 	V193 - M193	=  +  %+0  	q=  +  %+0  	 1.115(80)
printNotes: i= 84-<2035 2026   9>,  	 F2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(80)
printNotes: i= 85-<1737 1724  13>,  	 D2 --   1/16th( 32) <      > 	V 33 - M 32	= +1  %+3  	q= +1  %+3  	 0.186(80)
