	voice Midi Diff								present		 Best		Sec

printNotes: i= 95-<2241 2230  11>,  	 G2 --   1/4th.(184) <      > 	V181 - M184	= -3  %-2  	q= -3  %-2  	 1.045(84)
printNotes: i= 96-<2825 2922 -97>,  	 D3 --  1/64th.( 11) <      > 	V  9 - M  8	= +1  %+11  	q= -2  %-22  	 0.046(84)


silence
printNotes: i= 97-<  27   40 -13>,  	Slc --   whole.(735) <-6*sela> 	V644 - M313	=+331  %+51  	q=-91  %-14  	 3.733(84)<-----%51   %14

printNotes: i= 98-<1365 1326  39>,  	Bb1 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(84)
printNotes: i= 99-<1975 2024 -49>,  	 F2 --  1/16th.( 46) <      > 	V 45 - M 46	= -1  %-2  	q= -1  %-2  	 0.255(84)
printNotes: i= 100-<2236 2230   6>,  	 G2 --   1/16th( 31) <      > 	V 36 - M 31	= +5  %+14  	q= +5  %+14  	 0.203(84)
printNotes: i= 101-<2416 2429 -13>,  	 A2 --  1/16th.( 46) <      > 	V 47 - M 46	= +1  %+2  	q= +1  %+2  	 0.267(84)
printNotes: i= 102-<2528 2527   1>,  	Bb2 --   1/4th.(184) <      > 	V182 - M184	= -2  %-1  	q= -2  %-1  	 1.051(84)
printNotes: i= 103-<2271 2230  41>,  	 G2 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(84)
printNotes: i= 104-<2527 2566 -39>,  	 B2 --  1/64th.( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(84)
printNotes: i= 105-<2458 2429  29>,  	 A2 --     half(245) <      > 	V236 - M245	= -9  %-4  	q= -9  %-4  	 1.364(84)
printNotes: i= 106-<2571 2566   5>,  	 B2 --  1/32nd.( 23) <      > 	V 19 - M 15	= +4  %+21  	q= -4  %-21  	 0.104(84)
printNotes: i= 107-<2138 2429 -291>,  	 A2 --   1/32nd( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(84)
printNotes: i= 108-<2153 2230 -77>,  	 G2 --  1/16th.( 46) <      > 	V 40 - M 46	= -6  %-15  	q= -6  %-15  	 0.226(84)
printNotes: i= 109-<2519 2566 -47>,  	 B2 --   1/32nd( 15) <      > 	V 15 - M 13	= +2  %+13  	q=  +  %+0  	 0.081(84)
printNotes: i= 110-<2452 2429  23>,  	 A2 -- 1/32nd..( 27) <      > 	V 25 - M 27	= -2  %-8  	q= -2  %-8  	 0.139(84)
printNotes: i= 111-<2646 2709 -63>,  	 C3 --  1/32nd.( 23) <      > 	V 23 - M 23	=  +  %+0  	q=  +  %+0  	 0.128(84)
printNotes: i= 112-<2554 2527  27>,  	Bb2 --   1/32nd( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(84)
printNotes: i= 113-<2708 2709  -1>,  	 C3 --   1/4th.(184) <      > 	V174 - M184	=-10  %-6  	q=-10  %-6  	 1.004(84)
printNotes: i= 114-<2458 2429  29>,  	 A2 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(84)
printNotes: i= 115-<2688 2709 -21>,  	 C3 -- 1/64th..( 13) <      > 	V 14 - M 15	= -1  %-7  	q= +1  %+7  	 0.075(84)
printNotes: i= 116-<2611 2566  45>,  	 B2 --  1/8th..(107) <      > 	V107 - M107	=  +  %+0  	q=  +  %+0  	 0.615(84)
printNotes: i= 117-< 835 2709 -1874>,  	 C3 -- 1/64th..( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(84)
printNotes: i= 118-<2459 2566 -107>,  	 B2 --   1/16th( 31) <      > 	V 34 - M 31	= +3  %+9  	q= +3  %+9  	 0.192(84)
printNotes: i= 119-< 893 2709 -1816>,  	 C3 --  1/64th.( 11) <      > 	V 12 - M 11	= +1  %+8  	q= +1  %+8  	 0.064(84)
printNotes: i= 120-<2105 2566 -461>,  	 B2 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(84)


silence
printNotes: i= 121-<   0   40 -40>,  	Slc -- 1/64th..( 13) <      > 	V 14 - M123	=-109  %-779  	q= +1  %+7  	 0.075(84)<-----%779   %7 <<

printNotes: i= 122-<1779 1734  45>,  	 D2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(84)
printNotes: i= 123-<2431 2429   2>,  	 A2 --  1/16th.( 46) <      > 	V 45 - M 46	= -1  %-2  	q= -1  %-2  	 0.255(84)
printNotes: i= 124-<2601 2566  35>,  	 B2 --   1/16th( 31) <      > 	V 36 - M 31	= +5  %+14  	q= +5  %+14  	 0.203(84)
printNotes: i= 125-<2699 2709 -10>,  	 C3 --  1/16th.( 46) <      > 	V 44 - M 46	= -2  %-5  	q= -2  %-5  	 0.250(84)
printNotes: i= 126-<2586 2566  20>,  	 B2 -- 1/64th..( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(84)
printNotes: i= 127-<2925 2922   3>,  	 D3 --   1/4th.(184) <-1*sela> 	V166 - M184	=-18  %-11  	q=-18  %-11  	 0.958(84)
printNotes: i= 128-<2631 2566  65>,  	 B2 --  1/64th.( 11) <      > 	V 12 - M 11	= +1  %+8  	q= +1  %+8  	 0.064(84)
printNotes: i= 129-<1272 2922 -1650>,  	 D3 --  1/64th.( 11) <      > 	V  9 - M 11	= -2  %-22  	q= -2  %-22  	 0.046(84)
printNotes: i= 130-<2719 2709  10>,  	 C3 --     half(245) <3*sela> 	V292 - M245	=+47  %+16  	q=+47  %+16  	 1.689(84)


silence
printNotes: i= 131-<   0   40 -40>,  	Slc --    1/8th( 61) <      > 	V 64 - M129	=-65  %-102  	q= +3  %+5  	 0.366(84)<-----%102   %5

printNotes: i= 132-<2553 2527  26>,  	Bb2 --    128th(  4) <      > 	V  3 - M  4	= -1  %-33  	q= -1  %-33  	 0.012(84)
printNotes: i= 133-<2732 2709  23>,  	 C3 --   1/16th( 31) <      > 	V 30 - M 31	= -1  %-3  	q= -1  %-3  	 0.168(84)
printNotes: i= 134-<2624 2566  58>,  	 B2 --  1/64th.( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(84)
printNotes: i= 135-<2704 2709  -5>,  	 C3 --  1/16th.( 46) <      > 	V 40 - M 46	= -6  %-15  	q= -6  %-15  	 0.226(84)
