	voice Midi Diff								present		 Best		Sec

printNotes: i= 96-<2062 2688 -626>,  	 C3 --    1/8th( 63) <      > 	V 63 - M 63	=  +  %+0  	q=  +  %+0  	 0.360(82)
printNotes: i= 97-<2694 2688   6>,  	 C3 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(82)<-- same note
printNotes: i= 98-<2687 2688  -1>,  	 C3 --    1/4th(126) <      > 	V122 - M126	= -4  %-3  	q= -4  %-3  	 0.702(82)<-- same note
printNotes: i= 99-<1306 2588 -1282>,  	 B2 --    1/8th( 63) <      > 	V 69 - M 63	= +6  %+9  	q= +6  %+9  	 0.395(82)
printNotes: i= 100-<2667 2688 -21>,  	 C3 --   1/32nd( 16) <      > 	V 19 - M 16	= +3  %+16  	q= +3  %+16  	 0.104(82)


silence
printNotes: i= 101-<   0   40 -40>,  	Slc --   1/16th( 31) <      > 	V 36 - M 31	= +5  %+14  	q= +5  %+14  	 0.203(82)
printNotes: i= 102-<2600 2899 -299>,  	 D3 --   1/4th.(189) <      > 	V177 - M189	=-12  %-7  	q=-12  %-7  	 1.022(82)


silence
printNotes: i= 103-<   0   40 -40>,  	Slc --  1/64th.( 12) <      > 	V 11 - M126	=-115  %-1045  	q= -1  %-9  	 0.058(82)<-----%1045   %9 <<

printNotes: i= 104-<2007 1988  19>,  	 F2 --    128th(  4) <      > 	V  4 - M  4	=  +  %+0  	q=  +  %+0  	 0.017(82)
printNotes: i= 105-<2065 2199 -134>,  	 G2 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(82)
printNotes: i= 106-<2538 1988 550>,  	 F2 --    128th(  4) <      > 	V  4 - M  4	=  +  %+0  	q=  +  %+0  	 0.017(82)
printNotes: i= 107-<2866 2959 -93>,  	Eb3 --  1/16th.( 47) <      > 	V 47 - M 47	=  +  %+0  	q=  +  %+0  	 0.267(82)
printNotes: i= 108-<2894 2899  -5>,  	 D3 --  1/32nd.( 24) <      > 	V 23 - M 24	= -1  %-4  	q= -1  %-4  	 0.128(82)
printNotes: i= 109-<2954 2959  -5>,  	Eb3 --  1/8th..(110) <      > 	V114 - M110	= +4  %+4  	q= +4  %+4  	 0.656(82)
printNotes: i= 110-<3176 3188 -12>,  	 F3 --  1/32nd.( 24) <      > 	V 24 - M 24	=  +  %+0  	q=  +  %+0  	 0.134(82)
printNotes: i= 111-<2848 2959 -111>,  	Eb3 -- 1/32nd..( 28) <      > 	V 27 - M 28	= -1  %-4  	q= -1  %-4  	 0.151(82)
printNotes: i= 112-<3188 3188    >,  	 F3 --  1/64th.( 12) <      > 	V  9 - M 12	= -3  %-33  	q= -3  %-33  	 0.046(82)
printNotes: i= 113-<3182 2959 223>,  	Eb3 --    128th(  4) <      > 	V  1 - M  4	= -3  %-300  	q= -3  %-300  	 0.000(82)


silence
printNotes: i= 114-<   0   40 -40>,  	Slc --   1/16th( 31) <      > 	V 32 - M 31	= +1  %+3  	q= +1  %+3  	 0.180(82)
printNotes: i= 115-<2891 2899  -8>,  	 D3 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(82)
printNotes: i= 116-<2956 2959  -3>,  	Eb3 -- 1/32nd..( 28) <      > 	V 28 - M 28	=  +  %+0  	q=  +  %+0  	 0.157(82)
printNotes: i= 117-<2895 2899  -4>,  	 D3 --   1/8th.( 94) <      > 	V 91 - M 94	= -3  %-3  	q= -3  %-3  	 0.522(82)
printNotes: i= 118-<2950 2959  -9>,  	Eb3 -- 1/32nd..( 28) <      > 	V 26 - M 24	= +2  %+8  	q= -2  %-8  	 0.145(82)
printNotes: i= 119-<2920 2899  21>,  	 D3 -- 1/32nd..( 28) <      > 	V 27 - M 28	= -1  %-4  	q= -1  %-4  	 0.151(82)
printNotes: i= 120-<2949 2959 -10>,  	Eb3 --  1/32nd.( 24) <      > 	V 22 - M 24	= -2  %-9  	q= -2  %-9  	 0.122(82)


silence
printNotes: i= 121-<2911   40 2871>,  	Slc --    128th(  4) <      > 	V  4 - M  4	=  +  %+0  	q=  +  %+0  	 0.017(82)
printNotes: i= 122-<2909 2899  10>,  	 D3 --  1/16th.( 47) <      > 	V 42 - M 47	= -5  %-12  	q= -5  %-12  	 0.238(82)
printNotes: i= 123-<2950 2959  -9>,  	Eb3 --  1/64th.( 12) <      > 	V 13 - M 12	= +1  %+8  	q= +1  %+8  	 0.070(82)
printNotes: i= 124-<2669 2688 -19>,  	 C3 --  1/16th.( 47) <      > 	V 48 - M 47	= +1  %+2  	q= +1  %+2  	 0.273(82)
printNotes: i= 125-<2926 2959 -33>,  	Eb3 --  1/64th.( 12) <      > 	V  9 - M 12	= -3  %-33  	q= -3  %-33  	 0.046(82)


silence
printNotes: i= 126-<1488   40 1448>,  	Slc --    128th(  4) <      > 	V  2 - M  4	= -2  %-100  	q= -2  %-100  	 0.006(82)
printNotes: i= 127-<2644 2688 -44>,  	 C3 --   1/8th.( 94) <      > 	V 79 - M 94	=-15  %-19  	q=-15  %-19  	 0.453(82)
printNotes: i= 128-<2574 2588 -14>,  	 B2 -- 1/64th..( 14) <      > 	V 15 - M 14	= +1  %+7  	q= +1  %+7  	 0.081(82)
printNotes: i= 129-<2661 2688 -27>,  	 C3 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(82)
printNotes: i= 130-<2606 2588  18>,  	 B2 --    1/8th( 63) <      > 	V 68 - M 63	= +5  %+7  	q= +5  %+7  	 0.389(82)
printNotes: i= 131-< 634 2329 -1695>,  	Ak2 -- 1/64th..( 14) <      > 	V 15 - M 16	= -1  %-7  	q= +1  %+7  	 0.081(82)
printNotes: i= 132-<2356 2688 -332>,  	 C3 --  1/8th..(110) <      > 	V113 - M110	= +3  %+3  	q= +3  %+3  	 0.650(82)
printNotes: i= 133-<1422 2899 -1477>,  	 D3 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(82)
printNotes: i= 134-<2549 2688 -139>,  	 C3 --   1/8th.( 94) <      > 	V 92 - M 94	= -2  %-2  	q= -2  %-2  	 0.528(82)


silence
printNotes: i= 135-<   0   40 -40>,  	Slc --  1/4th..(220) <      > 	V224 - M257	=-33  %-15  	q= +4  %+2  	 1.295(82)<-----%15   %2

printNotes: i= 136-<1624 1495 129>,  	 C2 -- 1/32nd..( 28) <      > 	V 27 - M 28	= -1  %-4  	q= -1  %-4  	 0.151(82)
printNotes: i= 137-<2556 2688 -132>,  	 C3 --   1/16th( 31) <      > 	V 38 - M 31	= +7  %+18  	q= +7  %+18  	 0.215(82)
printNotes: i= 138-<2598 2588  10>,  	 B2 --   1/4th.(189) <-1*sela> 	V170 - M189	=-19  %-11  	q=-19  %-11  	 0.981(82)
printNotes: i= 139-<2717 2688  29>,  	 C3 -- 1/32nd..( 28) <      > 	V 27 - M 28	= -1  %-4  	q= -1  %-4  	 0.151(82)
printNotes: i= 140-<2905 2899   6>,  	 D3 -- 1/32nd..( 28) <      > 	V 29 - M 28	= +1  %+3  	q= +1  %+3  	 0.163(82)
printNotes: i= 141-<3151 3188 -37>,  	 F3 --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(82)
printNotes: i= 142-<2930 2899  31>,  	 D3 --   1/32nd( 16) <      > 	V 19 - M 16	= +3  %+16  	q= +3  %+16  	 0.104(82)
printNotes: i= 143-<3025 3188 -163>,  	 F3 --  1/64th.( 12) <      > 	V 11 - M 12	= -1  %-9  	q= -1  %-9  	 0.058(82)
printNotes: i= 144-<2651 2688 -37>,  	 C3 --   1/4th.(189) <      > 	V184 - M189	= -5  %-3  	q= -5  %-3  	 1.062(82)
printNotes: i= 145-<2967 2959   8>,  	Eb3 --  1/64th.( 12) <      > 	V  9 - M 12	= -3  %-33  	q= -3  %-33  	 0.046(82)
printNotes: i= 146-<2525 2688 -163>,  	 C3 --   1/16th( 31) <      > 	V 30 - M 31	= -1  %-3  	q= -1  %-3  	 0.168(82)
printNotes: i= 147-<2578 2588 -10>,  	 B2 --   1/16th( 31) <      > 	V 35 - M 31	= +4  %+11  	q= +4  %+11  	 0.197(82)
printNotes: i= 148-<2688 2688    >,  	 C3 --  1/16th.( 47) <      > 	V 42 - M 47	= -5  %-12  	q= -5  %-12  	 0.238(82)
printNotes: i= 149-<2601 2588  13>,  	 B2 --   1/4th.(189) <      > 	V199 - M189	=+10  %+5  	q=+10  %+5  	 1.149(82)
printNotes: i= 150-<2706 2688  18>,  	 C3 -- 1/32nd..( 28) <      > 	V 28 - M 28	=  +  %+0  	q=  +  %+0  	 0.157(82)
printNotes: i= 151-<2898 2899  -1>,  	 D3 -- 1/32nd..( 28) <      > 	V 28 - M 28	=  +  %+0  	q=  +  %+0  	 0.157(82)
printNotes: i= 152-<3033 3059 -26>,  	 E3 --  1/64th.( 12) <      > 	V  9 - M 12	= -3  %-33  	q= -3  %-33  	 0.046(82)
