	voice Midi Diff								present		 Best		Sec

printNotes: i= 128-<2228 2233  -5>,  	 G2 --   1/8th.( 95) <      > 	V 87 - M 95	= -8  %-9  	q= -8  %-9  	 0.499(81)
printNotes: i= 129-<2025 2016   9>,  	 F2 --   1/4th.(190) <      > 	V193 - M190	= +3  %+2  	q= +3  %+2  	 1.115(81)
printNotes: i= 130-<1941 1918  23>,  	 E2 --  1/64th.( 12) <      > 	V 11 - M 12	= -1  %-9  	q= -1  %-9  	 0.058(81)
printNotes: i= 131-<2105 2116 -11>,  	F#2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(81)
printNotes: i= 132-<2019 2016   3>,  	 F2 --     half(254) <2*sela> 	V294 - M254	=+40  %+14  	q=+40  %+14  	 1.701(81)
printNotes: i= 133-<1299 2333 -1034>,  	Ab2 --  128th..(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(81)
printNotes: i= 134-<1939 2016 -77>,  	 F2 --    1/8th( 63) <      > 	V 76 - M 63	=+13  %+17  	q=+13  %+17  	 0.435(81)


silence
printNotes: i= 135-<   0   40 -40>,  	Slc --    half.(381) <      > 	V388 - M388	=  +  %+0  	q= +7  %+2  	 2.247(81)
printNotes: i= 136-<1774 1727  47>,  	 D2 --   1/64th(  8) <      > 	V 10 - M 12	= -2  %-20  	q= +2  %+20  	 0.052(81)
printNotes: i= 137-<2178 2233 -55>,  	 G2 --   1/32nd( 16) <      > 	V 19 - M 16	= +3  %+16  	q= +3  %+16  	 0.104(81)


silence
printNotes: i= 138-<   0   40 -40>,  	Slc --   1/16th( 32) <      > 	V 36 - M 32	= +4  %+11  	q= +4  %+11  	 0.203(81)
printNotes: i= 139-<1927 1918   9>,  	 E2 --   1/64th(  8) <      > 	V 10 - M  8	= +2  %+20  	q= +2  %+20  	 0.052(81)
printNotes: i= 140-<1922 2016 -94>,  	 F2 --  1/8th..(111) <      > 	V118 - M127	= -9  %-8  	q= +7  %+6  	 0.679(81)
printNotes: i= 141-< 428 1918 -1490>,  	 E2 --   1/16th( 32) <      > 	V 31 - M 32	= -1  %-3  	q= -1  %-3  	 0.174(81)
printNotes: i= 142-<1988 2016 -28>,  	 F2 --   128th.(  6) <      > 	V  6 - M  6	=  +  %+0  	q=  +  %+0  	 0.029(81)
printNotes: i= 143-<1910 1918  -8>,  	 E2 --    128th(  4) <      > 	V  4 - M  4	=  +  %+0  	q=  +  %+0  	 0.017(81)
