	voice Midi Diff								present		 Best		Sec

printNotes: i= 95-<1927 2242 -315>,  	 G2 --  1/64th.( 12) <      > 	V 11 - M 12	= -1  %-9  	q= -1  %-9  	 0.058(82)
printNotes: i= 96-<1932 1933  -1>,  	 E2 --   1/16th( 31) <      > 	V 34 - M 31	= +3  %+9  	q= +3  %+9  	 0.192(82)
printNotes: i= 97-<1748 1740   8>,  	 D2 -- 1/32nd..( 27) <      > 	V 26 - M 24	= +2  %+8  	q= -1  %-4  	 0.145(82)
printNotes: i= 98-<1517 1538 -21>,  	 C2 --  1/32nd.( 24) <      > 	V 25 - M 24	= +1  %+4  	q= +1  %+4  	 0.139(82)
printNotes: i= 99-<1411 1438 -27>,  	 B1 --  1/32nd.( 24) <      > 	V 22 - M 24	= -2  %-9  	q= -2  %-9  	 0.122(82)
printNotes: i= 100-<1541 1538   3>,  	 C2 --  1/4th..(220) <      > 	V222 - M220	= +2  %+1  	q= +2  %+1  	 1.283(82)
printNotes: i= 101-<1871 1933 -62>,  	 E2 --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(82)
printNotes: i= 102-<1640 1538 102>,  	 C2 --   1/64th(  8) <      > 	V  8 - M  7	= +1  %+12  	q=  +  %+0  	 0.041(82)


silence
printNotes: i= 103-<   0   40 -40>,  	Slc --  whole..(880) <-2*sela> 	V843 - M766	=+77  %+9  	q=-37  %-4  	 4.888(82)<-----%9   %4

printNotes: i= 104-<1399 1238 161>,  	 A1 --  1/32nd.( 24) <      > 	V 21 - M 24	= -3  %-14  	q= -3  %-14  	 0.116(82)
printNotes: i= 105-<2221 2242 -21>,  	 G2 --  1/4th..(220) <      > 	V225 - M220	= +5  %+2  	q= +5  %+2  	 1.300(82)
printNotes: i= 106-<1508 2032 -524>,  	 F2 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(82)
printNotes: i= 107-<2227 2242 -15>,  	 G2 --    1/4th(126) <      > 	V131 - M126	= +5  %+4  	q= +5  %+4  	 0.755(82)
printNotes: i= 108-<2249 2242   7>,  	 G2 --  1/32nd.( 24) <      > 	V 24 - M 24	=  +  %+0  	q=  +  %+0  	 0.134(82)<-- same note
printNotes: i= 109-<2256 2242  14>,  	 G2 --  1/16th.( 47) <      > 	V 47 - M 47	=  +  %+0  	q=  +  %+0  	 0.267(82)<-- same note
printNotes: i= 110-< 335 2032 -1697>,  	 F2 --   1/32nd( 16) <      > 	V 18 - M 16	= +2  %+11  	q= +2  %+11  	 0.099(82)
printNotes: i= 111-<1881 2242 -361>,  	 G2 --     half(251) <      > 	V261 - M251	=+10  %+4  	q=+10  %+4  	 1.509(82)
printNotes: i= 112-<2219 2242 -23>,  	 G2 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(82)<-- same note
