	voice Midi Diff								present		 Best		Sec

printNotes: i= 80-<1882 1888  -6>,  	 E2 --  1/8th..(137) <      > 	V138 - M137	= +1  %+1  	q= +1  %+1  	 0.795(66)
printNotes: i= 81-<1720 1700  20>,  	 D2 --  1/32nd.( 29) <      > 	V 30 - M 29	= +1  %+3  	q= +1  %+3  	 0.168(66)
printNotes: i= 82-<1696 1700  -4>,  	 D2 --   1/16th( 39) <      > 	V 39 - M 39	=  +  %+0  	q=  +  %+0  	 0.221(66)<-- same note
printNotes: i= 83-<1881 1888  -7>,  	 E2 -- 1/32nd..( 34) <      > 	V 35 - M 34	= +1  %+3  	q= +1  %+3  	 0.197(66)
printNotes: i= 84-<1698 1700  -2>,  	 D2 --  1/64th.( 15) <      > 	V 16 - M 17	= -1  %-6  	q= +1  %+6  	 0.087(66)
printNotes: i= 85-<1777 1765  12>,  	Eb2 --  128th..(  9) <      > 	V  9 - M  9	=  +  %+0  	q=  +  %+0  	 0.046(66)
printNotes: i= 86-<1679 1700 -21>,  	 D2 --   1/32nd( 20) <      > 	V 24 - M 20	= +4  %+17  	q= +4  %+17  	 0.134(66)
printNotes: i= 87-<1494 1491   3>,  	 C2 --   1/32nd( 20) <      > 	V 19 - M 20	= -1  %-5  	q= -1  %-5  	 0.104(66)
printNotes: i= 88-<1554 1600 -46>,  	Db2 --   128th.(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(66)
printNotes: i= 89-<1275 1491 -216>,  	 C2 --  1/16th.( 59) <      > 	V 61 - M 59	= +2  %+3  	q= +2  %+3  	 0.348(66)
printNotes: i= 90-<1410 1491 -81>,  	 C2 -- 1/16th..( 68) <      > 	V 68 - M 68	=  +  %+0  	q=  +  %+0  	 0.389(66)<-- same note
printNotes: i= 91-<1488 1491  -3>,  	 C2 --    1/4th(157) <      > 	V157 - M157	=  +  %+0  	q=  +  %+0  	 0.906(66)<-- same note


silence
printNotes: i= 92-<   0   40 -40>,  	Slc --    half.(470) <-1*sela> 	V437 - M322	=+115  %+26  	q=-33  %-8  	 2.531(66)<-----%26   %8

printNotes: i= 93-< 985  991  -6>,  	 G1 --  1/16th.( 59) <      > 	V 54 - M 59	= -5  %-9  	q= -5  %-9  	 0.308(66)
printNotes: i= 94-<1466 1491 -25>,  	 C2 --   1/4th.(235) <      > 	V254 - M235	=+19  %+7  	q=+19  %+7  	 1.469(66)
printNotes: i= 95-<1381 1391 -10>,  	 B1 --   1/32nd( 20) <      > 	V 19 - M 20	= -1  %-5  	q= -1  %-5  	 0.104(66)
printNotes: i= 96-<1410 1491 -81>,  	 C2 --   1/8th.(117) <      > 	V126 - M117	= +9  %+7  	q= +9  %+7  	 0.726(66)
printNotes: i= 97-<1341 1391 -50>,  	 B1 --  1/64th.( 15) <      > 	V 13 - M 15	= -2  %-15  	q= -2  %-15  	 0.070(66)
printNotes: i= 98-<1090 1491 -401>,  	 C2 --   1/16th( 39) <      > 	V 48 - M 39	= +9  %+19  	q= +9  %+19  	 0.273(66)
printNotes: i= 99-<1383 1700 -317>,  	 D2 --   1/8th.(117) <      > 	V101 - M117	=-16  %-16  	q=-16  %-16  	 0.580(66)
printNotes: i= 100-<1867 1888 -21>,  	 E2 --   128th.(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(66)
printNotes: i= 101-<1717 1700  17>,  	 D2 --   1/16th( 39) <      > 	V 39 - M 39	=  +  %+0  	q=  +  %+0  	 0.221(66)


silence
printNotes: i= 102-<   0   40 -40>,  	Slc --  1/16th.( 59) <      > 	V 59 - M 85	=-26  %-44  	q=  +  %+0  	 0.337(66)<-----%44   %0

