	voice Midi Diff								present		 Best		Sec

printNotes: i= 119-<2617 2664 -47>,  	 C3 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(81)
printNotes: i= 120-<2398 2406  -8>,  	 A2 -- 1/32nd..( 28) <      > 	V 29 - M 28	= +1  %+3  	q= +1  %+3  	 0.163(81)
printNotes: i= 121-<2225 2223   2>,  	 G2 -- 1/32nd..( 28) <      > 	V 27 - M 28	= -1  %-4  	q= -1  %-4  	 0.151(81)


silence
printNotes: i= 122-<   0   40 -40>,  	Slc -- 1/32nd..( 28) <      > 	V 29 - M 28	= +1  %+3  	q= +1  %+3  	 0.163(81)
printNotes: i= 123-<2021 2007  14>,  	 F2 -- 1/32nd..( 28) <      > 	V 28 - M 28	=  +  %+0  	q=  +  %+0  	 0.157(81)
printNotes: i= 124-<2213 2223 -10>,  	 G2 --   1/16th( 32) <      > 	V 39 - M 32	= +7  %+18  	q= +7  %+18  	 0.221(81)
printNotes: i= 125-<2050 2007  43>,  	 F2 --    1/4th(128) <      > 	V131 - M128	= +3  %+2  	q= +3  %+2  	 0.755(81)
printNotes: i= 126-<2236 2223  13>,  	 G2 --  1/16th.( 48) <      > 	V 50 - M 48	= +2  %+4  	q= +2  %+4  	 0.284(81)
printNotes: i= 127-<2549 2484  65>,  	Bb2 --   1/16th( 32) <      > 	V 36 - M 32	= +4  %+11  	q= +4  %+11  	 0.203(81)


silence
printNotes: i= 128-<   0   40 -40>,  	Slc --    1/4th(128) <1*sela> 	V144 - M128	=+16  %+11  	q=+16  %+11  	 0.830(81)
printNotes: i= 129-<2041 2007  34>,  	 F2 --  1/16th.( 48) <      > 	V 40 - M 48	= -8  %-20  	q= -8  %-20  	 0.226(81)
printNotes: i= 130-<2419 2406  13>,  	 A2 --   1/8th.( 96) <      > 	V 99 - M 96	= +3  %+3  	q= +3  %+3  	 0.569(81)
printNotes: i= 131-<2643 2664 -21>,  	 C3 --  1/32nd.( 24) <      > 	V 21 - M 24	= -3  %-14  	q= -3  %-14  	 0.116(81)


silence
printNotes: i= 132-<   0   40 -40>,  	Slc --  1/32nd.( 24) <      > 	V 23 - M 24	= -1  %-4  	q= -1  %-4  	 0.128(81)
printNotes: i= 133-<2475 2484  -9>,  	Bb2 --    1/8th( 64) <      > 	V 65 - M 64	= +1  %+2  	q= +1  %+2  	 0.372(81)
printNotes: i= 134-<2637 2664 -27>,  	 C3 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(81)
printNotes: i= 135-<2407 2406   1>,  	 A2 --   1/16th( 32) <      > 	V 37 - M 32	= +5  %+14  	q= +5  %+14  	 0.209(81)
printNotes: i= 136-<2475 2484  -9>,  	Bb2 --  1/32nd.( 24) <      > 	V 24 - M 24	=  +  %+0  	q=  +  %+0  	 0.134(81)
printNotes: i= 137-<2093 2223 -130>,  	 G2 --   1/16th( 32) <      > 	V 34 - M 32	= +2  %+6  	q= +2  %+6  	 0.192(81)
printNotes: i= 138-<2492 2484   8>,  	Bb2 --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(81)
printNotes: i= 139-<2390 2406 -16>,  	 A2 --  1/16th.( 48) <      > 	V 46 - M 48	= -2  %-4  	q= -2  %-4  	 0.261(81)
printNotes: i= 140-<2653 2664 -11>,  	 C3 -- 1/64th..( 14) <      > 	V 14 - M 12	= +2  %+14  	q=  +  %+0  	 0.075(81)
printNotes: i= 141-<2417 2406  11>,  	 A2 --     half(256) <      > 	V260 - M256	= +4  %+2  	q= +4  %+2  	 1.503(81)
printNotes: i= 142-<2656 2664  -8>,  	 C3 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(81)
printNotes: i= 143-<2447 2406  41>,  	 A2 --   128th.(  6) <      > 	V  6 - M  6	=  +  %+0  	q=  +  %+0  	 0.029(81)


silence
printNotes: i= 144-<   0   40 -40>,  	Slc --  1/4th..(224) <      > 	V215 - M262	=-47  %-22  	q= -9  %-4  	 1.242(81)<-----%22   %4

printNotes: i= 145-<1869 1854  15>,  	Ek2 --  1/32nd.( 24) <      > 	V 20 - M 24	= -4  %-20  	q= -4  %-20  	 0.110(81)
printNotes: i= 146-<1965 2007 -42>,  	 F2 --   1/32nd( 16) <      > 	V 18 - M 16	= +2  %+11  	q= +2  %+11  	 0.099(81)
printNotes: i= 147-<2201 2223 -22>,  	 G2 --  1/32nd.( 24) <      > 	V 20 - M 24	= -4  %-20  	q= -4  %-20  	 0.110(81)
printNotes: i= 148-<2047 2007  40>,  	 F2 --   1/64th(  8) <      > 	V 10 - M  8	= +2  %+20  	q= +2  %+20  	 0.052(81)
printNotes: i= 149-<2399 2406  -7>,  	 A2 --  1/4th..(224) <      > 	V235 - M224	=+11  %+5  	q=+11  %+5  	 1.358(81)
printNotes: i= 150-<2478 2484  -6>,  	Bb2 -- 1/32nd..( 28) <      > 	V 26 - M 24	= +2  %+8  	q= -2  %-8  	 0.145(81)
printNotes: i= 151-<2401 2406  -5>,  	 A2 --    1/4th(128) <      > 	V124 - M128	= -4  %-3  	q= -4  %-3  	 0.714(81)
printNotes: i= 152-<2485 2484   1>,  	Bb2 -- 1/64th..( 14) <      > 	V 15 - M 14	= +1  %+7  	q= +1  %+7  	 0.081(81)
printNotes: i= 153-<2395 2406 -11>,  	 A2 --  1/32nd.( 24) <      > 	V 23 - M 24	= -1  %-4  	q= -1  %-4  	 0.128(81)


silence
printNotes: i= 154-<   0   40 -40>,  	Slc --   1/16th( 32) <      > 	V 30 - M 32	= -2  %-7  	q= -2  %-7  	 0.168(81)
printNotes: i= 155-<2242 2223  19>,  	 G2 --  1/64th.( 12) <      > 	V 13 - M 14	= -1  %-8  	q= +1  %+8  	 0.070(81)
printNotes: i= 156-<2486 2484   2>,  	Bb2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(81)
printNotes: i= 157-<2392 2406 -14>,  	 A2 --  1/32nd.( 24) <      > 	V 21 - M 24	= -3  %-14  	q= -3  %-14  	 0.116(81)
printNotes: i= 158-<2565 2584 -19>,  	 B2 --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(81)
printNotes: i= 159-<2373 2406 -33>,  	 A2 --  1/32nd.( 24) <      > 	V 23 - M 24	= -1  %-4  	q= -1  %-4  	 0.128(81)
printNotes: i= 160-<2554 2584 -30>,  	 B2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(81)
printNotes: i= 161-<2259 2223  36>,  	 G2 -- 1/64th..( 14) <      > 	V 15 - M 16	= -1  %-7  	q= +1  %+7  	 0.081(81)
printNotes: i= 162-<2389 2406 -17>,  	 A2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(81)
printNotes: i= 163-<2212 2223 -11>,  	 G2 --    1/8th( 64) <      > 	V 65 - M 64	= +1  %+2  	q= +1  %+2  	 0.372(81)
printNotes: i= 164-<2474 2484 -10>,  	Bb2 --  128th..(  7) <      > 	V  7 - M  6	= +1  %+14  	q=  +  %+0  	 0.035(81)
printNotes: i= 165-<2377 2406 -29>,  	 A2 --   1/4th.(192) <-2*sela> 	V160 - M192	=-32  %-20  	q=-32  %-20  	 0.923(81)
printNotes: i= 166-<2252 2223  29>,  	 G2 --  1/16th.( 48) <      > 	V 51 - M 48	= +3  %+6  	q= +3  %+6  	 0.290(81)
printNotes: i= 167-<2566 2584 -18>,  	 B2 -- 1/64th..( 14) <      > 	V 14 - M 16	= -2  %-14  	q=  +  %+0  	 0.075(81)
printNotes: i= 168-<2396 2406 -10>,  	 A2 --   1/16th( 32) <      > 	V 38 - M 32	= +6  %+16  	q= +6  %+16  	 0.215(81)


silence
printNotes: i= 169-<   0   40 -40>,  	Slc --   1/8th.( 96) <      > 	V 88 - M134	=-46  %-52  	q= -8  %-9  	 0.505(81)<-----%52   %9

printNotes: i= 170-<1846 1854  -8>,  	Ek2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(81)
printNotes: i= 171-<2007 2007    >,  	 F2 --   1/8th.( 96) <      > 	V 89 - M 96	= -7  %-8  	q= -7  %-8  	 0.511(81)
printNotes: i= 172-<1934 1854  80>,  	Ek2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(81)
printNotes: i= 173-<2336 2406 -70>,  	 A2 --  1/32nd.( 24) <      > 	V 23 - M 24	= -1  %-4  	q= -1  %-4  	 0.128(81)
printNotes: i= 174-<2239 2223  16>,  	 G2 --   1/16th( 32) <      > 	V 39 - M 32	= +7  %+18  	q= +7  %+18  	 0.221(81)
printNotes: i= 175-<2420 2406  14>,  	 A2 --   1/32nd( 16) <      > 	V 18 - M 16	= +2  %+11  	q= +2  %+11  	 0.099(81)
printNotes: i= 176-<2243 2223  20>,  	 G2 --   1/16th( 32) <      > 	V 37 - M 32	= +5  %+14  	q= +5  %+14  	 0.209(81)
