	voice Midi Diff								present		 Best		Sec

printNotes: i= 88-<2941 3013 -72>,  	Eb3 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(84)
printNotes: i= 89-<2575 2536  39>,  	Bk2 -- 1/32nd..( 27) <      > 	V 25 - M 27	= -2  %-8  	q= -2  %-8  	 0.139(84)
printNotes: i= 90-<2668 2673  -5>,  	 C3 --   1/16th( 31) <      > 	V 36 - M 31	= +5  %+14  	q= +5  %+14  	 0.203(84)
printNotes: i= 91-<2489 2536 -47>,  	Bk2 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(84)
printNotes: i= 92-<2789 2886 -97>,  	 D3 --   1/16th( 31) <      > 	V 29 - M 31	= -2  %-7  	q= -2  %-7  	 0.163(84)
printNotes: i= 93-<3038 3013  25>,  	Eb3 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(84)
printNotes: i= 94-<2674 2673   1>,  	 C3 --  1/16th.( 46) <      > 	V 39 - M 46	= -7  %-18  	q= -7  %-18  	 0.221(84)
printNotes: i= 95-<2885 2886  -1>,  	 D3 -- 1/16th..( 54) <      > 	V 51 - M 54	= -3  %-6  	q= -3  %-6  	 0.290(84)
printNotes: i= 96-<2669 2673  -4>,  	 C3 --     half(245) <      > 	V241 - M245	= -4  %-2  	q= -4  %-2  	 1.393(84)
printNotes: i= 97-<2524 2536 -12>,  	Bk2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(84)
printNotes: i= 98-<2689 2673  16>,  	 C3 --  1/8th..(107) <      > 	V109 - M107	= +2  %+2  	q= +2  %+2  	 0.627(84)
printNotes: i= 99-<2541 2536   5>,  	Bk2 --   1/8th.( 92) <      > 	V 97 - M 92	= +5  %+5  	q= +5  %+5  	 0.557(84)
printNotes: i= 100-<1957 2404 -447>,  	 A2 -- 1/16th..( 54) <      > 	V 54 - M 54	=  +  %+0  	q=  +  %+0  	 0.308(84)
printNotes: i= 101-<3677 2500 1177>,  	Bb2 --   1/8th.( 92) <      > 	V 95 - M 92	= +3  %+3  	q= +3  %+3  	 0.546(84)


silence
printNotes: i= 102-<   0   40 -40>,  	Slc --   2whole(982) <10*sela> 	V1135 - M1325	=-190  %-17  	q=+153  %+13  	 6.583(84)<-----%17   %13

printNotes: i= 103-<1668 1496 172>,  	 C2 --  1/32nd.( 23) <      > 	V 23 - M 23	=  +  %+0  	q=  +  %+0  	 0.128(84)
printNotes: i= 104-<2615 2673 -58>,  	 C3 -- 1/16th..( 54) <      > 	V 56 - M 54	= +2  %+4  	q= +2  %+4  	 0.319(84)
printNotes: i= 105-<2553 2536  17>,  	Bk2 --  1/64th.( 12) <      > 	V 12 - M 13	= -1  %-8  	q=  +  %+0  	 0.064(84)
printNotes: i= 106-<2674 2673   1>,  	 C3 --  1/16th.( 46) <      > 	V 41 - M 46	= -5  %-12  	q= -5  %-12  	 0.232(84)
printNotes: i= 107-<2593 2536  57>,  	Bk2 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(84)
printNotes: i= 108-<2889 2886   3>,  	 D3 --     half(245) <3*sela> 	V296 - M291	= +5  %+2  	q=+51  %+17  	 1.712(84)
printNotes: i= 109-<2527 2673 -146>,  	 C3 -- 1/64th..( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(84)
printNotes: i= 110-<2998 3013 -15>,  	Eb3 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(84)
printNotes: i= 111-<2892 2886   6>,  	 D3 --   half..(429) <      > 	V437 - M429	= +8  %+2  	q= +8  %+2  	 2.531(84)
printNotes: i= 112-<2711 2673  38>,  	 C3 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(84)
printNotes: i= 113-<2895 2886   9>,  	 D3 --    1/8th( 61) <      > 	V 58 - M 61	= -3  %-5  	q= -3  %-5  	 0.331(84)
printNotes: i= 114-<2394 3013 -619>,  	Eb3 --   1/64th(  8) <      > 	V 10 - M 12	= -2  %-20  	q= +2  %+20  	 0.052(84)
printNotes: i= 115-<2889 2886   3>,  	 D3 --  1/8th..(107) <      > 	V106 - M107	= -1  %-1  	q= -1  %-1  	 0.610(84)


silence
printNotes: i= 116-<   0   40 -40>,  	Slc --     half(245) <2*sela> 	V288 - M368	=-80  %-28  	q=+43  %+15  	 1.666(84)<-----%28   %15

printNotes: i= 117-<1780 1496 284>,  	 C2 --   1/16th( 31) <      > 	V 33 - M 31	= +2  %+6  	q= +2  %+6  	 0.186(84)
printNotes: i= 118-<2807 2886 -79>,  	 D3 --   1/4th.(184) <      > 	V175 - M184	= -9  %-5  	q= -9  %-5  	 1.010(84)
printNotes: i= 119-<2683 2673  10>,  	 C3 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(84)
printNotes: i= 120-<2798 2886 -88>,  	 D3 --   128th.(  6) <      > 	V  6 - M  6	=  +  %+0  	q=  +  %+0  	 0.029(84)
printNotes: i= 121-<2698 2673  25>,  	 C3 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(84)
printNotes: i= 122-<2552 2536  16>,  	Bk2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(84)
printNotes: i= 123-<2704 2673  31>,  	 C3 --  1/32nd.( 23) <      > 	V 24 - M 23	= +1  %+4  	q= +1  %+4  	 0.134(84)
printNotes: i= 124-<2909 2886  23>,  	 D3 --   1/16th( 31) <      > 	V 30 - M 31	= -1  %-3  	q= -1  %-3  	 0.168(84)
printNotes: i= 125-<2688 2673  15>,  	 C3 --   1/32nd( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(84)
printNotes: i= 126-<3000 3013 -13>,  	Eb3 --    128th(  4) <      > 	V  5 - M  4	= +1  %+20  	q= +1  %+20  	 0.023(84)
printNotes: i= 127-<2878 2886  -8>,  	 D3 -- 1/32nd..( 27) <      > 	V 28 - M 27	= +1  %+4  	q= +1  %+4  	 0.157(84)
printNotes: i= 128-<2174 3013 -839>,  	Eb3 --  1/64th.( 12) <      > 	V 11 - M 12	= -1  %-9  	q= -1  %-9  	 0.058(84)
printNotes: i= 129-<2744 2886 -142>,  	 D3 --  1/16th.( 46) <      > 	V 42 - M 46	= -4  %-10  	q= -4  %-10  	 0.238(84)
printNotes: i= 130-<3170 3213 -43>,  	 F3 --  1/64th.( 12) <      > 	V 11 - M 12	= -1  %-9  	q= -1  %-9  	 0.058(84)
printNotes: i= 131-<2891 2886   5>,  	 D3 --  1/16th.( 46) <      > 	V 40 - M 46	= -6  %-15  	q= -6  %-15  	 0.226(84)
printNotes: i= 132-<2688 2673  15>,  	 C3 -- 1/32nd..( 27) <      > 	V 25 - M 27	= -2  %-8  	q= -2  %-8  	 0.139(84)
printNotes: i= 133-<2894 2886   8>,  	 D3 --  1/8th..(107) <      > 	V109 - M107	= +2  %+2  	q= +2  %+2  	 0.627(84)
printNotes: i= 134-<2673 2673    >,  	 C3 --     half(245) <      > 	V237 - M245	= -8  %-3  	q= -8  %-3  	 1.370(84)
printNotes: i= 135-<2553 2536  17>,  	Bk2 -- 1/64th..( 13) <      > 	V 14 - M 13	= +1  %+7  	q= +1  %+7  	 0.075(84)
printNotes: i= 136-<2685 2673  12>,  	 C3 --    1/4th(123) <      > 	V116 - M123	= -7  %-6  	q= -7  %-6  	 0.668(84)
printNotes: i= 137-<2561 2536  25>,  	Bk2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(84)
printNotes: i= 138-<2681 2673   8>,  	 C3 --    1/8th( 61) <      > 	V 73 - M 61	=+12  %+16  	q=+12  %+16  	 0.418(84)
printNotes: i= 139-<2557 2536  21>,  	Bk2 --   1/32nd( 15) <      > 	V 18 - M 15	= +3  %+17  	q= +3  %+17  	 0.099(84)
printNotes: i= 140-<2679 2673   6>,  	 C3 -- 1/16th..( 54) <      > 	V 57 - M 61	= -4  %-7  	q= +3  %+5  	 0.325(84)
printNotes: i= 141-<2576 2536  40>,  	Bk2 --  1/32nd.( 23) <      > 	V 24 - M 23	= +1  %+4  	q= +1  %+4  	 0.134(84)
