	voice Midi Diff								present		 Best		Sec

printNotes: i= 71-<2504 2577 -73>,  	 C3 --  1/64th.( 11) <      > 	V 10 - M 15	= -5  %-50  	q= -1  %-10  	 0.052(88)<-----%50   %10 <<

printNotes: i= 72-<2254 2227  27>,  	Ak2 --  1/16th.( 44) <      > 	V 38 - M 29	= +9  %+24  	q= -6  %-16  	 0.215(88)<-----%24   %16

printNotes: i= 73-<2362 2385 -23>,  	Bb2 --  1/64th.( 11) <      > 	V 10 - M 29	=-19  %-190  	q= -1  %-10  	 0.052(88)<-----%190   %10 <<

printNotes: i= 74-<2120 2099  21>,  	 G2 --   1/16th( 29) <      > 	V 36 - M 29	= +7  %+19  	q= +7  %+19  	 0.203(88)
printNotes: i= 75-<2207 2227 -20>,  	Ak2 --   1/32nd( 15) <      > 	V 16 - M 29	=-13  %-81  	q= +1  %+6  	 0.087(88)<-----%81   %6 <<

printNotes: i= 76-<1904 1892  12>,  	 F2 --   1/16th( 29) <      > 	V 36 - M 58	=-22  %-61  	q= +7  %+19  	 0.203(88)<-----%61   %19



silence
printNotes: i= 77-<   0   40 -40>,  	Slc --    1/4th(117) <      > 	V113 - M 88	=+25  %+22  	q= -4  %-4  	 0.650(88)<-----%22   %4

printNotes: i= 78-<1821 1892 -71>,  	 F2 --    1/8th( 58) <      > 	V 60 - M 78	=-18  %-30  	q= +2  %+3  	 0.342(88)<-----%30   %3

printNotes: i= 79-<2335 2385 -50>,  	Bb2 --   1/16th( 29) <      > 	V 31 - M 39	= -8  %-26  	q= +2  %+6  	 0.174(88)<-----%26   %6

printNotes: i= 80-<2229 2227   2>,  	Ak2 --   1/16th( 29) <      > 	V 30 - M 29	= +1  %+3  	q= +1  %+3  	 0.168(88)
printNotes: i= 81-<2364 2385 -21>,  	Bb2 --  1/16th.( 44) <      > 	V 37 - M 29	= +8  %+22  	q= -7  %-19  	 0.209(88)
printNotes: i= 82-<2230 2227   3>,  	Ak2 --  1/32nd.( 22) <      > 	V 21 - M 29	= -8  %-38  	q= -1  %-5  	 0.116(88)<-----%38   %5

printNotes: i= 83-<2380 2385  -5>,  	Bb2 --   1/16th( 29) <      > 	V 31 - M 29	= +2  %+6  	q= +2  %+6  	 0.174(88)
printNotes: i= 84-<2221 2227  -6>,  	Ak2 --  1/32nd.( 22) <      > 	V 21 - M 29	= -8  %-38  	q= -1  %-5  	 0.116(88)<-----%38   %5

printNotes: i= 85-<2373 2385 -12>,  	Bb2 --  1/16th.( 44) <      > 	V 40 - M 29	=+11  %+28  	q= -4  %-10  	 0.226(88)<-----%28   %10

printNotes: i= 86-<2227 2227    >,  	Ak2 --   1/16th( 29) <      > 	V 32 - M 15	=+17  %+53  	q= +3  %+9  	 0.180(88)<-----%53   %9

printNotes: i= 87-<2464 2385  79>,  	Bb2 --   1/32nd( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(88)
printNotes: i= 88-<2234 2227   7>,  	Ak2 --  1/16th.( 44) <      > 	V 46 - M 58	=-12  %-26  	q= +2  %+4  	 0.261(88)<-----%26   %4

printNotes: i= 89-<2037 2099 -62>,  	 G2 --   1/16th( 29) <      > 	V 36 - M 29	= +7  %+19  	q= +7  %+19  	 0.203(88)
printNotes: i= 90-<2351 2385 -34>,  	Bb2 --   1/8th.( 88) <      > 	V 85 - M102	=-17  %-20  	q= -3  %-4  	 0.488(88)<-----%20   %4

printNotes: i= 91-<2590 2577  13>,  	 C3 --   1/16th( 29) <      > 	V 28 - M 29	= -1  %-4  	q= -1  %-4  	 0.157(88)


silence
printNotes: i= 92-< 225   40 185>,  	Slc --  1/64th.( 11) <      > 	V 11 - M 15	= -4  %-36  	q=  +  %+0  	 0.058(88)<-----%36   %0 <<

printNotes: i= 93-<2026 2385 -359>,  	Bb2 --  1/64th.( 11) <      > 	V 12 - M 15	= -3  %-25  	q= +1  %+8  	 0.064(88)<-----%25   %8 <<

printNotes: i= 94-<2238 2577 -339>,  	 C3 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(88)
printNotes: i= 95-<2231 2385 -154>,  	Bb2 --   1/16th( 29) <      > 	V 30 - M 29	= +1  %+3  	q= +1  %+3  	 0.168(88)
printNotes: i= 96-<2202 2227 -25>,  	Ak2 -- 1/32nd..( 26) <      > 	V 26 - M 29	= -3  %-12  	q=  +  %+0  	 0.145(88)<-----%12   %0

printNotes: i= 97-<2439 2385  54>,  	Bb2 --   1/32nd( 15) <      > 	V 18 - M 15	= +3  %+17  	q= +3  %+17  	 0.099(88)
printNotes: i= 98-<2265 2227  38>,  	Ak2 -- 1/16th..( 51) <      > 	V 49 - M 58	= -9  %-18  	q= -2  %-4  	 0.279(88)<-----%18   %4

printNotes: i= 99-<2076 2099 -23>,  	 G2 --  1/16th.( 44) <      > 	V 38 - M 29	= +9  %+24  	q= -6  %-16  	 0.215(88)<-----%24   %16

printNotes: i= 100-<2283 2227  56>,  	Ak2 --   1/32nd( 15) <      > 	V 15 - M 29	=-14  %-93  	q=  +  %+0  	 0.081(88)<-----%93   %0 <<

printNotes: i= 101-<2127 2099  28>,  	 G2 -- 1/16th..( 51) <      > 	V 53 - M 58	= -5  %-9  	q= +2  %+4  	 0.302(88)<-----%9   %4

printNotes: i= 102-<1893 1892   1>,  	 F2 -- 1/16th..( 51) <      > 	V 49 - M 29	=+20  %+41  	q= -2  %-4  	 0.279(88)<-----%41   %4

printNotes: i= 103-<2095 2099  -4>,  	 G2 -- 1/64th..( 13) <      > 	V 13 - M 29	=-16  %-123  	q=  +  %+0  	 0.070(88)<-----%123   %0 <<

printNotes: i= 104-<1893 1892   1>,  	 F2 --  1/8th..(102) <      > 	V106 - M 88	=+18  %+17  	q= +4  %+4  	 0.610(88)<-----%17   %4

printNotes: i= 105-<2094 2099  -5>,  	 G2 --    1/8th( 58) <      > 	V 71 - M 58	=+13  %+18  	q=+13  %+18  	 0.406(88)
printNotes: i= 106-<2197 2227 -30>,  	Ak2 --  1/16th.( 44) <      > 	V 43 - M 29	=+14  %+33  	q= -1  %-2  	 0.244(88)<-----%33   %2

