	voice Midi Diff								present		 Best		Sec

printNotes: i= 66-<2111 2104   7>,  	 G2 --   1/4th.(194) <-1*sela> 	V178 - M130	=+48  %+27  	q=-16  %-9  	 1.027(80)<-----%27   %9

printNotes: i= 67-<1883 1878   5>,  	 F2 --   1/4th.(194) <      > 	V208 - M194	=+14  %+7  	q=+14  %+7  	 1.202(80)
printNotes: i= 68-<1754 1744  10>,  	Ek2 --   1/8th.( 97) <      > 	V 96 - M 32	=+64  %+67  	q= -1  %-1  	 0.551(80)<-----%67   %1



silence
printNotes: i= 69-<   0   40 -40>,  	Slc --   1/8th.( 97) <-1*sela> 	V 81 - M 97	=-16  %-20  	q=-16  %-20  	 0.464(80)
printNotes: i= 70-<2136 2241 -105>,  	Ak2 -- 1/32nd..( 28) <      > 	V 27 - M 16	=+11  %+41  	q= -1  %-4  	 0.151(80)<-----%41   %4

printNotes: i= 71-<2136 2104  32>,  	 G2 --   1/16th( 32) <      > 	V 30 - M 16	=+14  %+47  	q= -2  %-7  	 0.168(80)<-----%47   %7

printNotes: i= 72-<2254 2241  13>,  	Ak2 --   1/64th(  8) <      > 	V 10 - M 16	= -6  %-60  	q= +2  %+20  	 0.052(80)<-----%60   %20 <<

printNotes: i= 73-<2064 2104 -40>,  	 G2 --   1/16th( 32) <      > 	V 30 - M 16	=+14  %+47  	q= -2  %-7  	 0.168(80)<-----%47   %7

printNotes: i= 74-<2233 2241  -8>,  	Ak2 -- 1/64th..( 14) <      > 	V 15 - M 16	= -1  %-7  	q= +1  %+7  	 0.081(80)
printNotes: i= 75-<1867 1878 -11>,  	 F2 --  1/16th.( 49) <      > 	V 50 - M 32	=+18  %+36  	q= +1  %+2  	 0.284(80)<-----%36   %2

printNotes: i= 76-<2120 2104  16>,  	 G2 -- 1/64th..( 14) <      > 	V 15 - M 16	= -1  %-7  	q= +1  %+7  	 0.081(80)
printNotes: i= 77-<1889 1878  11>,  	 F2 --  1/16th.( 49) <      > 	V 52 - M 32	=+20  %+38  	q= +3  %+6  	 0.296(80)<-----%38   %6

printNotes: i= 78-<2031 2104 -73>,  	 G2 --  1/64th.( 12) <      > 	V 11 - M 16	= -5  %-45  	q= -1  %-9  	 0.058(80)<-----%45   %9 <<

printNotes: i= 79-<1751 1744   7>,  	Ek2 --   1/16th( 32) <      > 	V 37 - M 32	= +5  %+14  	q= +5  %+14  	 0.209(80)
printNotes: i= 80-<1915 1878  37>,  	 F2 --   1/32nd( 16) <      > 	V 18 - M 16	= +2  %+11  	q= +2  %+11  	 0.099(80)
printNotes: i= 81-<1749 1744   5>,  	Ek2 --  1/16th.( 49) <      > 	V 51 - M 49	= +2  %+4  	q= +2  %+4  	 0.290(80)
printNotes: i= 82-<1648 1610  38>,  	 D2 -- 1/64th..( 14) <      > 	V 14 - M 32	=-18  %-129  	q=  +  %+0  	 0.075(80)<-----%129   %0 <<

printNotes: i= 83-<1874 1878  -4>,  	 F2 --   1/4th.(194) <-1*sela> 	V171 - M130	=+41  %+24  	q=-23  %-13  	 0.987(80)<-----%24   %13

printNotes: i= 84-<1745 1744   1>,  	Ek2 --   1/8th.( 97) <      > 	V 83 - M 97	=-14  %-17  	q=-14  %-17  	 0.476(80)
printNotes: i= 85-<1666 1610  56>,  	 D2 --  1/64th.( 12) <      > 	V 13 - M 32	=-19  %-146  	q= +1  %+8  	 0.070(80)<-----%146   %8 <<

printNotes: i= 86-<1761 1744  17>,  	Ek2 --   1/4th.(194) <-1*sela> 	V169 - M259	=-90  %-53  	q=-25  %-15  	 0.975(80)<-----%53   %15



silence
printNotes: i= 87-<   0   40 -40>,  	Slc --  whole..(908) <      > 	V897 - M1124	=-227  %-25  	q=-11  %-1  	 5.201(80)<-----%25   %1

printNotes: i= 88-<1395 1878 -483>,  	 F2 -- 1/16th..( 57) <      > 	V 54 - M 43	=+11  %+20  	q= -3  %-6  	 0.308(80)<-----%20   %6

printNotes: i= 89-<1864 2104 -240>,  	 G2 --    half.(389) <      > 	V389 - M389	=  +  %+0  	q=  +  %+0  	 2.252(80)
printNotes: i= 90-<2105 2104   1>,  	 G2 --   1/8th.( 97) <      > 	V100 - M130	=-30  %-30  	q= +3  %+3  	 0.575(80)<-- same note<-----%30   %3

printNotes: i= 91-<2075 2104 -29>,  	 G2 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(80)<-- same note
printNotes: i= 92-<1861 1878 -17>,  	 F2 --  1/8th..(113) <      > 	V110 - M130	=-20  %-18  	q= -3  %-3  	 0.633(80)<-----%18   %3

printNotes: i= 93-<1775 1744  31>,  	Ek2 -- 1/16th..( 57) <      > 	V 54 - M 32	=+22  %+41  	q= -3  %-6  	 0.308(80)<-----%41   %6

printNotes: i= 94-<2076 2104 -28>,  	 G2 --   1/32nd( 16) <      > 	V 19 - M 32	=-13  %-68  	q= +3  %+16  	 0.104(80)<-----%68   %16

printNotes: i= 95-<1681 1878 -197>,  	 F2 --   1/16th( 32) <      > 	V 36 - M 32	= +4  %+11  	q= +4  %+11  	 0.203(80)
printNotes: i= 96-<2085 2104 -19>,  	 G2 --    1/4th(130) <      > 	V128 - M 65	=+63  %+49  	q= -2  %-2  	 0.737(80)<-----%49   %2

printNotes: i= 97-<1724 2104 -380>,  	 G2 --   1/8th.( 97) <      > 	V 97 - M 97	=  +  %+0  	q=  +  %+0  	 0.557(80)<-- same note
printNotes: i= 98-<1777 1878 -101>,  	 F2 --   1/16th( 32) <      > 	V 33 - M 16	=+17  %+52  	q= +1  %+3  	 0.186(80)<-----%52   %3

