	voice Midi Diff								present		 Best		Sec

printNotes: i= 83-<2338 2787 -449>,  	 D3 --   1/32nd( 15) <      > 	V 18 - M 30	=-12  %-67  	q= +3  %+17  	 0.099(87)<-----%67   %17

printNotes: i= 84-<2497 2560 -63>,  	 C3 --   1/4th.(178) <      > 	V164 - M237	=-73  %-45  	q=-14  %-9  	 0.946(87)<-----%45   %9

printNotes: i= 85-<2077 2398 -321>,  	Bk2 --  1/16th.( 45) <      > 	V 43 - M 30	=+13  %+30  	q= -2  %-5  	 0.244(87)<-----%30   %5

printNotes: i= 86-<2469 2560 -91>,  	 C3 --  1/4th..(208) <      > 	V208 - M178	=+30  %+14  	q=  +  %+0  	 1.202(87)<-----%14   %0

printNotes: i= 87-<1696 2398 -702>,  	Bk2 --   1/16th( 30) <      > 	V 30 - M 30	=  +  %+0  	q=  +  %+0  	 0.168(87)


silence
printNotes: i= 88-<   0   40 -40>,  	Slc --    1/8th( 59) <      > 	V 62 - M 89	=-27  %-44  	q= +3  %+5  	 0.354(87)<-----%44   %5

printNotes: i= 89-<2001 2398 -397>,  	Bk2 --   1/8th.( 89) <      > 	V 82 - M 59	=+23  %+28  	q= -7  %-9  	 0.470(87)<-----%28   %9

printNotes: i= 90-<2518 2560 -42>,  	 C3 --  1/16th.( 45) <      > 	V 46 - M 30	=+16  %+35  	q= +1  %+2  	 0.261(87)<-----%35   %2

printNotes: i= 91-<2793 2787   6>,  	 D3 --   1/4th.(178) <      > 	V177 - M237	=-60  %-34  	q= -1  %-1  	 1.022(87)<-----%34   %1

printNotes: i= 92-<2560 2560    >,  	 C3 --   1/8th.( 89) <      > 	V 76 - M 89	=-13  %-17  	q=-13  %-17  	 0.435(87)
printNotes: i= 93-<2815 2787  28>,  	 D3 --  1/16th.( 45) <      > 	V 42 - M 30	=+12  %+29  	q= -3  %-7  	 0.238(87)<-----%29   %7

printNotes: i= 94-<2584 2560  24>,  	 C3 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(87)
printNotes: i= 95-<2692 2787 -95>,  	 D3 --  1/64th.( 11) <      > 	V 12 - M 15	= -3  %-25  	q= +1  %+8  	 0.064(87)<-----%25   %8 <<

printNotes: i= 96-<2585 2560  25>,  	 C3 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(87)
printNotes: i= 97-<2586 2787 -201>,  	 D3 --   1/64th(  7) <      > 	V  9 - M 15	= -6  %-67  	q= +2  %+22  	 0.046(87)<-----%67   %22 <<

printNotes: i= 98-<2523 2560 -37>,  	 C3 -- 1/32nd..( 26) <      > 	V 26 - M 30	= -4  %-15  	q=  +  %+0  	 0.145(87)<-----%15   %0

printNotes: i= 99-<2398 2398    >,  	Bk2 --  1/32nd.( 22) <      > 	V 22 - M 15	= +7  %+32  	q=  +  %+0  	 0.122(87)<-----%32   %0

printNotes: i= 100-<2601 2560  41>,  	 C3 --  1/64th.( 11) <      > 	V 10 - M 15	= -5  %-50  	q= -1  %-10  	 0.052(87)<-----%50   %10 <<

printNotes: i= 101-<2389 2398  -9>,  	Bk2 --  1/32nd.( 22) <      > 	V 20 - M 15	= +5  %+25  	q= -2  %-10  	 0.110(87)<-----%25   %10

printNotes: i= 102-<2599 2560  39>,  	 C3 --   1/64th(  7) <      > 	V  9 - M 15	= -6  %-67  	q= +2  %+22  	 0.046(87)<-----%67   %22 <<

printNotes: i= 103-<2403 2398   5>,  	Bk2 --   1/16th( 30) <      > 	V 29 - M 30	= -1  %-3  	q= -1  %-3  	 0.163(87)
printNotes: i= 104-<2190 2192  -2>,  	Ak2 --   1/32nd( 15) <      > 	V 18 - M 15	= +3  %+17  	q= +3  %+17  	 0.099(87)
printNotes: i= 105-<2320 2398 -78>,  	Bk2 --  128th..(  6) <      > 	V  6 - M 15	= -9  %-150  	q=  +  %+0  	 0.029(87)<-----%150   %0 <<

printNotes: i= 106-<2185 2192  -7>,  	Ak2 --   1/32nd( 15) <      > 	V 18 - M 15	= +3  %+17  	q= +3  %+17  	 0.099(87)
printNotes: i= 107-<2436 2398  38>,  	Bk2 --   1/32nd( 15) <      > 	V 18 - M 15	= +3  %+17  	q= +3  %+17  	 0.099(87)
printNotes: i= 108-<2245 2192  53>,  	Ak2 --   1/16th( 30) <      > 	V 30 - M 45	=-15  %-50  	q=  +  %+0  	 0.168(87)<-----%50   %0

printNotes: i= 109-<2402 2398   4>,  	Bk2 --     half(237) <1*sela> 	V257 - M356	=-99  %-39  	q=+20  %+8  	 1.486(87)<-----%39   %8

printNotes: i= 110-<2679 2560 119>,  	 C3 --   1/8th.( 89) <      > 	V 77 - M 59	=+18  %+23  	q=-12  %-16  	 0.441(87)<-----%23   %16



silence
printNotes: i= 111-<   0   40 -40>,  	Slc --    half.(356) <-3*sela> 	V308 - M297	=+11  %+4  	q=-48  %-16  	 1.782(87)
printNotes: i= 112-<2269 2398 -129>,  	Bk2 --    1/4th(119) <      > 	V123 - M 59	=+64  %+52  	q= +4  %+3  	 0.708(87)<-----%52   %3

printNotes: i= 113-<2205 2192  13>,  	Ak2 --  1/32nd.( 22) <      > 	V 23 - M 30	= -7  %-30  	q= +1  %+4  	 0.128(87)<-----%30   %4

printNotes: i= 114-<1972 2398 -426>,  	Bk2 --   1/4th.(178) <-1*sela> 	V161 - M 89	=+72  %+45  	q=-17  %-11  	 0.929(87)<-----%45   %11

printNotes: i= 115-<2338 2398 -60>,  	Bk2 --    1/8th( 59) <      > 	V 59 - M 59	=  +  %+0  	q=  +  %+0  	 0.337(87)<-- same note


silence
printNotes: i= 116-<   0   40 -40>,  	Slc --    1/4th(119) <      > 	V125 - M119	= +6  %+5  	q= +6  %+5  	 0.720(87)
