	voice Midi Diff								present		 Best		Sec

printNotes: i= 59-<2236 2227   9>,  	Ak2 --   1/16th( 30) <      > 	V 34 - M 15	=+19  %+56  	q= +4  %+12  	 0.192(86)<-----%56   %12

printNotes: i= 60-<2431 2420  11>,  	Bk2 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(86)
printNotes: i= 61-<2248 2227  21>,  	Ak2 --   1/16th( 30) <      > 	V 30 - M 15	=+15  %+50  	q=  +  %+0  	 0.168(86)<-----%50   %0

printNotes: i= 62-<2357 2420 -63>,  	Bk2 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(86)
printNotes: i= 63-<2104 2099   5>,  	 G2 --   1/16th( 30) <      > 	V 30 - M 40	=-10  %-33  	q=  +  %+0  	 0.168(86)<-----%33   %0

printNotes: i= 64-<2223 2227  -4>,  	Ak2 --   1/16th( 30) <      > 	V 32 - M 40	= -8  %-25  	q= +2  %+6  	 0.180(86)<-----%25   %6

printNotes: i= 65-<2129 2099  30>,  	 G2 --   1/16th( 30) <      > 	V 30 - M 40	=-10  %-33  	q=  +  %+0  	 0.168(86)<-----%33   %0

printNotes: i= 66-<2418 2420  -2>,  	Bk2 --    1/8th( 60) <      > 	V 62 - M 60	= +2  %+3  	q= +2  %+3  	 0.354(86)
printNotes: i= 67-<2568 2582 -14>,  	 C3 --   1/16th( 30) <      > 	V 31 - M 40	= -9  %-29  	q= +1  %+3  	 0.174(86)<-----%29   %3

printNotes: i= 68-<2433 2420  13>,  	Bk2 --  1/16th.( 45) <      > 	V 47 - M 40	= +7  %+15  	q= +2  %+4  	 0.267(86)<-----%15   %4

printNotes: i= 69-<2588 2582   6>,  	 C3 --  1/8th..(105) <      > 	V105 - M100	= +5  %+5  	q=  +  %+0  	 0.604(86)
printNotes: i= 70-<2384 2420 -36>,  	Bk2 --    half.(361) <-2*sela> 	V320 - M361	=-41  %-13  	q=-41  %-13  	 1.852(86)
printNotes: i= 71-<2226 2227  -1>,  	Ak2 --    1/4th(120) <      > 	V123 - M120	= +3  %+2  	q= +3  %+2  	 0.708(86)
printNotes: i= 72-<2145 2099  46>,  	 G2 -- 1/16th..( 53) <      > 	V 50 - M 30	=+20  %+40  	q= -3  %-6  	 0.284(86)<-----%40   %6



silence
printNotes: i= 73-<   0   40 -40>,  	Slc --   2whole(962) <8*sela> 	V1087 - M1333	=-246  %-23  	q=+125  %+11  	 6.304(86)<-----%23   %11

printNotes: i= 74-<1949 2099 -150>,  	 G2 --  1/16th.( 45) <      > 	V 44 - M 20	=+24  %+55  	q= -1  %-2  	 0.250(86)<-----%55   %2

printNotes: i= 75-<1608 2582 -974>,  	 C3 --    1/8th( 60) <      > 	V 67 - M 20	=+47  %+70  	q= +7  %+10  	 0.383(86)<-----%70   %10

printNotes: i= 76-<2539 2582 -43>,  	 C3 --  1/16th.( 45) <      > 	V 40 - M 40	=  +  %+0  	q= -5  %-12  	 0.226(86)<-- same note
printNotes: i= 77-<2527 2582 -55>,  	 C3 --   1/16th( 30) <      > 	V 30 - M 30	=  +  %+0  	q=  +  %+0  	 0.168(86)<-- same note
printNotes: i= 78-<2591 2582   9>,  	 C3 --   1/4th.(180) <-2*sela> 	V150 - M150	=  +  %+0  	q=-30  %-20  	 0.865(86)<-- same note
printNotes: i= 79-<2424 2420   4>,  	Bk2 -- 1/32nd..( 26) <      > 	V 27 - M 30	= -3  %-11  	q= +1  %+4  	 0.151(86)<-----%11   %4

printNotes: i= 80-<2575 2582  -7>,  	 C3 --    1/4th(120) <      > 	V131 - M120	=+11  %+8  	q=+11  %+8  	 0.755(86)
printNotes: i= 81-<2583 2582   1>,  	 C3 --   1/16th( 30) <      > 	V 30 - M 30	=  +  %+0  	q=  +  %+0  	 0.168(86)<-- same note
printNotes: i= 82-<2318 2420 -102>,  	Bk2 --  1/16th.( 45) <      > 	V 45 - M 30	=+15  %+33  	q=  +  %+0  	 0.255(86)<-----%33   %0

printNotes: i= 83-<2582 2582    >,  	 C3 --  1/8th..(105) <      > 	V 99 - M 60	=+39  %+39  	q= -6  %-6  	 0.569(86)<-----%39   %6

printNotes: i= 84-<1977 2582 -605>,  	 C3 --    1/8th( 60) <      > 	V 60 - M 60	=  +  %+0  	q=  +  %+0  	 0.342(86)<-- same note
printNotes: i= 85-<1284 2420 -1136>,  	Bk2 --  1/16th.( 45) <      > 	V 42 - M 30	=+12  %+29  	q= -3  %-7  	 0.238(86)<-----%29   %7

printNotes: i= 86-<2443 2420  23>,  	Bk2 --   1/16th( 30) <      > 	V 30 - M 30	=  +  %+0  	q=  +  %+0  	 0.168(86)<-- same note
printNotes: i= 87-<2803 2817 -14>,  	 D3 --    1/8th( 60) <      > 	V 72 - M 30	=+42  %+58  	q=+12  %+17  	 0.412(86)<-----%58   %17

printNotes: i= 88-<2248 2817 -569>,  	 D3 --   1/16th( 30) <      > 	V 30 - M 30	=  +  %+0  	q=  +  %+0  	 0.168(86)<-- same note
printNotes: i= 89-<2420 2582 -162>,  	 C3 --    1/4th(120) <1*sela> 	V137 - M 90	=+47  %+34  	q=+17  %+12  	 0.789(86)<-----%34   %12

printNotes: i= 90-<2786 2817 -31>,  	 D3 --   1/16th( 30) <      > 	V 36 - M 30	= +6  %+17  	q= +6  %+17  	 0.203(86)
printNotes: i= 91-<2306 2420 -114>,  	Bk2 --  1/32nd.( 23) <      > 	V 22 - M 30	= -8  %-36  	q= -1  %-5  	 0.122(86)<-----%36   %5

printNotes: i= 92-<2615 2582  33>,  	 C3 --    1/8th( 60) <      > 	V 73 - M 60	=+13  %+18  	q=+13  %+18  	 0.418(86)


silence
printNotes: i= 93-<   0   40 -40>,  	Slc --    whole(481) <      > 	V484 - M481	= +3  %+1  	q= +3  %+1  	 2.804(86)
printNotes: i= 94-<2693 2817 -124>,  	 D3 --  1/16th.( 45) <      > 	V 43 - M 45	= -2  %-5  	q= -2  %-5  	 0.244(86)
printNotes: i= 95-<2603 2582  21>,  	 C3 --   1/16th( 30) <      > 	V 31 - M 30	= +1  %+3  	q= +1  %+3  	 0.174(86)
printNotes: i= 96-<2582 2582    >,  	 C3 --  1/16th.( 45) <      > 	V 45 - M 45	=  +  %+0  	q=  +  %+0  	 0.255(86)<-- same note
printNotes: i= 97-<2430 2420  10>,  	Bk2 --   1/16th( 30) <      > 	V 30 - M 30	=  +  %+0  	q=  +  %+0  	 0.168(86)
printNotes: i= 98-<2421 2420   1>,  	Bk2 -- 1/32nd..( 26) <      > 	V 26 - M 30	= -4  %-15  	q=  +  %+0  	 0.145(86)<-- same note<-----%15   %0

printNotes: i= 99-<2407 2420 -13>,  	Bk2 --    1/8th( 60) <      > 	V 60 - M 60	=  +  %+0  	q=  +  %+0  	 0.342(86)<-- same note
printNotes: i= 100-<2565 2582 -17>,  	 C3 --   1/16th( 30) <      > 	V 32 - M 40	= -8  %-25  	q= +2  %+6  	 0.180(86)<-----%25   %6

printNotes: i= 101-<2417 2420  -3>,  	Bk2 --  1/16th.( 45) <      > 	V 45 - M 40	= +5  %+11  	q=  +  %+0  	 0.255(86)<-----%11   %0

printNotes: i= 102-<2568 2582 -14>,  	 C3 --  1/16th.( 45) <      > 	V 39 - M 40	= -1  %-3  	q= -6  %-15  	 0.221(86)
printNotes: i= 103-<2451 2420  31>,  	Bk2 --  1/32nd.( 23) <      > 	V 24 - M 30	= -6  %-25  	q= +1  %+4  	 0.134(86)<-----%25   %4

printNotes: i= 104-<2235 2227   8>,  	Ak2 --  1/16th.( 45) <      > 	V 46 - M 45	= +1  %+2  	q= +1  %+2  	 0.261(86)
printNotes: i= 105-<1229 2099 -870>,  	 G2 --   1/8th.( 90) <      > 	V 85 - M 60	=+25  %+29  	q= -5  %-6  	 0.488(86)<-----%29   %6

printNotes: i= 106-<2194 2227 -33>,  	Ak2 --  1/32nd.( 23) <      > 	V 23 - M 30	= -7  %-30  	q=  +  %+0  	 0.128(86)<-----%30   %0

printNotes: i= 107-<2423 2420   3>,  	Bk2 --    1/4th(120) <1*sela> 	V140 - M180	=-40  %-29  	q=+20  %+14  	 0.807(86)<-----%29   %14

printNotes: i= 108-<2410 2582 -172>,  	 C3 --   1/8th.( 90) <      > 	V 93 - M 30	=+63  %+68  	q= +3  %+3  	 0.534(86)<-----%68   %3



silence
printNotes: i= 109-<   0   40 -40>,  	Slc --    1/4th(120) <      > 	V126 - M211	=-85  %-67  	q= +6  %+5  	 0.726(86)<-----%67   %5

printNotes: i= 110-<2023 2582 -559>,  	 C3 --  1/16th.( 45) <      > 	V 47 - M 30	=+17  %+36  	q= +2  %+4  	 0.267(86)<-----%36   %4

printNotes: i= 111-<1500 2420 -920>,  	Bk2 --  1/16th.( 45) <      > 	V 42 - M 30	=+12  %+29  	q= -3  %-7  	 0.238(86)<-----%29   %7

printNotes: i= 112-<2421 2582 -161>,  	 C3 --    1/4th(120) <1*sela> 	V140 - M 60	=+80  %+57  	q=+20  %+14  	 0.807(86)<-----%57   %14

printNotes: i= 113-<2574 2582  -8>,  	 C3 --    1/8th( 60) <      > 	V 60 - M 60	=  +  %+0  	q=  +  %+0  	 0.342(86)<-- same note
printNotes: i= 114-<2367 2420 -53>,  	Bk2 --  1/32nd.( 23) <      > 	V 19 - M 45	=-26  %-137  	q= -4  %-21  	 0.104(86)<-----%137   %21

printNotes: i= 115-<2394 2917 -523>,  	Eb3 --   128th.(  6) <      > 	V  6 - M 30	=-24  %-400  	q=  +  %+0  	 0.029(86)<-----%400   %0 <<

