	voice Midi Diff								present		 Best		Sec

printNotes: i= 70-<2321 2315   6>,  	 A2 -- 1/32nd..( 28) <      > 	V 27 - M 16	=+11  %+41  	q= -1  %-4  	 0.151(81)<-----%41   %4

printNotes: i= 71-<2486 2425  61>,  	Bk2 --   1/32nd( 16) <      > 	V 19 - M 16	= +3  %+16  	q= +3  %+16  	 0.104(81)
printNotes: i= 72-<2314 2315  -1>,  	 A2 -- 1/16th..( 56) <      > 	V 55 - M 32	=+23  %+42  	q= -1  %-2  	 0.313(81)<-----%42   %2

printNotes: i= 73-<2567 2571  -4>,  	 C3 --    1/8th( 64) <      > 	V 78 - M 64	=+14  %+18  	q=+14  %+18  	 0.447(81)
printNotes: i= 74-<2426 2425   1>,  	Bk2 --    1/4th(128) <      > 	V135 - M 96	=+39  %+29  	q= +7  %+5  	 0.778(81)<-----%29   %5

printNotes: i= 75-<2346 2315  31>,  	 A2 --  1/64th.( 12) <      > 	V 11 - M 32	=-21  %-191  	q= -1  %-9  	 0.058(81)<-----%191   %9 <<

printNotes: i= 76-<2425 2425    >,  	Bk2 --  1/4th..(224) <      > 	V228 - M256	=-28  %-12  	q= +4  %+2  	 1.318(81)<-----%12   %2



silence
printNotes: i= 77-<  20   40 -20>,  	Slc --   2whole(1024) <      > 	V1027 - M1024	= +3  %+0  	q= +3  %+0  	 5.956(81)
printNotes: i= 78-<1524 2425 -901>,  	Bk2 -- 1/16th..( 56) <      > 	V 57 - M 32	=+25  %+44  	q= +1  %+2  	 0.325(81)<-----%44   %2

printNotes: i= 79-<1435 2315 -880>,  	 A2 --    1/8th( 64) <      > 	V 76 - M 32	=+44  %+58  	q=+12  %+16  	 0.435(81)<-----%58   %16

printNotes: i= 80-<2552 2571 -19>,  	 C3 --  1/16th.( 48) <      > 	V 43 - M 32	=+11  %+26  	q= -5  %-12  	 0.244(81)<-----%26   %12

printNotes: i= 81-<1911 2425 -514>,  	Bk2 --    1/4th(128) <1*sela> 	V156 - M 96	=+60  %+38  	q=+28  %+18  	 0.900(81)<-----%38   %18

printNotes: i= 82-< 745 2425 -1680>,  	Bk2 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(81)<-- same note
printNotes: i= 83-<2336 2425 -89>,  	Bk2 --    1/4th(128) <      > 	V128 - M128	=  +  %+0  	q=  +  %+0  	 0.737(81)<-- same note
printNotes: i= 84-<1422 2315 -893>,  	 A2 --    1/8th( 64) <      > 	V 71 - M 64	= +7  %+10  	q= +7  %+10  	 0.406(81)
printNotes: i= 85-<2224 2571 -347>,  	 C3 -- 1/64th..( 14) <      > 	V 14 - M 32	=-18  %-129  	q=  +  %+0  	 0.075(81)<-----%129   %0 <<

printNotes: i= 86-<2426 2425   1>,  	Bk2 --   1/8th.( 96) <      > 	V 97 - M 96	= +1  %+1  	q= +1  %+1  	 0.557(81)


silence
printNotes: i= 87-<   0   40 -40>,  	Slc --  1/16th.( 48) <      > 	V 43 - M  8	=+35  %+81  	q= -5  %-12  	 0.244(81)<-----%81   %12

