	voice Midi Diff								present		 Best		Sec

printNotes: i= 70-<1699 1704  -5>,  	Ek2 --   1/32nd( 15) <      > 	V 15 - M 12	= +3  %+20  	q=  +  %+0  	 0.081(86)<-----%20   %0 <<

printNotes: i= 71-<1778 1835 -57>,  	 F2 --  1/64th.( 11) <      > 	V 12 - M 12	=  +  %+0  	q= +1  %+8  	 0.064(86)
printNotes: i= 72-<1679 1704 -25>,  	Ek2 --   1/16th( 30) <      > 	V 31 - M 24	= +7  %+23  	q= +1  %+3  	 0.174(86)<-----%23   %3

printNotes: i= 73-<1646 1554  92>,  	 D2 --  1/64th.( 11) <      > 	V 11 - M 24	=-13  %-118  	q=  +  %+0  	 0.058(86)<-----%118   %0 <<

printNotes: i= 74-<1785 1704  81>,  	Ek2 --    1/8th( 60) <      > 	V 66 - M 30	=+36  %+55  	q= +6  %+9  	 0.377(86)<-----%55   %9



silence
printNotes: i= 75-<   0   40 -40>,  	Slc --     half(241) <      > 	V229 - M211	=+18  %+8  	q=-12  %-5  	 1.324(86)
printNotes: i= 76-<1799 2207 -408>,  	Ak2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(86)
printNotes: i= 77-<2063 2083 -20>,  	 G2 --    1/8th( 60) <      > 	V 70 - M 45	=+25  %+36  	q=+10  %+14  	 0.401(86)<-----%36   %14

printNotes: i= 78-<2170 2207 -37>,  	Ak2 --  1/32nd.( 23) <      > 	V 20 - M 30	=-10  %-50  	q= -3  %-15  	 0.110(86)<-----%50   %15

printNotes: i= 79-<2085 2083   2>,  	 G2 --  1/16th.( 45) <      > 	V 44 - M 40	= +4  %+9  	q= -1  %-2  	 0.250(86)<-----%9   %2

printNotes: i= 80-<2177 2207 -30>,  	Ak2 --   1/16th( 30) <      > 	V 30 - M 40	=-10  %-33  	q=  +  %+0  	 0.168(86)<-----%33   %0

printNotes: i= 81-<2013 2083 -70>,  	 G2 --    1/4th(121) <      > 	V116 - M161	=-45  %-39  	q= -5  %-4  	 0.668(86)<-----%39   %4

printNotes: i= 82-<1868 1835  33>,  	 F2 --    1/8th( 60) <      > 	V 70 - M 30	=+40  %+57  	q=+10  %+14  	 0.401(86)<-----%57   %14

printNotes: i= 83-<1737 1704  33>,  	Ek2 --  1/64th.( 11) <      > 	V 11 - M 30	=-19  %-173  	q=  +  %+0  	 0.058(86)<-----%173   %0 <<

printNotes: i= 84-<1852 1835  17>,  	 F2 -- 1/32nd..( 26) <      > 	V 25 - M 30	= -5  %-20  	q= -1  %-4  	 0.139(86)<-----%20   %4

printNotes: i= 85-<2076 2083  -7>,  	 G2 -- 1/32nd..( 26) <      > 	V 27 - M 30	= -3  %-11  	q= +1  %+4  	 0.151(86)<-----%11   %4

printNotes: i= 86-<1838 1835   3>,  	 F2 --   1/32nd( 15) <      > 	V 16 - M 30	=-14  %-88  	q= +1  %+6  	 0.087(86)<-----%88   %6 <<

printNotes: i= 87-<2080 2083  -3>,  	 G2 --   1/16th( 30) <      > 	V 30 - M 30	=  +  %+0  	q=  +  %+0  	 0.168(86)
printNotes: i= 88-<1856 1835  21>,  	 F2 -- 1/64th..( 13) <      > 	V 14 - M 15	= -1  %-7  	q= +1  %+7  	 0.075(86)
printNotes: i= 89-<1978 2083 -105>,  	 G2 -- 1/64th..( 13) <      > 	V 14 - M 15	= -1  %-7  	q= +1  %+7  	 0.075(86)
printNotes: i= 90-<1849 1835  14>,  	 F2 --    128th(  4) <      > 	V  3 - M 30	=-27  %-900  	q= -1  %-33  	 0.012(86)<-----%900   %33 <<

printNotes: i= 91-<1759 1704  55>,  	Ek2 --  1/64th.( 11) <      > 	V 11 - M 15	= -4  %-36  	q=  +  %+0  	 0.058(86)<-----%36   %0 <<

printNotes: i= 92-<1840 1835   5>,  	 F2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(86)


silence
printNotes: i= 93-<1700   40 1660>,  	Slc --    128th(  4) <      > 	V  4 - M  8	= -4  %-100  	q=  +  %+0  	 0.017(86)<-----%100   %0 <<

printNotes: i= 94-<1530 1704 -174>,  	Ek2 --    1/4th(121) <      > 	V119 - M 30	=+89  %+75  	q= -2  %-2  	 0.685(86)<-----%75   %2

printNotes: i= 95-<1601 1554  47>,  	 D2 --   1/32nd( 15) <      > 	V 16 - M 30	=-14  %-88  	q= +1  %+6  	 0.087(86)<-----%88   %6 <<

printNotes: i= 96-<1719 1704  15>,  	Ek2 --  1/8th..(106) <      > 	V108 - M 60	=+48  %+44  	q= +2  %+2  	 0.621(86)<-----%44   %2



silence
printNotes: i= 97-<   0   40 -40>,  	Slc --  1/8th..(106) <      > 	V109 - M121	=-12  %-11  	q= +3  %+3  	 0.627(86)<-----%11   %3

printNotes: i= 98-<1337 1354 -17>,  	 C2 --  1/16th.( 45) <      > 	V 46 - M 30	=+16  %+35  	q= +1  %+2  	 0.261(86)<-----%35   %2

printNotes: i= 99-<1719 1704  15>,  	Ek2 --    half.(362) <-2*sela> 	V319 - M362	=-43  %-13  	q=-43  %-13  	 1.846(86)


silence
printNotes: i= 100-<   0   40 -40>,  	Slc --   whole.(724) <      > 	V727 - M492	=+235  %+32  	q= +3  %+0  	 4.214(86)<-----%32   %0

printNotes: i= 101-<1256 2083 -827>,  	 G2 --  1/16th.( 45) <      > 	V 45 - M 40	= +5  %+11  	q=  +  %+0  	 0.255(86)<-----%11   %0

printNotes: i= 102-<1689 2583 -894>,  	 C3 --   1/32nd( 15) <      > 	V 18 - M 40	=-22  %-122  	q= +3  %+17  	 0.099(86)<-----%122   %17

printNotes: i= 103-<1889 2382 -493>,  	Bk2 --     half(241) <      > 	V233 - M241	= -8  %-3  	q= -8  %-3  	 1.347(86)
printNotes: i= 104-<2376 2382  -6>,  	Bk2 --   1/16th( 30) <      > 	V 30 - M 30	=  +  %+0  	q=  +  %+0  	 0.168(86)<-- same note
printNotes: i= 105-<2243 2257 -14>,  	 A2 --   1/32nd( 15) <      > 	V 15 - M 30	=-15  %-100  	q=  +  %+0  	 0.081(86)<-----%100   %0 <<

printNotes: i= 106-<2331 2382 -51>,  	Bk2 --    1/8th( 60) <      > 	V 71 - M 60	=+11  %+15  	q=+11  %+15  	 0.406(86)


silence
printNotes: i= 107-<   0   40 -40>,  	Slc --   1/4th.(181) <-1*sela> 	V166 - M241	=-75  %-45  	q=-15  %-9  	 0.958(86)<-----%45   %9

printNotes: i= 108-<1023 2083 -1060>,  	 G2 --   1/8th.( 90) <      > 	V 94 - M 45	=+49  %+52  	q= +4  %+4  	 0.540(86)<-----%52   %4

printNotes: i= 109-<2555 2583 -28>,  	 C3 --  1/32nd.( 23) <      > 	V 21 - M 45	=-24  %-114  	q= -2  %-10  	 0.116(86)<-----%114   %10

printNotes: i= 110-<2415 2382  33>,  	Bk2 --   1/16th( 30) <      > 	V 29 - M 30	= -1  %-3  	q= -1  %-3  	 0.163(86)
printNotes: i= 111-<2528 2583 -55>,  	 C3 --   1/16th( 30) <      > 	V 35 - M 30	= +5  %+14  	q= +5  %+14  	 0.197(86)
printNotes: i= 112-<2379 2382  -3>,  	Bk2 --    1/4th(121) <1*sela> 	V138 - M181	=-43  %-31  	q=+17  %+12  	 0.795(86)<-----%31   %12

printNotes: i= 113-<2193 2207 -14>,  	Ak2 --  1/16th.( 45) <      > 	V 40 - M 60	=-20  %-50  	q= -5  %-12  	 0.226(86)<-----%50   %12

printNotes: i= 114-<2403 2382  21>,  	Bk2 --  1/8th..(106) <      > 	V111 - M121	=-10  %-9  	q= +5  %+5  	 0.639(86)<-----%9   %5

printNotes: i= 115-<2188 2207 -19>,  	Ak2 --   1/16th( 30) <      > 	V 33 - M 30	= +3  %+9  	q= +3  %+9  	 0.186(86)


silence
printNotes: i= 116-<   0   40 -40>,  	Slc --  1/8th..(106) <      > 	V 99 - M 60	=+39  %+39  	q= -7  %-7  	 0.569(86)<-----%39   %7

printNotes: i= 117-<2103 2207 -104>,  	Ak2 --   1/16th( 30) <      > 	V 33 - M 30	= +3  %+9  	q= +3  %+9  	 0.186(86)
printNotes: i= 118-<2364 2382 -18>,  	Bk2 --   1/32nd( 15) <      > 	V 18 - M 30	=-12  %-67  	q= +3  %+17  	 0.099(86)<-----%67   %17



silence
printNotes: i= 119-<   0   40 -40>,  	Slc --  1/16th.( 45) <      > 	V 40 - M  8	=+32  %+80  	q= -5  %-12  	 0.226(86)<-----%80   %12

printNotes: i= 120-<2345 2382 -37>,  	Bk2 --   1/16th( 30) <      > 	V 35 - M 30	= +5  %+14  	q= +5  %+14  	 0.197(86)
printNotes: i= 121-<2549 2583 -34>,  	 C3 --  1/4th..(211) <      > 	V207 - M241	=-34  %-16  	q= -4  %-2  	 1.196(86)<-----%16   %2

printNotes: i= 122-<2801 2783  18>,  	 D3 --   1/16th( 30) <      > 	V 32 - M 40	= -8  %-25  	q= +2  %+6  	 0.180(86)<-----%25   %6

printNotes: i= 123-<2539 2583 -44>,  	 C3 --   1/8th.( 90) <      > 	V 93 - M 80	=+13  %+14  	q= +3  %+3  	 0.534(86)<-----%14   %3

printNotes: i= 124-<2535 2583 -48>,  	 C3 --  1/16th.( 45) <      > 	V 40 - M 40	=  +  %+0  	q= -5  %-12  	 0.226(86)<-- same note
printNotes: i= 125-<2390 2382   8>,  	Bk2 --  1/64th.( 11) <      > 	V 11 - M 20	= -9  %-82  	q=  +  %+0  	 0.058(86)<-----%82   %0 <<

printNotes: i= 126-<2392 2382  10>,  	Bk2 --    128th(  4) <      > 	V  5 - M 10	= -5  %-100  	q= +1  %+20  	 0.023(86)<-- same note<-----%100   %20 <<

printNotes: i= 127-<1265 2583 -1318>,  	 C3 -- 1/64th..( 13) <      > 	V 14 - M 10	= +4  %+29  	q= +1  %+7  	 0.075(86)<-----%29   %7 <<

printNotes: i= 128-<2389 2382   7>,  	Bk2 -- 1/16th..( 53) <      > 	V 49 - M 20	=+29  %+59  	q= -4  %-8  	 0.279(86)<-----%59   %8

printNotes: i= 129-<2548 2583 -35>,  	 C3 --  1/64th.( 11) <      > 	V 10 - M 20	=-10  %-100  	q= -1  %-10  	 0.052(86)<-----%100   %10 <<

printNotes: i= 130-<2556 2583 -27>,  	 C3 --  1/32nd.( 23) <      > 	V 20 - M 40	=-20  %-100  	q= -3  %-15  	 0.110(86)<-- same note<-----%100   %15

printNotes: i= 131-<2393 2382  11>,  	Bk2 --    1/4th(121) <      > 	V121 - M121	=  +  %+0  	q=  +  %+0  	 0.697(86)
printNotes: i= 132-<2213 2207   6>,  	Ak2 --   1/32nd( 15) <      > 	V 15 - M 10	= +5  %+33  	q=  +  %+0  	 0.081(86)<-----%33   %0 <<

printNotes: i= 133-<2363 2382 -19>,  	Bk2 --  1/64th.( 11) <      > 	V 11 - M 10	= +1  %+9  	q=  +  %+0  	 0.058(86)
printNotes: i= 134-<2222 2207  15>,  	Ak2 --   1/16th( 30) <      > 	V 37 - M 10	=+27  %+73  	q= +7  %+19  	 0.209(86)<-----%73   %19

printNotes: i= 135-<2470 2382  88>,  	Bk2 --  1/32nd.( 23) <      > 	V 19 - M 10	= +9  %+47  	q= -4  %-21  	 0.104(86)<-----%47   %21

printNotes: i= 136-<2218 2207  11>,  	Ak2 --   1/16th( 30) <      > 	V 37 - M 40	= -3  %-8  	q= +7  %+19  	 0.209(86)
printNotes: i= 137-<2388 2382   6>,  	Bk2 --   1/16th( 30) <      > 	V 31 - M 40	= -9  %-29  	q= +1  %+3  	 0.174(86)<-----%29   %3

printNotes: i= 138-<2207 2207    >,  	Ak2 --  1/16th.( 45) <      > 	V 39 - M 40	= -1  %-3  	q= -6  %-15  	 0.221(86)
printNotes: i= 139-<2389 2382   7>,  	Bk2 --  1/16th.( 45) <      > 	V 43 - M 40	= +3  %+7  	q= -2  %-5  	 0.244(86)
printNotes: i= 140-<2209 2207   2>,  	Ak2 --   1/8th.( 90) <      > 	V 76 - M 60	=+16  %+21  	q=-14  %-18  	 0.435(86)
printNotes: i= 141-<2095 2083  12>,  	 G2 -- 1/64th..( 13) <      > 	V 14 - M 15	= -1  %-7  	q= +1  %+7  	 0.075(86)
printNotes: i= 142-<2207 2207    >,  	Ak2 --  1/64th.( 11) <      > 	V 12 - M 15	= -3  %-25  	q= +1  %+8  	 0.064(86)<-----%25   %8 <<

printNotes: i= 143-<2079 2083  -4>,  	 G2 --   1/16th( 30) <      > 	V 30 - M 15	=+15  %+50  	q=  +  %+0  	 0.168(86)<-----%50   %0

printNotes: i= 144-<2299 2207  92>,  	Ak2 --   1/32nd( 15) <      > 	V 18 - M 15	= +3  %+17  	q= +3  %+17  	 0.099(86)
printNotes: i= 145-<2088 2083   5>,  	 G2 -- 1/16th..( 53) <      > 	V 53 - M 60	= -7  %-13  	q=  +  %+0  	 0.302(86)<-----%13   %0

printNotes: i= 146-<2184 2207 -23>,  	Ak2 --    1/8th( 60) <      > 	V 60 - M 60	=  +  %+0  	q=  +  %+0  	 0.342(86)
printNotes: i= 147-<2140 2083  57>,  	 G2 --   1/4th.(181) <      > 	V183 - M241	=-58  %-32  	q= +2  %+1  	 1.057(86)<-----%32   %1



silence
printNotes: i= 148-<   0   40 -40>,  	Slc --     half(241) <2*sela> 	V281 - M362	=-81  %-29  	q=+40  %+14  	 1.625(86)<-----%29   %14

printNotes: i= 149-<2086 2083   3>,  	 G2 --  1/16th.( 45) <      > 	V 44 - M 45	= -1  %-2  	q= -1  %-2  	 0.250(86)
printNotes: i= 150-<2148 2207 -59>,  	Ak2 --   1/16th( 30) <      > 	V 32 - M 30	= +2  %+6  	q= +2  %+6  	 0.180(86)
printNotes: i= 151-<2369 2361   8>,  	Bb2 --    1/4th(121) <1*sela> 	V143 - M181	=-38  %-27  	q=+22  %+15  	 0.824(86)<-----%27   %15

printNotes: i= 152-<2554 2583 -29>,  	 C3 --  1/16th.( 45) <      > 	V 46 - M 60	=-14  %-30  	q= +1  %+2  	 0.261(86)<-----%30   %2



silence
printNotes: i= 153-<   0   40 -40>,  	Slc --   1/16th( 30) <      > 	V 36 - M  8	=+28  %+78  	q= +6  %+17  	 0.203(86)<-----%78   %17

printNotes: i= 154-<2195 2207 -12>,  	Ak2 --    1/8th( 60) <      > 	V 69 - M 60	= +9  %+13  	q= +9  %+13  	 0.395(86)
printNotes: i= 155-<2378 2361  17>,  	Bb2 --   1/16th( 30) <      > 	V 35 - M 30	= +5  %+14  	q= +5  %+14  	 0.197(86)


silence
printNotes: i= 156-<2181   40 2141>,  	Slc --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(86)
printNotes: i= 157-<2107 2083  24>,  	 G2 --  1/16th.( 45) <      > 	V 42 - M 30	=+12  %+29  	q= -3  %-7  	 0.238(86)<-----%29   %7

printNotes: i= 158-<2186 2207 -21>,  	Ak2 --  1/32nd.( 23) <      > 	V 21 - M 30	= -9  %-43  	q= -2  %-10  	 0.116(86)<-----%43   %10

printNotes: i= 159-<2088 2083   5>,  	 G2 --   1/16th( 30) <      > 	V 32 - M 30	= +2  %+6  	q= +2  %+6  	 0.180(86)
printNotes: i= 160-<2200 2207  -7>,  	Ak2 --  1/32nd.( 23) <      > 	V 19 - M 30	=-11  %-58  	q= -4  %-21  	 0.104(86)<-----%58   %21

printNotes: i= 161-<2094 2083  11>,  	 G2 -- 1/64th..( 13) <      > 	V 14 - M 15	= -1  %-7  	q= +1  %+7  	 0.075(86)
printNotes: i= 162-<2208 2207   1>,  	Ak2 --  1/64th.( 11) <      > 	V 12 - M 15	= -3  %-25  	q= +1  %+8  	 0.064(86)<-----%25   %8 <<

