	voice Midi Diff								present		 Best		Sec

printNotes: i= 90-<2298 2206  92>,  	Ek2 --  1/16th.( 40) <      > 	V 35 - M 40	= -5  %-14  	q= -5  %-14  	 0.197(98)
printNotes: i= 91-<2354 2364 -10>,  	 F2 --  1/16th.( 40) <      > 	V 35 - M 40	= -5  %-14  	q= -5  %-14  	 0.197(98)
printNotes: i= 92-<2084 2081   3>,  	 D2 --  1/16th.( 40) <      > 	V 36 - M 40	= -4  %-11  	q= -4  %-11  	 0.203(98)
printNotes: i= 93-<2208 2206   2>,  	Ek2 -- 1/32nd..( 23) <      > 	V 22 - M 23	= -1  %-5  	q= -1  %-5  	 0.122(98)
printNotes: i= 94-<2373 2364   9>,  	 F2 --   1/16th( 26) <      > 	V 30 - M 26	= +4  %+13  	q= +4  %+13  	 0.168(98)
printNotes: i= 95-<2179 2206 -27>,  	Ek2 -- 1/64th..( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(98)
printNotes: i= 96-<2351 2364 -13>,  	 F2 --   1/16th( 26) <      > 	V 26 - M 26	=  +  %+0  	q=  +  %+0  	 0.145(98)
printNotes: i= 97-<2554 2572 -18>,  	 G2 --  1/64th.( 10) <      > 	V 10 - M 10	=  +  %+0  	q=  +  %+0  	 0.052(98)
printNotes: i= 98-<2352 2364 -12>,  	 F2 --    1/4th(106) <      > 	V112 - M106	= +6  %+5  	q= +6  %+5  	 0.644(98)
printNotes: i= 99-<2567 2572  -5>,  	 G2 --   1/16th( 26) <      > 	V 32 - M 26	= +6  %+19  	q= +6  %+19  	 0.180(98)
printNotes: i= 100-<1444 2364 -920>,  	 F2 --   1/8th.( 79) <      > 	V 69 - M 79	=-10  %-14  	q=-10  %-14  	 0.395(98)
printNotes: i= 101-<2217 2206  11>,  	Ek2 --   1/16th( 26) <      > 	V 32 - M 26	= +6  %+19  	q= +6  %+19  	 0.180(98)
printNotes: i= 102-<2332 2364 -32>,  	 F2 --  128th..(  6) <      > 	V  6 - M  7	= -1  %-17  	q=  +  %+0  	 0.029(98)
printNotes: i= 103-<2175 2206 -31>,  	Ek2 --   1/32nd( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(98)


silence
