	voice Midi Diff								present		 Best		Sec

printNotes: i= 77-<3007 3008  -1>,  	 C3 --   1/4th.(175) <      > 	V176 - M175	= +1  %+1  	q= +1  %+1  	 1.016(89)
printNotes: i= 78-<2851 2815  36>,  	Bb2 --   1/32nd( 15) <      > 	V 15 - M 13	= +2  %+13  	q=  +  %+0  	 0.081(89)
printNotes: i= 79-<2973 3008 -35>,  	 C3 --   1/64th(  7) <      > 	V  9 - M 11	= -2  %-22  	q= +2  %+22  	 0.046(89)
printNotes: i= 80-<2828 2815  13>,  	Bb2 -- 1/32nd..( 26) <      > 	V 24 - M 22	= +2  %+8  	q= -2  %-8  	 0.134(89)
printNotes: i= 81-<2735 2746 -11>,  	 A2 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(89)
printNotes: i= 82-<2830 2815  15>,  	Bb2 --  128th..(  6) <      > 	V  6 - M  5	= +1  %+17  	q=  +  %+0  	 0.029(89)
printNotes: i= 83-<2714 2746 -32>,  	 A2 --  1/32nd.( 22) <      > 	V 22 - M 22	=  +  %+0  	q=  +  %+0  	 0.122(89)
printNotes: i= 84-<2565 2556   9>,  	 G2 --   1/32nd( 15) <      > 	V 18 - M 15	= +3  %+17  	q= +3  %+17  	 0.099(89)
printNotes: i= 85-<2664 2746 -82>,  	 A2 --    128th(  4) <      > 	V  4 - M  4	=  +  %+0  	q=  +  %+0  	 0.017(89)
printNotes: i= 86-<2565 2556   9>,  	 G2 --   1/32nd( 15) <      > 	V 18 - M 15	= +3  %+17  	q= +3  %+17  	 0.099(89)
printNotes: i= 87-<2756 2746  10>,  	 A2 --   1/16th( 29) <      > 	V 36 - M 29	= +7  %+19  	q= +7  %+19  	 0.203(89)
printNotes: i= 88-<2804 2815 -11>,  	Bb2 -- 1/32nd..( 26) <      > 	V 26 - M 26	=  +  %+0  	q=  +  %+0  	 0.145(89)
printNotes: i= 89-<2751 2746   5>,  	 A2 --  1/16th.( 44) <      > 	V 37 - M 29	= +8  %+22  	q= -7  %-19  	 0.209(89)
printNotes: i= 90-<2800 2815 -15>,  	Bb2 --   1/32nd( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(89)
printNotes: i= 91-<2741 2746  -5>,  	 A2 --   1/16th( 29) <      > 	V 30 - M 29	= +1  %+3  	q= +1  %+3  	 0.168(89)
printNotes: i= 92-<1332 2815 -1483>,  	Bb2 -- 1/32nd..( 26) <      > 	V 24 - M 22	= +2  %+8  	q= -2  %-8  	 0.134(89)
printNotes: i= 93-<2587 2746 -159>,  	 A2 --   1/16th( 29) <      > 	V 32 - M 29	= +3  %+9  	q= +3  %+9  	 0.180(89)


silence
printNotes: i= 94-<   0   40 -40>,  	Slc --  1/8th..(102) <      > 	V 99 - M123	=-24  %-24  	q= -3  %-3  	 0.569(89)<-----%24   %3

printNotes: i= 95-<2219 2354 -135>,  	 F2 --  1/16th.( 44) <      > 	V 37 - M 29	= +8  %+22  	q= -7  %-19  	 0.209(89)
printNotes: i= 96-<2670 2746 -76>,  	 A2 --   1/16th( 29) <      > 	V 30 - M 29	= +1  %+3  	q= +1  %+3  	 0.168(89)
