	voice Midi Diff								present		 Best		Sec

printNotes: i= 55-<2808 2800   8>,  	 A2 --   1/32nd( 17) <      > 	V 21 - M 17	= +4  %+19  	q= +4  %+19  	 0.116(74)
printNotes: i= 56-<2594 2586   8>,  	 G2 --   1/8th.(105) <      > 	V 89 - M105	=-16  %-18  	q=-16  %-18  	 0.511(74)
printNotes: i= 57-<2484 2478   6>,  	F#2 --    128th(  4) <      > 	V  4 - M  4	=  +  %+0  	q=  +  %+0  	 0.017(74)
printNotes: i= 58-< 645 2586 -1941>,  	 G2 -- 1/64th..( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(74)
printNotes: i= 59-<1634 2478 -844>,  	F#2 --   1/16th( 35) <      > 	V 39 - M 35	= +4  %+10  	q= +4  %+10  	 0.221(74)
printNotes: i= 60-<2025 2217 -192>,  	Ek2 --  1/16th.( 52) <      > 	V 52 - M 52	=  +  %+0  	q=  +  %+0  	 0.296(74)
printNotes: i= 61-<2107 2091  16>,  	 D2 -- 1/64th..( 15) <      > 	V 16 - M 17	= -1  %-6  	q= +1  %+6  	 0.087(74)
printNotes: i= 62-<2208 2217  -9>,  	Ek2 --   1/16th( 35) <      > 	V 37 - M 35	= +2  %+5  	q= +2  %+5  	 0.209(74)
printNotes: i= 63-<2118 2091  27>,  	 D2 -- 1/64th..( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(74)
printNotes: i= 64-<2210 2217  -7>,  	Ek2 --   1/16th( 35) <      > 	V 42 - M 35	= +7  %+17  	q= +7  %+17  	 0.238(74)
printNotes: i= 65-<2440 2478 -38>,  	F#2 --   1/4th.(210) <-1*sela> 	V180 - M210	=-30  %-17  	q=-30  %-17  	 1.039(74)
printNotes: i= 66-<1963 2217 -254>,  	Ek2 --  1/16th.( 52) <      > 	V 51 - M 52	= -1  %-2  	q= -1  %-2  	 0.290(74)
printNotes: i= 67-<2567 2586 -19>,  	 G2 --  1/16th.( 52) <      > 	V 46 - M 52	= -6  %-13  	q= -6  %-13  	 0.261(74)
printNotes: i= 68-<2479 2478   1>,  	F#2 --   1/32nd( 17) <      > 	V 18 - M 17	= +1  %+6  	q= +1  %+6  	 0.099(74)
printNotes: i= 69-<2575 2586 -11>,  	 G2 --  1/32nd.( 26) <      > 	V 26 - M 26	=  +  %+0  	q=  +  %+0  	 0.145(74)
printNotes: i= 70-<2498 2478  20>,  	F#2 --   1/16th( 35) <      > 	V 43 - M 52	= -9  %-21  	q= +8  %+19  	 0.244(74)
printNotes: i= 71-<2559 2586 -27>,  	 G2 --  1/64th.( 13) <      > 	V 10 - M  9	= +1  %+10  	q= -3  %-30  	 0.052(74)


silence
printNotes: i= 72-<   0   40 -40>,  	Slc --  1/8th..(122) <      > 	V129 - M 70	=+59  %+46  	q= +7  %+5  	 0.743(74)<-----%46   %5

printNotes: i= 73-<1932 1893  39>,  	 C2 --  1/64th.( 13) <      > 	V 14 - M 15	= -1  %-7  	q= +1  %+7  	 0.075(74)
printNotes: i= 74-<2212 2217  -5>,  	Ek2 --   1/32nd( 17) <      > 	V 20 - M 17	= +3  %+15  	q= +3  %+15  	 0.110(74)
printNotes: i= 75-<2068 2091 -23>,  	 D2 --   1/16th( 35) <      > 	V 42 - M 35	= +7  %+17  	q= +7  %+17  	 0.238(74)
printNotes: i= 76-<2197 2217 -20>,  	Ek2 --  1/16th.( 52) <      > 	V 45 - M 52	= -7  %-16  	q= -7  %-16  	 0.255(74)
printNotes: i= 77-<1634 2091 -457>,  	 D2 --    1/4th(140) <1*sela> 	V165 - M140	=+25  %+15  	q=+25  %+15  	 0.952(74)
