	voice Midi Diff								present		 Best		Sec

printNotes: i= 54-<2816 2812   4>,  	 A2 --   1/16th( 33) <      > 	V 33 - M 33	=  +  %+0  	q=  +  %+0  	 0.186(79)
printNotes: i= 55-<2615 2584  31>,  	 G2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(79)
printNotes: i= 56-<2837 2812  25>,  	 A2 --  1/32nd.( 25) <      > 	V 25 - M 25	=  +  %+0  	q=  +  %+0  	 0.139(79)
printNotes: i= 57-<2912 2884  28>,  	Bb2 --   1/64th(  8) <      > 	V  8 - M  7	= +1  %+12  	q=  +  %+0  	 0.041(79)
printNotes: i= 58-<2809 2812  -3>,  	 A2 --   1/32nd( 16) <      > 	V 18 - M 16	= +2  %+11  	q= +2  %+11  	 0.099(79)
printNotes: i= 59-<2955 3084 -129>,  	 C3 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(79)
printNotes: i= 60-<2573 2584 -11>,  	 G2 --    1/4th(131) <      > 	V143 - M131	=+12  %+8  	q=+12  %+8  	 0.824(79)
printNotes: i= 61-<2475 2482  -7>,  	F#2 --    1/8th( 65) <      > 	V 76 - M 65	=+11  %+14  	q=+11  %+14  	 0.435(79)
printNotes: i= 62-<2573 2584 -11>,  	 G2 --  1/16th.( 49) <      > 	V 45 - M 49	= -4  %-9  	q= -4  %-9  	 0.255(79)
printNotes: i= 63-<2474 2482  -8>,  	F#2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(79)
printNotes: i= 64-<2572 2584 -12>,  	 G2 --   1/64th(  8) <      > 	V 10 - M  8	= +2  %+20  	q= +2  %+20  	 0.052(79)
printNotes: i= 65-<2481 2482  -1>,  	F#2 --  1/32nd.( 25) <      > 	V 22 - M 25	= -3  %-14  	q= -3  %-14  	 0.122(79)
printNotes: i= 66-<1277 2584 -1307>,  	 G2 --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(79)
printNotes: i= 67-<2468 2482 -14>,  	F#2 --   1/16th( 33) <      > 	V 31 - M 29	= +2  %+6  	q= -2  %-6  	 0.174(79)
printNotes: i= 68-<2238 2215  23>,  	Ek2 --  1/32nd.( 25) <      > 	V 24 - M 25	= -1  %-4  	q= -1  %-4  	 0.134(79)
printNotes: i= 69-<2433 2482 -49>,  	F#2 --    128th(  4) <      > 	V  4 - M  4	=  +  %+0  	q=  +  %+0  	 0.017(79)
printNotes: i= 70-<2244 2215  29>,  	Ek2 --  1/32nd.( 25) <      > 	V 22 - M 25	= -3  %-14  	q= -3  %-14  	 0.122(79)
printNotes: i= 71-< 492 2482 -1990>,  	F#2 -- 1/64th..( 14) <      > 	V 15 - M 14	= +1  %+7  	q= +1  %+7  	 0.081(79)
printNotes: i= 72-<1773 2215 -442>,  	Ek2 --   1/16th( 33) <      > 	V 35 - M 33	= +2  %+6  	q= +2  %+6  	 0.197(79)
printNotes: i= 73-<2086 2094  -8>,  	 D2 --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(79)
printNotes: i= 74-<2223 2215   8>,  	Ek2 --   1/4th.(196) <-1*sela> 	V172 - M196	=-24  %-14  	q=-24  %-14  	 0.993(79)
printNotes: i= 75-<2110 2094  16>,  	 D2 --   1/16th( 33) <      > 	V 38 - M 33	= +5  %+13  	q= +5  %+13  	 0.215(79)
printNotes: i= 76-<2364 2482 -118>,  	F#2 --   1/64th(  8) <      > 	V 10 - M 12	= -2  %-20  	q= +2  %+20  	 0.052(79)


silence
printNotes: i= 77-<   0   40 -40>,  	Slc --     half(262) <      > 	V271 - M209	=+62  %+23  	q= +9  %+3  	 1.567(79)<-----%23   %3

printNotes: i= 78-<1804 1584 220>,  	 A1 --  1/32nd.( 25) <      > 	V 23 - M 25	= -2  %-9  	q= -2  %-9  	 0.128(79)
printNotes: i= 79-<2550 2584 -34>,  	 G2 --    1/8th( 65) <      > 	V 67 - M 65	= +2  %+3  	q= +2  %+3  	 0.383(79)
printNotes: i= 80-<2498 2482  16>,  	F#2 --  1/64th.( 12) <      > 	V 11 - M 12	= -1  %-9  	q= -1  %-9  	 0.058(79)
printNotes: i= 81-<2594 2584  10>,  	 G2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(79)
printNotes: i= 82-<2218 2215   3>,  	Ek2 --    1/8th( 65) <      > 	V 67 - M 65	= +2  %+3  	q= +2  %+3  	 0.383(79)
printNotes: i= 83-<2107 2094  13>,  	 D2 --    1/4th(131) <1*sela> 	V162 - M131	=+31  %+19  	q=+31  %+19  	 0.935(79)
printNotes: i= 84-< 976 1884 -908>,  	 C2 --   1/16th( 33) <      > 	V 31 - M 33	= -2  %-6  	q= -2  %-6  	 0.174(79)
printNotes: i= 85-<2190 2215 -25>,  	Ek2 --   1/16th( 33) <      > 	V 34 - M 33	= +1  %+3  	q= +1  %+3  	 0.192(79)
printNotes: i= 86-<2098 2094   4>,  	 D2 -- 1/64th..( 14) <      > 	V 14 - M 14	=  +  %+0  	q=  +  %+0  	 0.075(79)
printNotes: i= 87-<2231 2215  16>,  	Ek2 -- 1/32nd..( 29) <      > 	V 28 - M 29	= -1  %-4  	q= -1  %-4  	 0.157(79)
printNotes: i= 88-<2481 2482  -1>,  	F#2 -- 1/32nd..( 29) <      > 	V 27 - M 29	= -2  %-7  	q= -2  %-7  	 0.151(79)
printNotes: i= 89-<2561 2584 -23>,  	 G2 --    128th(  4) <      > 	V  5 - M  4	= +1  %+20  	q= +1  %+20  	 0.023(79)
printNotes: i= 90-<2480 2482  -2>,  	F#2 --  1/32nd.( 25) <      > 	V 23 - M 25	= -2  %-9  	q= -2  %-9  	 0.128(79)
printNotes: i= 91-<2236 2215  21>,  	Ek2 --   1/32nd( 16) <      > 	V 19 - M 16	= +3  %+16  	q= +3  %+16  	 0.104(79)
printNotes: i= 92-<2492 2482  10>,  	F#2 -- 1/32nd..( 29) <      > 	V 27 - M 29	= -2  %-7  	q= -2  %-7  	 0.151(79)
printNotes: i= 93-<2573 2584 -11>,  	 G2 --  1/64th.( 12) <      > 	V 13 - M 12	= +1  %+8  	q= +1  %+8  	 0.070(79)
printNotes: i= 94-<2237 2215  22>,  	Ek2 -- 1/32nd..( 29) <      > 	V 28 - M 29	= -1  %-4  	q= -1  %-4  	 0.157(79)
printNotes: i= 95-<2477 2482  -5>,  	F#2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(79)
printNotes: i= 96-<2225 2215  10>,  	Ek2 --   1/16th( 33) <      > 	V 37 - M 33	= +4  %+11  	q= +4  %+11  	 0.209(79)
printNotes: i= 97-<2116 2094  22>,  	 D2 --   1/16th( 33) <      > 	V 33 - M 33	=  +  %+0  	q=  +  %+0  	 0.186(79)
printNotes: i= 98-<2558 2584 -26>,  	 G2 -- 1/16th..( 57) <      > 	V 54 - M 57	= -3  %-6  	q= -3  %-6  	 0.308(79)
printNotes: i= 99-<2872 2884 -12>,  	Bb2 -- 1/64th..( 14) <      > 	V 14 - M 12	= +2  %+14  	q=  +  %+0  	 0.075(79)
printNotes: i= 100-<2510 2482  28>,  	F#2 --  1/16th.( 49) <      > 	V 48 - M 49	= -1  %-2  	q= -1  %-2  	 0.273(79)
printNotes: i= 101-<2592 2584   8>,  	 G2 --   1/16th( 33) <      > 	V 40 - M 33	= +7  %+18  	q= +7  %+18  	 0.226(79)
printNotes: i= 102-<2502 2482  20>,  	F#2 --     half(262) <1*sela> 	V292 - M262	=+30  %+10  	q=+30  %+10  	 1.689(79)
printNotes: i= 103-<1643 2215 -572>,  	Ek2 --  1/16th.( 49) <      > 	V 42 - M 49	= -7  %-17  	q= -7  %-17  	 0.238(79)
printNotes: i= 104-<2113 2094  19>,  	 D2 --   1/16th( 33) <      > 	V 31 - M 33	= -2  %-6  	q= -2  %-6  	 0.174(79)
printNotes: i= 105-<2212 2215  -3>,  	Ek2 --   1/16th( 33) <      > 	V 39 - M 33	= +6  %+15  	q= +6  %+15  	 0.221(79)
printNotes: i= 106-<2107 2094  13>,  	 D2 --  1/4th..(229) <      > 	V221 - M229	= -8  %-4  	q= -8  %-4  	 1.277(79)
printNotes: i= 107-<2450 2482 -32>,  	F#2 --   1/16th( 33) <      > 	V 38 - M 33	= +5  %+13  	q= +5  %+13  	 0.215(79)
printNotes: i= 108-<2215 2215    >,  	Ek2 --   1/32nd( 16) <      > 	V 20 - M 16	= +4  %+20  	q= +4  %+20  	 0.110(79)
printNotes: i= 109-<2313 2482 -169>,  	F#2 --    128th(  4) <      > 	V  4 - M  4	=  +  %+0  	q=  +  %+0  	 0.017(79)
printNotes: i= 110-<2211 2215  -4>,  	Ek2 --  1/32nd.( 25) <      > 	V 25 - M 25	=  +  %+0  	q=  +  %+0  	 0.139(79)
printNotes: i= 111-<2101 2094   7>,  	 D2 -- 1/64th..( 14) <      > 	V 15 - M 14	= +1  %+7  	q= +1  %+7  	 0.081(79)
printNotes: i= 112-<1871 2215 -344>,  	Ek2 --   1/8th.( 98) <      > 	V 99 - M 98	= +1  %+1  	q= +1  %+1  	 0.569(79)


silence
printNotes: i= 113-<   0   40 -40>,  	Slc --   2whole(1047) <-3*sela> 	V989 - M1145	=-156  %-16  	q=-58  %-6  	 5.735(79)<-----%16   %6

printNotes: i= 114-<1594 1684 -90>,  	Bb1 --  1/32nd.( 25) <      > 	V 26 - M 25	= +1  %+4  	q= +1  %+4  	 0.145(79)
printNotes: i= 115-<2072 2094 -22>,  	 D2 --  1/32nd.( 25) <      > 	V 22 - M 25	= -3  %-14  	q= -3  %-14  	 0.122(79)
printNotes: i= 116-<1658 2482 -824>,  	F#2 --   1/16th( 33) <      > 	V 39 - M 33	= +6  %+15  	q= +6  %+15  	 0.221(79)
printNotes: i= 117-<2197 2584 -387>,  	 G2 --  1/8th..(115) <      > 	V120 - M115	= +5  %+4  	q= +5  %+4  	 0.691(79)
