	voice Midi Diff								present		 Best		Sec

printNotes: i= 141-<1616 2105 -489>,  	 D2 --  1/16th.( 50) <      > 	V 54 - M 50	= +4  %+7  	q= +4  %+7  	 0.308(77)


silence
printNotes: i= 142-<   0   40 -40>,  	Slc --  1/16th.( 50) <      > 	V 51 - M 67	=-16  %-31  	q= +1  %+2  	 0.290(77)<-----%31   %2

printNotes: i= 143-<1689 1602  87>,  	 A1 --  1/32nd.( 25) <      > 	V 21 - M 25	= -4  %-19  	q= -4  %-19  	 0.116(77)
printNotes: i= 144-<2182 2242 -60>,  	Ek2 --  1/16th.( 50) <      > 	V 43 - M 50	= -7  %-16  	q= -7  %-16  	 0.244(77)
printNotes: i= 145-<2111 2105   6>,  	 D2 -- 1/64th..( 15) <      > 	V 16 - M 17	= -1  %-6  	q= +1  %+6  	 0.087(77)
printNotes: i= 146-<2234 2242  -8>,  	Ek2 --  1/16th.( 50) <      > 	V 53 - M 50	= +3  %+6  	q= +3  %+6  	 0.302(77)
printNotes: i= 147-<2484 2475   9>,  	F#2 --  1/16th.( 50) <      > 	V 45 - M 50	= -5  %-11  	q= -5  %-11  	 0.255(77)
printNotes: i= 148-<2238 2242  -4>,  	Ek2 --   1/32nd( 17) <      > 	V 18 - M 17	= +1  %+6  	q= +1  %+6  	 0.099(77)
printNotes: i= 149-<2411 2438 -27>,  	 F2 --  1/64th.( 13) <      > 	V 10 - M  8	= +2  %+20  	q= -3  %-30  	 0.052(77)
printNotes: i= 150-<2236 2242  -6>,  	Ek2 --  1/16th.( 50) <      > 	V 54 - M 50	= +4  %+7  	q= +4  %+7  	 0.308(77)
printNotes: i= 151-<2109 2105   4>,  	 D2 --   1/16th( 33) <      > 	V 39 - M 33	= +6  %+15  	q= +6  %+15  	 0.221(77)
printNotes: i= 152-<2374 2438 -64>,  	 F2 --  1/64th.( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(77)
printNotes: i= 153-<2121 2105  16>,  	 D2 --  1/16th.( 50) <      > 	V 53 - M 50	= +3  %+6  	q= +3  %+6  	 0.302(77)
printNotes: i= 154-<1918 1902  16>,  	 C2 --  1/16th.( 50) <      > 	V 42 - M 50	= -8  %-19  	q= -8  %-19  	 0.238(77)
printNotes: i= 155-<2122 2105  17>,  	 D2 --  1/64th.( 13) <      > 	V 14 - M 15	= -1  %-7  	q= +1  %+7  	 0.075(77)
printNotes: i= 156-<1910 1902   8>,  	 C2 --    1/8th( 67) <      > 	V 66 - M 67	= -1  %-2  	q= -1  %-2  	 0.377(77)
printNotes: i= 157-<2115 2105  10>,  	 D2 --    1/8th( 67) <      > 	V 83 - M 67	=+16  %+19  	q=+16  %+19  	 0.476(77)
printNotes: i= 158-<2231 2242 -11>,  	Ek2 --    1/8th( 67) <      > 	V 70 - M 67	= +3  %+4  	q= +3  %+4  	 0.401(77)
printNotes: i= 159-<1891 1902 -11>,  	 C2 -- 1/32nd..( 29) <      > 	V 27 - M 25	= +2  %+7  	q= -2  %-7  	 0.151(77)
printNotes: i= 160-<2111 2105   6>,  	 D2 --     half(268) <1*sela> 	V301 - M268	=+33  %+11  	q=+33  %+11  	 1.741(77)
printNotes: i= 161-<2350 2438 -88>,  	 F2 --  1/64th.( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(77)
printNotes: i= 162-<2141 2105  36>,  	 D2 --   1/16th( 33) <      > 	V 40 - M 33	= +7  %+18  	q= +7  %+18  	 0.226(77)


silence
printNotes: i= 163-<   0   40 -40>,  	Slc --   2whole(1071) <1*sela> 	V1096 - M1073	=+23  %+2  	q=+25  %+2  	 6.356(77)
printNotes: i= 164-<1680 1602  78>,  	 A1 --  1/32nd.( 25) <      > 	V 24 - M 25	= -1  %-4  	q= -1  %-4  	 0.134(77)
printNotes: i= 165-<1860 1902 -42>,  	 C2 --  1/16th.( 50) <      > 	V 54 - M 50	= +4  %+7  	q= +4  %+7  	 0.308(77)
