	voice Midi Diff								present		 Best		Sec

printNotes: i= 88-<   0   40 -40>,  	Slc --   2whole(890) <16*sela> 	V1127 - M1118	= +9  %+1  	q=+237  %+21  	 6.536(93)
printNotes: i= 89-<1870 1589 281>,  	 A1 --  1/64th.( 10) <      > 	V  9 - M 10	= -1  %-11  	q= -1  %-11  	 0.046(93)
printNotes: i= 90-<2358 2467 -109>,  	F#2 --   1/32nd( 14) <      > 	V 15 - M 14	= +1  %+7  	q= +1  %+7  	 0.081(93)
printNotes: i= 91-<1561 2267 -706>,  	 E2 --  1/64th.( 10) <      > 	V 10 - M 10	=  +  %+0  	q=  +  %+0  	 0.052(93)
printNotes: i= 92-<2384 2467 -83>,  	F#2 --  1/32nd.( 21) <      > 	V 21 - M 21	=  +  %+0  	q=  +  %+0  	 0.116(93)
printNotes: i= 93-<2565 2582 -17>,  	 G2 --   1/8th.( 83) <      > 	V 84 - M 83	= +1  %+1  	q= +1  %+1  	 0.482(93)


silence
printNotes: i= 94-<   0   40 -40>,  	Slc --  1/16th.( 42) <      > 	V 41 - M 42	= -1  %-2  	q= -1  %-2  	 0.232(93)
printNotes: i= 95-<2484 2789 -305>,  	 A2 --   1/4th.(167) <      > 	V178 - M167	=+11  %+6  	q=+11  %+6  	 1.027(93)
printNotes: i= 96-<2869 2860   9>,  	Bb2 --   1/16th( 28) <      > 	V 27 - M 28	= -1  %-4  	q= -1  %-4  	 0.151(93)
printNotes: i= 97-<2759 2789 -30>,  	 A2 --  1/32nd.( 21) <      > 	V 19 - M 21	= -2  %-11  	q= -2  %-11  	 0.104(93)
printNotes: i= 98-<2575 2582  -7>,  	 G2 -- 1/32nd..( 24) <      > 	V 25 - M 24	= +1  %+4  	q= +1  %+4  	 0.139(93)
printNotes: i= 99-<2255 2467 -212>,  	F#2 --  1/4th..(195) <      > 	V194 - M195	= -1  %-1  	q= -1  %-1  	 1.120(93)
printNotes: i= 100-<2582 2582    >,  	 G2 --  1/8th..( 97) <      > 	V 99 - M 97	= +2  %+2  	q= +2  %+2  	 0.569(93)
printNotes: i= 101-<1760 2467 -707>,  	F#2 --   1/64th(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(93)
printNotes: i= 102-<2541 2789 -248>,  	 A2 --   1/8th.( 83) <      > 	V 86 - M 83	= +3  %+3  	q= +3  %+3  	 0.493(93)


silence
printNotes: i= 103-<   0   40 -40>,  	Slc -- 1/32nd..( 24) <      > 	V 23 - M 24	= -1  %-4  	q= -1  %-4  	 0.128(93)
printNotes: i= 104-<2781 3053 -272>,  	 C3 --   1/16th( 28) <      > 	V 31 - M 28	= +3  %+10  	q= +3  %+10  	 0.174(93)
printNotes: i= 105-<2747 2860 -113>,  	Bb2 --    1/8th( 56) <      > 	V 62 - M 56	= +6  %+10  	q= +6  %+10  	 0.354(93)
printNotes: i= 106-<3033 3053 -20>,  	 C3 --   1/16th( 28) <      > 	V 33 - M 28	= +5  %+15  	q= +5  %+15  	 0.186(93)
printNotes: i= 107-<2784 2789  -5>,  	 A2 -- 1/16th..( 49) <      > 	V 48 - M 49	= -1  %-2  	q= -1  %-2  	 0.273(93)
printNotes: i= 108-<2852 2860  -8>,  	Bb2 -- 1/32nd..( 24) <      > 	V 23 - M 24	= -1  %-4  	q= -1  %-4  	 0.128(93)
printNotes: i= 109-<2601 2582  19>,  	 G2 --   1/16th( 28) <      > 	V 33 - M 28	= +5  %+15  	q= +5  %+15  	 0.186(93)
printNotes: i= 110-<2848 2860 -12>,  	Bb2 -- 1/64th..( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(93)
printNotes: i= 111-<2785 2789  -4>,  	 A2 --   1/8th.( 83) <      > 	V 84 - M 83	= +1  %+1  	q= +1  %+1  	 0.482(93)
printNotes: i= 112-<2771 2789 -18>,  	 A2 --   1/8th.( 83) <      > 	V 83 - M 83	=  +  %+0  	q=  +  %+0  	 0.476(93)<-- same note
printNotes: i= 113-<2145 3053 -908>,  	 C3 --   1/64th(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(93)
printNotes: i= 114-<2805 2789  16>,  	 A2 --    1/8th( 56) <      > 	V 63 - M 56	= +7  %+11  	q= +7  %+11  	 0.360(93)


silence
printNotes: i= 115-<   0   40 -40>,  	Slc --     half(223) <1*sela> 	V248 - M228	=+20  %+8  	q=+25  %+10  	 1.434(93)
printNotes: i= 116-<1743 1689  54>,  	Bb1 --  1/64th.( 10) <      > 	V  9 - M 10	= -1  %-11  	q= -1  %-11  	 0.046(93)
printNotes: i= 117-<1964 2088 -124>,  	 D2 --  1/32nd.( 21) <      > 	V 20 - M 21	= -1  %-5  	q= -1  %-5  	 0.110(93)
printNotes: i= 118-<2780 2860 -80>,  	Bb2 --   1/16th( 28) <      > 	V 27 - M 28	= -1  %-4  	q= -1  %-4  	 0.151(93)
printNotes: i= 119-<1492 2789 -1297>,  	 A2 --    1/8th( 56) <      > 	V 58 - M 56	= +2  %+3  	q= +2  %+3  	 0.331(93)
printNotes: i= 120-<1987 2789 -802>,  	 A2 --    1/8th( 56) <      > 	V 56 - M 56	=  +  %+0  	q=  +  %+0  	 0.319(93)<-- same note
printNotes: i= 121-<2843 2860 -17>,  	Bb2 --   1/16th( 28) <      > 	V 33 - M 28	= +5  %+15  	q= +5  %+15  	 0.186(93)
printNotes: i= 122-<1904 2789 -885>,  	 A2 --    1/8th( 56) <      > 	V 63 - M 56	= +7  %+11  	q= +7  %+11  	 0.360(93)
printNotes: i= 123-<2863 2860   3>,  	Bb2 --   1/8th.( 83) <      > 	V 77 - M 83	= -6  %-8  	q= -6  %-8  	 0.441(93)
printNotes: i= 124-<2789 2789    >,  	 A2 --    1/4th(111) <      > 	V123 - M111	=+12  %+10  	q=+12  %+10  	 0.708(93)


silence
printNotes: i= 125-<   0   40 -40>,  	Slc --  1/64th.( 10) <      > 	V 10 - M 56	=-46  %-460  	q=  +  %+0  	 0.052(93)<-----%460   %0 <<

printNotes: i= 126-<2050 1889 161>,  	 C2 --   1/32nd( 14) <      > 	V 15 - M 14	= +1  %+7  	q= +1  %+7  	 0.081(93)
printNotes: i= 127-<1996 2789 -793>,  	 A2 --  1/8th..( 97) <      > 	V 98 - M 97	= +1  %+1  	q= +1  %+1  	 0.563(93)
printNotes: i= 128-<2847 2860 -13>,  	Bb2 -- 1/32nd..( 24) <      > 	V 23 - M 24	= -1  %-4  	q= -1  %-4  	 0.128(93)
printNotes: i= 129-<2777 2789 -12>,  	 A2 --  1/8th..( 97) <      > 	V 91 - M 83	= +8  %+9  	q= -6  %-7  	 0.522(93)
printNotes: i= 130-<3017 3053 -36>,  	 C3 --   1/32nd( 14) <      > 	V 14 - M 12	= +2  %+14  	q=  +  %+0  	 0.075(93)
printNotes: i= 131-<2875 2860  15>,  	Bb2 --   1/16th( 28) <      > 	V 31 - M 28	= +3  %+10  	q= +3  %+10  	 0.174(93)
printNotes: i= 132-<2776 2789 -13>,  	 A2 -- 1/32nd..( 24) <      > 	V 25 - M 24	= +1  %+4  	q= +1  %+4  	 0.139(93)
printNotes: i= 133-<2451 2582 -131>,  	 G2 --  1/32nd.( 21) <      > 	V 20 - M 21	= -1  %-5  	q= -1  %-5  	 0.110(93)
printNotes: i= 134-<2228 2789 -561>,  	 A2 --  1/64th.( 10) <      > 	V 10 - M 10	=  +  %+0  	q=  +  %+0  	 0.052(93)
printNotes: i= 135-<2219 2467 -248>,  	F#2 --  1/64th.( 10) <      > 	V 11 - M 10	= +1  %+9  	q= +1  %+9  	 0.058(93)
