	voice Midi Diff								present		 Best		Sec

printNotes: i= 59-<2094 2077  17>,  	F#2 --   1/16th( 29) <      > 	V 36 - M 29	= +7  %+19  	q= +7  %+19  	 0.203(89)
printNotes: i= 60-<1805 1811  -6>,  	Ek2 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(89)
printNotes: i= 61-<1899 1877  22>,  	 E2 --  1/64th.( 11) <      > 	V 10 - M 11	= -1  %-10  	q= -1  %-10  	 0.052(89)
printNotes: i= 62-<1807 1811  -4>,  	Ek2 -- 1/16th..( 51) <      > 	V 54 - M 51	= +3  %+6  	q= +3  %+6  	 0.308(89)
printNotes: i= 63-<1696 1694   2>,  	 D2 --   1/32nd( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(89)
printNotes: i= 64-<1803 1811  -8>,  	Ek2 --   1/16th( 29) <      > 	V 32 - M 29	= +3  %+9  	q= +3  %+9  	 0.180(89)
printNotes: i= 65-<1685 1694  -9>,  	 D2 --   1/32nd( 15) <      > 	V 18 - M 15	= +3  %+17  	q= +3  %+17  	 0.099(89)
printNotes: i= 66-<1818 1811   7>,  	Ek2 --     half(233) <2*sela> 	V271 - M233	=+38  %+14  	q=+38  %+14  	 1.567(89)
printNotes: i= 67-<1952 1977 -25>,  	 F2 --   1/64th(  7) <      > 	V  9 - M 11	= -2  %-22  	q= +2  %+22  	 0.046(89)


silence
printNotes: i= 68-<   0   40 -40>,  	Slc --   1/4th.(175) <-1*sela> 	V147 - M175	=-28  %-19  	q=-28  %-19  	 0.848(89)
printNotes: i= 69-<1685 1694  -9>,  	 D2 --  1/16th.( 44) <      > 	V 45 - M 44	= +1  %+2  	q= +1  %+2  	 0.255(89)
printNotes: i= 70-<1813 1811   2>,  	Ek2 --   1/16th( 29) <      > 	V 32 - M 29	= +3  %+9  	q= +3  %+9  	 0.180(89)
printNotes: i= 71-<2037 2077 -40>,  	F#2 --   1/16th( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(89)
printNotes: i= 72-<2159 2184 -25>,  	 G2 --   1/16th( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(89)
printNotes: i= 73-<2047 2077 -30>,  	F#2 --  1/32nd.( 22) <      > 	V 23 - M 22	= +1  %+4  	q= +1  %+4  	 0.128(89)
printNotes: i= 74-<2142 2184 -42>,  	 G2 --    128th(  4) <      > 	V  4 - M  4	=  +  %+0  	q=  +  %+0  	 0.017(89)
printNotes: i= 75-<2059 2077 -18>,  	F#2 --  1/32nd.( 22) <      > 	V 23 - M 22	= +1  %+4  	q= +1  %+4  	 0.128(89)
printNotes: i= 76-<2152 2184 -32>,  	 G2 --   128th.(  5) <      > 	V  5 - M  5	=  +  %+0  	q=  +  %+0  	 0.023(89)
printNotes: i= 77-<2065 2077 -12>,  	F#2 -- 1/32nd..( 26) <      > 	V 27 - M 26	= +1  %+4  	q= +1  %+4  	 0.151(89)
printNotes: i= 78-<1822 1811  11>,  	Ek2 --  1/32nd.( 22) <      > 	V 22 - M 22	=  +  %+0  	q=  +  %+0  	 0.122(89)
printNotes: i= 79-<2046 2077 -31>,  	F#2 --   1/16th( 29) <      > 	V 34 - M 29	= +5  %+15  	q= +5  %+15  	 0.192(89)
printNotes: i= 80-<1837 1811  26>,  	Ek2 --  1/32nd.( 22) <      > 	V 23 - M 22	= +1  %+4  	q= +1  %+4  	 0.128(89)
printNotes: i= 81-<2163 2184 -21>,  	 G2 --   1/32nd( 15) <      > 	V 18 - M 15	= +3  %+17  	q= +3  %+17  	 0.099(89)
printNotes: i= 82-<2080 2077   3>,  	F#2 --   1/4th.(175) <      > 	V188 - M175	=+13  %+7  	q=+13  %+7  	 1.086(89)
printNotes: i= 83-<2093 2419 -326>,  	 A2 --  1/32nd.( 22) <      > 	V 20 - M 22	= -2  %-10  	q= -2  %-10  	 0.110(89)
printNotes: i= 84-<2102 2077  25>,  	F#2 --  1/32nd.( 22) <      > 	V 21 - M 22	= -1  %-5  	q= -1  %-5  	 0.116(89)


silence
printNotes: i= 85-<   0   40 -40>,  	Slc --    1/4th(117) <      > 	V119 - M122	= -3  %-3  	q= +2  %+2  	 0.685(89)
printNotes: i= 86-<1698 1694   4>,  	 D2 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(89)
