	voice Midi Diff								present		 Best		Sec

printNotes: i= 101-<2395 2399  -4>,  	 A2 --   1/16th( 29) <      > 	V 28 - M 26	= +2  %+7  	q= -1  %-4  	 0.157(88)
printNotes: i= 102-<2198 2180  18>,  	 G2 --   1/16th( 29) <      > 	V 32 - M 29	= +3  %+9  	q= +3  %+9  	 0.180(88)
printNotes: i= 103-<2093 2085   8>,  	F#2 --   1/8th.( 88) <      > 	V 92 - M 88	= +4  %+4  	q= +4  %+4  	 0.528(88)
printNotes: i= 104-<2197 2180  17>,  	 G2 --  1/16th.( 44) <      > 	V 37 - M 44	= -7  %-19  	q= -7  %-19  	 0.209(88)
printNotes: i= 105-<2439 2470 -31>,  	Bb2 --   1/16th( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(88)
printNotes: i= 106-<2249 2180  69>,  	 G2 --   1/32nd( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(88)
printNotes: i= 107-<2291 2399 -108>,  	 A2 --  1/64th.( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(88)
printNotes: i= 108-<2193 2180  13>,  	 G2 --   1/16th( 29) <      > 	V 30 - M 29	= +1  %+3  	q= +1  %+3  	 0.168(88)
printNotes: i= 109-<2101 2085  16>,  	F#2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(88)
printNotes: i= 110-<2195 2180  15>,  	 G2 --   1/4th.(177) <      > 	V164 - M177	=-13  %-8  	q=-13  %-8  	 0.946(88)
printNotes: i= 111-<2600 2667 -67>,  	 C3 --  1/32nd.( 22) <      > 	V 21 - M 22	= -1  %-5  	q= -1  %-5  	 0.116(88)


silence
printNotes: i= 112-<   0   40 -40>,  	Slc --    whole(471) <4*sela> 	V531 - M483	=+48  %+9  	q=+60  %+11  	 3.077(88)
printNotes: i= 113-<1848 1648 200>,  	 D2 -- 1/32nd..( 26) <      > 	V 26 - M 26	=  +  %+0  	q=  +  %+0  	 0.145(88)
printNotes: i= 114-<2599 2667 -68>,  	 C3 --   1/4th.(177) <-1*sela> 	V149 - M118	=+31  %+21  	q=-28  %-19  	 0.859(88)
printNotes: i= 115-<1973 2667 -694>,  	 C3 --    1/4th(118) <      > 	V118 - M118	=  +  %+0  	q=  +  %+0  	 0.679(88)<-- same note
printNotes: i= 116-<2667 2667    >,  	 C3 --   1/16th( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(88)<-- same note
printNotes: i= 117-<1969 2667 -698>,  	 C3 --  1/8th..(103) <      > 	V103 - M103	=  +  %+0  	q=  +  %+0  	 0.592(88)<-- same note
printNotes: i= 118-<2638 2667 -29>,  	 C3 --   1/16th( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(88)<-- same note
printNotes: i= 119-<2674 2667   7>,  	 C3 --    1/8th( 59) <      > 	V 59 - M 59	=  +  %+0  	q=  +  %+0  	 0.337(88)<-- same note
printNotes: i= 120-<2483 2470  13>,  	Bb2 -- 1/32nd..( 26) <      > 	V 25 - M 26	= -1  %-4  	q= -1  %-4  	 0.139(88)
printNotes: i= 121-<2376 2399 -23>,  	 A2 -- 1/32nd..( 26) <      > 	V 26 - M 26	=  +  %+0  	q=  +  %+0  	 0.145(88)
printNotes: i= 122-<2186 2180   6>,  	 G2 --  1/32nd.( 22) <      > 	V 19 - M 22	= -3  %-16  	q= -3  %-16  	 0.104(88)
printNotes: i= 123-<2383 2399 -16>,  	 A2 --   1/16th( 29) <      > 	V 28 - M 26	= +2  %+7  	q= -1  %-4  	 0.157(88)
printNotes: i= 124-<2482 2470  12>,  	Bb2 -- 1/32nd..( 26) <      > 	V 27 - M 26	= +1  %+4  	q= +1  %+4  	 0.151(88)
printNotes: i= 125-<2640 2667 -27>,  	 C3 --    1/8th( 59) <      > 	V 70 - M 59	=+11  %+16  	q=+11  %+16  	 0.401(88)
printNotes: i= 126-<2480 2470  10>,  	Bb2 --   1/64th(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(88)
printNotes: i= 127-<2420 2399  21>,  	 A2 --   1/16th( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(88)
printNotes: i= 128-<2464 2470  -6>,  	Bb2 --   1/16th( 29) <      > 	V 31 - M 29	= +2  %+6  	q= +2  %+6  	 0.174(88)
printNotes: i= 129-<2654 2667 -13>,  	 C3 --   1/16th( 29) <      > 	V 35 - M 29	= +6  %+17  	q= +6  %+17  	 0.197(88)
printNotes: i= 130-<2511 2470  41>,  	Bb2 --  1/64th.( 11) <      > 	V 12 - M 11	= +1  %+8  	q= +1  %+8  	 0.064(88)
printNotes: i= 131-<1779 2667 -888>,  	 C3 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(88)
printNotes: i= 132-<2524 2470  54>,  	Bb2 --  1/32nd.( 22) <      > 	V 22 - M 22	=  +  %+0  	q=  +  %+0  	 0.122(88)
printNotes: i= 133-<2380 2399 -19>,  	 A2 --  1/32nd.( 22) <      > 	V 21 - M 22	= -1  %-5  	q= -1  %-5  	 0.116(88)
printNotes: i= 134-<2476 2470   6>,  	Bb2 --  1/32nd.( 22) <      > 	V 19 - M 22	= -3  %-16  	q= -3  %-16  	 0.104(88)
printNotes: i= 135-<2100 2667 -567>,  	 C3 --   1/16th( 29) <      > 	V 33 - M 29	= +4  %+12  	q= +4  %+12  	 0.186(88)
printNotes: i= 136-<2511 2470  41>,  	Bb2 -- 1/64th..( 13) <      > 	V 14 - M 13	= +1  %+7  	q= +1  %+7  	 0.075(88)
printNotes: i= 137-<2651 2667 -16>,  	 C3 -- 1/32nd..( 26) <      > 	V 25 - M 26	= -1  %-4  	q= -1  %-4  	 0.139(88)
printNotes: i= 138-<2859 2887 -28>,  	 D3 --  1/64th.( 11) <      > 	V 10 - M 11	= -1  %-10  	q= -1  %-10  	 0.052(88)
printNotes: i= 139-<2679 2667  12>,  	 C3 --  1/16th.( 44) <      > 	V 39 - M 44	= -5  %-13  	q= -5  %-13  	 0.221(88)
printNotes: i= 140-<2887 2887    >,  	 D3 -- 1/16th..( 52) <      > 	V 52 - M 52	=  +  %+0  	q=  +  %+0  	 0.296(88)
printNotes: i= 141-<2447 2667 -220>,  	 C3 --   1/4th.(177) <-1*sela> 	V155 - M177	=-22  %-14  	q=-22  %-14  	 0.894(88)


silence
printNotes: i= 142-<   0   40 -40>,  	Slc --    1/8th( 59) <      > 	V 56 - M 57	= -1  %-2  	q= -3  %-5  	 0.319(88)
printNotes: i= 143-<1414 2399 -985>,  	 A2 --    1/8th( 59) <      > 	V 61 - M 59	= +2  %+3  	q= +2  %+3  	 0.348(88)
printNotes: i= 144-<2647 2667 -20>,  	 C3 -- 1/32nd..( 26) <      > 	V 27 - M 26	= +1  %+4  	q= +1  %+4  	 0.151(88)
printNotes: i= 145-<2487 2470  17>,  	Bb2 --   1/8th.( 88) <      > 	V 83 - M 88	= -5  %-6  	q= -5  %-6  	 0.476(88)
printNotes: i= 146-<2327 2399 -72>,  	 A2 --   1/16th( 29) <      > 	V 33 - M 29	= +4  %+12  	q= +4  %+12  	 0.186(88)
printNotes: i= 147-<2189 2180   9>,  	 G2 -- 1/16th..( 52) <      > 	V 53 - M 52	= +1  %+2  	q= +1  %+2  	 0.302(88)
printNotes: i= 148-<2383 2399 -16>,  	 A2 -- 1/16th..( 52) <      > 	V 54 - M 52	= +2  %+4  	q= +2  %+4  	 0.308(88)
printNotes: i= 149-<2478 2470   8>,  	Bb2 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(88)
printNotes: i= 150-<2439 2399  40>,  	 A2 -- 1/64th..( 13) <      > 	V 14 - M 15	= -1  %-7  	q= +1  %+7  	 0.075(88)
printNotes: i= 151-<2638 2667 -29>,  	 C3 --   1/16th( 29) <      > 	V 30 - M 29	= +1  %+3  	q= +1  %+3  	 0.168(88)
printNotes: i= 152-<1057 2887 -1830>,  	 D3 -- 1/64th..( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(88)
printNotes: i= 153-<2656 2667 -11>,  	 C3 --  1/32nd.( 22) <      > 	V 21 - M 22	= -1  %-5  	q= -1  %-5  	 0.116(88)
printNotes: i= 154-<2472 2470   2>,  	Bb2 -- 1/32nd..( 26) <      > 	V 26 - M 26	=  +  %+0  	q=  +  %+0  	 0.145(88)
printNotes: i= 155-<2395 2399  -4>,  	 A2 --   1/32nd( 15) <      > 	V 18 - M 15	= +3  %+17  	q= +3  %+17  	 0.099(88)
printNotes: i= 156-<1781 2470 -689>,  	Bb2 --   1/64th(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(88)
printNotes: i= 157-<2183 2180   3>,  	 G2 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(88)
printNotes: i= 158-<2395 2399  -4>,  	 A2 --    1/8th( 59) <      > 	V 63 - M 59	= +4  %+6  	q= +4  %+6  	 0.360(88)
printNotes: i= 159-<2446 2470 -24>,  	Bb2 --  1/32nd.( 22) <      > 	V 21 - M 22	= -1  %-5  	q= -1  %-5  	 0.116(88)
printNotes: i= 160-<2226 2180  46>,  	 G2 --   1/16th( 29) <      > 	V 31 - M 29	= +2  %+6  	q= +2  %+6  	 0.174(88)
printNotes: i= 161-<2470 2470    >,  	Bb2 -- 1/64th..( 13) <      > 	V 14 - M 13	= +1  %+7  	q= +1  %+7  	 0.075(88)
