	voice Midi Diff								present		 Best		Sec

printNotes: i= 113-<2197 2203  -6>,  	 G2 --    1/8th( 85) <      > 	V 97 - M 85	=+12  %+12  	q=+12  %+12  	 0.557(61)
printNotes: i= 114-<2473 2490 -17>,  	Bb2 --  1/64th.( 16) <      > 	V 15 - M 16	= -1  %-7  	q= -1  %-7  	 0.081(61)
printNotes: i= 115-<2451 2428  23>,  	 A2 --  1/64th.( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(61)
printNotes: i= 116-<2471 2490 -19>,  	Bb2 --   1/64th( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(61)
printNotes: i= 117-<2455 2428  27>,  	 A2 --   1/64th( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(61)
printNotes: i= 118-<2479 2490 -11>,  	Bb2 --  1/64th.( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(61)
printNotes: i= 119-<2028 2203 -175>,  	 G2 --   1/8th.(128) <      > 	V122 - M128	= -6  %-5  	q= -6  %-5  	 0.702(61)
printNotes: i= 120-<2111 2094  17>,  	F#2 --  128th..(  9) <      > 	V  9 - M  9	=  +  %+0  	q=  +  %+0  	 0.046(61)
printNotes: i= 121-<2174 2203 -29>,  	 G2 --  1/64th.( 16) <      > 	V 14 - M 16	= -2  %-14  	q= -2  %-14  	 0.075(61)
printNotes: i= 122-<2109 2094  15>,  	F#2 --   1/32nd( 21) <      > 	V 21 - M 21	=  +  %+0  	q=  +  %+0  	 0.116(61)
printNotes: i= 123-<1877 2203 -326>,  	 G2 --  1/64th.( 16) <      > 	V 14 - M 16	= -2  %-14  	q= -2  %-14  	 0.075(61)
printNotes: i= 124-<1754 1703  51>,  	 D2 --  1/64th.( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(61)
printNotes: i= 125-<1837 1823  14>,  	Ek2 --  1/16th.( 64) <      > 	V 60 - M 64	= -4  %-7  	q= -4  %-7  	 0.342(61)
printNotes: i= 126-<1706 1703   3>,  	 D2 --   1/16th( 43) <      > 	V 49 - M 43	= +6  %+12  	q= +6  %+12  	 0.279(61)
printNotes: i= 127-<1821 1823  -2>,  	Ek2 --   128th.(  8) <      > 	V  7 - M  8	= -1  %-14  	q= -1  %-14  	 0.035(61)
printNotes: i= 128-<1749 1703  46>,  	 D2 --   1/32nd( 21) <      > 	V 26 - M 21	= +5  %+19  	q= +5  %+19  	 0.145(61)


silence
printNotes: i= 129-<   0   40 -40>,  	Slc --    1/8th( 85) <      > 	V 92 - M 85	= +7  %+8  	q= +7  %+8  	 0.528(61)
printNotes: i= 130-<1865 1823  42>,  	Ek2 --  1/32nd.( 32) <      > 	V 29 - M 32	= -3  %-10  	q= -3  %-10  	 0.163(61)
printNotes: i= 131-<2071 2094 -23>,  	F#2 -- 1/32nd..( 37) <      > 	V 36 - M 37	= -1  %-3  	q= -1  %-3  	 0.203(61)
printNotes: i= 132-<1859 1823  36>,  	Ek2 -- 1/64th..( 19) <      > 	V 18 - M 19	= -1  %-6  	q= -1  %-6  	 0.099(61)
printNotes: i= 133-<2130 2203 -73>,  	 G2 --   1/64th( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(61)
printNotes: i= 134-<2046 2094 -48>,  	F#2 -- 1/64th..( 19) <      > 	V 19 - M 19	=  +  %+0  	q=  +  %+0  	 0.104(61)
printNotes: i= 135-<2233 2203  30>,  	 G2 --  1/64th.( 16) <      > 	V 15 - M 16	= -1  %-7  	q= -1  %-7  	 0.081(61)
printNotes: i= 136-<2099 2094   5>,  	F#2 --   1/8th.(128) <      > 	V116 - M128	=-12  %-10  	q=-12  %-10  	 0.668(61)
printNotes: i= 137-<2196 2203  -7>,  	 G2 --  1/16th.( 64) <      > 	V 66 - M 64	= +2  %+3  	q= +2  %+3  	 0.377(61)
printNotes: i= 138-<2062 2094 -32>,  	F#2 --  1/8th..(149) <      > 	V153 - M149	= +4  %+3  	q= +4  %+3  	 0.882(61)
printNotes: i= 139-<1795 1823 -28>,  	Ek2 -- 1/16th..( 75) <      > 	V 75 - M 75	=  +  %+0  	q=  +  %+0  	 0.430(61)
printNotes: i= 140-<1806 1823 -17>,  	Ek2 --    1/8th( 85) <      > 	V 85 - M 85	=  +  %+0  	q=  +  %+0  	 0.488(61)<-- same note
printNotes: i= 141-<1690 1703 -13>,  	 D2 --  1/16th.( 64) <      > 	V 58 - M 64	= -6  %-10  	q= -6  %-10  	 0.331(61)
printNotes: i= 142-<1837 1823  14>,  	Ek2 -- 1/32nd..( 37) <      > 	V 35 - M 32	= +3  %+9  	q= -2  %-6  	 0.197(61)
printNotes: i= 143-<2139 2203 -64>,  	 G2 --  1/64th.( 16) <      > 	V 12 - M 11	= +1  %+8  	q= -4  %-33  	 0.064(61)
printNotes: i= 144-<2060 2094 -34>,  	F#2 --  1/64th.( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(61)
printNotes: i= 145-<2191 2203 -12>,  	 G2 -- 1/32nd..( 37) <      > 	V 38 - M 37	= +1  %+3  	q= +1  %+3  	 0.215(61)
printNotes: i= 146-<2097 2094   3>,  	F#2 -- 1/64th..( 19) <      > 	V 17 - M 19	= -2  %-12  	q= -2  %-12  	 0.093(61)
printNotes: i= 147-<2184 2203 -19>,  	 G2 --  1/32nd.( 32) <      > 	V 29 - M 32	= -3  %-10  	q= -3  %-10  	 0.163(61)
printNotes: i= 148-<2444 2490 -46>,  	Bb2 --  128th..(  9) <      > 	V  9 - M  9	=  +  %+0  	q=  +  %+0  	 0.046(61)
printNotes: i= 149-<2200 2203  -3>,  	 G2 --   1/4th.(256) <-1*sela> 	V225 - M256	=-31  %-14  	q=-31  %-14  	 1.300(61)
printNotes: i= 150-<2176 2686 -510>,  	 C3 --  1/64th.( 16) <      > 	V 12 - M 16	= -4  %-33  	q= -4  %-33  	 0.064(61)
printNotes: i= 151-<2156 2203 -47>,  	 G2 --    1/8th( 85) <      > 	V 85 - M 85	=  +  %+0  	q=  +  %+0  	 0.488(61)


silence
printNotes: i= 152-<   0   40 -40>,  	Slc --   1/4th.(256) <      > 	V254 - M266	=-12  %-5  	q= -2  %-1  	 1.469(61)
printNotes: i= 153-<1775 1823 -48>,  	Ek2 -- 1/64th..( 19) <      > 	V 18 - M 19	= -1  %-6  	q= -1  %-6  	 0.099(61)
printNotes: i= 154-<1710 1703   7>,  	 D2 --  1/32nd.( 32) <      > 	V 33 - M 32	= +1  %+3  	q= +1  %+3  	 0.186(61)
printNotes: i= 155-<1816 1823  -7>,  	Ek2 --  1/32nd.( 32) <      > 	V 34 - M 32	= +2  %+6  	q= +2  %+6  	 0.192(61)
printNotes: i= 156-<1699 1703  -4>,  	 D2 --   1/4th.(256) <      > 	V237 - M256	=-19  %-8  	q=-19  %-8  	 1.370(61)
printNotes: i= 157-<1824 1823   1>,  	Ek2 --   1/8th.(128) <      > 	V130 - M128	= +2  %+2  	q= +2  %+2  	 0.749(61)
printNotes: i= 158-<1716 1703  13>,  	 D2 --   1/32nd( 21) <      > 	V 21 - M 21	=  +  %+0  	q=  +  %+0  	 0.116(61)
printNotes: i= 159-<2098 2094   4>,  	F#2 --    1/8th( 85) <      > 	V 91 - M 85	= +6  %+7  	q= +6  %+7  	 0.522(61)
printNotes: i= 160-<2195 2203  -8>,  	 G2 --  1/16th.( 64) <      > 	V 59 - M 64	= -5  %-8  	q= -5  %-8  	 0.337(61)
printNotes: i= 161-<2159 2094  65>,  	F#2 --   1/16th( 43) <      > 	V 46 - M 43	= +3  %+7  	q= +3  %+7  	 0.261(61)


silence
printNotes: i= 162-<   0   40 -40>,  	Slc --   1/32nd( 21) <      > 	V 24 - M 29	= -5  %-21  	q= +3  %+12  	 0.134(61)<-----%21   %12

printNotes: i= 163-<1571 1503  68>,  	 C2 --   128th.(  8) <      > 	V  8 - M  9	= -1  %-12  	q=  +  %+0  	 0.041(61)
printNotes: i= 164-<1781 1823 -42>,  	Ek2 --  1/32nd.( 32) <      > 	V 33 - M 32	= +1  %+3  	q= +1  %+3  	 0.186(61)
printNotes: i= 165-<2140 2203 -63>,  	 G2 --  1/64th.( 16) <      > 	V 12 - M 16	= -4  %-33  	q= -4  %-33  	 0.064(61)
printNotes: i= 166-<2067 2094 -27>,  	F#2 -- 1/64th..( 19) <      > 	V 18 - M 19	= -1  %-6  	q= -1  %-6  	 0.099(61)
printNotes: i= 167-<2164 2203 -39>,  	 G2 --   1/32nd( 21) <      > 	V 21 - M 21	=  +  %+0  	q=  +  %+0  	 0.116(61)
printNotes: i= 168-<2112 2094  18>,  	F#2 --  1/64th.( 16) <      > 	V 14 - M 16	= -2  %-14  	q= -2  %-14  	 0.075(61)
printNotes: i= 169-<2215 2203  12>,  	 G2 --  1/32nd.( 32) <      > 	V 28 - M 32	= -4  %-14  	q= -4  %-14  	 0.157(61)
printNotes: i= 170-<2378 2428 -50>,  	 A2 --  1/64th.( 16) <      > 	V 12 - M 16	= -4  %-33  	q= -4  %-33  	 0.064(61)
printNotes: i= 171-<2214 2203  11>,  	 G2 -- 1/16th..( 75) <      > 	V 77 - M 75	= +2  %+3  	q= +2  %+3  	 0.441(61)
printNotes: i= 172-<2434 2428   6>,  	 A2 --  1/16th.( 64) <      > 	V 55 - M 64	= -9  %-16  	q= -9  %-16  	 0.313(61)


silence
printNotes: i= 173-<   0   40 -40>,  	Slc -- 1/32nd..( 37) <      > 	V 37 - M 11	=+26  %+70  	q=  +  %+0  	 0.209(61)<-----%70   %0

printNotes: i= 174-<2388 2428 -40>,  	 A2 --    128th(  5) <      > 	V  1 - M  5	= -4  %-400  	q= -4  %-400  	 0.000(61)
printNotes: i= 175-<2219 2203  16>,  	 G2 --   1/8th.(128) <      > 	V109 - M117	= -8  %-7  	q=-19  %-17  	 0.627(61)
printNotes: i= 176-<2080 2094 -14>,  	F#2 --   1/16th( 43) <      > 	V 53 - M 43	=+10  %+19  	q=+10  %+19  	 0.302(61)
