	voice Midi Diff								present		 Best		Sec

printNotes: i= 107-<1968 1969  -1>,  	 F2 --   1/4th.(198) <-1*sela> 	V177 - M198	=-21  %-12  	q=-21  %-12  	 1.022(78)
printNotes: i= 108-<2165 2190 -25>,  	 G2 --    1/8th( 66) <      > 	V 65 - M 66	= -1  %-2  	q= -1  %-2  	 0.372(78)
printNotes: i= 109-<1975 1969   6>,  	 F2 --  1/16th.( 49) <      > 	V 47 - M 33	=+14  %+30  	q= -2  %-4  	 0.267(78)<-----%30   %4

printNotes: i= 110-<2206 2190  16>,  	 G2 --   1/16th( 33) <      > 	V 35 - M 16	=+19  %+54  	q= +2  %+6  	 0.197(78)<-----%54   %6

printNotes: i= 111-<2194 2190   4>,  	 G2 --  1/16th.( 49) <      > 	V 49 - M 49	=  +  %+0  	q=  +  %+0  	 0.279(78)<-- same note
printNotes: i= 112-<1970 1969   1>,  	 F2 --  1/64th.( 12) <      > 	V 11 - M 16	= -5  %-45  	q= -1  %-9  	 0.058(78)<-----%45   %9 <<

printNotes: i= 113-<2170 2190 -20>,  	 G2 -- 1/64th..( 14) <      > 	V 14 - M 16	= -2  %-14  	q=  +  %+0  	 0.075(78)
printNotes: i= 114-<1981 1969  12>,  	 F2 --   1/32nd( 16) <      > 	V 18 - M 16	= +2  %+11  	q= +2  %+11  	 0.099(78)
printNotes: i= 115-<2073 2190 -117>,  	 G2 --  1/64th.( 12) <      > 	V 11 - M 16	= -5  %-45  	q= -1  %-9  	 0.058(78)<-----%45   %9 <<

printNotes: i= 116-<1982 1969  13>,  	 F2 --  1/32nd.( 25) <      > 	V 25 - M 33	= -8  %-32  	q=  +  %+0  	 0.139(78)<-----%32   %0

printNotes: i= 117-<1814 1820  -6>,  	Ek2 --   1/32nd( 16) <      > 	V 18 - M 16	= +2  %+11  	q= +2  %+11  	 0.099(78)
printNotes: i= 118-<1908 1969 -61>,  	 F2 --    128th(  4) <      > 	V  5 - M 16	=-11  %-220  	q= +1  %+20  	 0.023(78)<-----%220   %20 <<

printNotes: i= 119-<1830 1870 -40>,  	 E2 --  1/32nd.( 25) <      > 	V 26 - M 33	= -7  %-27  	q= +1  %+4  	 0.145(78)<-----%27   %4

printNotes: i= 120-<1701 1678  23>,  	 D2 --   1/32nd( 16) <      > 	V 16 - M 33	=-17  %-106  	q=  +  %+0  	 0.087(78)<-----%106   %0 <<

printNotes: i= 121-<1843 1820  23>,  	Ek2 --    1/4th(132) <      > 	V128 - M 33	=+95  %+74  	q= -4  %-3  	 0.737(78)<-----%74   %3



silence
printNotes: i= 122-<   0   40 -40>,  	Slc --     half(263) <1*sela> 	V286 - M362	=-76  %-27  	q=+23  %+8  	 1.654(78)<-----%27   %8

printNotes: i= 123-<1307 1678 -371>,  	 D2 --  1/16th.( 49) <      > 	V 49 - M 16	=+33  %+67  	q=  +  %+0  	 0.279(78)<-----%67   %0

printNotes: i= 124-<1021 2190 -1169>,  	 G2 --  1/16th.( 49) <      > 	V 52 - M 33	=+19  %+37  	q= +3  %+6  	 0.296(78)<-----%37   %6

printNotes: i= 125-<2185 2190  -5>,  	 G2 --   1/16th( 33) <      > 	V 33 - M 33	=  +  %+0  	q=  +  %+0  	 0.186(78)<-- same note
printNotes: i= 126-<2179 2190 -11>,  	 G2 --    1/4th(132) <      > 	V132 - M132	=  +  %+0  	q=  +  %+0  	 0.760(78)<-- same note
printNotes: i= 127-<1831 2190 -359>,  	 G2 --    1/4th(132) <      > 	V132 - M132	=  +  %+0  	q=  +  %+0  	 0.760(78)<-- same note
printNotes: i= 128-<2174 2190 -16>,  	 G2 --    1/4th(132) <      > 	V132 - M132	=  +  %+0  	q=  +  %+0  	 0.760(78)<-- same note
printNotes: i= 129-<2453 2682 -229>,  	 C3 -- 1/64th..( 14) <      > 	V 15 - M 33	=-18  %-120  	q= +1  %+7  	 0.081(78)<-----%120   %7 <<

printNotes: i= 130-<2349 2487 -138>,  	Bb2 --   1/16th( 33) <      > 	V 32 - M 33	= -1  %-3  	q= -1  %-3  	 0.180(78)
printNotes: i= 131-<2369 2387 -18>,  	 A2 --   1/32nd( 16) <      > 	V 19 - M 33	=-14  %-74  	q= +3  %+16  	 0.104(78)<-----%74   %16

printNotes: i= 132-<2507 2487  20>,  	Bb2 --  1/64th.( 12) <      > 	V 11 - M 33	=-22  %-200  	q= -1  %-9  	 0.058(78)<-----%200   %9 <<

printNotes: i= 133-<1208 2387 -1179>,  	 A2 --    128th(  4) <      > 	V  2 - M 33	=-31  %-1550  	q= -2  %-100  	 0.006(78)<-----%1550   %100 <<

printNotes: i= 134-<2236 2190  46>,  	 G2 --    1/4th(132) <      > 	V127 - M 66	=+61  %+48  	q= -5  %-4  	 0.731(78)<-----%48   %4



silence
printNotes: i= 135-<   0   40 -40>,  	Slc --   1/8th.( 99) <      > 	V105 - M132	=-27  %-26  	q= +6  %+6  	 0.604(78)<-----%26   %6

printNotes: i= 136-<1961 1969  -8>,  	 F2 --    1/4th(132) <      > 	V127 - M 99	=+28  %+22  	q= -5  %-4  	 0.731(78)<-----%22   %4

printNotes: i= 137-<1800 1820 -20>,  	Ek2 -- 1/16th..( 58) <      > 	V 58 - M 49	= +9  %+16  	q=  +  %+0  	 0.331(78)<-----%16   %0

printNotes: i= 138-<1977 1969   8>,  	 F2 --    1/4th(132) <      > 	V145 - M132	=+13  %+9  	q=+13  %+9  	 0.836(78)
printNotes: i= 139-<2179 2190 -11>,  	 G2 --  1/8th..(115) <      > 	V108 - M132	=-24  %-22  	q= -7  %-6  	 0.621(78)<-----%22   %6

printNotes: i= 140-<1986 1969  17>,  	 F2 -- 1/64th..( 14) <      > 	V 15 - M 49	=-34  %-227  	q= +1  %+7  	 0.081(78)<-----%227   %7 <<

printNotes: i= 141-<2091 2190 -99>,  	 G2 --  1/64th.( 12) <      > 	V 12 - M 33	=-21  %-175  	q=  +  %+0  	 0.064(78)<-----%175   %0 <<

printNotes: i= 142-<2003 1969  34>,  	 F2 --   1/16th( 33) <      > 	V 39 - M 16	=+23  %+59  	q= +6  %+15  	 0.221(78)<-----%59   %15

printNotes: i= 143-<2167 2190 -23>,  	 G2 --  1/16th.( 49) <      > 	V 47 - M 16	=+31  %+66  	q= -2  %-4  	 0.267(78)<-----%66   %4

printNotes: i= 144-<1978 1969   9>,  	 F2 --  1/64th.( 12) <      > 	V 13 - M 16	= -3  %-23  	q= +1  %+8  	 0.070(78)<-----%23   %8 <<

printNotes: i= 145-<2170 2190 -20>,  	 G2 --  1/64th.( 12) <      > 	V 13 - M 16	= -3  %-23  	q= +1  %+8  	 0.070(78)<-----%23   %8 <<

printNotes: i= 146-<1977 1969   8>,  	 F2 --  1/16th.( 49) <      > 	V 53 - M 33	=+20  %+38  	q= +4  %+8  	 0.302(78)<-----%38   %8

printNotes: i= 147-<1831 1820  11>,  	Ek2 --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(78)
printNotes: i= 148-<1886 1969 -83>,  	 F2 --  128th..(  7) <      > 	V  7 - M 16	= -9  %-129  	q=  +  %+0  	 0.035(78)<-----%129   %0 <<

printNotes: i= 149-<1815 1870 -55>,  	 E2 --  1/32nd.( 25) <      > 	V 23 - M 33	=-10  %-43  	q= -2  %-9  	 0.128(78)<-----%43   %9

printNotes: i= 150-<1706 1678  28>,  	 D2 --   1/32nd( 16) <      > 	V 19 - M 33	=-14  %-74  	q= +3  %+16  	 0.104(78)<-----%74   %16

printNotes: i= 151-<1776 1820 -44>,  	Ek2 --   1/8th.( 99) <      > 	V100 - M 33	=+67  %+67  	q= +1  %+1  	 0.575(78)<-----%67   %1



silence
printNotes: i= 152-<   0   40 -40>,  	Slc --   1/4th.(198) <      > 	V184 - M230	=-46  %-25  	q=-14  %-8  	 1.062(78)<-----%25   %8

printNotes: i= 153-<1362 2387 -1025>,  	 A2 -- 1/16th..( 58) <      > 	V 61 - M 49	=+12  %+20  	q= +3  %+5  	 0.348(78)<-----%20   %5

printNotes: i= 154-<1764 2387 -623>,  	 A2 --   1/16th( 33) <      > 	V 33 - M 33	=  +  %+0  	q=  +  %+0  	 0.186(78)<-- same note
printNotes: i= 155-<2185 2190  -5>,  	 G2 --    1/4th(132) <      > 	V129 - M132	= -3  %-2  	q= -3  %-2  	 0.743(78)
printNotes: i= 156-<1894 1870  24>,  	 E2 -- 1/16th..( 58) <      > 	V 55 - M 33	=+22  %+40  	q= -3  %-5  	 0.313(78)<-----%40   %5

printNotes: i= 157-<1750 1870 -120>,  	 E2 --    1/4th(132) <      > 	V132 - M132	=  +  %+0  	q=  +  %+0  	 0.760(78)<-- same note
printNotes: i= 158-<1323 1678 -355>,  	 D2 --  1/16th.( 49) <      > 	V 49 - M 33	=+16  %+33  	q=  +  %+0  	 0.279(78)<-----%33   %0

printNotes: i= 159-<1870 1870    >,  	 E2 -- 1/64th..( 14) <      > 	V 14 - M 33	=-19  %-136  	q=  +  %+0  	 0.075(78)<-----%136   %0 <<

printNotes: i= 160-<1719 1678  41>,  	 D2 --   1/16th( 33) <      > 	V 32 - M 33	= -1  %-3  	q= -1  %-3  	 0.180(78)
printNotes: i= 161-<1834 1870 -36>,  	 E2 --  1/64th.( 12) <      > 	V 12 - M 33	=-21  %-175  	q=  +  %+0  	 0.064(78)<-----%175   %0 <<

printNotes: i= 162-<1714 1678  36>,  	 D2 -- 1/32nd..( 29) <      > 	V 29 - M 33	= -4  %-14  	q=  +  %+0  	 0.163(78)<-----%14   %0

printNotes: i= 163-<1852 1870 -18>,  	 E2 --   1/32nd( 16) <      > 	V 20 - M 33	=-13  %-65  	q= +4  %+20  	 0.110(78)<-----%65   %20

printNotes: i= 164-<1569 1678 -109>,  	 D2 --   1/16th( 33) <      > 	V 35 - M 33	= +2  %+6  	q= +2  %+6  	 0.197(78)
