	voice Midi Diff								present		 Best		Sec

printNotes: i= 74-< 951 1434 -483>,  	 B1 --  1/64th.( 12) <      > 	V 13 - M 31	=-18  %-138  	q= +1  %+8  	 0.070(83)<-----%138   %8 <<

printNotes: i= 75-<1539 1529  10>,  	 C2 --  1/32nd.( 23) <      > 	V 21 - M 31	=-10  %-48  	q= -2  %-10  	 0.116(83)<-----%48   %10

printNotes: i= 76-<1465 1434  31>,  	 B1 --  1/16th.( 47) <      > 	V 43 - M 31	=+12  %+28  	q= -4  %-9  	 0.244(83)<-----%28   %9

printNotes: i= 77-<1518 1529 -11>,  	 C2 -- 1/64th..( 14) <      > 	V 15 - M 31	=-16  %-107  	q= +1  %+7  	 0.081(83)<-----%107   %7 <<

printNotes: i= 78-<1450 1434  16>,  	 B1 --  1/32nd.( 23) <      > 	V 23 - M 31	= -8  %-35  	q=  +  %+0  	 0.128(83)<-----%35   %0

printNotes: i= 79-<1505 1529 -24>,  	 C2 -- 1/64th..( 14) <      > 	V 15 - M 31	=-16  %-107  	q= +1  %+7  	 0.081(83)<-----%107   %7 <<



silence
printNotes: i= 80-<1437   40 1397>,  	Slc --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(83)
printNotes: i= 81-<1445 1434  11>,  	 B1 -- 1/32nd..( 27) <      > 	V 25 - M 31	= -6  %-24  	q= -2  %-8  	 0.139(83)<-----%24   %8

printNotes: i= 82-<1219 1234 -15>,  	 A1 --  1/16th.( 47) <      > 	V 39 - M 31	= +8  %+21  	q= -8  %-21  	 0.221(83)
printNotes: i= 83-<1405 1434 -29>,  	 B1 --   1/16th( 31) <      > 	V 37 - M 31	= +6  %+16  	q= +6  %+16  	 0.209(83)
printNotes: i= 84-<1131 1234 -103>,  	 A1 --   1/4th.(187) <      > 	V202 - M218	=-16  %-8  	q=+15  %+7  	 1.167(83)
printNotes: i= 85-<1415 1434 -19>,  	 B1 -- 1/32nd..( 27) <      > 	V 25 - M 16	= +9  %+36  	q= -2  %-8  	 0.139(83)<-----%36   %8

printNotes: i= 86-<1424 1434 -10>,  	 B1 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(83)<-- same note
printNotes: i= 87-<1710 1732 -22>,  	 D2 --   1/8th.( 94) <      > 	V101 - M125	=-24  %-24  	q= +7  %+7  	 0.580(83)<-----%24   %7

printNotes: i= 88-<1557 1529  28>,  	 C2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(83)
printNotes: i= 89-<1706 1732 -26>,  	 D2 --   1/32nd( 16) <      > 	V 18 - M 16	= +2  %+11  	q= +2  %+11  	 0.099(83)
printNotes: i= 90-<1549 1529  20>,  	 C2 --  1/32nd.( 23) <      > 	V 24 - M 16	= +8  %+33  	q= +1  %+4  	 0.134(83)<-----%33   %4

printNotes: i= 91-<1600 1732 -132>,  	 D2 --  1/64th.( 12) <      > 	V  9 - M 16	= -7  %-78  	q= -3  %-33  	 0.046(83)<-----%78   %33 <<

printNotes: i= 92-<1519 1529 -10>,  	 C2 -- 1/32nd..( 27) <      > 	V 26 - M 31	= -5  %-19  	q= -1  %-4  	 0.145(83)<-----%19   %4

printNotes: i= 93-<1397 1434 -37>,  	 B1 --   1/32nd( 16) <      > 	V 17 - M 31	=-14  %-82  	q= +1  %+6  	 0.093(83)<-----%82   %6

printNotes: i= 94-<1529 1529    >,  	 C2 --    half.(374) <-2*sela> 	V340 - M250	=+90  %+26  	q=-34  %-10  	 1.968(83)<-----%26   %10



silence
printNotes: i= 95-<   0   40 -40>,  	Slc --   half..(437) <      > 	V424 - M499	=-75  %-18  	q=-13  %-3  	 2.456(83)<-----%18   %3

printNotes: i= 96-<1433 1529 -96>,  	 C2 --   1/16th( 31) <      > 	V 30 - M 16	=+14  %+47  	q= -1  %-3  	 0.168(83)<-----%47   %3

printNotes: i= 97-<1902 1914 -12>,  	 E2 --    1/8th( 62) <      > 	V 62 - M 62	=  +  %+0  	q=  +  %+0  	 0.354(83)
printNotes: i= 98-<1913 1914  -1>,  	 E2 --  1/4th..(218) <      > 	V207 - M250	=-43  %-21  	q=-11  %-5  	 1.196(83)<-- same note<-----%21   %5

printNotes: i= 99-<1739 1732   7>,  	 D2 --   1/16th( 31) <      > 	V 35 - M 31	= +4  %+11  	q= +4  %+11  	 0.197(83)
printNotes: i= 100-<1936 1914  22>,  	 E2 --   1/32nd( 16) <      > 	V 17 - M 31	=-14  %-82  	q= +1  %+6  	 0.093(83)<-----%82   %6

printNotes: i= 101-<1727 1732  -5>,  	 D2 --     half(250) <      > 	V257 - M281	=-24  %-9  	q= +7  %+3  	 1.486(83)<-----%9   %3

printNotes: i= 102-<1600 1529  71>,  	 C2 --    1/8th( 62) <      > 	V 71 - M 31	=+40  %+56  	q= +9  %+13  	 0.406(83)<-----%56   %13



silence
printNotes: i= 103-<   0   40 -40>,  	Slc --   1/8th.( 94) <      > 	V100 - M 94	= +6  %+6  	q= +6  %+6  	 0.575(83)
printNotes: i= 104-<1424 1529 -105>,  	 C2 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(83)
printNotes: i= 105-<1521 1529  -8>,  	 C2 --   1/8th.( 94) <      > 	V 94 - M 94	=  +  %+0  	q=  +  %+0  	 0.540(83)<-- same note
printNotes: i= 106-<1000 1434 -434>,  	 B1 --    1/8th( 62) <      > 	V 75 - M 31	=+44  %+59  	q=+13  %+17  	 0.430(83)<-----%59   %17

printNotes: i= 107-<1052 1529 -477>,  	 C2 --  1/32nd.( 23) <      > 	V 23 - M 31	= -8  %-35  	q=  +  %+0  	 0.128(83)<-----%35   %0

printNotes: i= 108-< 816 1434 -618>,  	 B1 --    1/8th( 62) <      > 	V 66 - M 31	=+35  %+53  	q= +4  %+6  	 0.377(83)<-----%53   %6

printNotes: i= 109-<1479 1529 -50>,  	 C2 -- 1/64th..( 14) <      > 	V 15 - M 47	=-32  %-213  	q= +1  %+7  	 0.081(83)<-----%213   %7 <<



silence
printNotes: i= 110-<  48   40   8>,  	Slc -- 1/32nd..( 27) <      > 	V 28 - M 16	=+12  %+43  	q= +1  %+4  	 0.157(83)<-----%43   %4

printNotes: i= 111-<1424 1434 -10>,  	 B1 --     half(250) <1*sela> 	V271 - M250	=+21  %+8  	q=+21  %+8  	 1.567(83)


silence
printNotes: i= 112-<   0   40 -40>,  	Slc --   1/16th( 31) <      > 	V 37 - M125	=-88  %-238  	q= +6  %+16  	 0.209(83)<-----%238   %16

printNotes: i= 113-<1351 1434 -83>,  	 B1 -- 1/32nd..( 27) <      > 	V 25 - M 31	= -6  %-24  	q= -2  %-8  	 0.139(83)<-----%24   %8

printNotes: i= 114-<1118 1234 -116>,  	 A1 --  1/4th..(218) <      > 	V220 - M250	=-30  %-14  	q= +2  %+1  	 1.271(83)<-----%14   %1

printNotes: i= 115-<1193 1434 -241>,  	 B1 --  1/16th.( 47) <      > 	V 44 - M 31	=+13  %+30  	q= -3  %-7  	 0.250(83)<-----%30   %7

printNotes: i= 116-<1710 1732 -22>,  	 D2 --    1/8th( 62) <      > 	V 76 - M 94	=-18  %-24  	q=+14  %+18  	 0.435(83)<-----%24   %18

printNotes: i= 117-<1564 1529  35>,  	 C2 --  1/64th.( 12) <      > 	V 12 - M 16	= -4  %-33  	q=  +  %+0  	 0.064(83)<-----%33   %0 <<

printNotes: i= 118-<1719 1732 -13>,  	 D2 --  1/32nd.( 23) <      > 	V 21 - M 16	= +5  %+24  	q= -2  %-10  	 0.116(83)<-----%24   %10

printNotes: i= 119-<1568 1529  39>,  	 C2 --   1/32nd( 16) <      > 	V 18 - M 16	= +2  %+11  	q= +2  %+11  	 0.099(83)
printNotes: i= 120-<1612 1732 -120>,  	 D2 --  1/64th.( 12) <      > 	V 12 - M 16	= -4  %-33  	q=  +  %+0  	 0.064(83)<-----%33   %0 <<

printNotes: i= 121-<1519 1529 -10>,  	 C2 --  1/32nd.( 23) <      > 	V 23 - M 31	= -8  %-35  	q=  +  %+0  	 0.128(83)<-----%35   %0

printNotes: i= 122-<1417 1434 -17>,  	 B1 --   1/32nd( 16) <      > 	V 18 - M 31	=-13  %-72  	q= +2  %+11  	 0.099(83)<-----%72   %11

printNotes: i= 123-<1516 1529 -13>,  	 C2 --    half.(374) <      > 	V362 - M374	=-12  %-3  	q=-12  %-3  	 2.096(83)


silence
printNotes: i= 124-<   0   40 -40>,  	Slc --   1/4th.(187) <      > 	V185 - M250	=-65  %-35  	q= -2  %-1  	 1.068(83)<-----%35   %1

printNotes: i= 125-<1051 1029  22>,  	 G1 --  1/32nd.( 23) <      > 	V 24 - M 31	= -7  %-29  	q= +1  %+4  	 0.134(83)<-----%29   %4

printNotes: i= 126-<1459 1529 -70>,  	 C2 --    1/8th( 62) <      > 	V 64 - M 62	= +2  %+3  	q= +2  %+3  	 0.366(83)
printNotes: i= 127-<1436 1434   2>,  	 B1 --  1/64th.( 12) <      > 	V 12 - M 31	=-19  %-158  	q=  +  %+0  	 0.064(83)<-----%158   %0 <<

printNotes: i= 128-<1556 1529  27>,  	 C2 --   1/16th( 31) <      > 	V 32 - M 31	= +1  %+3  	q= +1  %+3  	 0.180(83)
printNotes: i= 129-<1744 1732  12>,  	 D2 -- 1/32nd..( 27) <      > 	V 27 - M 62	=-35  %-130  	q=  +  %+0  	 0.151(83)<-----%130   %0

printNotes: i= 130-<1918 1914   4>,  	 E2 --   1/32nd( 16) <      > 	V 19 - M 16	= +3  %+16  	q= +3  %+16  	 0.104(83)
printNotes: i= 131-<1726 1732  -6>,  	 D2 --   1/16th( 31) <      > 	V 35 - M 31	= +4  %+11  	q= +4  %+11  	 0.197(83)
printNotes: i= 132-<1773 1914 -141>,  	 E2 --   128th.(  6) <      > 	V  6 - M 16	=-10  %-167  	q=  +  %+0  	 0.029(83)<-----%167   %0 <<

printNotes: i= 133-<1549 1529  20>,  	 C2 --  1/16th.( 47) <      > 	V 46 - M 31	=+15  %+33  	q= -1  %-2  	 0.261(83)<-----%33   %2

printNotes: i= 134-<1684 1732 -48>,  	 D2 --  1/64th.( 12) <      > 	V 12 - M 31	=-19  %-158  	q=  +  %+0  	 0.064(83)<-----%158   %0 <<

printNotes: i= 135-<1426 1434  -8>,  	 B1 --    half.(374) <-2*sela> 	V337 - M374	=-37  %-11  	q=-37  %-11  	 1.950(83)
printNotes: i= 136-<1220 1234 -14>,  	 A1 --  1/16th.( 47) <      > 	V 42 - M 31	=+11  %+26  	q= -5  %-12  	 0.238(83)<-----%26   %12

printNotes: i= 137-<1422 1434 -12>,  	 B1 -- 1/32nd..( 27) <      > 	V 28 - M 31	= -3  %-11  	q= +1  %+4  	 0.157(83)<-----%11   %4

printNotes: i= 138-<1514 1529 -15>,  	 C2 -- 1/32nd..( 27) <      > 	V 27 - M 42	=-15  %-56  	q=  +  %+0  	 0.151(83)<-----%56   %0

printNotes: i= 139-<1658 1732 -74>,  	 D2 --  1/64th.( 12) <      > 	V  9 - M 10	= -1  %-11  	q= -3  %-33  	 0.046(83)
printNotes: i= 140-<1539 1529  10>,  	 C2 --  1/32nd.( 23) <      > 	V 23 - M 21	= +2  %+9  	q=  +  %+0  	 0.128(83)<-----%9   %0

printNotes: i= 141-<1582 1732 -150>,  	 D2 --   1/64th(  8) <      > 	V 10 - M 10	=  +  %+0  	q= +2  %+20  	 0.052(83)
printNotes: i= 142-<1405 1434 -29>,  	 B1 --   1/16th( 31) <      > 	V 35 - M 21	=+14  %+40  	q= +4  %+11  	 0.197(83)<-----%40   %11

printNotes: i= 143-<1497 1529 -32>,  	 C2 --   1/32nd( 16) <      > 	V 16 - M 21	= -5  %-31  	q=  +  %+0  	 0.087(83)<-----%31   %0 <<

printNotes: i= 144-<1227 1234  -7>,  	 A1 --  1/4th..(218) <      > 	V225 - M250	=-25  %-11  	q= +7  %+3  	 1.300(83)<-----%11   %3

printNotes: i= 145-<1021 1029  -8>,  	 G1 --   1/16th( 31) <      > 	V 38 - M 31	= +7  %+18  	q= +7  %+18  	 0.215(83)
printNotes: i= 146-<1232 1234  -2>,  	 A1 -- 1/32nd..( 27) <      > 	V 27 - M 31	= -4  %-15  	q=  +  %+0  	 0.151(83)<-----%15   %0

printNotes: i= 147-<1429 1434  -5>,  	 B1 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(83)
printNotes: i= 148-<1498 1529 -31>,  	 C2 --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(83)
printNotes: i= 149-<1398 1434 -36>,  	 B1 -- 1/32nd..( 27) <      > 	V 25 - M 16	= +9  %+36  	q= -2  %-8  	 0.139(83)<-----%36   %8

printNotes: i= 150-<1450 1529 -79>,  	 C2 --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(83)
printNotes: i= 151-<1219 1234 -15>,  	 A1 --   1/16th( 31) <      > 	V 37 - M 31	= +6  %+16  	q= +6  %+16  	 0.209(83)
printNotes: i= 152-<1331 1434 -103>,  	 B1 --  1/64th.( 12) <      > 	V 13 - M 16	= -3  %-23  	q= +1  %+8  	 0.070(83)<-----%23   %8 <<

printNotes: i= 153-<1054 1029  25>,  	 G1 --  1/16th.( 47) <      > 	V 41 - M 62	=-21  %-51  	q= -6  %-15  	 0.232(83)<-----%51   %15



silence
printNotes: i= 154-<   0   40 -40>,  	Slc --   1/4th.(187) <      > 	V191 - M187	= +4  %+2  	q= +4  %+2  	 1.103(83)
printNotes: i= 155-< 957 1029 -72>,  	 G1 -- 1/32nd..( 27) <      > 	V 28 - M 31	= -3  %-11  	q= +1  %+4  	 0.157(83)<-----%11   %4

printNotes: i= 156-< 855  929 -74>,  	F#1 --  1/32nd.( 23) <      > 	V 24 - M 31	= -7  %-29  	q= +1  %+4  	 0.134(83)<-----%29   %4

printNotes: i= 157-<1015 1029 -14>,  	 G1 --   1/32nd( 16) <      > 	V 19 - M 31	=-12  %-63  	q= +3  %+16  	 0.104(83)<-----%63   %16

printNotes: i= 158-<1237 1234   3>,  	 A1 -- 1/32nd..( 27) <      > 	V 26 - M 31	= -5  %-19  	q= -1  %-4  	 0.145(83)<-----%19   %4

printNotes: i= 159-<1443 1434   9>,  	 B1 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(83)
printNotes: i= 160-<1519 1529 -10>,  	 C2 --  1/16th.( 47) <      > 	V 47 - M 47	=  +  %+0  	q=  +  %+0  	 0.267(83)
printNotes: i= 161-<1723 1732  -9>,  	 D2 --  1/8th..(109) <      > 	V112 - M125	=-13  %-12  	q= +3  %+3  	 0.644(83)<-----%12   %3

printNotes: i= 162-<1525 1529  -4>,  	 C2 --   1/4th.(187) <      > 	V200 - M218	=-18  %-9  	q=+13  %+6  	 1.155(83)
printNotes: i= 163-<1407 1434 -27>,  	 B1 --   1/32nd( 16) <      > 	V 16 - M 31	=-15  %-94  	q=  +  %+0  	 0.087(83)<-----%94   %0 <<

printNotes: i= 164-<1303 1529 -226>,  	 C2 --  1/8th..(109) <      > 	V112 - M 31	=+81  %+72  	q= +3  %+3  	 0.644(83)<-----%72   %3



silence
printNotes: i= 165-<   0   40 -40>,  	Slc --   1/8th.( 94) <      > 	V 84 - M 94	=-10  %-12  	q=-10  %-12  	 0.482(83)
