	voice Midi Diff								present		 Best		Sec

printNotes: i= 57-<2611 2609   2>,  	 B2 -- 1/64th..( 14) <      > 	V 15 - M 33	=-18  %-120  	q= +1  %+7  	 0.081(78)<-----%120   %7 <<

printNotes: i= 58-<2389 2709 -320>,  	 C3 --    1/4th(132) <      > 	V147 - M 66	=+81  %+55  	q=+15  %+10  	 0.848(78)<-----%55   %10



silence
printNotes: i= 59-<   0   40 -40>,  	Slc --   1/16th( 33) <      > 	V 36 - M132	=-96  %-267  	q= +3  %+8  	 0.203(78)<-----%267   %8

printNotes: i= 60-<1769 2230 -461>,  	 G2 --   1/16th( 33) <      > 	V 37 - M 33	= +4  %+11  	q= +4  %+11  	 0.209(78)
printNotes: i= 61-<2691 2709 -18>,  	 C3 --  1/8th..(115) <      > 	V118 - M132	=-14  %-12  	q= +3  %+3  	 0.679(78)<-----%12   %3

printNotes: i= 62-<2611 2609   2>,  	 B2 -- 1/64th..( 14) <      > 	V 14 - M 16	= -2  %-14  	q=  +  %+0  	 0.075(78)
printNotes: i= 63-<2674 2709 -35>,  	 C3 --  1/64th.( 12) <      > 	V 13 - M 16	= -3  %-23  	q= +1  %+8  	 0.070(78)<-----%23   %8 <<

printNotes: i= 64-<2474 2429  45>,  	 A2 --    1/8th( 66) <      > 	V 63 - M 99	=-36  %-57  	q= -3  %-5  	 0.360(78)<-----%57   %5

printNotes: i= 65-<2582 2609 -27>,  	 B2 -- 1/16th..( 58) <      > 	V 55 - M 66	=-11  %-20  	q= -3  %-5  	 0.313(78)<-----%20   %5

printNotes: i= 66-<2760 2709  51>,  	 C3 --  1/64th.( 12) <      > 	V 13 - M 16	= -3  %-23  	q= +1  %+8  	 0.070(78)<-----%23   %8 <<

printNotes: i= 67-<2573 2609 -36>,  	 B2 --  1/32nd.( 25) <      > 	V 22 - M 16	= +6  %+27  	q= -3  %-14  	 0.122(78)<-----%27   %14

printNotes: i= 68-<2445 2429  16>,  	 A2 -- 1/32nd..( 29) <      > 	V 27 - M 33	= -6  %-22  	q= -2  %-7  	 0.151(78)<-----%22   %7

printNotes: i= 69-<2589 2609 -20>,  	 B2 --  1/32nd.( 25) <      > 	V 25 - M 16	= +9  %+36  	q=  +  %+0  	 0.139(78)<-----%36   %0

printNotes: i= 70-<2682 2709 -27>,  	 C3 --    128th(  4) <      > 	V  3 - M 16	=-13  %-433  	q= -1  %-33  	 0.012(78)<-----%433   %33 <<

printNotes: i= 71-<2580 2609 -29>,  	 B2 --   1/32nd( 16) <      > 	V 19 - M 33	=-14  %-74  	q= +3  %+16  	 0.104(78)<-----%74   %16

printNotes: i= 72-<2729 2709  20>,  	 C3 --   1/16th( 33) <      > 	V 37 - M 16	=+21  %+57  	q= +4  %+11  	 0.209(78)<-----%57   %11

printNotes: i= 73-<2941 2922  19>,  	 D3 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(78)
printNotes: i= 74-<2621 2609  12>,  	 B2 --   1/32nd( 16) <      > 	V 19 - M 16	= +3  %+16  	q= +3  %+16  	 0.104(78)
printNotes: i= 75-<2611 2709 -98>,  	 C3 --   1/4th.(198) <-1*sela> 	V180 - M 49	=+131  %+73  	q=-18  %-10  	 1.039(78)<-----%73   %10

printNotes: i= 76-<2703 2609  94>,  	 B2 --   1/16th( 33) <      > 	V 33 - M 33	=  +  %+0  	q=  +  %+0  	 0.186(78)
printNotes: i= 77-<2920 2922  -2>,  	 D3 --  1/32nd.( 25) <      > 	V 22 - M 33	=-11  %-50  	q= -3  %-14  	 0.122(78)<-----%50   %14

printNotes: i= 78-<2711 2709   2>,  	 C3 --   1/16th( 33) <      > 	V 38 - M 99	=-61  %-161  	q= +5  %+13  	 0.215(78)<-----%161   %13

printNotes: i= 79-<2831 2922 -91>,  	 D3 --  1/64th.( 12) <      > 	V 12 - M 33	=-21  %-175  	q=  +  %+0  	 0.064(78)<-----%175   %0 <<

