	voice Midi Diff								present		 Best		Sec

printNotes: i= 57-<1900 1914 -14>,  	 E2 --   1/8th.( 97) <      > 	V 83 - M 32	=+51  %+61  	q=-14  %-17  	 0.476(80)<-----%61   %17

printNotes: i= 58-<1991 2026 -35>,  	 F2 --   1/32nd( 16) <      > 	V 18 - M 32	=-14  %-78  	q= +2  %+11  	 0.099(80)<-----%78   %11

printNotes: i= 59-<1928 1914  14>,  	 E2 --  1/32nd.( 24) <      > 	V 25 - M 32	= -7  %-28  	q= +1  %+4  	 0.139(80)<-----%28   %4

printNotes: i= 60-<1990 2026 -36>,  	 F2 --   1/32nd( 16) <      > 	V 17 - M 32	=-15  %-88  	q= +1  %+6  	 0.093(80)<-----%88   %6

printNotes: i= 61-<1925 1914  11>,  	 E2 -- 1/64th..( 14) <      > 	V 14 - M 32	=-18  %-129  	q=  +  %+0  	 0.075(80)<-----%129   %0 <<

printNotes: i= 62-<2054 2026  28>,  	 F2 --  1/64th.( 12) <      > 	V 12 - M 32	=-20  %-167  	q=  +  %+0  	 0.064(80)<-----%167   %0 <<

printNotes: i= 63-<2016 2026 -10>,  	 F2 --    128th(  4) <      > 	V  2 - M 32	=-30  %-1500  	q= -2  %-100  	 0.006(80)<-- same note<-----%1500   %100 <<

printNotes: i= 64-<1907 1914  -7>,  	 E2 -- 1/64th..( 14) <      > 	V 15 - M 32	=-17  %-113  	q= +1  %+7  	 0.081(80)<-----%113   %7 <<

printNotes: i= 65-<2011 2026 -15>,  	 F2 --  1/64th.( 12) <      > 	V 11 - M 32	=-21  %-191  	q= -1  %-9  	 0.058(80)<-----%191   %9 <<

printNotes: i= 66-<1898 1914 -16>,  	 E2 --   128th.(  6) <      > 	V  6 - M 32	=-26  %-433  	q=  +  %+0  	 0.029(80)<-----%433   %0 <<

printNotes: i= 67-<1059 1724 -665>,  	 D2 --   1/16th( 32) <      > 	V 33 - M 16	=+17  %+52  	q= +1  %+3  	 0.186(80)<-----%52   %3

printNotes: i= 68-<1442 1515 -73>,  	 C2 --     half(259) <2*sela> 	V293 - M259	=+34  %+12  	q=+34  %+12  	 1.695(80)


silence
printNotes: i= 69-<   0   40 -40>,  	Slc --    whole(517) <      > 	V525 - M517	= +8  %+2  	q= +8  %+2  	 3.042(80)
printNotes: i= 70-< 639 1015 -376>,  	 G1 -- 1/16th..( 57) <      > 	V 57 - M 48	= +9  %+16  	q=  +  %+0  	 0.325(80)<-----%16   %0

printNotes: i= 71-<1260 1515 -255>,  	 C2 --   1/8th.( 97) <      > 	V 99 - M 32	=+67  %+68  	q= +2  %+2  	 0.569(80)<-----%68   %2

printNotes: i= 72-< 675 1515 -840>,  	 C2 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(80)<-- same note
printNotes: i= 73-<1187 1515 -328>,  	 C2 --    1/8th( 65) <      > 	V 65 - M 65	=  +  %+0  	q=  +  %+0  	 0.372(80)<-- same note
printNotes: i= 74-<1519 1515   4>,  	 C2 --    1/8th( 65) <      > 	V 65 - M 65	=  +  %+0  	q=  +  %+0  	 0.372(80)<-- same note


silence
printNotes: i= 75-<   0   40 -40>,  	Slc --   1/8th.( 97) <      > 	V 93 - M 97	= -4  %-4  	q= -4  %-4  	 0.534(80)
printNotes: i= 76-<1325 1515 -190>,  	 C2 --   1/16th( 32) <      > 	V 31 - M 32	= -1  %-3  	q= -1  %-3  	 0.174(80)
printNotes: i= 77-<1727 1724   3>,  	 D2 --   1/4th.(194) <      > 	V192 - M226	=-34  %-18  	q= -2  %-1  	 1.109(80)<-----%18   %1

printNotes: i= 78-<2007 1914  93>,  	 E2 --   1/32nd( 16) <      > 	V 19 - M 32	=-13  %-68  	q= +3  %+16  	 0.104(80)<-----%68   %16

printNotes: i= 79-<1729 1724   5>,  	 D2 --   1/16th( 32) <      > 	V 31 - M 32	= -1  %-3  	q= -1  %-3  	 0.174(80)
printNotes: i= 80-<1509 1515  -6>,  	 C2 --   1/16th( 32) <      > 	V 34 - M 32	= +2  %+6  	q= +2  %+6  	 0.192(80)
printNotes: i= 81-<1372 1415 -43>,  	 B1 -- 1/32nd..( 28) <      > 	V 29 - M 16	=+13  %+45  	q= +1  %+3  	 0.163(80)<-----%45   %3

printNotes: i= 82-<1446 1515 -69>,  	 C2 --  1/64th.( 12) <      > 	V 12 - M 16	= -4  %-33  	q=  +  %+0  	 0.064(80)<-----%33   %0 <<

printNotes: i= 83-<1232 1215  17>,  	 A1 -- 1/32nd..( 28) <      > 	V 29 - M 16	=+13  %+45  	q= +1  %+3  	 0.163(80)<-----%45   %3

printNotes: i= 84-<1303 1415 -112>,  	 B1 --  1/64th.( 12) <      > 	V 13 - M 16	= -3  %-23  	q= +1  %+8  	 0.070(80)<-----%23   %8 <<

printNotes: i= 85-<1068 1015  53>,  	 G1 --   1/16th( 32) <      > 	V 39 - M 32	= +7  %+18  	q= +7  %+18  	 0.221(80)


silence
printNotes: i= 86-<   0   40 -40>,  	Slc --   1/4th.(194) <-1*sela> 	V175 - M129	=+46  %+26  	q=-19  %-11  	 1.010(80)<-----%26   %11

printNotes: i= 87-<1722 1724  -2>,  	 D2 --   1/16th( 32) <      > 	V 33 - M 32	= +1  %+3  	q= +1  %+3  	 0.186(80)
