	voice Midi Diff								present		 Best		Sec

printNotes: i= 80-<2662 2642  20>,  	Ak2 --  128th..(  6) <      > 	V  6 - M 29	=-23  %-383  	q=  +  %+0  	 0.029(88)<-----%383   %0 <<

printNotes: i= 81-<2881 2874   7>,  	 B2 --   1/4th.(175) <      > 	V172 - M234	=-62  %-36  	q= -3  %-2  	 0.993(88)<-----%36   %2

printNotes: i= 82-<2509 2642 -133>,  	Ak2 --    1/4th(117) <1*sela> 	V132 - M 58	=+74  %+56  	q=+15  %+11  	 0.760(88)<-----%56   %11

printNotes: i= 83-<2651 2642   9>,  	Ak2 --     half(234) <      > 	V234 - M234	=  +  %+0  	q=  +  %+0  	 1.353(88)<-- same note
printNotes: i= 84-<1414 2494 -1080>,  	 G2 --    1/8th( 58) <      > 	V 68 - M 29	=+39  %+57  	q=+10  %+15  	 0.389(88)<-----%57   %15



silence
printNotes: i= 85-<   0   40 -40>,  	Slc --   1/16th( 29) <      > 	V 35 - M117	=-82  %-234  	q= +6  %+17  	 0.197(88)<-----%234   %17

printNotes: i= 86-<2576 2494  82>,  	 G2 --    128th(  4) <      > 	V  1 - M 58	=-57  %-5700  	q= -3  %-300  	 0.000(88)<-----%5700   %300 <<

printNotes: i= 87-<2658 2642  16>,  	Ak2 --  1/16th.( 44) <      > 	V 38 - M 29	= +9  %+24  	q= -6  %-16  	 0.215(88)<-----%24   %16

printNotes: i= 88-<2877 2874   3>,  	 B2 --   1/4th.(175) <-1*sela> 	V147 - M234	=-87  %-59  	q=-28  %-19  	 0.848(88)<-----%59   %19

printNotes: i= 89-<2060 2642 -582>,  	Ak2 --    1/8th( 58) <      > 	V 72 - M 29	=+43  %+60  	q=+14  %+19  	 0.412(88)<-----%60   %19

printNotes: i= 90-<2630 2642 -12>,  	Ak2 --    1/4th(117) <      > 	V117 - M117	=  +  %+0  	q=  +  %+0  	 0.673(88)<-- same note
printNotes: i= 91-<2109 2494 -385>,  	 G2 --  1/8th..(102) <      > 	V106 - M 44	=+62  %+58  	q= +4  %+4  	 0.610(88)<-----%58   %4

printNotes: i= 92-<1411 2494 -1083>,  	 G2 --    1/8th( 58) <      > 	V 58 - M 58	=  +  %+0  	q=  +  %+0  	 0.331(88)<-- same note
printNotes: i= 93-<2672 2642  30>,  	Ak2 --   128th.(  5) <      > 	V  5 - M 29	=-24  %-480  	q=  +  %+0  	 0.023(88)<-----%480   %0 <<

printNotes: i= 94-<2874 2874    >,  	 B2 --   1/4th.(175) <-1*sela> 	V150 - M234	=-84  %-56  	q=-25  %-17  	 0.865(88)<-----%56   %17

printNotes: i= 95-<2647 2642   5>,  	Ak2 --   1/8th.( 88) <      > 	V 79 - M 88	= -9  %-11  	q= -9  %-11  	 0.453(88)
printNotes: i= 96-<2879 2874   5>,  	 B2 --  1/16th.( 44) <      > 	V 39 - M 44	= -5  %-13  	q= -5  %-13  	 0.221(88)
printNotes: i= 97-<2478 2642 -164>,  	Ak2 --   1/32nd( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(88)
printNotes: i= 98-<2863 2874 -11>,  	 B2 -- 1/64th..( 13) <      > 	V 14 - M 15	= -1  %-7  	q= +1  %+7  	 0.075(88)
printNotes: i= 99-<2651 2642   9>,  	Ak2 --  1/32nd.( 22) <      > 	V 19 - M 15	= +4  %+21  	q= -3  %-16  	 0.104(88)<-----%21   %16

printNotes: i= 100-<2595 2874 -279>,  	 B2 --  1/64th.( 11) <      > 	V 11 - M 15	= -4  %-36  	q=  +  %+0  	 0.058(88)<-----%36   %0 <<

printNotes: i= 101-<2593 2642 -49>,  	Ak2 -- 1/32nd..( 26) <      > 	V 27 - M 29	= -2  %-7  	q= +1  %+4  	 0.151(88)
printNotes: i= 102-<2487 2494  -7>,  	 G2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(88)
printNotes: i= 103-<2671 2642  29>,  	Ak2 -- 1/64th..( 13) <      > 	V 13 - M 15	= -2  %-15  	q=  +  %+0  	 0.070(88)<-----%15   %0 <<

printNotes: i= 104-<2466 2494 -28>,  	 G2 -- 1/64th..( 13) <      > 	V 14 - M 15	= -1  %-7  	q= +1  %+7  	 0.075(88)
printNotes: i= 105-<2449 2642 -193>,  	Ak2 --  1/64th.( 11) <      > 	V 11 - M 15	= -4  %-36  	q=  +  %+0  	 0.058(88)<-----%36   %0 <<

printNotes: i= 106-<2514 2494  20>,  	 G2 --   1/16th( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(88)
printNotes: i= 107-<2307 2294  13>,  	 F2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(88)
printNotes: i= 108-<2438 2494 -56>,  	 G2 -- 1/64th..( 13) <      > 	V 13 - M 15	= -2  %-15  	q=  +  %+0  	 0.070(88)<-----%15   %0 <<

