	voice Midi Diff								present		 Best		Sec

printNotes: i= 72-<2592 2644 -52>,  	Ak2 -- 1/64th..( 13) <      > 	V 14 - M 15	= -1  %-7  	q= +1  %+7  	 0.075(88)
printNotes: i= 73-<2351 2295  56>,  	 F2 --    1/8th( 59) <      > 	V 73 - M 88	=-15  %-21  	q=+14  %+19  	 0.418(88)
printNotes: i= 74-<2193 2180  13>,  	 E2 --   1/16th( 29) <      > 	V 34 - M 29	= +5  %+15  	q= +5  %+15  	 0.192(88)
printNotes: i= 75-<2290 2295  -5>,  	 F2 -- 1/32nd..( 26) <      > 	V 27 - M 29	= -2  %-7  	q= +1  %+4  	 0.151(88)
printNotes: i= 76-<2186 2180   6>,  	 E2 --    1/4th(118) <1*sela> 	V134 - M133	= +1  %+1  	q=+16  %+12  	 0.772(88)
printNotes: i= 77-<2383 2494 -111>,  	 G2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(88)
printNotes: i= 78-<2234 2295 -61>,  	 F2 --   1/16th( 29) <      > 	V 32 - M 29	= +3  %+9  	q= +3  %+9  	 0.180(88)
printNotes: i= 79-<2182 2180   2>,  	 E2 --  1/32nd.( 22) <      > 	V 22 - M 15	= +7  %+32  	q=  +  %+0  	 0.122(88)<-----%32   %0

printNotes: i= 80-<2295 2295    >,  	 F2 --  1/64th.( 11) <      > 	V 12 - M 15	= -3  %-25  	q= +1  %+8  	 0.064(88)<-----%25   %8 <<

printNotes: i= 81-<1929 1929    >,  	Dk2 --     half(236) <      > 	V239 - M236	= +3  %+1  	q= +3  %+1  	 1.382(88)
printNotes: i= 82-<1858 1802  56>,  	 C2 --   1/8th.( 88) <      > 	V 77 - M 29	=+48  %+62  	q=-11  %-14  	 0.441(88)<-----%62   %14



silence
printNotes: i= 83-<   0   40 -40>,  	Slc --   1/4th.(177) <-1*sela> 	V155 - M118	=+37  %+24  	q=-22  %-14  	 0.894(88)<-----%24   %14

printNotes: i= 84-<1621 1802 -181>,  	 C2 -- 1/16th..( 52) <      > 	V 54 - M 44	=+10  %+19  	q= +2  %+4  	 0.308(88)<-----%19   %4

printNotes: i= 85-<1915 1929 -14>,  	Dk2 --  1/16th.( 44) <      > 	V 40 - M 44	= -4  %-10  	q= -4  %-10  	 0.226(88)
printNotes: i= 86-<2151 2180 -29>,  	 E2 --   1/16th( 29) <      > 	V 32 - M 29	= +3  %+9  	q= +3  %+9  	 0.180(88)
printNotes: i= 87-<2345 2295  50>,  	 F2 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(88)
printNotes: i= 88-<2164 2180 -16>,  	 E2 --   1/16th( 29) <      > 	V 31 - M 29	= +2  %+6  	q= +2  %+6  	 0.174(88)
printNotes: i= 89-<1957 1929  28>,  	Dk2 --  1/32nd.( 22) <      > 	V 21 - M 29	= -8  %-38  	q= -1  %-5  	 0.116(88)<-----%38   %5

printNotes: i= 90-<2181 2180   1>,  	 E2 --   1/16th( 29) <      > 	V 35 - M 15	=+20  %+57  	q= +6  %+17  	 0.197(88)<-----%57   %17

printNotes: i= 91-<2296 2295   1>,  	 F2 --  1/64th.( 11) <      > 	V 10 - M 15	= -5  %-50  	q= -1  %-10  	 0.052(88)<-----%50   %10 <<

printNotes: i= 92-<2177 2180  -3>,  	 E2 --   1/16th( 29) <      > 	V 30 - M 29	= +1  %+3  	q= +1  %+3  	 0.168(88)
printNotes: i= 93-<1934 1929   5>,  	Dk2 --  1/32nd.( 22) <      > 	V 21 - M 29	= -8  %-38  	q= -1  %-5  	 0.116(88)<-----%38   %5

printNotes: i= 94-<2191 2180  11>,  	 E2 --   1/16th( 29) <      > 	V 36 - M 15	=+21  %+58  	q= +7  %+19  	 0.203(88)<-----%58   %19

printNotes: i= 95-<2192 2295 -103>,  	 F2 -- 1/64th..( 13) <      > 	V 14 - M 15	= -1  %-7  	q= +1  %+7  	 0.075(88)
printNotes: i= 96-<2162 2180 -18>,  	 E2 --   1/16th( 29) <      > 	V 28 - M 15	=+13  %+46  	q= -1  %-4  	 0.157(88)<-----%46   %4

printNotes: i= 97-<2332 2295  37>,  	 F2 -- 1/64th..( 13) <      > 	V 13 - M 15	= -2  %-15  	q=  +  %+0  	 0.070(88)<-----%15   %0 <<

printNotes: i= 98-<2181 2180   1>,  	 E2 -- 1/32nd..( 26) <      > 	V 26 - M 29	= -3  %-12  	q=  +  %+0  	 0.145(88)<-----%12   %0

printNotes: i= 99-<1924 1929  -5>,  	Dk2 --  1/32nd.( 22) <      > 	V 22 - M 20	= +2  %+9  	q=  +  %+0  	 0.122(88)<-----%9   %0

printNotes: i= 100-<2159 2180 -21>,  	 E2 --   1/16th( 29) <      > 	V 28 - M 20	= +8  %+29  	q= -1  %-4  	 0.157(88)<-----%29   %4

printNotes: i= 101-<2298 2295   3>,  	 F2 -- 1/32nd..( 26) <      > 	V 26 - M 10	=+16  %+62  	q=  +  %+0  	 0.145(88)<-----%62   %0

printNotes: i= 102-<1905 2494 -589>,  	 G2 --  1/64th.( 11) <      > 	V  8 - M 10	= -2  %-25  	q= -3  %-38  	 0.041(88)
printNotes: i= 103-<2293 2295  -2>,  	 F2 --   1/16th( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(88)
printNotes: i= 104-<2152 2180 -28>,  	 E2 --   1/16th( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(88)
printNotes: i= 105-<1921 1929  -8>,  	Dk2 -- 1/32nd..( 26) <      > 	V 27 - M 29	= -2  %-7  	q= +1  %+4  	 0.151(88)
printNotes: i= 106-<1787 1802 -15>,  	 C2 --   1/32nd( 15) <      > 	V 16 - M 29	=-13  %-81  	q= +1  %+6  	 0.087(88)<-----%81   %6 <<

printNotes: i= 107-<1906 1929 -23>,  	Dk2 --    1/8th( 59) <      > 	V 67 - M 59	= +8  %+12  	q= +8  %+12  	 0.383(88)
printNotes: i= 108-<1570 1802 -232>,  	 C2 --    1/8th( 59) <      > 	V 63 - M 29	=+34  %+54  	q= +4  %+6  	 0.360(88)<-----%54   %6



silence
printNotes: i= 109-<   0   40 -40>,  	Slc --  1/8th..(103) <      > 	V108 - M 59	=+49  %+45  	q= +5  %+5  	 0.621(88)<-----%45   %5

printNotes: i= 110-<1702 1802 -100>,  	 C2 --  1/16th.( 44) <      > 	V 44 - M 29	=+15  %+34  	q=  +  %+0  	 0.250(88)<-----%34   %0

printNotes: i= 111-<1970 1929  41>,  	Dk2 -- 1/32nd..( 26) <      > 	V 27 - M 29	= -2  %-7  	q= +1  %+4  	 0.151(88)
printNotes: i= 112-<2178 2180  -2>,  	 E2 -- 1/32nd..( 26) <      > 	V 27 - M 29	= -2  %-7  	q= +1  %+4  	 0.151(88)
printNotes: i= 113-<2310 2295  15>,  	 F2 -- 1/32nd..( 26) <      > 	V 27 - M 29	= -2  %-7  	q= +1  %+4  	 0.151(88)
printNotes: i= 114-<2503 2494   9>,  	 G2 --    1/4th(118) <      > 	V123 - M118	= +5  %+4  	q= +5  %+4  	 0.708(88)
printNotes: i= 115-<2320 2295  25>,  	 F2 --   1/32nd( 15) <      > 	V 18 - M 15	= +3  %+17  	q= +3  %+17  	 0.099(88)
printNotes: i= 116-<2436 2494 -58>,  	 G2 --  1/64th.( 11) <      > 	V 11 - M 15	= -4  %-36  	q=  +  %+0  	 0.058(88)<-----%36   %0 <<

printNotes: i= 117-<2041 2180 -139>,  	 E2 --    1/4th(118) <      > 	V132 - M118	=+14  %+11  	q=+14  %+11  	 0.760(88)


silence
printNotes: i= 118-<   0   40 -40>,  	Slc --    1/8th( 59) <      > 	V 67 - M118	=-51  %-76  	q= +8  %+12  	 0.383(88)<-----%76   %12

printNotes: i= 119-<1880 1929 -49>,  	Dk2 --   1/16th( 29) <      > 	V 34 - M 29	= +5  %+15  	q= +5  %+15  	 0.192(88)
printNotes: i= 120-<2270 2295 -25>,  	 F2 --   1/8th.( 88) <      > 	V 91 - M118	=-27  %-30  	q= +3  %+3  	 0.522(88)<-----%30   %3

printNotes: i= 121-<2187 2180   7>,  	 E2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(88)
printNotes: i= 122-<2258 2295 -37>,  	 F2 -- 1/64th..( 13) <      > 	V 14 - M 15	= -1  %-7  	q= +1  %+7  	 0.075(88)
printNotes: i= 123-<1928 1929  -1>,  	Dk2 --    1/4th(118) <      > 	V118 - M177	=-59  %-50  	q=  +  %+0  	 0.679(88)<-----%50   %0

