	voice Midi Diff								present		 Best		Sec

printNotes: i= 90-<1927 1957 -30>,  	 C3 --  1/16th.( 27) <      > 	V 28 - M 27	= +1  %+4  	q= +1  %+4  	 0.157(142)
printNotes: i= 91-<1748 1751  -3>,  	Bb2 --  1/16th.( 27) <      > 	V 27 - M 27	=  +  %+0  	q=  +  %+0  	 0.151(142)
printNotes: i= 92-<1619 1611   8>,  	Ak2 --   1/16th( 18) <      > 	V 18 - M 18	=  +  %+0  	q=  +  %+0  	 0.099(142)
printNotes: i= 93-<1738 1751 -13>,  	Bb2 --  1/16th.( 27) <      > 	V 26 - M 27	= -1  %-4  	q= -1  %-4  	 0.145(142)
printNotes: i= 94-<1842 1957 -115>,  	 C3 --   1/64th(  5) <      > 	V  5 - M  5	=  +  %+0  	q=  +  %+0  	 0.023(142)
printNotes: i= 95-<1768 1751  17>,  	Bb2 --   1/16th( 18) <      > 	V 20 - M 18	= +2  %+10  	q= +2  %+10  	 0.110(142)
printNotes: i= 96-<1960 1957   3>,  	 C3 -- 1/16th..( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(142)
printNotes: i= 97-<2222 2243 -21>,  	Eb3 --  1/32nd.( 14) <      > 	V 14 - M 14	=  +  %+0  	q=  +  %+0  	 0.075(142)
printNotes: i= 98-<1949 1957  -8>,  	 C3 --  1/8th..( 64) <      > 	V 60 - M 64	= -4  %-7  	q= -4  %-7  	 0.342(142)


silence
printNotes: i= 99-<1994   40 1954>,  	Slc --   1/64th(  5) <      > 	V  5 - M  5	=  +  %+0  	q=  +  %+0  	 0.023(142)
printNotes: i= 100-<2095 2170 -75>,  	 D3 --    whole(292) <2*sela> 	V312 - M292	=+20  %+6  	q=+20  %+6  	 1.805(142)


silence
printNotes: i= 101-< 508   40 468>,  	Slc --   1/16th( 18) <      > 	V 20 - M292	=-272  %-1360  	q= +2  %+10  	 0.110(142)<-----%1360   %10

printNotes: i= 102-<1954 1957  -3>,  	 C3 --    1/4th( 73) <      > 	V 77 - M 73	= +4  %+5  	q= +4  %+5  	 0.441(142)
printNotes: i= 103-<1517 2170 -653>,  	 D3 --   1/32nd(  9) <      > 	V 10 - M  9	= +1  %+10  	q= +1  %+10  	 0.052(142)
printNotes: i= 104-<1851 1957 -106>,  	 C3 -- 1/32nd..( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(142)
printNotes: i= 105-<2157 2170 -13>,  	 D3 --  1/16th.( 27) <      > 	V 28 - M 27	= +1  %+4  	q= +1  %+4  	 0.157(142)
printNotes: i= 106-<1850 1957 -107>,  	 C3 --  1/16th.( 27) <      > 	V 26 - M 27	= -1  %-4  	q= -1  %-4  	 0.145(142)
printNotes: i= 107-<1751 1751    >,  	Bb2 --  1/16th.( 27) <      > 	V 28 - M 27	= +1  %+4  	q= +1  %+4  	 0.157(142)
printNotes: i= 108-<1375 1611 -236>,  	Ak2 --    1/8th( 36) <      > 	V 37 - M 36	= +1  %+3  	q= +1  %+3  	 0.209(142)
printNotes: i= 109-<1514 1457  57>,  	 G2 --  1/64th.(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(142)
printNotes: i= 110-<1599 1611 -12>,  	Ak2 --    1/8th( 36) <      > 	V 37 - M 36	= +1  %+3  	q= +1  %+3  	 0.209(142)
printNotes: i= 111-<1470 1457  13>,  	 G2 --  1/16th.( 27) <      > 	V 28 - M 27	= +1  %+4  	q= +1  %+4  	 0.157(142)
printNotes: i= 112-<1597 1611 -14>,  	Ak2 --    1/8th( 36) <1*sela> 	V 45 - M 36	= +9  %+20  	q= +9  %+20  	 0.255(142)
printNotes: i= 113-<1690 1751 -61>,  	Bb2 --  1/32nd.( 14) <      > 	V 13 - M 14	= -1  %-8  	q= -1  %-8  	 0.070(142)
printNotes: i= 114-<1466 1457   9>,  	 G2 --   1/8th.( 55) <      > 	V 49 - M 55	= -6  %-12  	q= -6  %-12  	 0.279(142)
printNotes: i= 115-<1698 1751 -53>,  	Bb2 --    half.(219) <      > 	V221 - M219	= +2  %+1  	q= +2  %+1  	 1.277(142)
printNotes: i= 116-< 909 1457 -548>,  	 G2 --   1/32nd(  9) <      > 	V 10 - M  9	= +1  %+10  	q= +1  %+10  	 0.052(142)
printNotes: i= 117-<1630 1611  19>,  	Ak2 --   1/8th.( 55) <      > 	V 50 - M 55	= -5  %-10  	q= -5  %-10  	 0.284(142)
printNotes: i= 118-<1558 1957 -399>,  	 C3 --   1/16th( 18) <      > 	V 17 - M 16	= +1  %+6  	q= -1  %-6  	 0.093(142)
printNotes: i= 119-<1326 1611 -285>,  	Ak2 --  1/16th.( 27) <      > 	V 27 - M 27	=  +  %+0  	q=  +  %+0  	 0.151(142)


silence
printNotes: i= 120-<   0   40 -40>,  	Slc --    1/4th( 73) <      > 	V 76 - M 36	=+40  %+53  	q= +3  %+4  	 0.435(142)<-----%53   %4

printNotes: i= 121-<1438 1457 -19>,  	 G2 -- 1/16th..( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(142)
printNotes: i= 122-<1588 1611 -23>,  	Ak2 --  1/16th.( 27) <      > 	V 27 - M 27	=  +  %+0  	q=  +  %+0  	 0.151(142)
printNotes: i= 123-<1722 1751 -29>,  	Bb2 --    1/8th( 36) <      > 	V 35 - M 36	= -1  %-3  	q= -1  %-3  	 0.197(142)
printNotes: i= 124-<1950 1957  -7>,  	 C3 --    1/4th( 73) <      > 	V 69 - M 73	= -4  %-6  	q= -4  %-6  	 0.395(142)
printNotes: i= 125-<1745 1751  -6>,  	Bb2 --    1/4th( 73) <1*sela> 	V 83 - M 73	=+10  %+12  	q=+10  %+12  	 0.476(142)
printNotes: i= 126-<1869 1957 -88>,  	 C3 --   1/32nd(  9) <      > 	V  9 - M  9	=  +  %+0  	q=  +  %+0  	 0.046(142)
printNotes: i= 127-<1619 1611   8>,  	Ak2 --   1/8th.( 55) <-1*sela> 	V 46 - M 55	= -9  %-20  	q= -9  %-20  	 0.261(142)
printNotes: i= 128-<1482 1457  25>,  	 G2 --   1/8th.( 55) <      > 	V 55 - M 55	=  +  %+0  	q=  +  %+0  	 0.313(142)
printNotes: i= 129-<1935 1957 -22>,  	 C3 --   1/4th.(109) <      > 	V104 - M109	= -5  %-5  	q= -5  %-5  	 0.598(142)
printNotes: i= 130-<1755 1751   4>,  	Bb2 -- 1/32nd..( 16) <      > 	V 15 - M 16	= -1  %-7  	q= -1  %-7  	 0.081(142)
printNotes: i= 131-<1962 1957   5>,  	 C3 --    half.(219) <-1*sela> 	V208 - M219	=-11  %-5  	q=-11  %-5  	 1.202(142)
printNotes: i= 132-<2181 2243 -62>,  	Eb3 --  1/64th.(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(142)
