	voice Midi Diff								present		 Best		Sec

printNotes: i= 64-<2673 2668   5>,  	 G2 --     half(238) <      > 	V236 - M238	= -2  %-1  	q= -2  %-1  	 1.364(87)
printNotes: i= 65-<2752 2787 -35>,  	Ab2 --   1/64th(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(87)
printNotes: i= 66-<2684 2668  16>,  	 G2 --   1/8th.( 89) <      > 	V 80 - M 89	= -9  %-11  	q= -9  %-11  	 0.459(87)


silence
printNotes: i= 67-<   0   40 -40>,  	Slc --   1/4th.(178) <-1*sela> 	V156 - M119	=+37  %+24  	q=-22  %-14  	 0.900(87)<-----%24   %14

printNotes: i= 68-<1691 1618  73>,  	Ak1 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(87)
printNotes: i= 69-<2403 2468 -65>,  	 F2 -- 1/16th..( 52) <      > 	V 55 - M 52	= +3  %+5  	q= +3  %+5  	 0.313(87)
printNotes: i= 70-<2872 2942 -70>,  	Bb2 --   1/16th( 30) <      > 	V 30 - M 30	=  +  %+0  	q=  +  %+0  	 0.168(87)
printNotes: i= 71-<2824 2820   4>,  	Ak2 --  1/16th.( 45) <      > 	V 46 - M 45	= +1  %+2  	q= +1  %+2  	 0.261(87)
printNotes: i= 72-<2927 2942 -15>,  	Bb2 --   1/16th( 30) <      > 	V 30 - M 30	=  +  %+0  	q=  +  %+0  	 0.168(87)
printNotes: i= 73-<2795 2787   8>,  	Ab2 --  1/32nd.( 22) <      > 	V 19 - M 22	= -3  %-16  	q= -3  %-16  	 0.104(87)
printNotes: i= 74-<2961 2942  19>,  	Bb2 --   1/16th( 30) <      > 	V 29 - M 30	= -1  %-3  	q= -1  %-3  	 0.163(87)
printNotes: i= 75-<2808 2787  21>,  	Ab2 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(87)
printNotes: i= 76-<2941 2942  -1>,  	Bb2 --   1/16th( 30) <      > 	V 29 - M 30	= -1  %-3  	q= -1  %-3  	 0.163(87)
printNotes: i= 77-<2797 2787  10>,  	Ab2 --   1/32nd( 15) <      > 	V 18 - M 15	= +3  %+17  	q= +3  %+17  	 0.099(87)
printNotes: i= 78-<2942 2942    >,  	Bb2 --   1/16th( 30) <      > 	V 30 - M 30	=  +  %+0  	q=  +  %+0  	 0.168(87)
printNotes: i= 79-<3072 3168 -96>,  	 C3 --  1/64th.( 11) <      > 	V 10 - M 11	= -1  %-10  	q= -1  %-10  	 0.052(87)
printNotes: i= 80-<2833 2820  13>,  	Ak2 --  1/16th.( 45) <      > 	V 39 - M 45	= -6  %-15  	q= -6  %-15  	 0.221(87)
printNotes: i= 81-<3099 3168 -69>,  	 C3 --  1/64th.( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(87)
printNotes: i= 82-<2817 2820  -3>,  	Ak2 -- 1/16th..( 52) <      > 	V 51 - M 52	= -1  %-2  	q= -1  %-2  	 0.290(87)
printNotes: i= 83-<2727 2668  59>,  	 G2 -- 1/32nd..( 26) <      > 	V 26 - M 26	=  +  %+0  	q=  +  %+0  	 0.145(87)
printNotes: i= 84-<2942 2942    >,  	Bb2 --    1/4th(119) <1*sela> 	V143 - M119	=+24  %+17  	q=+24  %+17  	 0.824(87)
printNotes: i= 85-<3157 3168 -11>,  	 C3 --   1/8th.( 89) <-1*sela> 	V 74 - M 59	=+15  %+20  	q=-15  %-20  	 0.424(87)
printNotes: i= 86-<3364 3368  -4>,  	 D3 --  1/64th.( 11) <      > 	V 10 - M 11	= -1  %-10  	q= -1  %-10  	 0.052(87)
printNotes: i= 87-<3189 3168  21>,  	 C3 --  1/16th.( 45) <      > 	V 48 - M 45	= +3  %+6  	q= +3  %+6  	 0.273(87)
printNotes: i= 88-<2951 2942   9>,  	Bb2 -- 1/32nd..( 26) <      > 	V 25 - M 26	= -1  %-4  	q= -1  %-4  	 0.139(87)
printNotes: i= 89-<3162 3168  -6>,  	 C3 -- 1/64th..( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(87)
printNotes: i= 90-<2983 2942  41>,  	Bb2 --  1/16th.( 45) <      > 	V 40 - M 45	= -5  %-12  	q= -5  %-12  	 0.226(87)
printNotes: i= 91-<2915 2787 128>,  	Ab2 --  1/16th.( 45) <      > 	V 43 - M 45	= -2  %-5  	q= -2  %-5  	 0.244(87)
printNotes: i= 92-<4104 2942 1162>,  	Bb2 --  1/64th.( 11) <      > 	V 12 - M 11	= +1  %+8  	q= +1  %+8  	 0.064(87)
printNotes: i= 93-<3176 2787 389>,  	Ab2 -- 1/16th..( 52) <      > 	V 52 - M 52	=  +  %+0  	q=  +  %+0  	 0.296(87)
printNotes: i= 94-<2919 2942 -23>,  	Bb2 --  1/64th.( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(87)
printNotes: i= 95-<2700 2668  32>,  	 G2 --  1/16th.( 45) <      > 	V 40 - M 45	= -5  %-12  	q= -5  %-12  	 0.226(87)
printNotes: i= 96-<2851 2820  31>,  	Ak2 -- 1/64th..( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(87)
printNotes: i= 97-<2684 2668  16>,  	 G2 --  1/16th.( 45) <      > 	V 39 - M 45	= -6  %-15  	q= -6  %-15  	 0.221(87)
printNotes: i= 98-<2777 2820 -43>,  	Ak2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(87)
printNotes: i= 99-<2495 2468  27>,  	 F2 --   1/16th( 30) <      > 	V 33 - M 30	= +3  %+9  	q= +3  %+9  	 0.186(87)
printNotes: i= 100-<2701 2668  33>,  	 G2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(87)
printNotes: i= 101-<2497 2468  29>,  	 F2 --    1/8th( 59) <      > 	V 59 - M 59	=  +  %+0  	q=  +  %+0  	 0.337(87)
printNotes: i= 102-<2765 2787 -22>,  	Ab2 --  1/64th.( 11) <      > 	V 10 - M 11	= -1  %-10  	q= -1  %-10  	 0.052(87)
printNotes: i= 103-<2669 2668   1>,  	 G2 --    1/4th(119) <1*sela> 	V141 - M119	=+22  %+16  	q=+22  %+16  	 0.813(87)
printNotes: i= 104-<2554 2468  86>,  	 F2 -- 1/64th..( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(87)
printNotes: i= 105-<2715 2787 -72>,  	Ab2 --   1/32nd( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(87)
printNotes: i= 106-<2674 2668   6>,  	 G2 --    half.(356) <      > 	V360 - M356	= +4  %+1  	q= +4  %+1  	 2.084(87)
printNotes: i= 107-<1276 2820 -1544>,  	Ak2 --  1/64th.( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(87)
printNotes: i= 108-<1785 2668 -883>,  	 G2 -- 1/16th..( 52) <      > 	V 54 - M 52	= +2  %+4  	q= +2  %+4  	 0.308(87)


silence
printNotes: i= 109-<   0   40 -40>,  	Slc --  whole..(831) <-1*sela> 	V807 - M837	=-30  %-4  	q=-24  %-3  	 4.679(87)
printNotes: i= 110-<1894 1653 241>,  	 A1 --  1/32nd.( 22) <      > 	V 20 - M 22	= -2  %-10  	q= -2  %-10  	 0.110(87)
