	voice Midi Diff								present		 Best		Sec

printNotes: i= 79-<1154 1064  90>,  	Eb2 --   128th.(  6) <      > 	V  6 - M  6	=  +  %+0  	q=  +  %+0  	 0.029(77)
printNotes: i= 80-<1236 1264 -28>,  	 F2 --  1/16th.( 50) <      > 	V 42 - M 50	= -8  %-19  	q= -8  %-19  	 0.238(77)
printNotes: i= 81-< 767 1743 -976>,  	Bb2 --  1/16th.( 50) <      > 	V 50 - M 50	=  +  %+0  	q=  +  %+0  	 0.284(77)
printNotes: i= 82-<1611 1604   7>,  	Ak2 --   1/8th.(100) <      > 	V 96 - M100	= -4  %-4  	q= -4  %-4  	 0.551(77)
printNotes: i= 83-<1504 1472  32>,  	 G2 --  1/64th.( 13) <      > 	V 12 - M 13	= -1  %-8  	q= -1  %-8  	 0.064(77)
printNotes: i= 84-< 752 1604 -852>,  	Ak2 --   1/16th( 33) <      > 	V 32 - M 33	= -1  %-3  	q= -1  %-3  	 0.180(77)
printNotes: i= 85-<1060 1743 -683>,  	Bb2 --   1/16th( 33) <      > 	V 35 - M 33	= +2  %+6  	q= +2  %+6  	 0.197(77)
printNotes: i= 86-<1442 1604 -162>,  	Ak2 --   1/8th.(100) <      > 	V107 - M100	= +7  %+7  	q= +7  %+7  	 0.615(77)


silence
printNotes: i= 87-<   0   40 -40>,  	Slc --  1/8th..(117) <      > 	V112 - M139	=-27  %-24  	q= -5  %-4  	 0.644(77)<-----%24   %4

printNotes: i= 88-< 491 1064 -573>,  	Eb2 -- 1/32nd..( 29) <      > 	V 27 - M 29	= -2  %-7  	q= -2  %-7  	 0.151(77)
printNotes: i= 89-<1310 1604 -294>,  	Ak2 --  1/16th.( 50) <      > 	V 45 - M 50	= -5  %-11  	q= -5  %-11  	 0.255(77)
printNotes: i= 90-<1746 1743   3>,  	Bb2 --   1/16th( 33) <      > 	V 41 - M 33	= +8  %+20  	q= +8  %+20  	 0.232(77)
printNotes: i= 91-<1959 1957   2>,  	 C3 --   1/8th.(100) <      > 	V100 - M100	=  +  %+0  	q=  +  %+0  	 0.575(77)
printNotes: i= 92-<2176 2148  28>,  	 D3 --   1/16th( 33) <      > 	V 33 - M 33	=  +  %+0  	q=  +  %+0  	 0.186(77)
printNotes: i= 93-<2250 2257  -7>,  	Eb3 --   1/16th( 33) <      > 	V 38 - M 33	= +5  %+13  	q= +5  %+13  	 0.215(77)
printNotes: i= 94-<2399 2457 -58>,  	 F3 --   1/32nd( 17) <      > 	V 17 - M 17	=  +  %+0  	q=  +  %+0  	 0.093(77)
printNotes: i= 95-<2291 2257  34>,  	Eb3 -- 1/64th..( 15) <      > 	V 16 - M 17	= -1  %-6  	q= +1  %+6  	 0.087(77)
printNotes: i= 96-<2389 2457 -68>,  	 F3 --  128th..(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(77)
printNotes: i= 97-<2275 2257  18>,  	Eb3 -- 1/32nd..( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(77)
printNotes: i= 98-<2169 2148  21>,  	 D3 --  1/64th.( 13) <      > 	V 12 - M 13	= -1  %-8  	q= -1  %-8  	 0.064(77)
printNotes: i= 99-<2268 2257  11>,  	Eb3 --  1/64th.( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(77)
printNotes: i= 100-<2209 2148  61>,  	 D3 -- 1/64th..( 15) <      > 	V 15 - M 17	= -2  %-13  	q=  +  %+0  	 0.081(77)
printNotes: i= 101-<2251 2257  -6>,  	Eb3 --  1/64th.( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(77)
printNotes: i= 102-<2183 2148  35>,  	 D3 --  1/32nd.( 25) <      > 	V 23 - M 25	= -2  %-9  	q= -2  %-9  	 0.128(77)
printNotes: i= 103-<1959 1957   2>,  	 C3 -- 1/64th..( 15) <      > 	V 16 - M 17	= -1  %-6  	q= +1  %+6  	 0.087(77)
printNotes: i= 104-<2123 2148 -25>,  	 D3 --  1/64th.( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(77)
printNotes: i= 105-<1986 1957  29>,  	 C3 --  1/32nd.( 25) <      > 	V 25 - M 25	=  +  %+0  	q=  +  %+0  	 0.139(77)
printNotes: i= 106-<2113 2148 -35>,  	 D3 --  128th..(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(77)
printNotes: i= 107-<1977 1957  20>,  	 C3 -- 1/32nd..( 29) <      > 	V 28 - M 29	= -1  %-4  	q= -1  %-4  	 0.157(77)
printNotes: i= 108-<1729 1743 -14>,  	Bb2 --   1/32nd( 17) <      > 	V 18 - M 17	= +1  %+6  	q= +1  %+6  	 0.099(77)
printNotes: i= 109-<1918 1957 -39>,  	 C3 --  1/64th.( 13) <      > 	V  9 - M 13	= -4  %-44  	q= -4  %-44  	 0.046(77)
printNotes: i= 110-<1752 1743   9>,  	Bb2 --  1/32nd.( 25) <      > 	V 21 - M 25	= -4  %-19  	q= -4  %-19  	 0.116(77)
