	voice Midi Diff								present		 Best		Sec

printNotes: i= 60-<1741 1733   8>,  	Bb2 --   1/16th( 33) <      > 	V 36 - M 33	= +3  %+8  	q= +3  %+8  	 0.203(79)


silence
printNotes: i= 61-<   0   40 -40>,  	Slc --    1/8th( 65) <      > 	V 65 - M 67	= -2  %-3  	q=  +  %+0  	 0.372(79)
printNotes: i= 62-<1455 1461  -6>,  	 G2 --   128th.(  6) <      > 	V  6 - M  7	= -1  %-17  	q=  +  %+0  	 0.029(79)
printNotes: i= 63-<1609 1597  12>,  	Ak2 --   1/32nd( 16) <      > 	V 20 - M 16	= +4  %+20  	q= +4  %+20  	 0.110(79)
printNotes: i= 64-<1467 1461   6>,  	 G2 -- 1/32nd..( 29) <      > 	V 27 - M 29	= -2  %-7  	q= -2  %-7  	 0.151(79)
printNotes: i= 65-<1594 1597  -3>,  	Ak2 --   1/16th( 33) <      > 	V 35 - M 33	= +2  %+6  	q= +2  %+6  	 0.197(79)
printNotes: i= 66-<1680 1733 -53>,  	Bb2 --  1/64th.( 12) <      > 	V 11 - M 12	= -1  %-9  	q= -1  %-9  	 0.058(79)
printNotes: i= 67-<1486 1461  25>,  	 G2 --   1/16th( 33) <      > 	V 31 - M 33	= -2  %-6  	q= -2  %-6  	 0.174(79)
printNotes: i= 68-<1596 1597  -1>,  	Ak2 --  1/16th.( 49) <      > 	V 45 - M 49	= -4  %-9  	q= -4  %-9  	 0.255(79)
printNotes: i= 69-<1728 1733  -5>,  	Bb2 --   1/32nd( 16) <      > 	V 19 - M 16	= +3  %+16  	q= +3  %+16  	 0.104(79)
printNotes: i= 70-<1483 1461  22>,  	 G2 --   1/16th( 33) <      > 	V 37 - M 33	= +4  %+11  	q= +4  %+11  	 0.209(79)
printNotes: i= 71-<1696 1733 -37>,  	Bb2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(79)
printNotes: i= 72-<1465 1461   4>,  	 G2 --    1/8th( 65) <      > 	V 74 - M 65	= +9  %+12  	q= +9  %+12  	 0.424(79)
printNotes: i= 73-<1367 1261 106>,  	 F2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(79)
printNotes: i= 74-<1731 1733  -2>,  	Bb2 --   1/4th.(196) <-1*sela> 	V173 - M196	=-23  %-13  	q=-23  %-13  	 0.998(79)
printNotes: i= 75-<1597 1597    >,  	Ak2 --  1/8th..(114) <      > 	V117 - M114	= +3  %+3  	q= +3  %+3  	 0.673(79)
printNotes: i= 76-<1487 1461  26>,  	 G2 -- 1/64th..( 14) <      > 	V 14 - M 12	= +2  %+14  	q=  +  %+0  	 0.075(79)
printNotes: i= 77-<1656 1733 -77>,  	Bb2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(79)
printNotes: i= 78-<1611 1597  14>,  	Ak2 --   1/4th.(196) <      > 	V200 - M196	= +4  %+2  	q= +4  %+2  	 1.155(79)
printNotes: i= 79-<1523 1954 -431>,  	 C3 --   1/64th(  8) <      > 	V 10 - M 12	= -2  %-20  	q= +2  %+20  	 0.052(79)
printNotes: i= 80-<1622 1597  25>,  	Ak2 --   1/16th( 33) <      > 	V 32 - M 33	= -1  %-3  	q= -1  %-3  	 0.180(79)
printNotes: i= 81-<1712 1733 -21>,  	Bb2 --    128th(  4) <      > 	V  5 - M  4	= +1  %+20  	q= +1  %+20  	 0.023(79)


silence
printNotes: i= 82-<   0   40 -40>,  	Slc --    half.(392) <-2*sela> 	V346 - M340	= +6  %+2  	q=-46  %-13  	 2.003(79)
printNotes: i= 83-< 939 1261 -322>,  	 F2 --  1/64th.( 12) <      > 	V 13 - M 12	= +1  %+8  	q= +1  %+8  	 0.070(79)
printNotes: i= 84-<1460 1733 -273>,  	Bb2 --    1/8th( 65) <      > 	V 68 - M 65	= +3  %+4  	q= +3  %+4  	 0.389(79)
printNotes: i= 85-<1591 1597  -6>,  	Ak2 --  1/64th.( 12) <      > 	V  9 - M 12	= -3  %-33  	q= -3  %-33  	 0.046(79)
printNotes: i= 86-<1706 1733 -27>,  	Bb2 --  128th..(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(79)
printNotes: i= 87-<1599 1597   2>,  	Ak2 --   1/16th( 33) <      > 	V 39 - M 33	= +6  %+15  	q= +6  %+15  	 0.221(79)
printNotes: i= 88-<1495 1461  34>,  	 G2 --  1/64th.( 12) <      > 	V  9 - M  8	= +1  %+11  	q= -3  %-33  	 0.046(79)
printNotes: i= 89-<1371 1597 -226>,  	Ak2 --  1/8th..(114) <      > 	V115 - M114	= +1  %+1  	q= +1  %+1  	 0.662(79)
