	voice Midi Diff								present		 Best		Sec

printNotes: i= 57-<2031 2162 -131>,  	 D3 --    128th(  3) <      > 	V  3 - M  3	=  +  %+0  	q=  +  %+0  	 0.012(97)
printNotes: i= 58-<1959 1957   2>,  	 C3 --   1/8th.( 80) <      > 	V 78 - M 80	= -2  %-3  	q= -2  %-3  	 0.447(97)
printNotes: i= 59-<2133 2162 -29>,  	 D3 --   1/32nd( 13) <      > 	V 13 - M 12	= +1  %+8  	q=  +  %+0  	 0.070(97)
printNotes: i= 60-<1957 1957    >,  	 C3 --  1/32nd.( 20) <      > 	V 20 - M 20	=  +  %+0  	q=  +  %+0  	 0.110(97)
printNotes: i= 61-<1976 1957  19>,  	 C3 --  1/64th.( 10) <      > 	V 10 - M 10	=  +  %+0  	q=  +  %+0  	 0.052(97)<-- same note
printNotes: i= 62-<2162 2162    >,  	 D3 --   1/32nd( 13) <      > 	V 16 - M 13	= +3  %+19  	q= +3  %+19  	 0.087(97)
printNotes: i= 63-<1967 1957  10>,  	 C3 --  1/16th.( 40) <      > 	V 38 - M 40	= -2  %-5  	q= -2  %-5  	 0.215(97)
printNotes: i= 64-<2157 2162  -5>,  	 D3 --   1/32nd( 13) <      > 	V 14 - M 13	= +1  %+7  	q= +1  %+7  	 0.075(97)
printNotes: i= 65-<1944 1957 -13>,  	 C3 --    1/8th( 53) <      > 	V 51 - M 47	= +4  %+8  	q= -2  %-4  	 0.290(97)
printNotes: i= 66-<2127 2162 -35>,  	 D3 --   1/32nd( 13) <      > 	V 13 - M 12	= +1  %+8  	q=  +  %+0  	 0.070(97)
printNotes: i= 67-<1970 1957  13>,  	 C3 --    1/8th( 53) <      > 	V 54 - M 53	= +1  %+2  	q= +1  %+2  	 0.308(97)
printNotes: i= 68-<2146 2162 -16>,  	 D3 --   1/32nd( 13) <      > 	V 15 - M 13	= +2  %+13  	q= +2  %+13  	 0.081(97)
printNotes: i= 69-<1972 1957  15>,  	 C3 --    1/8th( 53) <      > 	V 53 - M 53	=  +  %+0  	q=  +  %+0  	 0.302(97)
printNotes: i= 70-<2165 2162   3>,  	 D3 --     half(214) <3*sela> 	V260 - M214	=+46  %+18  	q=+46  %+18  	 1.503(97)
printNotes: i= 71-<1964 1957   7>,  	 C3 --  1/8th..( 93) <      > 	V 89 - M 93	= -4  %-4  	q= -4  %-4  	 0.511(97)
printNotes: i= 72-<2231 2256 -25>,  	Eb3 --  1/64th.( 10) <      > 	V 10 - M 10	=  +  %+0  	q=  +  %+0  	 0.052(97)
printNotes: i= 73-<2098 2162 -64>,  	 D3 --  1/16th.( 40) <      > 	V 39 - M 40	= -1  %-3  	q= -1  %-3  	 0.221(97)
printNotes: i= 74-<1939 1957 -18>,  	 C3 --    1/8th( 53) <      > 	V 57 - M 53	= +4  %+7  	q= +4  %+7  	 0.325(97)
printNotes: i= 75-<1757 1746  11>,  	Bb2 --   1/8th.( 80) <      > 	V 81 - M 80	= +1  %+1  	q= +1  %+1  	 0.464(97)
printNotes: i= 76-<1614 1601  13>,  	Ak2 --  1/32nd.( 20) <      > 	V 20 - M 20	=  +  %+0  	q=  +  %+0  	 0.110(97)
printNotes: i= 77-<1440 1475 -35>,  	 G2 --  1/32nd.( 20) <      > 	V 19 - M 20	= -1  %-5  	q= -1  %-5  	 0.104(97)
